ITS2 type profile UID		242865	243256	243295	244838	244760
Clade		A	B	B	C	C
Majority ITS2 sequence		A3	B5	B1dk	C1	C1
Associated species		None	None	None	None	None
ITS2 profile abundance local		1	1	1	27	2
ITS2 profile abundance DB		3	18	1	27	9
ITS2 type profile		A3-A3ac-A3ah	B5	B1dk	C1-C1c-C1na-C1b	C1/C15-C1c-C1b
151880	E10	0	0	0	5769.0	0
151879	D10	0	0	0	5914.0	0
151887	G11	0	0	0	13231.0	0
151881	A11	0	0	0	3445.0	0
151883	C11	0	0	0	3210.0	0
151891	C12	0	0	0	3328.0	0
151892	D12	0	0	0	8536.0	0
151889	A12	0	0	0	5841.0	0
151895	G12	0	0	0	6923.0	0
151893	E12	0	0	0	4920.0	0
151870	C6	0	0	0	5086.0	0
151877	B10	0	0	0	5879.0	0
151890	B12	0	0	0	8718.0	0
151873	F6	0	0	0	4243.0	0
151868	A6	0	0	0	4900.0	0
151894	F12	0	0	0	3788.0	0
151876	A10	0	0	0	5220.0	0
151886	F11	0	0	0	4359.0	0
151882	B11	0	0	0	4480.0	0
151874	G6	0	0	0	7521.0	0
151869	B6	0	0	0	3475.0	0
151878	C10	0	0	0	3923.0	0
151872	E6	0	0	0	4279.0	0
151871	D6	0	0	0	3802.0	0
151875	H6	0	0	0	1334.0	0
151888	H11	0	0	0	1004.0	0
151884	D11	200.0	0	0	0	3568.0
151885	E11	0	0	0	0	3412.0
151896	H12	0	154.0	800.0	1006.0	0
Sequence accession / SymPortal UID		22385-364589-36733	29665	2764852	2-308-90556-4	2-517-308-4
Average defining sequence proportions and [stdev]		0.890[nan]-0.075[nan]-0.035[nan]	1.000[nan]	1.000[nan]	0.782[0.013]-0.132[0.014]-0.053[0.007]-0.034[0.007]	0.679[0.029]-0.168[0.042]-0.120[0.011]-0.033[0.002]
