sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A3	A3ac	A3ah	A3q	22426_A	A3n	36535_A	B1dk	B5	37609_B	2764853_B	788202_B	2764854_B	2764855_B	B2	51947_B	43578_B	2764857_B	2764856_B	B19	2764858_B	43335_B	2764859_B	2764861_B	2764860_B	1160612_B	1403659_B	50408_B	2764863_B	2764862_B	2764866_B	2764865_B	2764864_B	43518_B	B1	C1	C1c	C1na	C1b	C1al	C72k	11549_C	C1w	C3ju	C3	C15	428560_C	C1jx	C1bc	C42au	C42.2	C3ew	25718_C	21069_C	C3sa	C1t	C1ge	C1hq	C1my	281_C	C1ij	C1cu	C1l	C1bh	C1km	C1br	8196_C	C15bg	21062_C	5429_C	C3lk	C93b	C1ch	C1j	21059_C	17032_C	11574_C	21053_C	3630_C	21085_C	C1do	C15i	37251_C	C93a	13926_C	1327181_C	C1fh	6394_C	13074_C	21064_C	C42ca	8526_C	8380_C	42305_C	378934_C	284_C	21508_C	21042_C	21982_C	C1en	C1ai	C1.5	7802_C	5725_C	D1	D4	E1c	2764867_E	2764869_E	2764870_E	2764868_E	1468422_E
151880	E10	E10_R1_RT_ITS.fastq.gz	7a1e8d935945f603a9e9f7f7999e80619dbe57f256e814132dc2ee8828282805	E10_R2_RT_ITS.fastq.gz	11f37b2c98cc584a7599f7cebfdd84097f746dfc03e49f2953ef773c92ac7363	722	20220725T155812_cbove	11365	7058	383	7058	383	0	0	0	0	6617	19	0	0	144	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.18954000	88.57267000	20141122	3-5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4683	660	259	167	132	117	113	77	77	85	0	31	48	42	29	0	42	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151879	D10	D10_R1_RT_ITS.fastq.gz	f68d21d4b33f9eb34a5fa12b9772897549544f100143a6d6b6b103694ed72f37	D10_R2_RT_ITS.fastq.gz	9da70ad1c8b09a32ec716d1aa49ca05905a3a02ab224bc5920a3fe3cca381500	722	20220725T155812_cbove	11675	7215	414	7215	414	0	0	0	0	6820	22	0	0	186	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.11747000	88.25727000	20141122	3-5	8	5	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4582	860	277	195	110	137	95	77	74	70	0	56	47	42	39	0	0	35	0	30	32	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
151887	G11	G11_R1_RT_ITS.fastq.gz	24e85217d3fe2f7cc4109e42f202ea53a7fedc4b0d213c439fc8c7b80009fd48	G11_R2_RT_ITS.fastq.gz	aff178d6f003f03f60c810fed5c1e7eb325cb00b027b3b320930dcb46f60c6f7	722	20220725T155812_cbove	26854	16415	701	16415	701	0	0	0	0	15259	21	0	0	419	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.18954000	88.57267000	20141122	3-5	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10343	1643	726	519	283	262	248	197	177	164	0	105	98	67	67	101	76	0	0	77	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0
151881	A11	A11_R1_RT_ITS.fastq.gz	fec798cab998b7926aae8d45508a41a05946063d7f99e6f929e26b16fd3382e4	A11_R2_RT_ITS.fastq.gz	5fdf8867c76f5ebd37d5fc566b77e0fb5a3d5014bc90dd868abc8de2c55e62bc	722	20220725T155812_cbove	7590	4272	280	4272	280	0	0	0	0	3998	19	0	0	111	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.11747000	88.25727000	20141122	3-5	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2661	533	163	88	92	70	58	49	32	35	0	29	31	39	19	0	0	0	24	19	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
151883	C11	C11_R1_RT_ITS.fastq.gz	83a089d5a0da6741b82dec5304146598ec609158e64570950ecafa06f53e4c0a	C11_R2_RT_ITS.fastq.gz	36684a16afa909a831056bb5d5d057c0080df6aa52999b3aaa975dc645e81285	722	20220725T155812_cbove	6792	3933	244	3933	244	0	0	0	0	3730	19	0	0	126	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.12538000	88.26836000	20141122	3-5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2517	451	139	103	59	73	63	46	43	46	0	32	25	26	17	20	15	0	31	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151891	C12	C12_R1_RT_ITS.fastq.gz	b1cf929006d37d654fd103a1229ef229ca840f51dfd7ec163560ceb864003bdf	C12_R2_RT_ITS.fastq.gz	66f1c6286ab5b2fbd0789ee7a756353839afb40368ab0f0ff884f69b09588b51	722	20220725T155812_cbove	7081	4065	267	4065	267	0	0	0	0	3896	23	0	0	112	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.12538000	88.26836000	20141122	3-5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2647	426	163	92	74	69	45	55	33	36	0	29	31	27	0	26	20	16	22	20	18	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
151892	D12	D12_R1_RT_ITS.fastq.gz	de43fd6b71a69468aeba0bec261243e30a8041c4918c16863eeb237225aaa46e	D12_R2_RT_ITS.fastq.gz	31eb75e1e45aa7dce4b4b235a86fb575c0f7b7d848a08103fbb48cd1f979ef21	722	20220725T155812_cbove	16099	10675	467	10675	467	0	0	0	0	10005	20	0	0	336	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.18954000	88.57267000	20141122	3-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6720	1060	485	271	202	202	153	125	117	111	0	72	59	59	54	52	48	69	0	55	49	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151889	A12	A12_R1_RT_ITS.fastq.gz	ff70c3a67e915f0a970e431e06368635b351efa438211a45f1ac8b2fcad1982a	A12_R2_RT_ITS.fastq.gz	942dbb5edcc07159fb6758861bacd5c5fc8cf5f8cc1a84d1e07a0bd79deb011f	722	20220725T155812_cbove	11610	7340	390	7340	390	0	0	0	0	6847	23	0	0	274	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.18954000	88.57267000	20141122	3-5	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4577	692	281	291	109	126	111	85	70	78	0	53	52	31	33	58	36	44	36	0	31	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
151895	G12	G12_R1_RT_ITS.fastq.gz	6aec16e21a271d8f93e2ea816fa9e167507b52f2a05d5fbae276c38b1fba2cf0	G12_R2_RT_ITS.fastq.gz	ac724bf489bfc04510767f7c758b0697ab936ca41fdecc0cbb947e9d37bd4f03	722	20220725T155812_cbove	14162	8662	468	8662	468	0	0	0	0	8118	21	0	0	254	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.11747000	88.25727000	20141122	3-5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5477	878	349	219	157	189	102	108	101	83	0	53	61	41	36	0	35	60	0	43	41	0	0	40	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151893	E12	E12_R1_RT_ITS.fastq.gz	2ff9e31fa6130d43facf49925204b316339db6b990159d9dd8bc9c780188042f	E12_R2_RT_ITS.fastq.gz	f52166aa9ab10d3c7fc5b11d5c21c6bb47ed31b42c87def3fe313bb34638ed17	722	20220725T155812_cbove	10574	6185	362	6185	362	0	0	0	0	5779	23	0	0	186	0	0	0	0	0	0	coral_field	Cnidaria	Hexacorallia	Scleractinia	Siderastreidae	Siderastrea	siderea	16.18954000	88.57267000	20141122	3-5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3900	612	230	178	113	95	66	65	69	66	0	30	28	29	0	61	32	35	29	0	25	0	0	26	0	0	0	0	33	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
