,FR_FR,FR_BR,NS_FR,BR_FR,FR_NS,FR_BR,NS_FR,FR_BR,BR_NS,NS_NS,BR_BR,NS_FR,NS_FR,NS_NS,FR_FR,BR_BR,BR_NS,FR_FR,BR_FR,BR_BR,FR_BR,NS_BR,BR_BR,FR_FR,BR_FR,BR_FR,BR_NS,FR_BR,FR_BR,FR_FR,NS_BR,BR_FR,NS_BR,BR_BR,BR_FR,NS_BR,FR_FR,NS_NS,BR_BR,NS_NS,pval.Source1,padj.Source1,pval.Source2,padj.Source2,pval.Source3,padj.Source3
isogroup113852,1.51684446295112,1.37767167867807,2.12659415058841,1.40677836496179,1.03491488160284,1.83626832169195,1.60897590209053,1.51905351463821,1.24102455998535,1.9414279488393,1.2348210247652,1.402522071656,1.6486849799963,1.66499684599171,1.38020221611941,1.27199002202663,1.12196787678142,0.945670429079124,1.315974976065,1.4470776499882,1.64304416027557,1.36264317755006,1.03447257838376,1.37831815603292,1.3519772857474,1.55347162923384,1.0592765983239,1.48587325568648,1.72896702438662,1.88020360059369,2.15628824035179,1.74149968581653,1.27471571399973,1.78732611244465,1.50187812332871,1.08330844270669,1.45443196820591,1.22865571301919,1.6199590091683,1.68104074059608,0.147739245105239,NA,0.0330845444096434,NA,0.484027597052143,NA
isogroup113969,1.1751541786435,1.54199785304289,1.14498434125137,1.67712775388514,1.57335984128779,1.60320474628856,1.13167713270342,1.35190956932427,1.5897960120794,1.26245674222135,1.58186977332702,1.24622794487796,0.89109487856889,1.34732607730519,1.37564877994592,1.3986381861231,1.32546688886617,0.939705802118647,1.68917964491047,1.44296764179037,1.27440819475509,0.994141945306452,1.40363906020339,1.37376167469103,1.66168345966078,1.80689543489947,1.053621999626,1.48183984341449,1.60685126761357,1.40363466383056,2.26298513491621,2.09781058986542,1.26966451200032,1.22305538960149,1.49746082065507,2.29846652019691,1.45059774391048,2.01658743641467,1.057861070704,2.2882493802362,0.311337716188906,NA,0.86337462010482,NA,0.35848336767302,NA
isogroup115230,1.38222498526874,1.39862656798105,1.34786348271479,1.57364715935527,1.76141583809844,1.63079526618807,1.33275544273638,1.54611084117252,1.77964780480927,1.48259233885058,1.77085164868858,1.93721945741075,1.40541399466075,1.54097881650122,1.8692354466393,1.42684984051866,1.55602032647288,1.1527741857888,1.19777260021145,1.87823161535643,1.30929330583432,1.55300207095872,1.43648771599253,1.23012518919599,1.02102171280365,1.43762250034793,1.80182020400395,1.00121281675476,1.63445884052077,1.25673411528634,2.28759867666634,1.89358969683423,1.49094679422583,1.37896003085602,1.53135903029327,1.56223338470144,1.60397274952297,1.60554623271413,1.47566647630092,1.134704786321,0.35357889924781,NA,0.822979749688404,NA,0.437572484583461,NA
isogroup115385,1.69281427331034,1.20872216217542,1.5037947185818,0.941751283117559,1.759693611048,1.06373503761965,2.23172501626761,1.38194706508629,1.92576333747201,1.09634913632787,1.61149411572118,1.5671422762442,1.79285894755226,1.68964263331298,1.72440256929967,1.2944471536223,1.35856508370217,1.47212939693949,1.71423476249938,1.75090206987061,1.10669666426844,1.38816177677616,1.25421119423607,1.56861078378851,1.68970290341623,1.43552133151774,1.80011300772861,1.5105619361444,1.75156817621041,2.16930107578225,1.19298495320574,1.48371690100339,1.30198313061874,1.24977313168758,1.70872662678095,1.69124564648678,1.19910970430461,1.43540585860374,1.64606679550024,1.13196492513855,0.974071740066114,NA,0.921768048279486,NA,0.945962551519931,NA
isogroup118568,1.14644551417695,1.98606756653401,1.59545343556917,1.51755794438731,1.19339261316934,1.44943825651002,1.57763930787149,0.960475227161273,1.56013528875599,1.41903007367623,1.19994707988473,1.21936466695111,1.74034284213953,1.63304264391116,1.168728941507,1.4957791646075,1.67447410316906,1.69735023628206,1.28593186215127,1.25922849283877,1.77345529524265,1.64592757351767,1.54328402806043,1.34477598659159,1.63310170284996,1.22750698448016,1.40671012142359,1.12213829247551,1.31589976272373,1.37415878668182,1.30674873462716,1.42748483912242,1.23912811478624,1.06167609201023,1.27318449327439,1.76067702622239,1.55048906759617,1.70238125262121,1.2261925811755,1.46566490190414,0.476406191506463,NA,0.228527345895515,NA,0.626630144910206,NA
isogroup118973,1.37352941515018,1.47791123751818,1.78273390401924,1.56583433708209,1.05526452276287,0.889240613043187,1.48092461248733,1.37553571897,1.44304796217118,1.2878387617496,1.25479177013835,1.69256907826351,1.66590326685019,1.95527606038515,1.39944612846236,1.14882960620002,1.54681483009243,1.31065327975915,0.869237172021303,1.8709066162213,1.66271249403183,1.54463219946976,1.5957438103373,1.22100034555505,1.53269063093986,1.42949249333321,1.94338862843206,1.34535738841442,1.7458104636221,1.59573886630707,1.18653535006732,1.88624566164743,1.81953586969973,1.60121375198543,1.33018362304965,1.92211507399403,1.92607625990749,1.05570547900855,1.6394453288202,1.70101140475967,0.148974515850314,NA,0.459555917376906,NA,0.425646692201625,NA
isogroup206447,1.09504521688193,2.11460092442471,1.23887285561778,1.32930800101952,1.32435790849888,1.40540188703287,1.05319227698298,1.2737510979814,1.33856609260949,1.36787276176161,1.81352606463577,1.32515569363175,1.4441036549952,1.43379313145989,1.11690480322368,1.77893569889726,1.23940775046379,1.04166486349971,1.09461541230997,0.859008341034672,1.190436207724,1.74372781228804,1.65415717033855,1.11530442459297,0.903743417560562,1.17942867933794,1.53072466634624,1.24474135347617,0.961744084961219,0.944599350071945,1.42059970615548,1.05059118174371,1.55339286075002,1.81464837648654,1.59711130412232,1.31912571071322,1.62678210723513,1.65555444941312,1.17321812845294,2.07468373307457,0.254308688003595,NA,0.478158700692492,NA,0.614677269798602,NA
isogroup207217,1.41291996625899,1.33050127721779,1.81961579592246,1.46154339489909,1.28933877428509,1.39647266161268,1.92665720903114,2.12145752256513,1.48371212228088,1.99943598518792,1.80170598740204,0.971639553509242,1.43384508042525,1.72131991601141,1.60340823691168,1.57496948162863,1.7715005700035,1.50355178890568,1.07201521291778,1.34820722919605,1.34233266358335,1.73461632058607,1.28880692980527,1.43737233546932,1.99225442784899,1.31516499963828,1.50199024133626,1.21450112428353,1.3996935651438,1.79141765899166,1.04302122194019,1.66043588807772,1.69710245875849,1.73817766075176,1.56439081008849,1.30091408176347,1.95984409676786,1.93867668243943,1.50781709548068,1.90931458271366,0.693614711453213,NA,0.623035657534667,NA,0.935111012863746,NA
isogroup211000,1.18404170097199,1.08745170712475,1.32449666351203,1.25842471216756,1.73998773079775,0.872883760274034,1.14033095970582,1.36069347989794,1.42801548810962,1.45848324646638,1.42089858414408,1.54818825167478,1.65366796225868,2.48993725950947,1.55028313085432,1.27511578571926,1.53139584746906,1.12829857775093,1.57959938874729,1.73258216451599,1.81291069354117,2.19972237236175,1.23165565669625,1.20521505747431,1.67029744115341,1.69095633219902,1.78021832577843,1.33058566768733,1.20291937016389,1.03805254273945,1.17085001022226,1.46368029119638,1.46678324881239,1.58962191505977,1.50691708176065,1.9112432130582,1.58435405356587,1.74070105851934,1.26580255568159,1.68658156018108,0.0176285306662154,NA,0.277854137249664,NA,0.141575262245561,NA
isogroup214447,1.97490258685918,1.2176944881938,1.79886387706413,1.58195052740652,1.26662097505132,1.07483932789269,1.49776661552471,1.55493340200745,1.78863051653759,1.66504514260164,1.27342158022834,1.57727944166408,1.91542855139763,1.21560528128398,1.24103881503805,1.97027421412418,1.37096037455455,1.62708740422876,1.34914747264929,1.3271701243712,1.5059035908548,1.98643802051839,1.44567492452583,1.73261802938215,1.54983744744922,1.84207486610271,1.09933201615232,1.80682270125994,1.37988583394255,1.76960295413735,1.53605127667378,1.49437469597897,1.31409324010364,1.25980844331553,2.04384092103517,1.57049911403384,1.05550343696843,1.61459287322056,1.48502642295749,1.34876404605709,0.215473459763696,NA,0.498111969487393,NA,0.525950127698359,NA
