name	term	lev	seq	value
"clathrin adaptor complex"	GO:0030131	3	isogroup252009	-0.476950529444637
"clathrin adaptor complex"	GO:0030131	3	isogroup250966	-0.230523611160897
"clathrin adaptor complex"	GO:0030131	3	isogroup262443	0.0434069151619537
"clathrin adaptor complex"	GO:0030131	3	isogroup260379	0.171234967754329
"clathrin adaptor complex"	GO:0030131	3	isogroup242189	-8.24746856984316
"clathrin adaptor complex"	GO:0030131	3	isogroup263284	-3.59728352396505
"clathrin adaptor complex"	GO:0030131	3	isogroup254590	0.482651376837961
"clathrin adaptor complex"	GO:0030131	3	isogroup257812	-1.52462130055543
"clathrin adaptor complex"	GO:0030131	3	isogroup257554	5.73815638404027
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup258122	0.106201046188954
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup263491	-0.197592171159906
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup71086	0.284642351786059
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup230853	1.1072196204594
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup259750	0.131977519242228
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup236267	1.6358989610303
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup256084	-1.43132833569399
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup256209	0.309521606259511
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup256741	-0.172914758515412
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup242657	1.56972608377306
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup251349	-0.334627887696772
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup237314	2.11290564866563
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup224247	-2.31346271844287
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup252732	0.812374706962965
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup242765	0.412699684717026
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup244882	0.428702096632369
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup218516	1.50402698464613
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup254604	-1.58865447349106
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup258654	-0.0971802610239798
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup236440	1.88626300056545
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup247591	0.836096479033858
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup253529	-1.58910007937888
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup257174	1.00667895759193
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup241223	3.93580955872424
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup250030	0.970965129796851
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup225270	-1.03754918426377
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup260258	-0.454337832842175
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup257727	-0.561801220496899
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup250966	-0.230523611160897
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup245556	0.873451216910218
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup242848	0.0660672226852286
"clathrin-coated vesicle membrane"	GO:0030672;GO:0030665	2	isogroup253501	-0.471415006996182
"cell leading edge"	GO:0031252	2	isogroup225612	0.469281094623097
"cell leading edge"	GO:0031252	2	isogroup207120	1.12348391664612
"cell leading edge"	GO:0031252	2	isogroup204456	0.247783404983835
"cell leading edge"	GO:0031252	2	isogroup210144	0.652740659409452
"cell leading edge"	GO:0031252	2	isogroup250094	4.35574486634594
"cell leading edge"	GO:0031252	2	isogroup263294	-0.448333483995069
"cell leading edge"	GO:0031252	2	isogroup253705	-2.89586409205647
"cell leading edge"	GO:0031252	2	isogroup261346	-0.656360075914465
"cell leading edge"	GO:0031252	2	isogroup263256	3.559024596351
"cell leading edge"	GO:0031252	2	isogroup190063	3.20801498884997
"cell leading edge"	GO:0031252	2	isogroup255265	1.12097651770033
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup253641	-0.364531375709062
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup254205	-0.350368553315941
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup250576	-0.787515062264904
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup227136	0.215806431983943
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup255552	-0.364695162921936
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup252704	-1.39880825797361
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup259850	-2.62062861864188
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup243906	-5.37673659859287
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup256468	2.39104420518595
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup237582	0.528592070868172
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup263354	-0.337774548201992
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup262652	-0.743614604907497
"DNA helicase complex"	GO:0031011;GO:0033202	2	isogroup242402	-0.660305888773044
"heterochromatin"	GO:0000792	3	isogroup238007	1.58147642392826
"heterochromatin"	GO:0000792	3	isogroup255354	-5.42533923314211
"heterochromatin"	GO:0000792	3	isogroup223555	-2.5332433351771
"heterochromatin"	GO:0000792	3	isogroup257850	-0.0985986930481171
"heterochromatin"	GO:0000792	3	isogroup262145	0.635323834923549
"heterochromatin"	GO:0000792	3	isogroup244824	2.16086598361569
"heterochromatin"	GO:0000792	3	isogroup257968	-0.482282507478519
"heterochromatin"	GO:0000792	3	isogroup245830	-3.08096402139071
"heterochromatin"	GO:0000792	3	isogroup204440	-4.52935173153306
"heterochromatin"	GO:0000792	3	isogroup200748	0.524705649297066
"heterochromatin"	GO:0000792	3	isogroup252436	-0.762574086674995
"heterochromatin"	GO:0000792	3	isogroup261015	-1.82220812841258
"heterochromatin"	GO:0000792	3	isogroup243826	-1.38286426106943
"heterochromatin"	GO:0000792	3	isogroup232089	-1.4240597358205
"heterochromatin"	GO:0000792	3	isogroup257289	2.64446411938664
"heterochromatin"	GO:0000792	3	isogroup251416	-1.13110243003414
"heterochromatin"	GO:0000792	3	isogroup257388	-0.76178719295181
"heterochromatin"	GO:0000792	3	isogroup215297	2.91339712143437
"heterochromatin"	GO:0000792	3	isogroup262071	2.6491984415397
"heterochromatin"	GO:0000792	3	isogroup249241	0.0169425796128731
"heterochromatin"	GO:0000792	3	isogroup249639	-0.462259403297446
"heterochromatin"	GO:0000792	3	isogroup232369	-0.223833341719771
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup252955	0.320592921250463
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup261828	0.477633462481451
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup262987	0.347697328869817
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup230540	3.1510769368692
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup262330	-1.18879952598596
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup242325	-1.07576333733215
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup257055	-0.504603085027897
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup261462	-2.7758511141644
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup255241	0.345410680697251
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup259536	1.69049154911599
"extrinsic component of plasma membrane"	GO:0019897	2	isogroup257384	-0.523495847669928
