name	term	lev	seq	value
"calcium-dependent cysteine-type endopeptidase activity"	GO:0004198	3	isogroup248546	1.75951139978518
"calcium-dependent cysteine-type endopeptidase activity"	GO:0004198	3	isogroup259804	0.5237190445708
"calcium-dependent cysteine-type endopeptidase activity"	GO:0004198	3	isogroup198136	-0.166440339633503
"calcium-dependent cysteine-type endopeptidase activity"	GO:0004198	3	isogroup248125	-0.800719684347793
"calcium-dependent cysteine-type endopeptidase activity"	GO:0004198	3	isogroup233689	-0.0264256366737479
"calcium-dependent cysteine-type endopeptidase activity"	GO:0004198	3	isogroup241167	-2.74723874907603
"calcium-dependent cysteine-type endopeptidase activity"	GO:0004198	3	isogroup260864	-2.4960057301823
"calcium-dependent cysteine-type endopeptidase activity"	GO:0004198	3	isogroup251700	-0.703474688036453
"calcium-dependent cysteine-type endopeptidase activity"	GO:0004198	3	isogroup258359	0.0827621216061413
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup251802	0.54922534112763
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup260955	-1.36221455532198
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup227806	2.2953088529507
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup250757	-0.641978012970586
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup182230	0.988004441794236
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup246328	-0.814823183561416
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup228285	0.779946185830793
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup252429	-0.543395341183419
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup263087	4.07373810445049
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup258277	-0.204569426568397
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup212173	1.8710264763093
"carbon-sulfur lyase activity"	GO:0016846	2	isogroup237988	0.502707567763011
"galactosyltransferase activity"	GO:0008378	2	isogroup246604	-1.79343970330348
"galactosyltransferase activity"	GO:0008378	2	isogroup258682	-0.156063653176102
"galactosyltransferase activity"	GO:0008378	2	isogroup233679	0.861054633781696
"galactosyltransferase activity"	GO:0008378	2	isogroup202975	0.188880418058049
"galactosyltransferase activity"	GO:0008378	2	isogroup249782	0.0593057773436946
"galactosyltransferase activity"	GO:0008378	2	isogroup254550	0.322967203285897
"galactosyltransferase activity"	GO:0008378	2	isogroup189444	0.837460630117827
"galactosyltransferase activity"	GO:0008378	2	isogroup262886	1.48779454222021
"galactosyltransferase activity"	GO:0008378	2	isogroup246037	-0.623768789445251
"galactosyltransferase activity"	GO:0008378	2	isogroup249270	-0.101285862295565
"galactosyltransferase activity"	GO:0008378	2	isogroup176138	-0.694696635549467
"transmitter-gated ion channel activity"	GO:0022824;GO:0022835	2	isogroup233632	1.06368951960956
"transmitter-gated ion channel activity"	GO:0022824;GO:0022835	2	isogroup261181	-0.966847337191429
"transmitter-gated ion channel activity"	GO:0022824;GO:0022835	2	isogroup237792	1.55835846850569
"transmitter-gated ion channel activity"	GO:0022824;GO:0022835	2	isogroup254257	1.31636732990455
"transmitter-gated ion channel activity"	GO:0022824;GO:0022835	2	isogroup259068	0.73968290082639
"transmitter-gated ion channel activity"	GO:0022824;GO:0022835	2	isogroup233568	-0.151822485024658
"telomeric DNA binding"	GO:0042162	2	isogroup262837	-0.332739099216384
"telomeric DNA binding"	GO:0042162	2	isogroup227619	-0.435152003685897
"telomeric DNA binding"	GO:0042162	2	isogroup262762	1.4482380482633
"telomeric DNA binding"	GO:0042162	2	isogroup253360	0.0491529898056965
"telomeric DNA binding"	GO:0042162	2	isogroup249461	-1.34185372066213
"telomeric DNA binding"	GO:0042162	2	isogroup254729	-1.85774430067711
"telomeric DNA binding"	GO:0042162	2	isogroup262935	0.514157592300323
"protein complex scaffold"	GO:0032947	2	isogroup260786	1.13434476624933
"protein complex scaffold"	GO:0032947	2	isogroup262486	2.73303670626925
"protein complex scaffold"	GO:0032947	2	isogroup257604	0.302091783889539
"protein complex scaffold"	GO:0032947	2	isogroup263331	-0.5542280076588
"protein complex scaffold"	GO:0032947	2	isogroup248402	-0.541367478651764
"protein complex scaffold"	GO:0032947	2	isogroup261834	1.069822666916
"protein complex scaffold"	GO:0032947	2	isogroup241332	-0.338864869557601
"protein complex scaffold"	GO:0032947	2	isogroup262719	1.03467524566291
"protein complex scaffold"	GO:0032947	2	isogroup210716	-0.886426109674475
"protein complex scaffold"	GO:0032947	2	isogroup250447	1.61146079252898
"protein complex scaffold"	GO:0032947	2	isogroup233688	-0.449368575047349
"protein complex scaffold"	GO:0032947	2	isogroup256382	-0.728200357058233
"protein complex scaffold"	GO:0032947	2	isogroup252106	-0.0534839667468147
"protein complex scaffold"	GO:0032947	2	isogroup256697	-0.265061071508167
"protein complex scaffold"	GO:0032947	2	isogroup260739	2.18625276798255
"protein complex scaffold"	GO:0032947	2	isogroup250608	0.432281416645568
"protein complex scaffold"	GO:0032947	2	isogroup255984	-0.511992452315175
"protein complex scaffold"	GO:0032947	2	isogroup247374	-0.358485541832416
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup249307	-1.03565954851522
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup227560	0.168363707127647
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup250121	-2.27801590450738
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup255557	0.746742677261536
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup248929	-0.0491687971923488
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup219640	-0.377279546641585
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup226807	-0.0520281802343095
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup258545	0.567807741809581
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup249842	-0.549805440705157
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup260246	-0.427275738566445
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup171331	0.107389987125189
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup232424	-1.40565022356619
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup256044	0.242873479109461
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup233729	-0.61855258786915
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup239570	-2.38334782364212
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup253724	-0.777565519076428
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup220357	0.352402548026756
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup258940	-0.66624755122298
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup245267	0.641388749948958
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup243206	-2.49234090320413
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup262013	1.37982952371031
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup241476	0.772651621304226
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup263190	-0.471734095845886
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup240182	0.00367179889603931
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup251647	-2.05749557870414
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup255834	-0.678375717543054
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup247994	-0.380524371226493
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup229823	0.574929009349167
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup247170	0.598333157003385
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup252985	-0.61655491481692
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup237158	-0.228860932221665
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup259675	-3.48615266290173
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup246189	1.86190821319046
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup221880	-1.44807743379003
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup236740	0.695751039755376
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup253641	-0.750094617107724
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup256347	-0.135030309276192
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup248624	1.09023949492657
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup226336	-0.793130748851467
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup236579	0.0459162916065325
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup261137	-0.0056024811201543
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup230455	1.65833222227989
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup230439	-0.625465322537025
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup260272	-0.97402824714514
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup252410	-1.97972501957722
"RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity"	GO:0001077;GO:0000982;GO:0001228	5	isogroup253243	-0.70052661846084
"Hsp90 protein binding"	GO:0051879	4	isogroup225612	-0.799503092331011
"Hsp90 protein binding"	GO:0051879	4	isogroup243245	-0.099189211772387
"Hsp90 protein binding"	GO:0051879	4	isogroup235641	0.804608092037577
"Hsp90 protein binding"	GO:0051879	4	isogroup263081	-1.51784919686232
"Hsp90 protein binding"	GO:0051879	4	isogroup225267	-0.463070275837887
"Hsp90 protein binding"	GO:0051879	4	isogroup249965	2.27778962208333
"Hsp90 protein binding"	GO:0051879	4	isogroup245617	-1.97375365999586
"Hsp90 protein binding"	GO:0051879	4	isogroup255265	-0.411012024400822
"Hsp90 protein binding"	GO:0051879	4	isogroup263829	-1.3353619391234
"Hsp90 protein binding"	GO:0051879	4	isogroup251716	3.15208850779966
"Hsp90 protein binding"	GO:0051879	4	isogroup259675	-3.48615266290173
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup241389	-0.404381364431374
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup246604	-1.79343970330348
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup227950	-0.24363905739785
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup258682	-0.156063653176102
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup214707	-0.281537062500199
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup233679	0.861054633781696
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup227569	-0.635087937468603
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup250420	1.07096724527659
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup253246	0.0314805155170953
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup216034	0.240397366309702
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup257140	2.04358669489132
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup111690	-0.895992645541509
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup260741	0.354849117996079
"transferase activity, transferring hexosyl groups"	GO:0016758	4	isogroup202975	0.188880418058049
