"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
603 0.35457429099846 2 7 "GO:0000002" "mitochondrial genome maintenance" 0.926753916468178
-856 0.224220211697523 1 6 "GO:0000003" "reproduction" 0.849384566073624
1520 0.0487516861926862 6 5 "GO:0000012" "single strand break repair" 0.726129281569954
1379 0.00279548003995939 3 14 "GO:0000018" "regulation of DNA recombination" 0.592031827234674
448 0.389065816877692 4 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.932992356931209
-497 0.176892833719631 2 22 "GO:0000041" "transition metal ion transport" 0.841518423566332
988 0.0700191541582436 2 10 "GO:0000042;GO:0000301;GO:0072600" "establishment of protein localization to Golgi" 0.741784952885862
13 0.971676708984137 2 22 "GO:0000045" "autophagic vacuole assembly" 0.99810929378792
-364 0.636611525809663 3 5 "GO:0000060" "protein import into nucleus, translocation" 0.955836612131415
32 0.966870715321298 4 5 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.996992456837077
388 0.103143379564717 3 53 "GO:0000075" "cell cycle checkpoint" 0.768735274044567
-978 0.108785888868055 2 8 "GO:0000076" "DNA replication checkpoint" 0.782599003034616
569 0.0424204198498963 5 38 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.70287964675077
-72 0.826145838347822 7 28 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.989370771765409
-21 0.949849824119776 2 27 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.996435022243456
-1407 0.02108161185713 5 8 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.602272330091246
111 0.678446143107054 2 42 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.961438301987318
137 0.63387066496501 2 36 "GO:0000096" "sulfur amino acid metabolic process" 0.955836612131415
-42 0.918455910138905 3 18 "GO:0000097" "sulfur amino acid biosynthetic process" 0.993295802776282
265 0.6446391111861 2 9 "GO:0000098" "sulfur amino acid catabolic process" 0.955836612131415
637 0.408954609048906 2 5 "GO:0000105" "histidine biosynthetic process" 0.934491387054543
-90 0.516325738081663 6 160 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.939143110958174
665 0.164453457906094 2 13 "GO:0000132;GO:0040001;GO:0051294;GO:0051293" "establishment of spindle localization" 0.841518423566332
44 0.843727093268459 5 61 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.989370771765409
-370 0.284754614023801 7 25 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.882719326370138
-1005 0.0198931039538635 2 16 "GO:0000186" "activation of MAPKK activity" 0.602272330091246
57 0.857774503483879 5 30 "GO:0000187" "activation of MAPK activity" 0.989370771765409
49 0.949703789125196 3 5 "GO:0000188" "inactivation of MAPK activity" 0.996435022243456
-50 0.799579433567857 4 77 "GO:0000209" "protein polyubiquitination" 0.985621897010942
152 0.341402966416039 4 118 "GO:0000226" "microtubule cytoskeleton organization" 0.922952607300687
-628 0.372321272147969 2 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.928721000225602
811 0.158428561434987 2 9 "GO:0000245" "spliceosomal complex assembly" 0.836568337940971
290 0.61344823944397 3 9 "GO:0000266" "mitochondrial fission" 0.955836612131415
-601 0.270277588443077 5 10 "GO:0000272" "polysaccharide catabolic process" 0.875607938732481
-353 0.0821943957190256 4 73 "GO:0000278" "mitotic cell cycle" 0.741784952885862
-169 0.624282825165576 2 25 "GO:0000281" "mitotic cytokinesis" 0.955836612131415
1354 0.00925471519882738 2 11 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.602272330091246
1250 0.104940944850857 3 5 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.768735274044567
-29 0.898903495581782 2 58 "GO:0000302" "response to reactive oxygen species" 0.9910765864855
-956 0.0660342747748851 6 11 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.741784952885862
413 0.273035522857275 2 21 "GO:0000387" "spliceosomal snRNP assembly" 0.875607938732481
159 0.503033389697112 3 53 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.938791039159193
-676 0.0879901947590045 6 19 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.741784952885862
303 0.455855679998437 3 18 "GO:0000422" "mitochondrion degradation" 0.938791039159193
387 0.418782684882934 2 13 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.934875412861476
259 0.652992034971998 4 9 "GO:0000469" "cleavage involved in rRNA processing" 0.955836612131415
292 0.70488678957824 3 5 "GO:0000479;GO:0000478" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.965477155971053
-403 0.399583743674534 5 13 "GO:0000578" "embryonic axis specification" 0.934491387054543
-182 0.528363953568629 3 36 "GO:0000723;GO:0032200" "telomere organization" 0.94024802078026
102 0.735841062360088 5 33 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.972480439952253
-410 0.529433246831499 3 7 "GO:0000729" "DNA double-strand break processing" 0.94024802078026
-460 0.480666350167131 3 7 "GO:0000731" "DNA synthesis involved in DNA repair" 0.938791039159193
-404 0.224562606314516 2 27 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.849384566073624
-659 0.186032205392635 2 12 "GO:0000738" "DNA catabolic process, exonucleolytic" 0.841518423566332
37 0.844358333237985 4 87 "GO:0000902;GO:0000904" "cell morphogenesis" 0.989370771765409
112 0.625422167633766 4 57 "GO:0000910" "cytokinesis" 0.955836612131415
180 0.458473729908644 5 51 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.938791039159193
-861 0.186668703524054 3 7 "GO:0000959" "mitochondrial RNA metabolic process" 0.841518423566332
115 0.568033990847161 2 74 "GO:0001101" "response to acid" 0.945136816551732
-203 0.475478024364742 2 37 "GO:0001501" "skeletal system development" 0.938791039159193
-292 0.219230994669349 3 53 "GO:0001503" "ossification" 0.846913972202485
1 0.999585764897079 2 5 "GO:0001504" "neurotransmitter uptake" 0.999905456274945
276 0.358985936204309 2 33 "GO:0001505" "regulation of neurotransmitter levels" 0.926753916468178
510 0.118356192112131 2 28 "GO:0001508" "action potential" 0.795227851486665
-381 0.376833215874016 2 16 "GO:0001510" "RNA methylation" 0.928721000225602
973 0.0904640449935722 2 9 "GO:0001522" "pseudouridine synthesis" 0.741784952885862
-116 0.782607466769179 4 17 "GO:0001523" "retinoid metabolic process" 0.981324574634826
65 0.742889688778239 2 77 "GO:0001525" "angiogenesis" 0.973454181629745
-259 0.560475294448364 2 15 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.945136816551732
-193 0.686430653944104 3 13 "GO:0001541" "ovarian follicle development" 0.963325410020121
-253 0.173603080734981 2 87 "GO:0001558" "regulation of cell growth" 0.841518423566332
-871 0.258490384284038 2 5 "GO:0001561" "fatty acid alpha-oxidation" 0.875607938732481
-167 0.64186010684269 2 23 "GO:0001568" "blood vessel development" 0.955836612131415
313 0.607900184507108 2 8 "GO:0001569" "patterning of blood vessels" 0.955836612131415
-280 0.54368358956341 2 14 "GO:0001570" "vasculogenesis" 0.940871286071167
163 0.665283197876443 5 21 "GO:0001578" "microtubule bundle formation" 0.958692023162033
-138 0.683468374903654 5 26 "GO:0001649" "osteoblast differentiation" 0.963325410020121
-171 0.526007346003921 2 41 "GO:0001654;GO:0007423" "sensory organ development" 0.94017517096401
7 0.988391474808333 4 15 "GO:0001656" "metanephros development" 0.999818828450771
-182 0.654596645276668 4 18 "GO:0001657" "ureteric bud development" 0.955836612131415
-772 0.106490507890627 2 13 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.775818075148834
-872 0.215315439581549 4 6 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.846423304278787
49 0.835040082973985 3 54 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.989370771765409
-44 0.850749458357906 2 55 "GO:0001667" "ameboidal cell migration" 0.989370771765409
445 0.197555779794319 4 25 "GO:0001676" "long-chain fatty acid metabolic process" 0.843576506511032
-291 0.178485463294383 5 64 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 0.841518423566332
30 0.959094488533469 2 9 "GO:0001702" "gastrulation with mouth forming second" 0.996509011048573
-215 0.578290637141991 3 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 0.947815426492631
-489 0.526483292485416 2 5 "GO:0001706" "endoderm formation" 0.94017517096401
-455 0.263062017120444 2 18 "GO:0001708" "cell fate specification" 0.875607938732481
-942 0.00889853532164451 2 23 "GO:0001709" "cell fate determination" 0.602272330091246
6 0.991661034318985 2 9 "GO:0001731" "formation of translation preinitiation complex" 0.999818828450771
-60 0.864638462605876 3 24 "GO:0001736;GO:0007164" "establishment of tissue polarity" 0.989370771765409
-193 0.751213272398408 3 8 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.974831937705775
-475 0.271451396225718 4 16 "GO:0001755" "neural crest cell migration" 0.875607938732481
180 0.686256795114433 2 15 "GO:0001756;GO:0035282" "segmentation" 0.963325410020121
47 0.844938414491329 2 51 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 0.989370771765409
-77 0.785162811532722 2 37 "GO:0001764" "neuron migration" 0.981813934062527
-24 0.891425265735794 3 96 "GO:0001775" "cell activation" 0.9910765864855
-1713 0.00860420837751252 5 7 "GO:0001778" "plasma membrane repair" 0.602272330091246
-1914 0.00656088671382564 6 6 "GO:0001782" "B cell homeostasis" 0.602272330091246
-230 0.658018431585813 3 11 "GO:0001816" "cytokine production" 0.956787447035191
-287 0.125539039679451 2 86 "GO:0001817" "regulation of cytokine production" 0.795674149835953
-354 0.29556431392651 5 26 "GO:0001818" "negative regulation of cytokine production" 0.891006056684701
-220 0.384223325855607 5 47 "GO:0001819" "positive regulation of cytokine production" 0.931887306924909
-34 0.891364528773487 3 49 "GO:0001822" "kidney development" 0.9910765864855
250 0.701146010278598 3 7 "GO:0001824" "blastocyst development" 0.964826569660114
-885 0.208977813940789 3 6 "GO:0001833" "inner cell mass cell proliferation" 0.845877867797049
-459 0.514052308611977 2 6 "GO:0001836" "release of cytochrome c from mitochondria" 0.938929607582811
347 0.306004453587727 2 26 "GO:0001837" "epithelial to mesenchymal transition" 0.899559144812167
281 0.515099614499808 2 16 "GO:0001838;GO:0072175" "embryonic epithelial tube formation" 0.939143110958174
258 0.405899325500152 3 31 "GO:0001843;GO:0060606" "neural tube closure" 0.934491387054543
40 0.943988682596871 2 9 "GO:0001885" "endothelial cell development" 0.996435022243456
-487 0.185795538144754 2 22 "GO:0001889" "liver development" 0.841518423566332
-578 0.453605798992416 2 5 "GO:0001890" "placenta development" 0.938791039159193
-716 0.352998297414758 3 5 "GO:0001892" "embryonic placenta development" 0.926016081574331
55 0.858101475140967 2 32 "GO:0001894" "tissue homeostasis" 0.989370771765409
-187 0.774274512708254 2 7 "GO:0001919" "regulation of receptor recycling" 0.978309179142292
236 0.234826180289104 5 76 "GO:0001933;GO:0006469;GO:0033673;GO:0051348" "negative regulation of protein phosphorylation" 0.856355943860855
-246 0.0678741504669237 3 168 "GO:0001934" "positive regulation of protein phosphorylation" 0.741784952885862
156 0.797734666955711 4 8 "GO:0001935" "endothelial cell proliferation" 0.985621897010942
-58 0.878328440740595 3 21 "GO:0001938;GO:0001936" "regulation of endothelial cell proliferation" 0.9910765864855
264 0.68608003876992 3 7 "GO:0001942" "hair follicle development" 0.963325410020121
-845 0.141774565971792 2 9 "GO:0001944" "vasculature development" 0.815650129804799
-48 0.885739828422696 5 27 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.9910765864855
450 0.211313119595012 3 23 "GO:0001952" "regulation of cell-matrix adhesion" 0.845877867797049
-156 0.798368696800965 2 8 "GO:0001953" "negative regulation of cell-matrix adhesion" 0.985621897010942
425 0.486319737846284 2 8 "GO:0001954" "positive regulation of cell-matrix adhesion" 0.938791039159193
-417 0.333558078643041 4 16 "GO:0001958;GO:0036075" "replacement ossification" 0.922952607300687
-309 0.50337042007619 5 14 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 0.938791039159193
-220 0.718430433675577 2 8 "GO:0001960;GO:0060761" "negative regulation of response to cytokine stimulus" 0.967447679407298
-552 0.396761905832934 2 7 "GO:0001964" "startle response" 0.934491387054543
-783 0.266113777742191 2 6 "GO:0001967" "suckling behavior" 0.875607938732481
-785 0.228511061781652 4 7 "GO:0001974" "blood vessel remodeling" 0.851047196486685
37 0.828427254985884 3 103 "GO:0002009;GO:0048729" "tissue morphogenesis" 0.989370771765409
554 0.266355917405612 5 12 "GO:0002011" "morphogenesis of an epithelial sheet" 0.875607938732481
816 0.0585242989503893 3 16 "GO:0002027" "regulation of heart rate" 0.741784952885862
23 0.947912013830331 2 24 "GO:0002028" "regulation of sodium ion transport" 0.996435022243456
-425 0.374911839775916 2 13 "GO:0002040" "sprouting angiogenesis" 0.928721000225602
-102 0.819417390470521 5 15 "GO:0002053;GO:0010464;GO:2000648" "positive regulation of stem cell proliferation" 0.987228316401501
-501 0.277050886365875 2 14 "GO:0002062" "chondrocyte differentiation" 0.877417516099208
-19 0.948482068731257 4 34 "GO:0002064" "epithelial cell development" 0.996435022243456
342 0.530415180027101 5 10 "GO:0002066" "columnar/cuboidal epithelial cell development" 0.940366599018855
738 0.155795907108235 2 11 "GO:0002088" "lens development in camera-type eye" 0.836568337940971
582 0.450639527934421 2 5 "GO:0002089" "lens morphogenesis in camera-type eye" 0.938791039159193
-112 0.863587218643885 2 7 "GO:0002092;GO:0002090" "regulation of receptor internalization" 0.989370771765409
100 0.887396662033606 2 6 "GO:0002097;GO:0002098" "tRNA wobble base modification" 0.9910765864855
-308 0.662195733633483 3 6 "GO:0002164" "larval development" 0.957576462713791
57 0.864220798325814 3 27 "GO:0002221;GO:0002758;GO:0002218" "activation of innate immune response" 0.989370771765409
29 0.934199923878776 2 25 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.996435022243456
