"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-642 0.32473293641024 3 7 "GO:0000002" "mitochondrial genome maintenance" 0.890146243725813
958 0.173622749544634 1 6 "GO:0000003" "reproduction" 0.830176590235457
926 0.230017612968007 2 5 "GO:0000012" "single strand break repair" 0.851973958348053
-429 0.352766646472295 2 14 "GO:0000018" "regulation of DNA recombination" 0.890146243725813
-456 0.380923395340942 2 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.899857176712667
567 0.123320279149835 6 22 "GO:0000041" "transition metal ion transport" 0.81609951773287
-518 0.342106911149438 3 10 "GO:0000042;GO:0000301;GO:0072600" "establishment of protein localization to Golgi" 0.890146243725813
33 0.929442149415569 2 22 "GO:0000045" "autophagic vacuole assembly" 0.987256102449739
317 0.68132121109667 3 5 "GO:0000060" "protein import into nucleus, translocation" 0.954692718636131
466 0.545982662586322 4 5 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.924665909978296
184 0.437964606946161 4 53 "GO:0000075" "cell cycle checkpoint" 0.902518945351464
1058 0.0826961008156631 2 8 "GO:0000076" "DNA replication checkpoint" 0.772502600302414
199 0.479105128438981 3 38 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.915524482783256
626 0.0551634680475725 2 28 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.752999620622181
319 0.336607979284112 6 27 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.890146243725813
156 0.798210176854986 3 8 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.969966869750724
-172 0.518730564710242 2 42 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.922727038168612
-176 0.54189967851582 2 36 "GO:0000096" "sulfur amino acid metabolic process" 0.924665909978296
-124 0.760094819247296 2 18 "GO:0000097" "sulfur amino acid biosynthetic process" 0.969966869750724
-532 0.354483149122749 4 9 "GO:0000098" "sulfur amino acid catabolic process" 0.890146243725813
-867 0.261014731744225 7 5 "GO:0000105" "histidine biosynthetic process" 0.868422751016466
-53 0.698609257179017 8 160 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.960398874820633
-81 0.866439309952739 3 13 "GO:0000132;GO:0040001;GO:0051294;GO:0051293" "establishment of spindle localization" 0.976125545836163
195 0.379839589353608 5 61 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.899857176712667
-66 0.848664607347102 2 25 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.973585713434994
-16 0.970512929095973 3 16 "GO:0000186" "activation of MAPKK activity" 0.996661119002855
35 0.91201425338176 3 30 "GO:0000187" "activation of MAPK activity" 0.984011425087938
139 0.856830358818589 8 5 "GO:0000188" "inactivation of MAPK activity" 0.97542577888964
-108 0.584574475983946 2 77 "GO:0000209" "protein polyubiquitination" 0.931220540768247
32 0.841555929017315 4 118 "GO:0000226" "microtubule cytoskeleton organization" 0.973291165108488
-536 0.446750565111801 2 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.903953407596029
