"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
48 0.941926257875915 4 7 "GO:0000002" "mitochondrial genome maintenance" 0.995662387133529
309 0.661164795483077 1 6 "GO:0000003" "reproduction" 0.984614550221766
2170 0.00489864715380647 6 5 "GO:0000012" "single strand break repair" 0.517773190679477
906 0.0495883629415596 2 14 "GO:0000018" "regulation of DNA recombination" 0.71226939444743
-281 0.589676143585112 4 11 "GO:0000038" "very long-chain fatty acid metabolic process" 0.976106922062767
-88 0.811205090358655 6 22 "GO:0000041" "transition metal ion transport" 0.993492450577446
465 0.393629469957758 4 10 "GO:0000042;GO:0000301;GO:0072600" "establishment of protein localization to Golgi" 0.928786800093388
104 0.777659443971518 3 22 "GO:0000045" "autophagic vacuole assembly" 0.9926014966849
23 0.976599071453699 3 5 "GO:0000060" "protein import into nucleus, translocation" 0.998514592151697
522 0.498410128518509 2 5 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.946343877165809
494 0.0377518328248224 4 53 "GO:0000075" "cell cycle checkpoint" 0.668461088932783
98 0.872227865887864 2 8 "GO:0000076" "DNA replication checkpoint" 0.995662387133529
682 0.0150514402935761 4 38 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.631886102944175
537 0.100101877126241 2 28 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.755315946792755
291 0.381485063204074 6 27 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.928089911441569
-875 0.151186662036875 3 8 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.804036795407795
-45 0.866188262587443 6 42 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.995662387133529
1 0.996710954907774 5 36 "GO:0000096" "sulfur amino acid metabolic process" 0.999069781241524
24 0.952873250658028 3 18 "GO:0000097" "sulfur amino acid biosynthetic process" 0.995715203876054
-284 0.621491082579327 6 9 "GO:0000098" "sulfur amino acid catabolic process" 0.977272698778241
-62 0.936482147794317 7 5 "GO:0000105" "histidine biosynthetic process" 0.995662387133529
-174 0.207323888838979 3 160 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.841745965800012
456 0.340244931978288 2 13 "GO:0000132;GO:0040001;GO:0051294;GO:0051293" "establishment of spindle localization" 0.909450152014272
204 0.358389114698659 2 61 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.917918904608696
-525 0.128289299315353 2 25 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.796145350648016
-996 0.0209897477259005 2 16 "GO:0000186" "activation of MAPKK activity" 0.631886102944175
9 0.976659349960305 2 30 "GO:0000187" "activation of MAPK activity" 0.998514592151697
3 0.997307476820383 2 5 "GO:0000188" "inactivation of MAPK activity" 0.999069781241524
-218 0.269501427069354 2 77 "GO:0000209" "protein polyubiquitination" 0.8608963352815
173 0.279610249407431 2 118 "GO:0000226" "microtubule cytoskeleton organization" 0.868290100767152
-1418 0.0440566600168614 7 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.678827043133364
-133 0.817240978976042 2 9 "GO:0000245" "spliceosomal complex assembly" 0.993492450577446
-154 0.789545227208628 4 9 "GO:0000266" "mitochondrial fission" 0.9926014966849
-53 0.922687857119881 2 10 "GO:0000272" "polysaccharide catabolic process" 0.995662387133529
-105 0.604421557115801 4 73 "GO:0000278" "mitotic cell cycle" 0.977272698778241
-390 0.258650765963462 5 25 "GO:0000281" "mitotic cytokinesis" 0.855789190375048
360 0.488502697320124 2 11 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.94237126347289
-1267 0.100295590100045 3 5 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.755315946792755
-4 0.984516232494388 2 58 "GO:0000302" "response to reactive oxygen species" 0.99876051486491
-122 0.8139500780033 2 11 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.993492450577446
-446 0.236114030108326 2 21 "GO:0000387" "spliceosomal snRNP assembly" 0.848126004279073
-129 0.586523344511611 3 53 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.976106922062767
-356 0.368168140439861 7 19 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.917918904608696
-170 0.676392431476165 5 18 "GO:0000422" "mitochondrion degradation" 0.985547885210651
345 0.470575028625139 5 13 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.941062784259025
749 0.192919751970827 4 9 "GO:0000469" "cleavage involved in rRNA processing" 0.8242653453249
719 0.350983645377745 7 5 "GO:0000479;GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.917918904608696
-89 0.853278552939998 2 13 "GO:0000578" "embryonic axis specification" 0.995662387133529
62 0.828719832046351 3 36 "GO:0000723;GO:0032200" "telomere organization" 0.995662387133529
468 0.11988271547784 7 33 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.79008186981653
-144 0.824952146048896 7 7 "GO:0000729" "DNA double-strand break processing" 0.995076222782286
-425 0.514317033170042 4 7 "GO:0000731" "DNA synthesis involved in DNA repair" 0.949743100710154
-173 0.602864463864408 3 27 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.977272698778241
-193 0.698850558092634 3 12 "GO:0000738" "DNA catabolic process, exonucleolytic" 0.98767863692679
264 0.155773110460462 2 87 "GO:0000902;GO:0000904" "cell morphogenesis" 0.811158931859193
26 0.908461370453078 4 57 "GO:0000910" "cytokinesis" 0.995662387133529
-176 0.468825801231791 3 51 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.941062784259025
-912 0.161863084717155 3 7 "GO:0000959" "mitochondrial RNA metabolic process" 0.811158931859193
-126 0.53096462920731 2 74 "GO:0001101" "response to acid" 0.958416968071061
63 0.825222117797153 3 37 "GO:0001501" "skeletal system development" 0.995076222782286
-238 0.316486123417842 3 53 "GO:0001503" "ossification" 0.896267315854055
440 0.568471082652044 2 5 "GO:0001504" "neurotransmitter uptake" 0.974297747515878
-21 0.944286253424607 3 33 "GO:0001505" "regulation of neurotransmitter levels" 0.995662387133529
2 0.994870031676754 2 28 "GO:0001508" "action potential" 0.99876051486491
-482 0.263803573038679 2 16 "GO:0001510" "RNA methylation" 0.855789190375048
1111 0.0533374243075158 6 9 "GO:0001522" "pseudouridine synthesis" 0.71226939444743
-138 0.7423311180718 7 17 "GO:0001523" "retinoid metabolic process" 0.9926014966849
-215 0.276195890993734 3 77 "GO:0001525" "angiogenesis" 0.86586142167728
350 0.432318329107157 4 15 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.937739029398291
-627 0.190351531938049 2 13 "GO:0001541" "ovarian follicle development" 0.819204853662158
85 0.647447336628174 2 87 "GO:0001558" "regulation of cell growth" 0.984614550221766
-227 0.7682787413657 3 5 "GO:0001561" "fatty acid alpha-oxidation" 0.9926014966849
229 0.524610645744939 2 23 "GO:0001568" "blood vessel development" 0.954015665576107
148 0.808053896110026 2 8 "GO:0001569" "patterning of blood vessels" 0.993492450577446
-948 0.0397501390463114 2 14 "GO:0001570" "vasculogenesis" 0.668461088932783
-210 0.57679706332552 2 21 "GO:0001578" "microtubule bundle formation" 0.975991880687674
-366 0.279747012296731 2 26 "GO:0001649" "osteoblast differentiation" 0.868290100767152
-14 0.959318303473274 2 41 "GO:0001654;GO:0007423" "sensory organ development" 0.995715203876054
567 0.20311788318251 2 15 "GO:0001656" "metanephros development" 0.837429770435697
365 0.370067820991111 2 18 "GO:0001657" "ureteric bud development" 0.918659100071453
-337 0.481843862769933 2 13 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.94237126347289
-375 0.594456607188656 3 6 "GO:0001662;GO:0002209;GO:0042596" "behavioral fear response" 0.976106922062767
-124 0.597966705094657 2 54 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.977272698778241
363 0.119747045777519 2 55 "GO:0001667" "ameboidal cell migration" 0.79008186981653
446 0.196304735109129 2 25 "GO:0001676" "long-chain fatty acid metabolic process" 0.824910650199961
70 0.745435286251424 3 64 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 0.9926014966849
797 0.165809213245861 2 9 "GO:0001702" "gastrulation with mouth forming second" 0.811158931859193
269 0.485874971412619 2 20 "GO:0001704;GO:0001707" "formation of primary germ layer" 0.94237126347289
-310 0.687996486629417 4 5 "GO:0001706" "endoderm formation" 0.98767863692679
59 0.885488383426448 4 18 "GO:0001708" "cell fate specification" 0.995662387133529
-262 0.466085983290164 2 23 "GO:0001709" "cell fate determination" 0.941062784259025
