"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
63 0.91361989708945 2 6 "GO:0000002" "mitochondrial genome maintenance" 0.971483727579375
-55 0.88841893834227 6 13 "GO:0000018" "regulation of DNA recombination" 0.968195332805658
-198 0.673426120150187 2 9 "GO:0000038" "very long-chain fatty acid metabolic process" 0.927609677809016
-719 0.0170068379036114 2 22 "GO:0000041" "transition metal ion transport" 0.389487147903843
-268 0.547856955581948 2 10 "GO:0000042;GO:0000301;GO:0072600" "establishment of protein localization to Golgi" 0.878852790687283
-368 0.2561893759487 3 19 "GO:0000045" "autophagic vacuole assembly" 0.727327322120738
391 0.536034389660669 3 5 "GO:0000060" "protein import into nucleus, translocation" 0.87404607296131
1395 0.0270465769530025 2 5 "GO:0000070;GO:0000819" "mitotic sister chromatid segregation" 0.427730321967026
33 0.882640195550529 2 41 "GO:0000075" "cell cycle checkpoint" 0.968195332805658
245 0.697889581269323 2 5 "GO:0000076" "DNA replication checkpoint" 0.931676650602973
239 0.346840514105323 2 31 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.781126474790465
-207 0.482439303164215 2 23 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.848290656417009
318 0.32694744974058 5 19 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.771216242773003
167 0.504640429011006 5 32 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.858366487659705
-50 0.840062281586437 2 33 "GO:0000096" "sulfur amino acid metabolic process" 0.956024630567055
-59 0.868075794396012 2 16 "GO:0000097" "sulfur amino acid biosynthetic process" 0.965508772265878
115 0.81852403616549 6 8 "GO:0000098" "sulfur amino acid catabolic process" 0.956024630567055
-1230 0.0512830980498499 2 5 "GO:0000105" "histidine biosynthetic process" 0.490492961282041
72 0.550382250876142 5 141 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.880538314817157
878 0.0493128338751467 5 10 "GO:0000132;GO:0040001;GO:0051294;GO:0051293" "establishment of spindle localization" 0.490492961282041
226 0.259862882769691 5 50 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.729870410170491
567 0.0496088394299249 3 24 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.490492961282041
456 0.263547401557856 2 12 "GO:0000186" "activation of MAPKK activity" 0.729870410170491
126 0.676870784436724 2 22 "GO:0000187" "activation of MAPK activity" 0.927609677809016
79 0.65814220339938 2 64 "GO:0000209" "protein polyubiquitination" 0.918951606489663
427 0.00381478520499672 2 93 "GO:0000226" "microtubule cytoskeleton organization" 0.295707382180875
-122 0.831975740528507 2 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.956024630567055
63 0.894137255289848 2 9 "GO:0000245" "spliceosomal complex assembly" 0.968899585159514
218 0.682251020133761 2 7 "GO:0000266" "mitochondrial fission" 0.927609677809016
