"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-292 0.357238283724285 2 11 "GO:0000018" "regulation of DNA recombination" 0.819222192304671
128 0.785404766045997 2 5 "GO:0000038" "very long-chain fatty acid metabolic process" 0.9679323568849
-403 0.103827022210788 6 18 "GO:0000041" "transition metal ion transport" 0.61204405321055
117 0.724413732234677 5 10 "GO:0000042;GO:0000301;GO:0072600" "establishment of protein localization to Golgi" 0.957524199802518
110 0.684282627219325 2 15 "GO:0000045" "autophagic vacuole assembly" 0.954393146360635
-161 0.380652895598286 2 33 "GO:0000075" "cell cycle checkpoint" 0.838029521559199
-7 0.973434139192266 5 25 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.997659523352233
-22 0.92694409921915 7 19 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.996720770289456
-6 0.98372231597397 2 13 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.997659523352233
-261 0.215611970832385 3 25 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.71846264911678
-316 0.149796795561611 2 23 "GO:0000096" "sulfur amino acid metabolic process" 0.67800195920975
-426 0.143499294641386 2 13 "GO:0000097" "sulfur amino acid biosynthetic process" 0.669639849201618
-309 0.510756285496946 2 5 "GO:0000098" "sulfur amino acid catabolic process" 0.890884421681715
158 0.11702942148137 5 112 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.638968124772614
110 0.753416679580853 6 9 "GO:0000132;GO:0040001;GO:0051294;GO:0051293" "establishment of spindle localization" 0.961262258482941
192 0.261542427041692 5 38 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.749045772817861
151 0.522107118825772 2 20 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.896118037474048
306 0.381434519963441 3 9 "GO:0000186" "activation of MAPKK activity" 0.838029521559199
8 0.973737910408853 2 17 "GO:0000187" "activation of MAPK activity" 0.997659523352233
4 0.980484537795844 2 45 "GO:0000209" "protein polyubiquitination" 0.997659523352233
96 0.431787983854425 4 75 "GO:0000226" "microtubule cytoskeleton organization" 0.864594884991324
289 0.538565934043961 2 5 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.904685231125238
-2 0.995394120934025 2 7 "GO:0000245" "spliceosomal complex assembly" 0.998739667777452
-23 0.961196334606741 4 5 "GO:0000266" "mitochondrial fission" 0.996720770289456
-60 0.701730799448775 4 46 "GO:0000278" "mitotic cell cycle" 0.954393146360635
-162 0.138506330133548 2 94 "GO:0000280;GO:0048285;GO:0007067" "organelle fission" 0.659965432321033
140 0.61932261413424 5 14 "GO:0000281" "mitotic cytokinesis" 0.931146781413115
223 0.602534185229041 8 6 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.928017988043629
92 0.617098055055188 3 33 "GO:0000302" "response to reactive oxygen species" 0.931146781413115
121 0.716052519155399 3 10 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.957524199802518
155 0.59505570952668 2 13 "GO:0000387" "spliceosomal snRNP assembly" 0.926146157662714
70 0.882270964690939 7 5 "GO:0000394" "RNA splicing, via endonucleolytic cleavage and ligation" 0.994408614755411
207 0.204142639717009 7 42 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.701509728485371
139 0.595558121020887 7 16 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.926222150133017
189 0.516228887588924 2 13 "GO:0000422" "mitochondrion degradation" 0.892472756240501
-831 0.0123147963929632 2 10 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.42094992032859
213 0.591865637781868 2 7 "GO:0000469" "cleavage involved in rRNA processing" 0.925455346602125
28 0.933455145133469 2 10 "GO:0000578" "embryonic axis specification" 0.996720770289456
-285 0.416107653391793 2 9 "GO:0000722;GO:0006312" "mitotic recombination" 0.856544181679477
-385 0.0733137403822138 4 24 "GO:0000723;GO:0032200" "telomere organization" 0.563600325851317
-97 0.673022724583108 6 21 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.950722973577705
-218 0.642716089874825 2 5 "GO:0000731" "DNA synthesis involved in DNA repair" 0.938117409238308
56 0.837733478811989 2 15 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.984360692457214
220 0.106379565311308 2 60 "GO:0000902;GO:0000904" "cell morphogenesis" 0.615374142679011
257 0.143357620115637 2 36 "GO:0000910" "cytokinesis" 0.669639849201618
65 0.716853818121958 3 35 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.957524199802518
-141 0.319544834370014 2 56 "GO:0001101" "response to acid" 0.791735574989077
416 0.052487818689435 2 24 "GO:0001501" "skeletal system development" 0.541313766483971
64 0.734319741691895 2 31 "GO:0001503" "ossification" 0.959594352380557
59 0.775773704345051 3 26 "GO:0001505;GO:0006836" "neurotransmitter transport" 0.966522211270649
16 0.95731492297587 4 13 "GO:0001508" "action potential" 0.996720770289456
-163 0.575383638712921 2 13 "GO:0001510" "RNA methylation" 0.925055431539447
-650 0.129344796537551 2 6 "GO:0001522" "pseudouridine synthesis" 0.653528411501322
-82 0.795057405701366 5 11 "GO:0001523" "retinoid metabolic process" 0.969265937483842
149 0.348862714393591 2 44 "GO:0001525" "angiogenesis" 0.812749868833947
-10 0.976107818712477 3 11 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.997659523352233
-183 0.563877324090667 2 11 "GO:0001541;GO:0022602" "ovulation cycle process" 0.919779813726884
-29 0.837815320024798 2 54 "GO:0001558" "regulation of cell growth" 0.984360692457214
113 0.676866836679912 2 15 "GO:0001568" "blood vessel development" 0.951235780527711
8 0.986166033796138 4 6 "GO:0001569" "patterning of blood vessels" 0.997659523352233
156 0.673700363744828 3 8 "GO:0001570" "vasculogenesis" 0.950722973577705
-116 0.739918854409437 2 9 "GO:0001578" "microtubule bundle formation" 0.959594352380557
146 0.546358552472969 3 19 "GO:0001649" "osteoblast differentiation" 0.908151178885359
319 0.154393198350898 2 22 "GO:0001654" "eye development" 0.67800195920975
-134 0.671644643697097 3 11 "GO:0001656" "metanephros development" 0.950722973577705
80 0.775752543141387 2 14 "GO:0001657" "ureteric bud development" 0.966522211270649
721 0.0394104268448288 4 9 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.503712139542614
45 0.812228369463199 2 31 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.972768522254459
318 0.0598794795757641 4 39 "GO:0001667" "ameboidal cell migration" 0.55470972300435
159 0.585363432133079 2 13 "GO:0001676" "long-chain fatty acid metabolic process" 0.925455346602125
-58 0.88382658954724 2 7 "GO:0001678" "cellular glucose homeostasis" 0.994408614755411
-180 0.262753171970948 2 43 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 0.751459351771255
-191 0.629794657196973 3 7 "GO:0001702" "gastrulation with mouth forming second" 0.933266103045152
76 0.765242446796507 2 17 "GO:0001704" "formation of primary germ layer" 0.962800416733498
43 0.887616313291839 4 12 "GO:0001707" "mesoderm formation" 0.994408614755411
323 0.234522645225969 2 15 "GO:0001708" "cell fate specification" 0.733377092728068
433 0.123007823599149 2 14 "GO:0001709" "cell fate determination" 0.647370035888542
-1232 0.00404039089784912 4 6 "GO:0001731" "formation of translation preinitiation complex" 0.360330865876966
124 0.638106533384372 3 16 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.935075607246556
137 0.614893194130116 2 15 "GO:0001755" "neural crest cell migration" 0.930082890676812
-154 0.61082674360811 2 12 "GO:0001756;GO:0035282" "segmentation" 0.928863962058507
230 0.215760326920524 2 32 "GO:0001763;GO:0048754;GO:0061138" "morphogenesis of a branching structure" 0.71846264911678
-29 0.893362299854041 3 23 "GO:0001764" "neuron migration" 0.994408614755411
185 0.178060429820341 2 59 "GO:0001775" "cell activation" 0.693943060414859
542 0.144195210102586 3 8 "GO:0001782;GO:0002260;GO:0001776" "leukocyte homeostasis" 0.669639849201618
608 0.101444918747741 3 8 "GO:0001816" "cytokine production" 0.610536179936333
319 0.0253227445999753 2 55 "GO:0001817" "regulation of cytokine production" 0.454838955715289
129 0.602620887436754 3 18 "GO:0001818" "negative regulation of cytokine production" 0.928017988043629
439 0.0273300350875301 2 28 "GO:0001819" "positive regulation of cytokine production" 0.454838955715289
247 0.199240885163038 2 30 "GO:0001822" "kidney development" 0.697249855423164
-549 0.166692658199482 2 7 "GO:0001824" "blastocyst development" 0.683685550192462
332 0.479728264872809 5 5 "GO:0001836" "release of cytochrome c from mitochondria" 0.887497602423562
405 0.0929498416702856 2 19 "GO:0001837" "epithelial to mesenchymal transition" 0.600135432433007
52 0.853620858615367 3 14 "GO:0001838;GO:0072175" "embryonic epithelial tube formation" 0.986815278633676
-502 0.0327096503974931 4 20 "GO:0001843;GO:0060606" "tube closure" 0.484008015302036
308 0.407207832996345 4 8 "GO:0001885" "endothelial cell development" 0.850223307749015
69 0.800148938129458 2 15 "GO:0001889" "liver development" 0.969265937483842
-93 0.670478036892251 5 23 "GO:0001894" "tissue homeostasis" 0.950115302799429
-169 0.670302705238747 3 7 "GO:0001919" "regulation of receptor recycling" 0.950115302799429
68 0.647150153929382 2 50 "GO:0001933" "negative regulation of protein phosphorylation" 0.938927262588824
35 0.738793139057548 2 103 "GO:0001934" "positive regulation of protein phosphorylation" 0.959594352380557
57 0.903191321909287 2 5 "GO:0001935" "endothelial cell proliferation" 0.994408614755411
357 0.22069658631649 4 13 "GO:0001938;GO:0001936" "regulation of endothelial cell proliferation" 0.722997200009457
777 0.0698595257957642 4 6 "GO:0001942" "hair follicle development" 0.56152306909325
264 0.505860303884113 2 7 "GO:0001944" "vasculature development" 0.890884421681715
42 0.866239106480347 4 18 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 0.994408614755411
238 0.35039053505297 5 17 "GO:0001952" "regulation of cell-matrix adhesion" 0.813643072342708
478 0.265031429218884 2 6 "GO:0001953" "negative regulation of cell-matrix adhesion" 0.751658581201335
