"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-281 0.488733226398928 3 13 "GO:0000118" "histone deacetylase complex" 0.953528498851786
-386 0.484008849247425 2 7 "GO:0000124" "SAGA complex" 0.953528498851786
8 0.926441697286322 4 294 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.992451692152683
-2 0.990262137795305 2 90 "GO:0000151" "ubiquitin ligase complex" 0.998098715179336
157 0.698495662293241 4 13 "GO:0000152" "nuclear ubiquitin ligase complex" 0.97860002082887
-1078 0.0987465428217802 4 5 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.627900234529652
680 0.254185362613422 3 6 "GO:0000176" "nuclear exosome (RNase complex)" 0.815757650156587
-165 0.800356478730497 2 5 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.987149204525791
465 0.217590242997668 3 15 "GO:0000178" "exosome (RNase complex)" 0.800062585791425
552 0.0501561265211725 3 27 "GO:0000228" "nuclear chromosome" 0.627900234529652
321 0.487381320935043 5 10 "GO:0000242" "pericentriolar material" 0.953528498851786
-9 0.987802590702332 2 7 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.998098715179336
133 0.699581619140975 4 18 "GO:0000407" "pre-autophagosomal structure" 0.97860002082887
-273 0.554493769844348 5 10 "GO:0000421" "autophagic vacuole membrane" 0.960603439608968
-3 0.9932335879755 2 24 "GO:0000502" "proteasome complex" 0.998098715179336
77 0.838709165457435 2 15 "GO:0000775" "chromosome, centromeric region" 0.987149204525791
-176 0.435232698061159 2 42 "GO:0000776" "kinetochore" 0.953144463571635
-345 0.212375368650326 3 28 "GO:0000777" "condensed chromosome kinetochore" 0.797121393327918
236 0.377109854231937 2 30 "GO:0000781" "chromosome, telomeric region" 0.913627943604529
341 0.46073681444031 5 10 "GO:0000784" "nuclear chromosome, telomeric region" 0.953528498851786
-122 0.430964899883723 2 91 "GO:0000785" "chromatin" 0.952460409467768
-497 0.259404106325944 2 11 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.815757650156587
-415 0.0606493706571179 2 44 "GO:0000790" "nuclear chromatin" 0.627900234529652
-1328 0.00165000803519265 2 12 "GO:0000791" "euchromatin" 0.211115239015939
143 0.632903806470707 2 24 "GO:0000792" "heterochromatin" 0.969691513963925
113 0.757688842732294 3 16 "GO:0000793" "condensed chromosome" 0.981603569649761
-199 0.717945296232735 5 7 "GO:0000794" "condensed nuclear chromosome" 0.97860002082887
-428 0.473305281213742 3 6 "GO:0000803" "sex chromosome" 0.953528498851786
111 0.864913279381801 2 5 "GO:0000812" "Swr1 complex" 0.989510162510615
-45 0.813611029237399 4 59 "GO:0000922" "spindle pole" 0.987149204525791
-295 0.593675299874602 4 7 "GO:0000930" "gamma-tubulin complex" 0.962195377638369
571 0.0149191874654402 2 39 "GO:0000932" "cytoplasmic mRNA processing body" 0.475424773898694
-651 0.318698359396084 2 5 "GO:0000940" "condensed chromosome outer kinetochore" 0.870501804521875
-331 0.521498688467336 4 8 "GO:0000943" "retrotransposon nucleocapsid" 0.960603439608968
-218 0.738754851183875 3 5 "GO:0000974" "Prp19 complex" 0.979359647893519
