"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
96 0.813501108688305 2 13 "GO:0000118" "histone deacetylase complex" 0.958066390488762
-665 0.228347977873199 2 7 "GO:0000124" "SAGA complex" 0.83225097242343
-8 0.929320549385927 3 294 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.963903612685584
-29 0.853882817929767 2 90 "GO:0000151" "ubiquitin ligase complex" 0.958066390488762
-373 0.357444071494412 4 13 "GO:0000152" "nuclear ubiquitin ligase complex" 0.841726097152122
-622 0.341369094471297 2 5 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.841174479043856
240 0.687064626807375 3 6 "GO:0000176" "nuclear exosome (RNase complex)" 0.941756238674841
1099 0.0925248579636066 3 5 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.699767155603662
-116 0.758708346155461 2 15 "GO:0000178" "exosome (RNase complex)" 0.958066390488762
194 0.490650280964092 4 27 "GO:0000228" "nuclear chromosome" 0.869781607274188
-758 0.100741139851488 4 10 "GO:0000242" "pericentriolar material" 0.699767155603662
-60 0.913544225630386 2 7 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.962470906754131
-115 0.737677892549276 2 18 "GO:0000407" "pre-autophagosomal structure" 0.955582744277924
552 0.232602648606227 2 10 "GO:0000421" "autophagic vacuole membrane" 0.83225097242343
-594 0.0465773031759983 2 24 "GO:0000502" "proteasome complex" 0.624823666904952
303 0.42268076507323 4 15 "GO:0000775" "chromosome, centromeric region" 0.851876252819865
308 0.173572818939162 2 42 "GO:0000776" "kinetochore" 0.788304094708182
338 0.221608089954696 2 28 "GO:0000777" "condensed chromosome kinetochore" 0.83225097242343
42 0.875639348361439 4 30 "GO:0000781" "chromosome, telomeric region" 0.958066390488762
-342 0.458761985624954 2 10 "GO:0000784" "nuclear chromosome, telomeric region" 0.869781607274188
129 0.402163300563598 2 91 "GO:0000785" "chromatin" 0.851876252819865
538 0.2224548655134 2 11 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.83225097242343
211 0.339836197502166 5 44 "GO:0000790" "nuclear chromatin" 0.841174479043856
1171 0.00551555449097278 3 12 "GO:0000791" "euchromatin" 0.439405841114165
40 0.893341955400517 2 24 "GO:0000792" "heterochromatin" 0.958066390488762
-198 0.588656345162959 2 16 "GO:0000793" "condensed chromosome" 0.924821065233709
273 0.621395831232197 2 7 "GO:0000794" "condensed nuclear chromosome" 0.932083403185602
1266 0.0337011282581649 2 6 "GO:0000803" "sex chromosome" 0.624823666904952
-753 0.248719295386612 2 5 "GO:0000812" "Swr1 complex" 0.83225097242343
-113 0.553592160272523 4 59 "GO:0000922" "spindle pole" 0.897006958000902
-676 0.220929994308039 4 7 "GO:0000930" "gamma-tubulin complex" 0.83225097242343
-21 0.929971628946505 2 39 "GO:0000932" "cytoplasmic mRNA processing body" 0.963903612685584
449 0.491933855725928 2 5 "GO:0000940" "condensed chromosome outer kinetochore" 0.869781607274188
191 0.711541169074873 4 8 "GO:0000943" "retrotransposon nucleocapsid" 0.948342193660353
933 0.153258770658992 3 5 "GO:0000974" "Prp19 complex" 0.768503488843386
676 0.0834356727175254 2 14 "GO:0001669" "acrosomal vesicle" 0.699767155603662
-212 0.517601956102923 2 20 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 0.882768989961775
188 0.489333727075321 2 29 "GO:0001726" "ruffle" 0.869781607274188
-62 0.888175509718329 2 11 "GO:0001750" "photoreceptor outer segment" 0.958066390488762
672 0.260059759289238 3 6 "GO:0001891" "phagocytic cup" 0.83225097242343
-382 0.521709220116704 3 6 "GO:0001917" "photoreceptor inner segment" 0.882768989961775
-362 0.353872246478764 3 14 "GO:0002102" "podosome" 0.841726097152122
238 0.00963734221238073 1 267 "GO:0005576" "extracellular region" 0.511849953057554
132 0.364980742872792 2 103 "GO:0005578;GO:0031012" "extracellular matrix" 0.850006417040915
287 0.260060985936119 2 33 "GO:0005581" "collagen trimer" 0.83225097242343
287 0.209957387553632 2 41 "GO:0005604" "basement membrane" 0.83225097242343
906 0.100695099358141 2 7 "GO:0005605" "basal lamina" 0.699767155603662
104 0.873840932817139 3 5 "GO:0005606;GO:0043256" "laminin-1 complex" 0.958066390488762
186 0.0764809599695041 2 201 "GO:0005615" "extracellular space" 0.699767155603662
510 0.247289829669774 3 11 "GO:0005618;GO:0030312" "cell wall" 0.83225097242343
-35 0.810182349848134 2 104 "GO:0005622" "intracellular" 0.958066390488762
-228 0.17693924329021 3 76 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.788304094708182
190 0.666062331573758 4 11 "GO:0005637" "nuclear inner membrane" 0.941756238674841
243 0.564292099503202 5 12 "GO:0005639;GO:0044453" "integral component of nuclear inner membrane" 0.902288486720178
-607 0.308968476061142 3 6 "GO:0005640" "nuclear outer membrane" 0.83225097242343
-612 0.164842163536783 4 11 "GO:0005641" "nuclear envelope lumen" 0.781596020876207
-36 0.899188082878359 4 26 "GO:0005643;GO:0046930" "pore complex" 0.959401570571106
-186 0.0143061976200362 2 400 "GO:0005654" "nucleoplasm" 0.547652528738312
375 0.305260795772241 2 16 "GO:0005657" "replication fork" 0.83225097242343
601 0.357469451301006 3 5 "GO:0005664;GO:0000808" "nuclear origin of replication recognition complex" 0.841726097152122
406 0.404910058745621 2 9 "GO:0005665" "DNA-directed RNA polymerase II, core complex" 0.851876252819865
417 0.449746176379525 7 7 "GO:0005666" "DNA-directed RNA polymerase III complex" 0.866849485118601
31 0.85344469047684 2 77 "GO:0005667" "transcription factor complex" 0.958066390488762
-79 0.863719646200997 2 10 "GO:0005669" "transcription factor TFIID complex" 0.958066390488762
-991 0.0725888200210847 2 7 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.699767155603662
581 0.232919838668391 5 9 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 0.83225097242343
50 0.933871377358736 2 6 "GO:0005680" "anaphase-promoting complex" 0.963903612685584
-131 0.392103790513911 3 92 "GO:0005681" "spliceosomal complex" 0.851876252819865
-202 0.714655239566869 4 7 "GO:0005685" "U1 snRNP" 0.948342193660353
-528 0.37554210892122 4 6 "GO:0005686" "U2 snRNP" 0.850754161442385
-561 0.390230959100193 4 5 "GO:0005687" "U4 snRNP" 0.851876252819865
-474 0.330443002934773 2 9 "GO:0005689" "U12-type spliceosomal complex" 0.841174479043856
-49 0.748040330456822 2 93 "GO:0005694" "chromosome" 0.958066390488762
-49 0.934984038547272 2 6 "GO:0005700" "polytene chromosome" 0.963903612685584
-42 0.91802167294307 2 13 "GO:0005720" "nuclear heterochromatin" 0.962470906754131
175 0.789007897699386 6 5 "GO:0005721" "centromeric heterochromatin" 0.958066390488762
-241 0.00295062343652363 2 347 "GO:0005730" "nucleolus" 0.347479185667366
40 0.937688660876143 3 8 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.963903612685584
229 0.701117731121721 2 6 "GO:0005736" "DNA-directed RNA polymerase I complex" 0.941756238674841
18 0.808011636546262 2 437 "GO:0005739" "mitochondrion" 0.958066390488762
-249 0.240461490737078 2 48 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.83225097242343
-63 0.593948227173162 2 156 "GO:0005743;GO:0019866" "organelle inner membrane" 0.924821065233709
787 0.228336169155728 3 5 "GO:0005744" "mitochondrial inner membrane presequence translocase complex" 0.83225097242343
-367 0.427564616238141 3 10 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.851876252819865
159 0.611346971215927 2 22 "GO:0005758" "mitochondrial intermembrane space" 0.932083403185602
-210 0.206490977729293 2 78 "GO:0005759" "mitochondrial matrix" 0.83225097242343
35 0.94579019190361 3 8 "GO:0005761;GO:0000313" "organellar ribosome" 0.968496789680807
17 0.973411010419353 5 8 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.98370076740053
53 0.923210234596149 2 7 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 0.963525092002094
17 0.891412828273132 3 143 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.958066390488762
154 0.299084453627297 4 99 "GO:0005765" "lysosomal membrane" 0.83225097242343
93 0.372304713807436 4 206 "GO:0005768" "endosome" 0.850006417040915
50 0.75818198420538 2 81 "GO:0005769" "early endosome" 0.958066390488762
-236 0.313621204877191 2 39 "GO:0005770" "late endosome" 0.83225097242343
-53 0.935502831174007 3 5 "GO:0005771" "multivesicular body" 0.963903612685584
87 0.485119046279136 3 141 "GO:0005774;GO:0044437" "vacuolar part" 0.869781607274188
-264 0.366756851011921 2 25 "GO:0005776" "autophagic vacuole" 0.850006417040915
-197 0.289812724213122 3 62 "GO:0005777;GO:0042579" "microbody" 0.83225097242343
-179 0.612880717786695 5 17 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.932083403185602
-456 0.444292024320823 3 6 "GO:0005779" "integral component of peroxisomal membrane" 0.861675097955745
58 0.882878676286977 4 14 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.958066390488762
-155 0.0971249359561423 2 258 "GO:0005783" "endoplasmic reticulum" 0.699767155603662
130 0.47151144244806 2 66 "GO:0005788" "endoplasmic reticulum lumen" 0.869781607274188
30 0.723768212139395 4 316 "GO:0005789" "endoplasmic reticulum membrane" 0.948342193660353
195 0.724152511895458 3 7 "GO:0005790" "smooth endoplasmic reticulum" 0.948342193660353
226 0.592172830252559 2 12 "GO:0005791" "rough endoplasmic reticulum" 0.924821065233709
-82 0.792800657590532 2 22 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.958066390488762
-128 0.130425858014884 2 319 "GO:0005794" "Golgi apparatus" 0.756404322612287
379 0.285136104879391 2 17 "GO:0005795" "Golgi stack" 0.83225097242343
435 0.323652108634223 3 11 "GO:0005796" "Golgi lumen" 0.840791890908471
440 0.29705533543476 2 12 "GO:0005798" "Golgi-associated vesicle" 0.83225097242343
-226 0.489696509358522 4 20 "GO:0005801" "cis-Golgi network" 0.869781607274188
67 0.693314421789911 2 74 "GO:0005802" "trans-Golgi network" 0.941756238674841
-270 0.347209001997992 2 26 "GO:0005811" "lipid particle" 0.841726097152122
-125 0.267434235680411 4 174 "GO:0005813" "centrosome" 0.83225097242343
-303 0.0990843112202247 4 64 "GO:0005814" "centriole" 0.699767155603662
-117 0.220286051672068 4 245 "GO:0005815" "microtubule organizing center" 0.83225097242343
37 0.842537108274259 3 61 "GO:0005819" "spindle" 0.958066390488762
-34 0.95819696637111 3 5 "GO:0005826" "actomyosin contractile ring" 0.976584541418743
392 0.54879338325487 2 5 "GO:0005838" "proteasome regulatory particle" 0.897006958000902
45 0.908549597779488 2 14 "GO:0005839" "proteasome core complex" 0.962470906754131
-70 0.697041705048962 2 66 "GO:0005840" "ribosome" 0.941756238674841
-209 0.667913721456955 2 9 "GO:0005844" "polysome" 0.941756238674841
-185 0.703361877001921 2 9 "GO:0005845;GO:0034518" "RNA cap binding complex" 0.941756238674841
-262 0.688013787257089 2 5 "GO:0005847" "mRNA cleavage and polyadenylation specificity factor complex" 0.941756238674841
-786 0.154343796922521 5 7 "GO:0005849" "mRNA cleavage factor complex" 0.768503488843386
1297 0.0471359345754531 2 5 "GO:0005851" "eukaryotic translation initiation factor 2B complex" 0.624823666904952
105 0.217862795565875 2 313 "GO:0005856" "cytoskeleton" 0.83225097242343
246 0.440138006857171 3 21 "GO:0005858;GO:0044447" "axoneme part" 0.861675097955745
565 0.386689979128984 4 5 "GO:0005865;GO:0036379" "striated muscle thin filament" 0.851876252819865
224 0.46369937648257 2 23 "GO:0005868" "cytoplasmic dynein complex" 0.869781607274188
-285 0.632763272333972 5 6 "GO:0005869" "dynactin complex" 0.932407286298086
-64 0.775590921317256 2 43 "GO:0005871" "kinesin complex" 0.958066390488762
-70 0.536614145158365 4 171 "GO:0005874" "microtubule" 0.893733663364803
149 0.29750163893103 4 107 "GO:0005875" "microtubule associated complex" 0.83225097242343
221 0.571083192144291 5 14 "GO:0005876" "spindle microtubule" 0.906902876561366
-488 0.19618977109498 2 15 "GO:0005881" "cytoplasmic microtubule" 0.822620268275443
216 0.593975035620813 4 13 "GO:0005882" "intermediate filament" 0.924821065233709
374 0.338479532937029 4 14 "GO:0005884" "actin filament" 0.841174479043856
188 0.0570978745036877 3 228 "GO:0005887" "integral component of plasma membrane" 0.651599304291874
-301 0.345889937811438 2 21 "GO:0005891;GO:0034704" "calcium channel complex" 0.841726097152122
298 0.564402212404463 3 8 "GO:0005892" "acetylcholine-gated channel complex" 0.902288486720178
442 0.176855317246859 2 20 "GO:0005901" "caveola" 0.788304094708182
-115 0.629113398674148 2 38 "GO:0005902" "microvillus" 0.932083403185602
315 0.4749556451913 3 11 "GO:0005903" "brush border" 0.869781607274188
43 0.877393819442373 2 27 "GO:0005905" "coated pit" 0.958066390488762
-63 0.638005771963122 2 122 "GO:0005911" "cell-cell junction" 0.935017964381563
20 0.877385364822967 2 131 "GO:0005912;GO:0070161;GO:0005925;GO:0005924;GO:0030055" "adherens junction" 0.958066390488762
-174 0.624378065028662 2 17 "GO:0005913" "cell-cell adherens junction" 0.932083403185602
-600 0.314456420362749 3 6 "GO:0005921" "gap junction" 0.83225097242343
-49 0.841110999076688 3 36 "GO:0005923;GO:0070160" "tight junction" 0.958066390488762
28 0.815054468903202 2 148 "GO:0005929" "cilium" 0.958066390488762
-60 0.822763679183715 3 30 "GO:0005930" "axoneme" 0.958066390488762
73 0.673557915385637 2 72 "GO:0005938" "cell cortex" 0.941756238674841
71 0.90588070573269 5 6 "GO:0005952" "cAMP-dependent protein kinase complex" 0.962470906754131
-51 0.83439615449151 3 36 "GO:0008021" "synaptic vesicle" 0.958066390488762
-226 0.512742451047323 5 18 "GO:0008023" "transcription elongation factor complex" 0.881621912232447
-474 0.0716469073375922 7 31 "GO:0008076;GO:0034705" "voltage-gated potassium channel complex" 0.699767155603662
112 0.863949138588968 3 5 "GO:0008091" "spectrin" 0.958066390488762
-417 0.419339104904051 4 8 "GO:0008180" "COP9 signalosome" 0.851876252819865
-292 0.507495064583005 3 11 "GO:0008287" "protein serine/threonine phosphatase complex" 0.878922611850277
-116 0.845679042432435 2 6 "GO:0008305;GO:0098636" "integrin complex" 0.958066390488762
-557 0.281209520056113 3 8 "GO:0008328" "ionotropic glutamate receptor complex" 0.83225097242343
208 0.687842740567413 2 8 "GO:0009506" "plasmodesma" 0.941756238674841
-982 0.0335621947305594 4 10 "GO:0009536;GO:0009507" "plastid" 0.624823666904952
-195 0.522643565186574 2 23 "GO:0009897" "external side of plasma membrane" 0.882768989961775
-122 0.701565066292054 3 21 "GO:0009898;GO:0098562" "cytoplasmic side of membrane" 0.941756238674841
-290 0.412768155279908 2 17 "GO:0009925" "basal plasma membrane" 0.851876252819865
27 0.855817270767326 2 97 "GO:0009986" "cell surface" 0.958066390488762
34 0.783136312812133 2 148 "GO:0010008;GO:0044440" "endosomal part" 0.958066390488762
-683 0.296043909681761 2 5 "GO:0010494" "cytoplasmic stress granule" 0.83225097242343
-77 0.766849071870288 2 32 "GO:0012505" "endomembrane system" 0.958066390488762
-387 0.402740358005342 2 10 "GO:0012507" "ER to Golgi transport vesicle membrane" 0.851876252819865
328 0.0940137383693369 4 56 "GO:0014069" "postsynaptic density" 0.699767155603662
-102 0.786497377509295 2 15 "GO:0014704;GO:0044291" "cell-cell contact zone" 0.958066390488762
-341 0.602085018707536 2 5 "GO:0014731" "spectrin-associated cytoskeleton" 0.931380708550816
-515 0.146597395421494 6 17 "GO:0015030" "Cajal body" 0.767950963293835
326 0.0500631411788802 2 78 "GO:0015629" "actin cytoskeleton" 0.624823666904952
235 0.328843879255678 2 37 "GO:0015630" "microtubule cytoskeleton" 0.841174479043856
-48 0.864486188853631 2 27 "GO:0015934" "large ribosomal subunit" 0.958066390488762
-579 0.0523697781207453 3 24 "GO:0015935" "small ribosomal subunit" 0.625818848542906
36 0.937687716762566 2 10 "GO:0016010" "dystrophin-associated glycoprotein complex" 0.963903612685584
160 0.0586166738170514 2 317 "GO:0016023;GO:0031410" "cytoplasmic vesicle" 0.651599304291874
605 0.0579839598178367 2 21 "GO:0016234" "inclusion body" 0.651599304291874
704 0.202455691132244 4 7 "GO:0016235" "aggresome" 0.83225097242343
-726 0.135863161299036 2 9 "GO:0016272" "prefoldin complex" 0.756404322612287
-392 0.421215784962237 3 9 "GO:0016282;GO:0070993;GO:0033290;GO:0005852" "translation preinitiation complex" 0.851876252819865
-166 0.410443017118222 3 53 "GO:0016323" "basolateral plasma membrane" 0.851876252819865
185 0.273222617327378 3 76 "GO:0016324" "apical plasma membrane" 0.83225097242343
137 0.818173002246978 2 6 "GO:0016327" "apicolateral plasma membrane" 0.958066390488762
-1167 0.00807036839309232 3 11 "GO:0016328" "lateral plasma membrane" 0.482204511487266
-236 0.274257523139764 2 46 "GO:0016363" "nuclear matrix" 0.83225097242343
-1124 0.0418419511702424 3 7 "GO:0016442;GO:0031332" "RNAi effector complex" 0.624823666904952
106 0.701870218971014 2 28 "GO:0016459" "myosin complex" 0.941756238674841
847 0.101008676720961 5 8 "GO:0016460" "myosin II complex" 0.699767155603662
781 0.130720518189702 5 8 "GO:0016461" "unconventional myosin complex" 0.756404322612287
79 0.885856084553937 2 7 "GO:0016469" "proton-transporting two-sector ATPase complex" 0.958066390488762
-722 0.101477954467797 3 11 "GO:0016529" "sarcoplasmic reticulum" 0.699767155603662
304 0.641270695597632 6 5 "GO:0016589" "NURF complex" 0.935017964381563
-475 0.42536498084339 2 6 "GO:0016591" "DNA-directed RNA polymerase II, holoenzyme" 0.851876252819865
-485 0.148267737973826 2 19 "GO:0016592" "mediator complex" 0.767950963293835
-150 0.236975179929669 2 137 "GO:0016604" "nuclear body" 0.83225097242343
150 0.496758114614756 6 44 "GO:0016605" "PML body" 0.869781607274188
-179 0.306979296316258 6 70 "GO:0016607" "nuclear speck" 0.83225097242343
787 0.0371451607293394 3 15 "GO:0017053" "transcriptional repressor complex" 0.624823666904952
-317 0.51537526551272 3 9 "GO:0017119" "Golgi transport complex" 0.882768989961775
-553 0.143252123396599 2 15 "GO:0019005" "SCF ubiquitin ligase complex" 0.767950963293835
-20 0.971682046540052 3 7 "GO:0019773" "proteasome core complex, alpha-subunit complex" 0.98370076740053
-225 0.415001642139872 2 28 "GO:0019897" "extrinsic component of plasma membrane" 0.851876252819865
-43 0.770278706005514 2 98 "GO:0019898" "extrinsic component of membrane" 0.958066390488762
145 0.808618382601588 2 6 "GO:0022624" "proteasome accessory complex" 0.958066390488762
-476 0.259441964514257 2 12 "GO:0022625" "cytosolic large ribosomal subunit" 0.83225097242343
-353 0.553462941817968 3 6 "GO:0022626" "cytosolic ribosome" 0.897006958000902
-793 0.0602818563993413 2 12 "GO:0022627" "cytosolic small ribosomal subunit" 0.653107841484964
-897 0.132641785532826 2 6 "GO:0030008" "TRAPP complex" 0.756404322612287
-596 0.280030800913915 2 7 "GO:0030014" "CCR4-NOT complex" 0.83225097242343
335 0.608504988834996 2 5 "GO:0030016" "myofibril" 0.932083403185602
128 0.742695045225435 2 14 "GO:0030017" "sarcomere" 0.95748456209438
26 0.910824894672777 3 39 "GO:0030018" "Z disc" 0.962470906754131
104 0.569937627433281 2 65 "GO:0030027" "lamellipodium" 0.906902876561366
-14 0.858330661235469 1 395 "GO:0030054" "cell junction" 0.958066390488762
422 0.360977548904106 3 10 "GO:0030056" "hemidesmosome" 0.845819943020405
73 0.857767417632536 2 13 "GO:0030117" "membrane coat" 0.958066390488762
31 0.962838177792465 3 5 "GO:0030118" "clathrin coat" 0.979226912733613
476 0.22291520190391 3 14 "GO:0030119" "AP-type membrane coat adaptor complex" 0.83225097242343
-128 0.79213953913114 3 9 "GO:0030120" "vesicle coat" 0.958066390488762
629 0.17362113221688 2 10 "GO:0030131" "clathrin adaptor complex" 0.788304094708182
492 0.0655042626677656 3 30 "GO:0030133" "transport vesicle" 0.680674729460695
892 0.0841665687845961 2 8 "GO:0030134" "ER to Golgi transport vesicle" 0.699767155603662
77 0.669993983922662 2 66 "GO:0030136;GO:0030135" "coated vesicle" 0.941756238674841
172 0.397528104955051 2 52 "GO:0030139" "endocytic vesicle" 0.851876252819865
300 0.586522509469205 4 7 "GO:0030140" "trans-Golgi network transport vesicle" 0.924821065233709
486 0.0246564533256121 3 46 "GO:0030141" "secretory granule" 0.580004412194386
546 0.195586206128871 3 12 "GO:0030173" "integral component of Golgi membrane" 0.822620268275443
156 0.586168016950638 2 26 "GO:0030175" "filopodium" 0.924821065233709
315 0.217050602406798 3 33 "GO:0030176" "integral component of endoplasmic reticulum membrane" 0.83225097242343
389 0.0785365946817881 5 44 "GO:0030286" "dynein complex" 0.699767155603662
-132 0.753875317837129 3 12 "GO:0030315" "T-tubule" 0.958066390488762
222 0.165148950017776 3 85 "GO:0030424" "axon" 0.781596020876207
-97 0.502899578662429 3 104 "GO:0030425" "dendrite" 0.874130904002331
697 0.000697575247508875 3 51 "GO:0030426;GO:0030427" "site of polarized growth" 0.113490908670149
216 0.717782351189708 4 6 "GO:0030430;GO:0019012" "host cell cytoplasm" 0.948342193660353
-166 0.390178828629856 2 58 "GO:0030496" "midbody" 0.851876252819865
-161 0.0453971212987287 2 352 "GO:0030529" "ribonucleoprotein complex" 0.624823666904952
-658 0.0276407665927415 2 24 "GO:0030532" "small nuclear ribonucleoprotein complex" 0.600558474151383
-298 0.308769954594806 2 25 "GO:0030658" "transport vesicle membrane" 0.83225097242343
48 0.655282580074662 4 192 "GO:0030659;GO:0012506;GO:0044433" "cytoplasmic vesicle part" 0.941756238674841
-337 0.119365220456269 2 46 "GO:0030662" "coated vesicle membrane" 0.740994485429826
406 0.14941305352788 2 27 "GO:0030666;GO:0030670" "endocytic vesicle membrane" 0.767950963293835
-176 0.496398261827173 2 32 "GO:0030667" "secretory granule membrane" 0.869781607274188
-321 0.187984618252613 4 36 "GO:0030672;GO:0030665" "clathrin-coated vesicle membrane" 0.812144466503015
750 0.0470503175234902 5 15 "GO:0030863" "cortical cytoskeleton" 0.624823666904952
726 0.188594217116809 5 7 "GO:0030864" "cortical actin cytoskeleton" 0.812144466503015
-187 0.735253930922569 2 7 "GO:0030897" "HOPS complex" 0.955582744277924
11 0.98492904270742 2 6 "GO:0030904" "retromer complex" 0.990939791520752
-507 0.394992023379395 2 6 "GO:0030914" "STAGA complex" 0.851876252819865
508 0.394681081420594 2 6 "GO:0030915" "Smc5-Smc6 complex" 0.851876252819865
289 0.628387421963449 2 6 "GO:0030991" "intraciliary transport particle A" 0.932083403185602
-137 0.790956624092281 2 8 "GO:0030992" "intraciliary transport particle B" 0.958066390488762
100 0.83701990943034 5 9 "GO:0031010" "ISWI-type complex" 0.958066390488762
231 0.617408355000279 2 10 "GO:0031011" "Ino80 complex" 0.932083403185602
661 0.26783601262367 4 6 "GO:0031045" "dense core granule" 0.83225097242343
491 0.373433781545172 4 7 "GO:0031080" "nuclear pore outer ring" 0.850006417040915
-83 0.850902692746356 2 11 "GO:0031082" "BLOC complex" 0.958066390488762
