"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-219 0.589899018807869 3 13 "GO:0000118" "histone deacetylase complex" 0.934320963586454
-975 0.0773744814282286 6 7 "GO:0000124" "SAGA complex" 0.560378820040807
-1 0.98851983734157 2 294 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.997164395002179
-111 0.474615999748836 3 90 "GO:0000151" "ubiquitin ligase complex" 0.934320963586454
-229 0.572948066449404 3 13 "GO:0000152" "nuclear ubiquitin ligase complex" 0.934320963586454
-1630 0.0125798823465923 2 5 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.339388454592712
508 0.394059641813706 3 6 "GO:0000176" "nuclear exosome (RNase complex)" 0.864416482776188
818 0.210508737957619 2 5 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.729153454664796
213 0.573206300866255 3 15 "GO:0000178" "exosome (RNase complex)" 0.934320963586454
618 0.0283539356296249 3 27 "GO:0000228" "nuclear chromosome" 0.344358440384736
-153 0.740621837941033 2 10 "GO:0000242" "pericentriolar material" 0.958054472393576
-120 0.828706388495823 2 7 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.96807865713945
-41 0.904268725403704 2 18 "GO:0000407" "pre-autophagosomal structure" 0.976854870107143
268 0.561343193809545 5 10 "GO:0000421" "autophagic vacuole membrane" 0.934320963586454
-535 0.0732810441416353 2 24 "GO:0000502" "proteasome complex" 0.547317798432839
326 0.388389668896492 4 15 "GO:0000775" "chromosome, centromeric region" 0.863574659622437
148 0.511778339816559 3 42 "GO:0000776" "kinetochore" 0.934320963586454
43 0.875735461570695 4 28 "GO:0000777" "condensed chromosome kinetochore" 0.970681604166085
290 0.277884541551689 3 30 "GO:0000781" "chromosome, telomeric region" 0.800173559407875
-50 0.914430466321801 5 10 "GO:0000784" "nuclear chromosome, telomeric region" 0.984454420950047
20 0.897416376439913 4 91 "GO:0000785" "chromatin" 0.976854870107143
41 0.925697290549903 3 11 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.987185398662602
-148 0.503682013872441 5 44 "GO:0000790" "nuclear chromatin" 0.934320963586454
-22 0.959021849726509 2 12 "GO:0000791" "euchromatin" 0.994387080627486
212 0.47784537221501 2 24 "GO:0000792" "heterochromatin" 0.934320963586454
-20 0.957385208889548 2 16 "GO:0000793" "condensed chromosome" 0.994387080627486
162 0.769873201485766 4 7 "GO:0000794" "condensed nuclear chromosome" 0.958054472393576
896 0.132930355458218 2 6 "GO:0000803" "sex chromosome" 0.619605819450732
-510 0.434602299203686 2 5 "GO:0000812" "Swr1 complex" 0.91127416530317
-27 0.887490731044483 2 59 "GO:0000922" "spindle pole" 0.976592587358941
-607 0.271357007251301 2 7 "GO:0000930" "gamma-tubulin complex" 0.79189078293461
511 0.0292861287235527 2 39 "GO:0000932" "cytoplasmic mRNA processing body" 0.344358440384736
-237 0.71642864384852 3 5 "GO:0000940" "condensed chromosome outer kinetochore" 0.958054472393576
-196 0.704329079126106 3 8 "GO:0000943" "retrotransposon nucleocapsid" 0.958054472393576
478 0.463987974141281 3 5 "GO:0000974" "Prp19 complex" 0.934320963586454
51 0.895482929951912 2 14 "GO:0001669" "acrosomal vesicle" 0.976854870107143
-340 0.298203642133524 2 20 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 0.814521948227568
263 0.333506816082917 3 29 "GO:0001726" "ruffle" 0.836326673753627
828 0.0600688171869908 2 11 "GO:0001750" "photoreceptor outer segment" 0.495049907161752
-146 0.807317654069937 2 6 "GO:0001891" "phagocytic cup" 0.96807865713945
-223 0.707975016576178 2 6 "GO:0001917" "photoreceptor inner segment" 0.958054472393576
-280 0.474174703287054 3 14 "GO:0002102" "podosome" 0.934320963586454
171 0.0623113855109069 1 267 "GO:0005576" "extracellular region" 0.504827835156161
-90 0.533811272227403 2 103 "GO:0005578;GO:0031012" "extracellular matrix" 0.934320963586454
490 0.0545422827480749 2 33 "GO:0005581" "collagen trimer" 0.469646859793697
297 0.195083377669825 2 41 "GO:0005604" "basement membrane" 0.723069675226343
765 0.165824276039941 2 7 "GO:0005605" "basal lamina" 0.682731177008744
190 0.771131412503258 2 5 "GO:0005606;GO:0043256" "laminin-1 complex" 0.958054472393576
-30 0.777667647047505 2 201 "GO:0005615" "extracellular space" 0.958054472393576
1339 0.00237280994427944 2 11 "GO:0005618;GO:0030312" "cell wall" 0.226840630673114
-33 0.81945652357752 2 104 "GO:0005622" "intracellular" 0.96807865713945
-212 0.208308373139538 2 76 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.728941582332959
484 0.271923326889918 2 11 "GO:0005637" "nuclear inner membrane" 0.79189078293461
58 0.890783196837863 5 12 "GO:0005639;GO:0044453" "integral component of nuclear inner membrane" 0.976592587358941
-300 0.615141700196965 2 6 "GO:0005640" "nuclear outer membrane" 0.934320963586454
-767 0.081662120804837 2 11 "GO:0005641" "nuclear envelope lumen" 0.567959014883338
-21 0.941638657274062 4 26 "GO:0005643;GO:0046930" "pore complex" 0.987185398662602
-18 0.809808030595493 4 400 "GO:0005654" "nucleoplasm" 0.96807865713945
202 0.579818545611781 3 16 "GO:0005657" "replication fork" 0.934320963586454
721 0.269543411574575 3 5 "GO:0005664;GO:0000808" "origin recognition complex" 0.79189078293461
217 0.655485072259962 5 9 "GO:0005665" "DNA-directed RNA polymerase II, core complex" 0.949944933125326
801 0.146984279892083 5 7 "GO:0005666" "DNA-directed RNA polymerase III complex" 0.632959331427168
-37 0.826997017693055 2 77 "GO:0005667" "transcription factor complex" 0.96807865713945
-472 0.307326715582762 5 10 "GO:0005669" "transcription factor TFIID complex" 0.818867437193589
-855 0.121384349053544 4 7 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.615382811245804
488 0.316554319635528 5 9 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 0.822353069487948
-308 0.606119362864375 5 6 "GO:0005680" "anaphase-promoting complex" 0.934320963586454
-21 0.893428893886787 3 92 "GO:0005681" "spliceosomal complex" 0.976854870107143
-164 0.766310136829231 4 7 "GO:0005685" "U1 snRNP" 0.958054472393576
346 0.561924184315156 4 6 "GO:0005686" "U2 snRNP" 0.934320963586454
-1051 0.107556629184797 4 5 "GO:0005687" "U4 snRNP" 0.615382811245804
-38 0.937512128427518 4 9 "GO:0005689" "U12-type spliceosomal complex" 0.987185398662602
194 0.203554591448099 3 93 "GO:0005694" "chromosome" 0.726369526232752
-964 0.106097642889978 2 6 "GO:0005700" "polytene chromosome" 0.615382811245804
-49 0.903389718405572 2 13 "GO:0005720" "nuclear heterochromatin" 0.976854870107143
340 0.603152891866431 2 5 "GO:0005721" "centromeric heterochromatin" 0.934320963586454
-164 0.0437140174367381 3 347 "GO:0005730" "nucleolus" 0.426434700709404
-278 0.590064533736084 2 8 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.934320963586454
383 0.52025543807382 5 6 "GO:0005736" "DNA-directed RNA polymerase I complex" 0.934320963586454
-34 0.63945335509783 3 437 "GO:0005739" "mitochondrion" 0.93473609705432
-359 0.0899712939121556 2 48 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.583139428606237
68 0.566294173324207 2 156 "GO:0005743;GO:0019866" "organelle inner membrane" 0.934320963586454
592 0.364722088542834 3 5 "GO:0005744" "mitochondrial inner membrane presequence translocase complex" 0.848231662432068
-236 0.609033335904553 6 10 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.934320963586454
-201 0.519107044549536 3 22 "GO:0005758" "mitochondrial intermembrane space" 0.934320963586454
-157 0.347007587195603 3 78 "GO:0005759" "mitochondrial matrix" 0.846273605507644
-244 0.637214715751431 4 8 "GO:0005761;GO:0000313" "organellar ribosome" 0.934320963586454
32 0.950615248929171 3 8 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.992126831851842
653 0.237173038860088 4 7 "GO:0005763;GO:0000314" "organellar small ribosomal subunit" 0.766004814696771
51 0.682349235809291 3 143 "GO:0005764;GO:0000323;GO:0005773" "vacuole" 0.958054472393576
231 0.118859183067776 4 99 "GO:0005765" "lysosomal membrane" 0.615382811245804
59 0.56793227671213 3 206 "GO:0005768" "endosome" 0.934320963586454
-30 0.854663584336502 4 81 "GO:0005769" "early endosome" 0.96807865713945
-287 0.220891720522086 2 39 "GO:0005770" "late endosome" 0.743565087391247
-227 0.728138353943559 2 5 "GO:0005771" "multivesicular body" 0.958054472393576
113 0.365555904730138 3 141 "GO:0005774;GO:0044437" "vacuolar part" 0.848231662432068
-56 0.849338075007066 2 25 "GO:0005776" "autophagic vacuole" 0.96807865713945
-172 0.357003856300173 4 62 "GO:0005777;GO:0042579" "microbody" 0.848231662432068
-379 0.285361189457198 4 17 "GO:0005778;GO:0031903" "microbody membrane" 0.808357927040654
-714 0.23139555440351 2 6 "GO:0005779" "integral component of peroxisomal membrane" 0.766004814696771
-650 0.096115532849349 4 14 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.583139428606237
-278 0.00290591280890542 3 258 "GO:0005783" "endoplasmic reticulum" 0.231504387109465
-410 0.0234305836852709 3 66 "GO:0005788" "endoplasmic reticulum lumen" 0.339388454592712
-115 0.174537893614472 3 316 "GO:0005789" "endoplasmic reticulum membrane" 0.689496802873699
-1159 0.0358775296287696 2 7 "GO:0005790" "smooth endoplasmic reticulum" 0.372814329620693
391 0.353855566018734 2 12 "GO:0005791" "rough endoplasmic reticulum" 0.848231662432068
-201 0.519201924793767 3 22 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.934320963586454
-152 0.0709515594574234 3 319 "GO:0005794" "Golgi apparatus" 0.538330879692832
360 0.309585419451371 3 17 "GO:0005795" "Golgi stack" 0.818867437193589
-105 0.812034856033083 3 11 "GO:0005796" "Golgi lumen" 0.96807865713945
171 0.685761457437454 2 12 "GO:0005798" "Golgi-associated vesicle" 0.958054472393576
-450 0.1684951825663 2 20 "GO:0005801" "cis-Golgi network" 0.682731177008744
253 0.139278474413544 3 74 "GO:0005802" "trans-Golgi network" 0.622197296912841
-305 0.287721117976877 3 26 "GO:0005811" "lipid particle" 0.808357927040654
72 0.523703836094252 3 174 "GO:0005813" "centrosome" 0.934320963586454
-87 0.635099543537005 2 64 "GO:0005814" "centriole" 0.934320963586454
20 0.836481602182707 2 245 "GO:0005815" "microtubule organizing center" 0.96807865713945
-125 0.507319463767243 3 61 "GO:0005819" "spindle" 0.934320963586454
607 0.353002852628524 2 5 "GO:0005826" "actomyosin contractile ring" 0.848231662432068
-405 0.535793175306219 2 5 "GO:0005838" "proteasome regulatory particle" 0.934320963586454
-657 0.0927559350638482 2 14 "GO:0005839" "proteasome core complex" 0.583139428606237
-510 0.00476768327360062 2 66 "GO:0005840" "ribosome" 0.284869075597637
-672 0.167496465790264 2 9 "GO:0005844" "polysome" 0.682731177008744
298 0.540023243746101 3 9 "GO:0005845;GO:0034518" "RNA cap binding complex" 0.934320963586454
-196 0.764341465281843 2 5 "GO:0005847" "mRNA cleavage and polyadenylation specificity factor complex" 0.958054472393576
-56 0.918684219840041 2 7 "GO:0005849" "mRNA cleavage factor complex" 0.986811364232673
523 0.423510835650634 2 5 "GO:0005851" "eukaryotic translation initiation factor 2B complex" 0.899725241960014
216 0.0111149110775409 2 313 "GO:0005856" "cytoskeleton" 0.332057968441534
345 0.27975756498901 3 21 "GO:0005858;GO:0044447" "axoneme part" 0.800743209968544
1560 0.0169187875832353 3 5 "GO:0005865;GO:0036379" "myofilament" 0.339388454592712
306 0.315958956602271 2 23 "GO:0005868" "cytoplasmic dynein complex" 0.822353069487948
198 0.739647656144999 2 6 "GO:0005869" "dynactin complex" 0.958054472393576
96 0.668137289465345 3 43 "GO:0005871" "kinesin complex" 0.956196480133039
-147 0.19665074849252 4 171 "GO:0005874" "microtubule" 0.723069675226343
44 0.755539464826582 2 107 "GO:0005875" "microtubule associated complex" 0.958054472393576
149 0.703407805557837 2 14 "GO:0005876" "spindle microtubule" 0.958054472393576
-414 0.272370935879292 2 15 "GO:0005881" "cytoplasmic microtubule" 0.79189078293461
-77 0.84985754065978 4 13 "GO:0005882" "intermediate filament" 0.96807865713945
604 0.122304115205756 2 14 "GO:0005884" "actin filament" 0.615382811245804
179 0.0702052424090316 2 228 "GO:0005887" "integral component of plasma membrane" 0.538330879692832
-248 0.437392302462655 2 21 "GO:0005891;GO:0034704" "calcium channel complex" 0.91158980013965
391 0.448670614445211 2 8 "GO:0005892" "acetylcholine-gated channel complex" 0.924416179762116
387 0.236914551597863 2 20 "GO:0005901" "caveola" 0.766004814696771
44 0.85356875880208 2 38 "GO:0005902" "microvillus" 0.96807865713945
895 0.0423145321879497 3 11 "GO:0005903" "brush border" 0.421382216371666
433 0.124539263102627 2 27 "GO:0005905" "coated pit" 0.615536410191189
118 0.378767615220441 2 122 "GO:0005911" "cell-cell junction" 0.854538597259136
250 0.0525840506284542 2 131 "GO:0005912;GO:0070161;GO:0005925;GO:0005924;GO:0030055" "adherens junction" 0.465466225933354
600 0.090457767676554 2 17 "GO:0005913" "cell-cell adherens junction" 0.583139428606237
-127 0.831245409195763 3 6 "GO:0005921" "gap junction" 0.96807865713945
96 0.694502596222321 4 36 "GO:0005923;GO:0070160" "tight junction" 0.958054472393576
-289 0.017681236309274 2 148 "GO:0005929" "cilium" 0.339388454592712
-301 0.259855235556381 2 30 "GO:0005930" "axoneme" 0.79189078293461
255 0.141839183187235 4 72 "GO:0005938" "cell cortex" 0.62776971818054
536 0.368943933810636 2 6 "GO:0005952" "cAMP-dependent protein kinase complex" 0.851957489669005
-117 0.632809108181898 2 36 "GO:0008021" "synaptic vesicle" 0.934320963586454
-330 0.337879214653319 2 18 "GO:0008023" "transcription elongation factor complex" 0.836326673753627
-297 0.258815640201973 2 31 "GO:0008076;GO:0034705" "voltage-gated potassium channel complex" 0.79189078293461
995 0.12749414888168 2 5 "GO:0008091" "spectrin" 0.61883780538503
333 0.519453413797402 3 8 "GO:0008180" "COP9 signalosome" 0.934320963586454
112 0.800188015723512 3 11 "GO:0008287" "protein serine/threonine phosphatase complex" 0.96807865713945
-579 0.331720514229204 3 6 "GO:0008305;GO:0098636" "integrin complex" 0.836326673753627
-476 0.356916912295918 3 8 "GO:0008328" "ionotropic glutamate receptor complex" 0.848231662432068
163 0.751838717591394 2 8 "GO:0009506" "plasmodesma" 0.958054472393576
-490 0.288804040638489 3 10 "GO:0009536;GO:0009507" "plastid" 0.808357927040654
64 0.834532456764712 2 23 "GO:0009897" "external side of plasma membrane" 0.96807865713945
-289 0.364598521537147 2 21 "GO:0009898;GO:0098562" "cytoplasmic side of membrane" 0.848231662432068
-137 0.698782925597361 2 17 "GO:0009925" "basal plasma membrane" 0.958054472393576
286 0.0561236322589913 2 97 "GO:0009986" "cell surface" 0.470650810873646
10 0.93342747089245 4 148 "GO:0010008;GO:0044440" "endosomal part" 0.987185398662602
-11 0.987038141170545 2 5 "GO:0010494" "cytoplasmic stress granule" 0.997164395002179
-326 0.208531110326109 2 32 "GO:0012505" "endomembrane system" 0.728941582332959
-319 0.490513585142531 6 10 "GO:0012507" "ER to Golgi transport vesicle membrane" 0.934320963586454
-64 0.74551927819315 2 56 "GO:0014069" "postsynaptic density" 0.958054472393576
5 0.988551453690768 2 15 "GO:0014704;GO:0044291" "cell-cell contact zone" 0.997164395002179
43 0.947698646930214 4 5 "GO:0014731" "spectrin-associated cytoskeleton" 0.991247162434666
-306 0.388427932675364 2 17 "GO:0015030" "Cajal body" 0.863574659622437
457 0.00609723748872731 2 78 "GO:0015629" "actin cytoskeleton" 0.29587650142514
391 0.104678012197058 4 37 "GO:0015630" "microtubule cytoskeleton" 0.615382811245804
-600 0.0332734977982293 4 27 "GO:0015934" "large ribosomal subunit" 0.364502284628091
-705 0.018335022233816 2 24 "GO:0015935" "small ribosomal subunit" 0.339388454592712
732 0.113287600605242 2 10 "GO:0016010" "dystrophin-associated glycoprotein complex" 0.615382811245804
