"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-561 0.130629901043512 2 13 "GO:0000118" "histone deacetylase complex" 0.434191991779089
-423 0.438937738794093 2 6 "GO:0000124" "SAGA complex" 0.724117345770361
127 0.131582782355427 3 268 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.434191991779089
145 0.330605485024944 2 82 "GO:0000151" "ubiquitin ligase complex" 0.633997329247046
-205 0.645349460860994 2 9 "GO:0000152" "nuclear ubiquitin ligase complex" 0.824782743848873
270 0.651197434719414 4 5 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.824782743848873
397 0.466910330922356 2 6 "GO:0000176" "nuclear exosome (RNase complex)" 0.724117345770361
417 0.48544458217271 2 5 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.724289520366312
543 0.143757124536331 2 13 "GO:0000178" "exosome (RNase complex)" 0.442397139250994
-387 0.148476890194424 2 25 "GO:0000228" "nuclear chromosome" 0.44734650142449
-9 0.983862090958789 2 9 "GO:0000242" "pericentriolar material" 0.998265388148749
-943 0.0620992082092149 3 7 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.348971121231675
296 0.349009737506302 2 18 "GO:0000407" "pre-autophagosomal structure" 0.654349063900706
704 0.0961442124590057 2 10 "GO:0000421" "autophagic vacuole membrane" 0.391456592574362
434 0.120335709743624 2 23 "GO:0000502" "proteasome complex" 0.427651768600461
-261 0.44962819730512 3 15 "GO:0000775" "chromosome, centromeric region" 0.724117345770361
-171 0.443187353662517 3 36 "GO:0000776" "kinetochore" 0.724117345770361
-394 0.149859507440111 2 24 "GO:0000777" "condensed chromosome kinetochore" 0.447732616370721
-137 0.609622908905884 3 25 "GO:0000781" "chromosome, telomeric region" 0.808789484258659
-64 0.891616228941443 2 8 "GO:0000784" "nuclear chromosome, telomeric region" 0.956047215317509
205 0.151024299671272 3 89 "GO:0000785" "chromatin" 0.447732616370721
-462 0.274464205031546 3 10 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.579976397057611
346 0.0877880249518918 4 44 "GO:0000790" "nuclear chromatin" 0.379601922708643
153 0.691149028329332 4 12 "GO:0000791" "euchromatin" 0.836182891787042
154 0.573659582584908 4 24 "GO:0000792" "heterochromatin" 0.779758658030332
-458 0.200825932605152 2 14 "GO:0000793" "condensed chromosome" 0.515306101794538
69 0.890793363150014 2 7 "GO:0000794" "condensed nuclear chromosome" 0.956047215317509
308 0.606278267261823 2 5 "GO:0000803" "sex chromosome" 0.806643734505047
467 0.435023187676422 2 5 "GO:0000812" "Swr1 complex" 0.724117345770361
-320 0.0777208231664719 3 55 "GO:0000922" "spindle pole" 0.371910532484933
-610 0.227171438241463 2 7 "GO:0000930" "gamma-tubulin complex" 0.530161033995448
460 0.0423137668241313 2 35 "GO:0000932" "cytoplasmic mRNA processing body" 0.321629285806203
396 0.468409467284181 3 6 "GO:0000943" "retrotransposon nucleocapsid" 0.724117345770361
5 0.993854408530385 3 5 "GO:0000974" "Prp19 complex" 0.999894344741745
218 0.71534024839973 2 5 "GO:0001527;GO:0043205" "microfibril" 0.858776082269085
20 0.956898584984728 2 13 "GO:0001669" "acrosomal vesicle" 0.983952975818241
-477 0.110809621465391 2 20 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 0.410699152574108
-553 0.0318800863039921 2 27 "GO:0001726" "ruffle" 0.282252223288603
28 0.947389762028546 5 10 "GO:0001750" "photoreceptor outer segment" 0.978829687759582
-64 0.907144600470591 2 6 "GO:0001891" "phagocytic cup" 0.962810291863104
-192 0.748852126377158 2 5 "GO:0001917" "photoreceptor inner segment" 0.876476047664493
189 0.596548898033163 3 14 "GO:0002102" "podosome" 0.80158704924747
-130 0.143992216629874 1 238 "GO:0005576" "extracellular region" 0.442397139250994
-142 0.397799933125236 2 64 "GO:0005578" "proteinaceous extracellular matrix" 0.703683972611686
-1050 1.78462437637098e-05 3 30 "GO:0005581" "collagen trimer" 0.00416709791882624
-608 0.00657584476992925 2 36 "GO:0005604" "basement membrane" 0.118112288752191
-82 0.890525631872041 2 5 "GO:0005605" "basal lamina" 0.956047215317509
12 0.903966038093575 2 181 "GO:0005615" "extracellular space" 0.961907027945084
325 0.442059899899115 2 10 "GO:0005618;GO:0030312" "cell wall" 0.724117345770361
-107 0.436268726608078 2 96 "GO:0005622" "intracellular" 0.724117345770361
-315 0.0522966515811493 2 69 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.338537139740439
-284 0.502154121932244 2 10 "GO:0005637" "nuclear inner membrane" 0.733256176482463
361 0.350293931424361 5 12 "GO:0005639;GO:0044453" "integral component of nuclear inner membrane" 0.654349063900706
2 0.997926447979717 2 6 "GO:0005640" "nuclear outer membrane" 0.999894344741745
-983 0.0201039670755996 2 10 "GO:0005641" "nuclear envelope lumen" 0.223536967245357
-25 0.927810381277317 2 24 "GO:0005643;GO:0046930" "pore complex" 0.969798449426176
187 0.0100253741294519 3 369 "GO:0005654" "nucleoplasm" 0.161443093739794
-374 0.295367399535992 3 14 "GO:0005657" "replication fork" 0.60234312481794
336 0.574383251311422 3 5 "GO:0005664;GO:0000808" "origin recognition complex" 0.779758658030332
-345 0.465859334558418 2 8 "GO:0005665" "DNA-directed RNA polymerase II, core complex" 0.724117345770361
-950 0.0817278610109942 2 6 "GO:0005666" "DNA-directed RNA polymerase III complex" 0.371910532484933
98 0.53806024976278 2 71 "GO:0005667" "transcription factor complex" 0.761436777694601
763 0.0712522200843477 2 10 "GO:0005669" "transcription factor TFIID complex" 0.361366155584051
-21 0.96987963254757 2 6 "GO:0005671" "Ada2/Gcn5/Ada3 transcription activator complex" 0.993275851753761
875 0.0641187508746967 5 8 "GO:0005675;GO:0032806" "carboxy-terminal domain protein kinase complex" 0.348971121231675
176 0.216385755379328 3 90 "GO:0005681" "spliceosomal complex" 0.526020047359283
299 0.553695391156064 4 7 "GO:0005685" "U1 snRNP" 0.76601437788653
-735 0.178291780220798 4 6 "GO:0005686" "U2 snRNP" 0.496624248385455
885 0.138996882041769 4 5 "GO:0005687" "U4 snRNP" 0.438591512929095
533 0.231538821565255 2 9 "GO:0005689" "U12-type spliceosomal complex" 0.530161033995448
-255 0.0848693788542612 2 83 "GO:0005694" "chromosome" 0.371910532484933
-713 0.233313102006767 5 5 "GO:0005700" "polytene chromosome" 0.530161033995448
75 0.840203780455977 5 13 "GO:0005720" "nuclear heterochromatin" 0.94094763902384
-508 0.395727208300014 2 5 "GO:0005721" "centromeric heterochromatin" 0.703683972611686
91 0.241177621266892 2 318 "GO:0005730" "nucleolus" 0.539820496674995
555 0.309709910675051 3 6 "GO:0005732" "small nucleolar ribonucleoprotein complex" 0.620749048434544
136 0.0492654469504579 2 411 "GO:0005739" "mitochondrion" 0.33030154363554
115 0.306974976500938 2 145 "GO:0005743;GO:0019866" "organelle inner membrane" 0.620594433012719
82 0.891055022653735 4 5 "GO:0005744" "mitochondrial inner membrane presequence translocase complex" 0.956047215317509
1449 0.000612789750470514 5 10 "GO:0005747;GO:0045271;GO:0030964" "respiratory chain complex I" 0.0375582025540597
677 0.017757245161898 2 22 "GO:0005758" "mitochondrial intermembrane space" 0.202259353429424
-141 0.372943161939896 2 72 "GO:0005759" "mitochondrial matrix" 0.677682710606737
133 0.778410626057142 4 8 "GO:0005761;GO:0000313" "mitochondrial ribosome" 0.904273040718123
791 0.117663063976803 2 7 "GO:0005762;GO:0000315" "mitochondrial large ribosomal subunit" 0.422681929824362
879 0.0819772629885661 5 7 "GO:0005763;GO:0000314" "mitochondrial small ribosomal subunit" 0.371910532484933
-144 0.311764187641581 2 90 "GO:0005765" "lysosomal membrane" 0.62219604969495
-31 0.754135313089343 2 190 "GO:0005768" "endosome" 0.880452978031808
-176 0.261492748495753 3 74 "GO:0005769" "early endosome" 0.566997224686545
-160 0.474699775979981 3 36 "GO:0005770" "late endosome" 0.724117345770361
143 0.229570579875686 2 129 "GO:0005773;GO:0005764;GO:0000323" "vacuole" 0.530161033995448
-95 0.422205688031374 3 131 "GO:0005774;GO:0044437" "vacuolar part" 0.724117345770361
408 0.153407269338449 2 22 "GO:0005776" "autophagic vacuole" 0.448097415834109
135 0.453074059254094 2 56 "GO:0005777;GO:0042579" "microbody" 0.724117345770361
182 0.598960933860019 4 15 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.80158704924747
-48 0.929955286178006 5 6 "GO:0005779" "integral component of peroxisomal membrane" 0.969798449426176
561 0.130365552872347 3 13 "GO:0005782;GO:0031907" "microbody lumen" 0.434191991779089
0 0.996788421749053 2 233 "GO:0005783" "endoplasmic reticulum" 0.999894344741745
175 0.30946377166893 3 61 "GO:0005788" "endoplasmic reticulum lumen" 0.620749048434544
-122 0.132832848423719 2 288 "GO:0005789" "endoplasmic reticulum membrane" 0.434191991779089
993 0.0494197268927699 2 7 "GO:0005790" "smooth endoplasmic reticulum" 0.33030154363554
711 0.0781430864081397 3 11 "GO:0005791" "rough endoplasmic reticulum" 0.371910532484933
334 0.264679646641685 2 20 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.566997224686545
