"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
199 0.554327935679725 5 13 "GO:0000118" "histone deacetylase complex" 0.837188330329027
-101 0.851982256856338 2 5 "GO:0000124" "SAGA complex" 0.976347002559224
-33 0.681403285289572 3 247 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.909922679746441
-74 0.590963435171452 3 78 "GO:0000151" "ubiquitin ligase complex" 0.842030688711571
33 0.936048529881366 3 9 "GO:0000152" "nuclear ubiquitin ligase complex" 0.986186342013337
-205 0.705858168393616 2 5 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 0.914024272629767
-56 0.910514986510379 3 6 "GO:0000176" "nuclear exosome (RNase complex)" 0.985099068138352
-517 0.340463108327874 2 5 "GO:0000177" "cytoplasmic exosome (RNase complex)" 0.716936737728889
-389 0.267644823984092 3 12 "GO:0000178" "exosome (RNase complex)" 0.677584761422905
90 0.727454810301324 3 22 "GO:0000228" "nuclear chromosome" 0.915720469888317
50 0.906465951000798 4 8 "GO:0000242" "pericentriolar material" 0.985099068138352
900 0.0496250520022393 2 7 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.388988773314143
-100 0.741973415041329 4 16 "GO:0000407" "pre-autophagosomal structure" 0.919299273460665
-286 0.455660983106179 4 10 "GO:0000421" "autophagic vacuole membrane" 0.782664747452966
-319 0.218969160612762 3 22 "GO:0000502" "proteasome complex" 0.626852891165946
119 0.714183524432658 2 14 "GO:0000775" "chromosome, centromeric region" 0.914024272629767
31 0.88668499386302 2 32 "GO:0000776" "kinetochore" 0.985099068138352
368 0.17601674158175 3 20 "GO:0000777" "condensed chromosome kinetochore" 0.585898138587109
59 0.809292956716077 2 25 "GO:0000781" "chromosome, telomeric region" 0.963234551743592
125 0.770460266549932 2 8 "GO:0000784" "nuclear chromosome, telomeric region" 0.940179908166313
90 0.498285707631259 2 84 "GO:0000785" "chromatin" 0.818319684213296
668 0.0817224006220155 2 10 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.431691984831833
-6 0.974438511656203 2 40 "GO:0000790" "nuclear chromatin" 0.98797237987365
210 0.566872368650586 5 11 "GO:0000791" "euchromatin" 0.838817896854583
-292 0.260039404052783 3 22 "GO:0000792" "heterochromatin" 0.677584761422905
137 0.685141308384668 3 13 "GO:0000793" "condensed chromosome" 0.910238265812958
71 0.886778397097585 4 6 "GO:0000794" "condensed nuclear chromosome" 0.985099068138352
827 0.127347092841882 3 5 "GO:0000803" "sex chromosome" 0.512119211531994
