"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
160 0.734612160955293 2 12 "GO:0000030" "mannosyltransferase activity" 0.978844484668187
-123 0.724563337419124 2 22 "GO:0000049" "tRNA binding" 0.978844484668187
-357 0.536249983891465 2 8 "GO:0000062" "fatty-acyl-CoA binding" 0.954275606364894
-158 0.784597065204041 7 8 "GO:0000146" "microfilament motor activity" 0.984979768907231
-132 0.620692486793838 3 38 "GO:0000149" "SNARE binding" 0.954275606364894
-212 0.603716195695697 5 16 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.954275606364894
638 0.159283610146056 2 13 "GO:0000217" "DNA secondary structure binding" 0.903902112861358
-167 0.324204263753384 3 95 "GO:0000287" "magnesium ion binding" 0.923146720173634
-838 0.104825766081443 2 10 "GO:0000339" "RNA cap binding" 0.848219688508442
-23 0.968457583769843 2 8 "GO:0000400" "four-way junction DNA binding" 0.995610990944511
-181 0.364792768678834 3 68 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.923146720173634
-282 0.219971729987565 2 51 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.923146720173634
-97 0.715197710410569 7 38 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 0.978844484668187
-681 0.307500731174979 5 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.923146720173634
149 0.409240882082538 2 83 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.942739721761094
-66 0.647098391727412 2 133 "GO:0000989;GO:0000988;GO:0003712" "transcription factor binding transcription factor activity" 0.962631875227919
-97 0.86707102425954 4 8 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 0.990294660517537
-658 0.254998300845098 2 8 "GO:0001046" "core promoter sequence-specific DNA binding" 0.923146720173634
-318 0.350986294283039 3 23 "GO:0001047" "core promoter binding" 0.923146720173634
-303 0.210558505707523 2 46 "GO:0001077;GO:0000982;GO:0001228" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.923146720173634
-687 0.207552559138462 3 9 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.923146720173634
-66 0.889578668567188 4 12 "GO:0001085" "RNA polymerase II transcription factor binding" 0.990294660517537
-322 0.251188643982941 2 34 "GO:0001104;GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.923146720173634
-551 0.450821114014694 2 5 "GO:0001106" "RNA polymerase II transcription corepressor activity" 0.948953604310464
-460 0.456072079548978 2 7 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.948953604310464
-482 0.270395530827157 2 14 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.923146720173634
561 0.215987876499956 2 13 "GO:0001530" "lipopolysaccharide binding" 0.923146720173634
267 0.556515484615765 2 13 "GO:0001540" "beta-amyloid binding" 0.954275606364894
-275 0.420611514687643 2 23 "GO:0001664" "G-protein coupled receptor binding" 0.948313763619548
-59 0.909028210090425 2 10 "GO:0001786" "phosphatidylserine binding" 0.990294660517537
474 0.245823505358246 3 16 "GO:0001948" "glycoprotein binding" 0.923146720173634
-194 0.77101488944339 3 6 "GO:0001965" "G-protein alpha-subunit binding" 0.98385446587109
-247 0.557773358740709 4 15 "GO:0002020" "protease binding" 0.954275606364894
-92 0.815799786782951 3 17 "GO:0002039" "p53 binding" 0.990294660517537
-247 0.735276175483469 4 5 "GO:0002161" "aminoacyl-tRNA editing activity" 0.978844484668187
667 0.31720488749327 4 6 "GO:0002162" "dystroglycan binding" 0.923146720173634
7 0.957198918022512 2 155 "GO:0003682" "chromatin binding" 0.995610990944511
-170 0.596379139624448 2 26 "GO:0003684" "damaged DNA binding" 0.954275606364894
451 0.0899553397509196 2 38 "GO:0003690" "double-stranded DNA binding" 0.842829721048342
-119 0.715334321600342 5 25 "GO:0003697" "single-stranded DNA binding" 0.978844484668187
60 0.586248634463442 2 232 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.954275606364894
608 0.137225007748038 2 16 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.892283235247447
890 0.102218540460306 2 9 "GO:0003707" "steroid hormone receptor activity" 0.848219688508442
-200 0.299667311332316 4 73 "GO:0003713" "transcription coactivator activity" 0.923146720173634
80 0.780199055962356 4 33 "GO:0003714" "transcription corepressor activity" 0.984979768907231
-678 0.0706283978790505 5 19 "GO:0003725" "double-stranded RNA binding" 0.801656097958536
416 0.280372459937854 2 18 "GO:0003727" "single-stranded RNA binding" 0.923146720173634
-317 0.215041848564537 3 41 "GO:0003729" "mRNA binding" 0.923146720173634
-210 0.716092524887724 2 8 "GO:0003730" "mRNA 3'-UTR binding" 0.978844484668187
-222 0.196017050225706 2 92 "GO:0003735" "structural constituent of ribosome" 0.923146720173634
-94 0.758291497200377 6 29 "GO:0003743" "translation initiation factor activity" 0.98385446587109
-294 0.533140225735838 2 12 "GO:0003746" "translation elongation factor activity" 0.954275606364894
277 0.396584237008693 4 25 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.923146720173634
601 0.185110813829992 2 13 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.918361897492382
43 0.794246076948617 5 99 "GO:0003774" "motor activity" 0.986447974573193
136 0.491864180473351 8 69 "GO:0003777" "microtubule motor activity" 0.948953604310464
243 0.228997305138667 4 66 "GO:0003779" "actin binding" 0.923146720173634
56 0.933315127794958 6 6 "GO:0003831;GO:0035250" "UDP-galactosyltransferase activity" 0.993460449971317
426 0.46098215157736 5 8 "GO:0003840;GO:0036374" "gamma-glutamyltransferase activity" 0.948953604310464
-292 0.553104167428741 3 11 "GO:0003841;GO:0042171;GO:0071617" "lysophospholipid acyltransferase activity" 0.954275606364894
-341 0.580517920704742 2 7 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.954275606364894
-399 0.0955428450527027 5 47 "GO:0003887" "DNA-directed DNA polymerase activity" 0.842829721048342
-21 0.944008264362901 2 29 "GO:0003899;GO:0034062" "RNA polymerase activity" 0.995610990944511
260 0.674040614189085 2 7 "GO:0003906" "DNA-(apurinic or apyrimidinic site) lyase activity" 0.970842255927184
551 0.450985652611491 4 5 "GO:0003913" "DNA photolyase activity" 0.948953604310464
151 0.382828785800958 6 91 "GO:0003924" "GTPase activity" 0.923146720173634
-131 0.720977070148457 2 20 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.978844484668187
-720 0.324610098297469 2 5 "GO:0003968" "RNA-directed RNA polymerase activity" 0.923146720173634
1182 0.0300325292864848 2 9 "GO:0003993" "acid phosphatase activity" 0.801656097958536
1252 0.0110528379523722 4 11 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.748005087654646
-473 0.517333641281109 2 5 "GO:0004000" "adenosine deaminase activity" 0.948953604310464
-74 0.751339798538674 2 50 "GO:0004003;GO:0003678" "DNA helicase activity" 0.98385446587109
-451 0.144554526921076 9 28 "GO:0004004;GO:0003724;GO:0008186" "RNA-dependent ATPase activity" 0.892283235247447
-1028 0.0751695128674492 2 8 "GO:0004017" "adenylate kinase activity" 0.801656097958536
807 0.269379660118544 2 5 "GO:0004029" "aldehyde dehydrogenase (NAD) activity" 0.923146720173634
-364 0.555711560690007 3 7 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.954275606364894
1058 0.0522274503412266 2 9 "GO:0004065;GO:0003943" "arylsulfatase activity" 0.801656097958536
37 0.955414968962917 4 6 "GO:0004067" "asparaginase activity" 0.995610990944511
829 0.213918618127877 2 6 "GO:0004089" "carbonate dehydratase activity" 0.923146720173634
362 0.620710793694246 2 5 "GO:0004090" "carbonyl reductase (NADPH) activity" 0.954275606364894
238 0.614429292852755 2 12 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.954275606364894
647 0.332445473079616 3 6 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "heme-copper terminal oxidase activity" 0.923146720173634
538 0.351998562082283 2 8 "GO:0004143;GO:0003951" "NAD+ kinase activity" 0.923146720173634
-53 0.637550503516095 4 218 "GO:0004175" "endopeptidase activity" 0.962425926956441
-843 0.248577179457749 2 5 "GO:0004176" "ATP-dependent peptidase activity" 0.923146720173634
460 0.208133945496738 2 20 "GO:0004177" "aminopeptidase activity" 0.923146720173634
-250 0.454945160280274 2 24 "GO:0004180" "carboxypeptidase activity" 0.948953604310464
-134 0.767319399158785 2 13 "GO:0004181" "metallocarboxypeptidase activity" 0.98385446587109
319 0.662487555526195 2 5 "GO:0004185" "serine-type carboxypeptidase activity" 0.967398145935741
-227 0.318931373199971 2 52 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.923146720173634
-422 0.0743669918382842 2 48 "GO:0004197" "cysteine-type endopeptidase activity" 0.801656097958536
365 0.503183221067408 3 9 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.948953604310464
-228 0.362416713049041 2 43 "GO:0004221;GO:0016790" "thiolester hydrolase activity" 0.923146720173634
180 0.43213326585591 2 51 "GO:0004222" "metalloendopeptidase activity" 0.948953604310464
419 0.0430491684856635 3 63 "GO:0004252;GO:0008236;GO:0017171" "serine hydrolase activity" 0.801656097958536
-39 0.927081812682456 5 15 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 0.992489425233672
-333 0.617835086965529 2 6 "GO:0004303" "estradiol 17-beta-dehydrogenase activity" 0.954275606364894
1014 0.165195575658592 2 5 "GO:0004312" "fatty acid synthase activity" 0.905233850508594
-90 0.884719028254482 3 7 "GO:0004364" "glutathione transferase activity" 0.990294660517537
-471 0.362032838961303 2 10 "GO:0004383" "guanylate cyclase activity" 0.923146720173634
-344 0.0142106730687161 7 139 "GO:0004386" "helicase activity" 0.748005087654646
-557 0.110207734220685 3 22 "GO:0004402" "histone acetyltransferase activity" 0.848219688508442
289 0.64038312028809 3 7 "GO:0004435;GO:0004629" "phosphatidylinositol phospholipase C activity" 0.962425926956441
789 0.20131702145516 2 7 "GO:0004438;GO:0052744" "phosphatidylinositol-3-phosphatase activity" 0.923146720173634
-3 0.987988048101711 3 68 "GO:0004497" "monooxygenase activity" 0.995610990944511
-176 0.139177750934394 2 196 "GO:0004518;GO:0004519" "nuclease activity" 0.892283235247447
72 0.790892777712215 5 36 "GO:0004520;GO:0004536" "deoxyribonuclease activity" 0.985977523053399
33 0.925543156660272 3 21 "GO:0004523" "RNA-DNA hybrid ribonuclease activity" 0.992489425233672
-898 0.145735559191104 3 7 "GO:0004525;GO:0032296" "ribonuclease III activity" 0.892283235247447
752 0.259829862176912 3 6 "GO:0004526" "ribonuclease P activity" 0.923146720173634
-265 0.294705968686587 4 42 "GO:0004527" "exonuclease activity" 0.923146720173634
-22 0.916519127069239 3 64 "GO:0004540" "ribonuclease activity" 0.990294660517537
