"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
852 0.0571094384038982 2 11 "GO:0000030" "mannosyltransferase activity" 0.404133041313851
554 0.113440771316288 3 18 "GO:0000049" "tRNA binding" 0.543014280344879
107 0.849483938198226 2 7 "GO:0000062" "fatty-acyl-CoA binding" 0.984072565038803
-334 0.524273283777721 6 8 "GO:0000146" "microfilament motor activity" 0.875504595548826
152 0.534075126458367 2 37 "GO:0000149" "SNARE binding" 0.875504595548826
643 0.104964616054392 3 14 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity, producing 5'-phosphomonoesters" 0.521618053827551
-329 0.423773155301706 2 13 "GO:0000217" "DNA secondary structure binding" 0.843658483490552
18 0.911674429047338 5 86 "GO:0000287" "magnesium ion binding" 0.987209780388289
295 0.551458807471141 2 9 "GO:0000339" "RNA cap binding" 0.879636904307613
-266 0.611848152476207 5 8 "GO:0000400" "four-way junction DNA binding" 0.917966005170072
225 0.224577377958794 2 65 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.67685126412581
338 0.11645073894084 2 48 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.547654657997486
308 0.221193043098597 2 35 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 0.675035678569305
802 0.185368561094839 8 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.659425864878362
271 0.108657417317013 2 78 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.53184946370959
233 0.0774117414989863 2 129 "GO:0000989;GO:0000988;GO:0003712" "transcription factor binding transcription factor activity" 0.479952797293715
790 0.158822555596203 4 7 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 0.630448071299562
674 0.199251901309994 2 8 "GO:0001046" "core promoter sequence-specific DNA binding" 0.660729892053159
39 0.903866998936674 5 21 "GO:0001047" "core promoter binding" 0.987209780388289
277 0.221901129360724 2 43 "GO:0001077;GO:0000982;GO:0001228" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.675035678569305
-192 0.714415673160457 2 8 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.939011521885928
381 0.394270242730364 3 11 "GO:0001085" "RNA polymerase II transcription factor binding" 0.830166867357191
269 0.298347187547767 2 33 "GO:0001104;GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.764701190203094
-431 0.476807982819108 2 6 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.847531263053926
-91 0.825241543438872 2 13 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.983295852981101
396 0.336197186934572 3 13 "GO:0001530" "lipopolysaccharide binding" 0.79877506822776
-376 0.423094568967055 2 10 "GO:0001540" "beta-amyloid binding" 0.843658483490552
12 0.968678747547261 3 22 "GO:0001664" "G-protein coupled receptor binding" 0.99039666409481
-454 0.358854052661461 2 9 "GO:0001786" "phosphatidylserine binding" 0.809258086624872
135 0.716622558306093 2 16 "GO:0001948" "glycoprotein binding" 0.939011521885928
-300 0.651251580412096 2 5 "GO:0001965" "G-protein alpha-subunit binding" 0.933843125216464
211 0.59523102785194 2 14 "GO:0002020" "protease binding" 0.917963376218804
432 0.229963622042209 2 17 "GO:0002039" "p53 binding" 0.683590492919991
461 0.486907361570151 4 5 "GO:0002161" "aminoacyl-tRNA editing activity" 0.847531263053926
-1065 0.0786500663507557 4 6 "GO:0002162" "dystroglycan binding" 0.483030124474924
333 0.00804186272758344 2 143 "GO:0003682" "chromatin binding" 0.185990289099696
163 0.590048289766911 2 24 "GO:0003684" "damaged DNA binding" 0.912402462323656
272 0.279566332315187 2 35 "GO:0003690" "double-stranded DNA binding" 0.730914386896332
113 0.714770137411582 4 23 "GO:0003697" "single-stranded DNA binding" 0.939011521885928
87 0.396987873247116 2 217 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.830166867357191
350 0.346184418917686 2 16 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.802014436709657
235 0.674777057708513 4 7 "GO:0003707;GO:0004879;GO:0098531" "ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.937997711267222
261 0.142959834941394 2 70 "GO:0003713" "transcription coactivator activity" 0.605204837526086
165 0.531152028676263 4 32 "GO:0003714" "transcription corepressor activity" 0.875504595548826
-249 0.464581848476249 2 19 "GO:0003725" "double-stranded RNA binding" 0.847531263053926
446 0.215362211030356 2 17 "GO:0003727" "single-stranded RNA binding" 0.674935805497004
123 0.600230785007253 3 40 "GO:0003729" "mRNA binding" 0.917966005170072
103 0.854484166035692 7 7 "GO:0003730" "mRNA 3'-UTR binding" 0.984072565038803
-727 5.19012560083966e-06 2 88 "GO:0003735" "structural constituent of ribosome" 0.00118280216875608
-68 0.815419976299174 6 26 "GO:0003743" "translation initiation factor activity" 0.983295852981101
-277 0.53549692521739 2 11 "GO:0003746" "translation elongation factor activity" 0.875504595548826
-296 0.328632835823558 2 24 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.788702039957796
323 0.451305088105085 3 12 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.847531263053926
-35 0.828430800139084 2 88 "GO:0003774" "motor activity" 0.983295852981101
71 0.714070256364933 6 59 "GO:0003777" "microtubule motor activity" 0.939011521885928
-263 0.165632815363389 4 62 "GO:0003779" "actin binding" 0.642620278219803
-410 0.435140948940588 5 8 "GO:0003840;GO:0036374" "gamma-glutamyltransferase activity" 0.845602261971113
-188 0.688882605136102 6 10 "GO:0003841;GO:0042171;GO:0071617" "lysophospholipid acyltransferase activity" 0.937997711267222
-795 0.189331562770049 3 6 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.660729892053159
205 0.372508574837389 2 42 "GO:0003887" "DNA-directed DNA polymerase activity" 0.828415138217349
283 0.322786810555074 5 27 "GO:0003899;GO:0034062" "RNA polymerase activity" 0.788702039957796
353 0.528835974506584 5 7 "GO:0003906" "DNA-(apurinic or apyrimidinic site) lyase activity" 0.875504595548826
-167 0.80176967298769 3 5 "GO:0003913" "DNA photolyase activity" 0.982381583130623
119 0.468882396559988 5 83 "GO:0003924" "GTPase activity" 0.847531263053926
168 0.630529714479678 5 18 "GO:0003950" "NAD+ ADP-ribosyltransferase activity" 0.920918107097618
1393 0.0357384668243705 5 5 "GO:0003968" "RNA-directed RNA polymerase activity" 0.355595945898315
515 0.298362676361883 5 9 "GO:0003993" "acid phosphatase activity" 0.764701190203094
648 0.167452887786337 4 10 "GO:0003995" "acyl-CoA dehydrogenase activity" 0.642620278219803
7 0.975258269006971 7 46 "GO:0004003;GO:0003678" "DNA helicase activity" 0.99039666409481
248 0.386258426830649 9 27 "GO:0004004;GO:0003724;GO:0008186" "RNA-dependent ATPase activity" 0.830166867357191
1354 0.0157655105848928 2 7 "GO:0004017" "adenylate kinase activity" 0.248607133410106
-956 0.088397696241085 3 7 "GO:0004051" "arachidonate 5-lipoxygenase activity" 0.512161576426062
-354 0.500464494716962 4 8 "GO:0004065;GO:0003943" "arylsulfatase activity" 0.864197310505948
55 0.934105999375159 5 5 "GO:0004090" "carbonyl reductase (NADPH) activity" 0.987209780388289
-2 0.996337956187487 2 10 "GO:0004114;GO:0004112" "cyclic-nucleotide phosphodiesterase activity" 0.997870783812391
404 0.504713101700762 4 6 "GO:0004129;GO:0015002;GO:0016676;GO:0016675" "oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor" 0.869228119595757
-534 0.341512849275527 2 7 "GO:0004143;GO:0003951" "NAD+ kinase activity" 0.799750991839204
66 0.546799693819371 4 193 "GO:0004175" "endopeptidase activity" 0.878929878213359
-1585 0.0169235115750627 2 5 "GO:0004176" "ATP-dependent peptidase activity" 0.248607133410106
-815 0.0167254495457391 2 19 "GO:0004177" "aminopeptidase activity" 0.248607133410106
-388 0.242845674840421 3 20 "GO:0004180" "carboxypeptidase activity" 0.698074057143311
-1268 0.0103510096355231 3 9 "GO:0004181" "metallocarboxypeptidase activity" 0.205459144978926
287 0.196596051799341 6 45 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.660729892053159
283 0.212776971085835 2 43 "GO:0004197" "cysteine-type endopeptidase activity" 0.672416544547954
209 0.690170358981566 2 8 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.937997711267222
