"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
197 0.651860380071816 2 5 "GO:0000030" "mannosyltransferase activity" 0.90322785243069
-32 0.926138662504046 2 8 "GO:0000049" "tRNA binding" 0.975450966599019
588 0.140114437627542 2 6 "GO:0000146" "microfilament motor activity" 0.610755240940568
-133 0.505439646770187 2 24 "GO:0000149" "SNARE binding" 0.863918807060569
586 0.0896672188938351 6 8 "GO:0000175;GO:0016896;GO:0004532;GO:0016796" "exoribonuclease activity" 0.562714713805602
-611 0.0380866168085671 2 11 "GO:0000217" "DNA secondary structure binding" 0.431648323830427
82 0.550536494695461 5 51 "GO:0000287" "magnesium ion binding" 0.863918807060569
477 0.19633986357627 2 7 "GO:0000339" "RNA cap binding" 0.672035774657032
-321 0.420209300284384 2 6 "GO:0000400" "four-way junction DNA binding" 0.798228396217361
315 0.0235870520096193 2 50 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.388045049190511
309 0.0623190253380846 2 35 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.496604733162862
159 0.427047667174341 3 24 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 0.803669041545808
406 0.352787910787119 3 5 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.772402959487901
423 0.0014143739308559 2 55 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.120221784122752
79 0.453763759887844 2 89 "GO:0000989;GO:0000988;GO:0003712" "transcription factor binding transcription factor activity" 0.817736811105302
-534 0.180355664854216 4 6 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 0.661736612055037
800 0.0205698678925003 2 8 "GO:0001046" "core promoter sequence-specific DNA binding" 0.374665450899113
197 0.419400124108028 2 16 "GO:0001047" "core promoter binding" 0.798228396217361
67 0.743217142511063 3 23 "GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.944025163793026
627 0.000456283835959754 5 30 "GO:0001077;GO:0000982;GO:0001228" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription" 0.0581761890848686
435 0.318943513688773 2 5 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.746152256794836
-232 0.501719282191095 2 8 "GO:0001085" "RNA polymerase II transcription factor binding" 0.863918807060569
-147 0.536425507290159 4 17 "GO:0001104" "RNA polymerase II transcription cofactor activity" 0.863918807060569
-386 0.376320271740134 4 5 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.786571059784706
481 0.163918641401561 4 8 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.638156542861039
308 0.373156731828723 2 8 "GO:0001530" "lipopolysaccharide binding" 0.78640468277954
-414 0.203779791774164 2 9 "GO:0001540" "beta-amyloid binding" 0.68233880717183
-38 0.868871092320922 3 18 "GO:0001664" "G-protein coupled receptor binding" 0.963280721659782
412 0.264764636880015 3 7 "GO:0001786" "phosphatidylserine binding" 0.746152256794836
