baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup130755	2.97626258820548	0.53145494453348	0.424770368759316	1.25115823423788	0.2108767527132	0.986068567624687
isogroup216653	2.94932053855534	-0.0314578961021264	0.444789385873874	-0.0707253749779153	0.943616325091344	0.99480398023847
isogroup224701	2.9257213702675	0.263561276841374	0.412092579355684	0.639568121448482	0.522453413023502	0.991115810573154
isogroup226212	2.82787222048975	1.02583602166824	0.41443597984532	2.47525811357187	0.0133139915006428	0.771010476421901
isogroup239490	2.88951973820999	0.262051950270218	0.460409450587448	0.569171527508523	0.569239741053861	0.991115810573154
isogroup246490	2.7511034410884	0.0643768901798629	0.409989823556764	0.157020702663733	0.87522853212327	0.993932928291509
isogroup248033	3.02691301592836	1.00873519230101	0.422757629100857	2.38608394707493	0.0170288634417205	0.771010476421901
isogroup251542	2.82218858009308	-0.385075895447872	0.446330989992371	-0.862758589661125	0.388270211477	0.98747893176851
isogroup255858	2.89389980830161	-0.116985395014442	0.382900883831644	-0.305523961824751	0.759967122948305	0.993353275786366
isogroup255942	2.98303292718737	-0.00694107537182383	0.443436096080628	-0.0156529327070428	0.98751127664982	0.997577546871024
isogroup259091	2.76418071033586	-0.121758983276582	0.480536404382302	-0.253381392473469	0.799973505255912	0.993353275786366
isogroup202644	2.86603131096222	-0.0382969503899208	0.394525276188429	-0.0970709678221728	0.922670036277444	0.994101243023102
isogroup218142	2.83169656197945	-1.02128566050297	0.413585709033999	-2.46934465624636	0.0135360775602016	0.771010476421901
isogroup235300	2.83856729645345	-0.131762659056987	0.424564689725738	-0.310347662548441	0.7562965896807	0.993353275786366
isogroup235439	2.88697484746934	-0.884294416386415	0.424844152281093	-2.08145601543159	0.0373921860706243	0.836147890211739
isogroup244119	2.85414324864368	-0.00943155175717198	0.369339659563146	-0.0255362550783948	0.979627230537878	0.996428072505812
isogroup246142	3.10088487036155	-0.615349964881891	0.604373997327723	-1.01816088647543	0.308601504026772	0.98747893176851
isogroup246957	2.91836382922581	-0.386499176324875	0.443609611221798	-0.871259698951003	0.383612370033829	0.98747893176851
isogroup248993	2.95065698222458	-0.330462737905471	0.563916203509127	-0.586013907472553	0.557866168988002	0.991115810573154
isogroup251810	2.90150290963234	0.308586467754698	0.412107597472988	0.748800724973106	0.453977322717561	0.98747893176851
isogroup252941	2.8634155846835	-0.388569307261466	0.586111497716902	-0.662961413954635	0.507355267032985	0.991115810573154
isogroup253341	2.90749114338319	0.699857154323531	0.40291195011345	1.73699775875714	0.0823875664732068	0.916666532466847
isogroup258135	2.8650925936612	-0.668524844325446	0.437393130388352	-1.52843014185403	0.126405775850404	0.967301389343977
isogroup259104	2.90362948118025	0.374936154211527	0.35521118489923	1.05553025960568	0.291182877750262	0.986068567624687
isogroup262798	2.87846782417704	-0.845430529913136	0.3998947361899	-2.11413267893494	0.0345039367696343	0.832707620619467
isogroup263412	2.83936852012441	0.342959550819303	0.409529237950391	0.837448267517466	0.402340644226017	0.98747893176851
isogroup47743	2.8418899298424	0.299466027463903	0.409882711668913	0.730613951109506	0.465014988135267	0.98747893176851
isogroup225476	2.94596849232435	-0.420089814391968	0.422608161419095	-0.994040940859563	0.320202936001117	0.98747893176851
isogroup232254	2.96085681953189	-0.33751943335587	0.420605617616708	-0.802460593057143	0.422286574790357	0.98747893176851
isogroup235947	3.00039225499792	0.80862704141563	0.405071001496328	1.99626000979722	0.0459056284943257	0.867487034091868
isogroup242182	2.84439880143453	0.277673718378343	0.38157182985366	0.72771021509852	0.466790995868091	0.98747893176851
isogroup246413	2.89858041269232	0.653450264825471	0.466569743796642	1.40054144854769	0.161351240475415	0.981250454875079
isogroup246559	2.8899138655283	-0.813302155106615	0.378939907296352	-2.1462562782298	0.0318525377638832	0.832707620619467
isogroup249724	2.71255865481519	-0.0807717363438605	0.430008248623625	-0.187837644050772	0.851003925282618	0.993353275786366
isogroup250211	2.9546715082652	0.268024891033859	0.406838248990578	0.658799637691063	0.510024440004001	0.991115810573154
isogroup250533	2.85692593200754	0.647393969134459	0.474574113019062	1.36415778141791	0.172517912427731	0.981250454875079
isogroup250561	2.95061659174512	-0.530411116175588	0.407327760965928	-1.30217276356952	0.192857333617385	0.986068567624687
isogroup252690	2.99705363807631	0.401644350507491	0.424742652129588	0.945618125454821	0.344343395967923	0.98747893176851
isogroup254121	3.03308869735509	0.207949071715707	0.40269513679446	0.516393302812212	0.605579742349131	0.991115810573154
isogroup261280	2.97721595861049	-0.460047672489682	0.388547533274118	-1.18401902751271	0.236405530857847	0.986068567624687
isogroup222595	2.91037832725545	0.125621102250492	0.464413228055434	0.270494238022645	0.786780049161804	0.993353275786366
isogroup223524	2.91230745309352	0.2173839353897	0.45901664958001	0.473586166402899	0.635795042158413	0.991115810573154
isogroup234299	2.87069992943984	0.235567608915198	0.396906300076646	0.593509372034931	0.552840312738209	0.991115810573154
isogroup244263	2.96360059907594	-0.21491439858047	0.384838730793913	-0.558453142533514	0.576534992842443	0.991115810573154
isogroup247052	2.91239447419747	0.343500850199061	0.379808859950058	0.904404521380119	0.365780941575434	0.98747893176851
isogroup249788	2.92429255795399	0.116742711867665	0.396566559994078	0.294383651181804	0.768464758190345	0.993353275786366
isogroup252915	2.87274236469781	0.0951456511484639	0.400549234697253	0.237537967636807	0.812239467987053	0.993353275786366
isogroup253930	2.81746413630338	0.0515757819335999	0.460427402590952	0.1120171858655	0.910809779982469	0.993932928291509
isogroup257050	3.05862581880997	0.703910825634323	0.479390410423052	1.46834565383387	0.142010355734562	0.968717740508362
isogroup257453	3.02566145046305	-0.513406984724502	0.397094817053588	-1.2929077960119	0.196042950843026	0.986068567624687
isogroup258025	2.93461444101814	1.0247266023514	0.499250145949885	2.05253140267337	0.0401180464258116	0.858710145414362
isogroup260179	2.96423191644862	0.338566456572022	0.382988506060533	0.884012055752162	0.376689704933465	0.98747893176851
isogroup261940	2.98890635965567	-0.422517681539398	0.435016460081588	-0.97126826295298	0.331414708593966	0.98747893176851
isogroup274057	2.85865575216923	0.513525094892881	0.397422341683404	1.29213947237513	0.196308848380686	0.986068567624687
isogroup210548	2.95717334461891	0.897102374457864	0.423803556972086	2.11678821401905	0.0342778260769971	0.832707620619467
isogroup211493	2.88874618441379	0.354882648273424	0.434848077980902	0.816107202131889	0.414438825094823	0.98747893176851
isogroup223278	2.86621812377451	0.420958599954808	0.499483644082274	0.842787556594082	0.399347268496136	0.98747893176851
isogroup238702	3.03684613370733	-0.503294427538059	0.491033551305585	-1.02496952845661	0.305377565748865	0.986068567624687
isogroup238967	2.89568470286827	-0.495782859478223	0.430371812199201	-1.15198729429972	0.24932629446304	0.986068567624687
isogroup241820	2.95078782506637	0.990492785376846	0.439944048755902	2.25140625990468	0.0243598180174717	0.786165047925706
isogroup250568	2.8633087368542	0.0329724013325774	0.415241583390601	0.0794053453494362	0.936710217094926	0.99480398023847
isogroup252958	3.0422132365893	-0.452732473746718	0.405809570799826	-1.11562788638624	0.264581450262211	0.986068567624687
isogroup254158	2.93956750756674	0.0788406267982367	0.40077976149975	0.196718084025023	0.844048157606689	0.993353275786366
isogroup259532	2.81546263679366	0.157664150601971	0.402647158261002	0.391569013631957	0.695376686755327	0.991115810573154
isogroup260113	3.13336115108082	0.702926658282953	0.434416366470032	1.61809432732651	0.105642270844067	0.950562419856013
isogroup260261	3.00238017043914	-0.122566060753704	0.392882130010048	-0.311966494252537	0.755065987159867	0.993353275786366
isogroup262123	2.90875825856819	-0.0457541071987017	0.407433390750249	-0.112298373764727	0.910586831196287	0.993932928291509
isogroup262385	2.88959162693493	0.0633758052294136	0.367845066963389	0.172289398231134	0.863210018713098	0.993353275786366
isogroup211389	3.01062736686185	-0.0495098534484233	0.410719176590916	-0.120544294667147	0.9040519933667	0.993932928291509
isogroup218978	3.08755790248236	0.0867490386435839	0.367156791484413	0.236272460854825	0.813221255087839	0.993353275786366
isogroup228527	2.95239168542092	-0.24601571970866	0.402399604709984	-0.611371673404023	0.5409535511467	0.991115810573154
isogroup232879	2.89195799040326	-0.492766478144835	0.417304706283696	-1.18083134631565	0.237669728833285	0.986068567624687
isogroup235201	2.93389367103285	-0.212670583288352	0.425552621566247	-0.499751552476912	0.617250027833246	0.991115810573154
isogroup240973	2.99571015482517	-0.380217147617241	0.456301049907125	-0.833259418742582	0.404698438012562	0.98747893176851
isogroup241957	3.02441849729303	0.350253446742496	0.454774291120354	0.770169848167173	0.441199147122777	0.98747893176851
isogroup242713	3.10622013526068	-0.359779538346655	0.398616521968838	-0.902570562227678	0.36675385600434	0.98747893176851
