baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup130755	2.97626258820548	-0.107367393910352	0.455440779549177	-0.235743918268872	0.81363138832868	NA
isogroup216653	2.94932053855534	-0.651823697458603	0.474920056254823	-1.37249140960444	0.169910511296273	NA
isogroup224701	2.9257213702675	0.237123173847403	0.438415220996336	0.54086437352362	0.588601068501182	NA
isogroup226212	2.82787222048975	0.0325718066078004	0.414175019197821	0.0786426150734196	0.937316890557124	NA
isogroup239490	2.88951973820999	0.213455987165043	0.498400102674819	0.428282390030549	0.668445538301378	NA
isogroup246490	2.7511034410884	-0.406032291877518	0.455838459660653	-0.890737240951074	0.373070150884036	NA
isogroup248033	3.02691301592836	0.351049803329313	0.437340771114683	0.802691691503096	0.42215295635949	NA
isogroup251542	2.82218858009308	-0.442645502285013	0.506643297055719	-0.873682736665778	0.382291054861803	NA
isogroup255858	2.89389980830161	0.333212433579979	0.39917907010834	0.834744250217183	0.403861721223332	NA
isogroup255942	2.98303292718737	-0.295833271076797	0.475479210238996	-0.622179192499498	0.53382404641764	NA
isogroup259091	2.76418071033586	-0.408911247503241	0.522452883715525	-0.782675835943692	0.433817495608147	NA
isogroup202644	2.86603131096222	-0.319734297969612	0.43825904262923	-0.729555506833225	0.46566192726867	NA
isogroup218142	2.83169656197945	-0.514415939272041	0.487748257242265	-1.05467509444433	0.291573946135396	NA
isogroup235300	2.83856729645345	0.183802134778548	0.443468448312565	0.414464964707028	0.678533620199703	NA
isogroup235439	2.88697484746934	-0.134899952044838	0.440866373236403	-0.305988299934368	0.759613554108268	NA
isogroup244119	2.85414324864368	-0.125825214627634	0.400170774305055	-0.314428795671411	0.75319538856128	NA
isogroup246142	3.10088487036155	1.06932457879481	0.628226147438666	1.70213319384197	0.088730402668601	NA
isogroup246957	2.91836382922581	-0.314526547663111	0.50073415526062	-0.628130804257614	0.529918255006525	NA
isogroup248993	2.95065698222458	-0.864414155862662	0.638764038276496	-1.35326052198401	0.175972416417136	NA
isogroup251810	2.90150290963234	0.116279329163076	0.427485692290509	0.272007534427738	0.785616226065681	NA
isogroup252941	2.8634155846835	0.182175229376728	0.627353242941856	0.290387005130397	0.771520184020617	NA
isogroup253341	2.90749114338319	-0.315324120814938	0.42299281929325	-0.745459748800917	0.4559938355073	NA
isogroup258135	2.8650925936612	0.340211710616097	0.448780062098013	0.758081161238833	0.448402396818463	NA
isogroup259104	2.90362948118025	-0.693190242827765	0.431179665882952	-1.60765986357051	0.107909693516302	NA
isogroup262798	2.87846782417704	0.11485900845767	0.416390382461415	0.275844527865178	0.782667481686393	NA
isogroup263412	2.83936852012441	0.0306427462511827	0.440213097809769	0.0696088926105158	0.944504958832347	NA
isogroup47743	2.8418899298424	-0.507673516669682	0.487611471010361	-1.04114350636123	0.297808950350482	NA
isogroup225476	2.94596849232435	-0.476415885653803	0.482715840296681	-0.986948937414183	0.323667671759403	NA
isogroup232254	2.96085681953189	-0.0165978305070121	0.413055552749937	-0.0401830465575664	0.967947193600507	NA
isogroup235947	3.00039225499792	0.573646000566827	0.427192326025335	1.34282843023919	0.17932753527861	NA
isogroup242182	2.84439880143453	0.182214126305682	0.422892517071768	0.430875740170071	0.666558723980771	NA
isogroup246413	2.89858041269232	0.118440228886247	0.518580115097738	0.228393309805033	0.819340490026827	NA
isogroup246559	2.8899138655283	-0.0428099120565642	0.427410337123632	-0.100161152733611	0.920216386501105	NA
isogroup249724	2.71255865481519	-0.295368239797597	0.469787773012	-0.628726963036673	0.529527822839224	NA
isogroup250211	2.9546715082652	0.664862370030168	0.419487767155542	1.58493863727769	0.1129802768461	NA
isogroup250533	2.85692593200754	-0.40479838226721	0.558173867167636	-0.725219158541575	0.468317591219308	NA
isogroup250561	2.95061659174512	-0.452659898877164	0.460595991961528	-0.982769947583419	0.325720675817696	NA
isogroup252690	2.99705363807631	-1.10860347876021	0.530075876232119	-2.09140526567701	0.0364917505630433	NA
isogroup254121	3.03308869735509	0.0962195332515981	0.433069422334135	0.222180390231661	0.824173458957903	NA
isogroup261280	2.97721595861049	0.300276993343442	0.410047246565204	0.732298523788998	0.463986380160158	NA
isogroup222595	2.91037832725545	-0.193767249163317	0.514800405682449	-0.376392961280689	0.706624778018909	NA
isogroup223524	2.91230745309352	0.037123362036155	0.497234388094359	0.0746596834913802	0.940485486018124	NA
isogroup234299	2.87069992943984	0.0244219376420854	0.428847411619034	0.0569478490027139	0.954586738138718	NA
isogroup244263	2.96360059907594	0.12654798051041	0.414780239099428	0.305096454896626	0.760292691151449	NA
isogroup247052	2.91239447419747	-0.411321684845304	0.433220679757849	-0.949450716607559	0.342391426276519	NA
isogroup249788	2.92429255795399	0.536121977780633	0.411721321320621	1.30214771501507	0.192865894592699	NA
isogroup252915	2.87274236469781	-0.777590141432965	0.430546623407034	-1.80605328008307	0.0709100175462715	NA
isogroup253930	2.81746413630338	0.732507378612237	0.46180263215036	1.58619143247702	0.112695890695532	NA
isogroup257050	3.05862581880997	0.621027658460465	0.493706848468227	1.25788746983612	0.208432455867591	NA
isogroup257453	3.02566145046305	0.0219709350993144	0.424234337430659	0.0517896199359523	0.95869632654411	NA
isogroup258025	2.93461444101814	0.868599915920735	0.525308127323294	1.65350557271345	0.098228012896276	NA
isogroup260179	2.96423191644862	-0.336609666300912	0.428398941113297	-0.785738791571593	0.432020532132097	NA
isogroup261940	2.98890635965567	1.39344422606761	0.452311412048111	3.08071870165282	0.00206501638681343	NA
isogroup274057	2.85865575216923	-0.152435845625899	0.437543606193788	-0.348390065511289	0.727547262346143	NA
isogroup210548	2.95717334461891	-0.381271225755639	0.487796944003439	-0.781618725665798	0.43443867862789	NA
isogroup211493	2.88874618441379	0.191697345867027	0.455823892186439	0.420551333866063	0.674082736982437	NA
isogroup223278	2.86621812377451	0.257497919902963	0.53976973472521	0.477051422740572	0.633325504646774	NA
isogroup238702	3.03684613370733	0.40408081851427	0.503682261134779	0.802253423822967	0.422406378694965	NA
isogroup238967	2.89568470286827	-0.456803206066833	0.45263138730999	-1.00921681278366	0.312870665163815	NA
isogroup241820	2.95078782506637	-0.227851637849168	0.450076805278497	-0.506250566963074	0.612680760607406	NA
isogroup250568	2.8633087368542	-0.924610021922237	0.502716514069153	-1.83922746925129	0.0658817359944204	NA
isogroup252958	3.0422132365893	-0.232827195079412	0.453326687755741	-0.513596929913957	0.607533826477173	NA
isogroup254158	2.93956750756674	-0.826739321016553	0.48557723087426	-1.70259078978651	0.0886446748767022	NA
isogroup259532	2.81546263679366	-0.547540480504701	0.461251418705387	-1.18707598134116	0.235197651407378	NA
isogroup260113	3.13336115108082	0.4832338313132	0.467344000457979	1.03400028852334	0.30113602835058	NA
isogroup260261	3.00238017043914	-0.00217540058634999	0.454104593696339	-0.00479052759330748	0.996177726614863	NA
isogroup262123	2.90875825856819	-0.614340493125047	0.486913303837298	-1.26170406165433	0.207055294847739	NA
isogroup262385	2.88959162693493	0.203888106361605	0.397970718595394	0.512319366312206	0.608427513540908	NA
isogroup211389	3.01062736686185	0.287361552797617	0.430013560324436	0.668261606868419	0.503966616149331	NA
isogroup218978	3.08755790248236	0.518604277032276	0.397161686104285	1.30577619940938	0.191628676138933	NA
isogroup228527	2.95239168542092	-1.20192401210088	0.50043882052326	-2.40174015845562	0.0163172943532337	NA
isogroup232879	2.89195799040326	0.587036431902005	0.442346316869747	1.32709691369458	0.184476626142652	NA
