name	term	lev	seq	value
"single organism cell adhesion"	GO:0016337;GO:0098602	3	isogroup44278	0.183291368139946
"single organism cell adhesion"	GO:0016337;GO:0098602	3	isogroup225288	-1.60500307051331
"single organism cell adhesion"	GO:0016337;GO:0098602	3	isogroup258584	0.660358318339098
"single organism cell adhesion"	GO:0016337;GO:0098602	3	isogroup41236	-0.270420421486062
"single organism cell adhesion"	GO:0016337;GO:0098602	3	isogroup212533	1.28940850607867
"single organism cell adhesion"	GO:0016337;GO:0098602	3	isogroup115690	-5.00863494518699
"single organism cell adhesion"	GO:0016337;GO:0098602	3	isogroup57318	-0.107897741202097
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup201833	0.972041493777921
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup232362	-3.46084781625869
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup259100	3.01000983069738
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup117485	0.654683958489903
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup53603	-1.66948832789311
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup42879	-12.8955608239305
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup116093	-1.15239265576589
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup263906	-2.44158651614352
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup49780	-1.67709246476558
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup46393	4.62244874666736
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup58065	-0.101187133672376
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup54673	0.862278554687684
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup117270	-0.826148097216408
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup250231	0.35405308691783
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup156544	1.81819912769419
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup258534	0.197439717400731
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup229476	-7.19429010297376
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup264391	1.2871408674976
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup241134	-0.440503208882896
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup226888	1.6475614576236
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup153279	1.25750244635726
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup45131	0.219172401293498
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup179685	-0.748093622242161
"programmed cell death"	GO:0012501;GO:0008219;GO:0016265	3	isogroup49422	0.64802150962941
"positive regulation of cellular process"	GO:0048522	2	isogroup249353	-1.13894113153816
"positive regulation of cellular process"	GO:0048522	2	isogroup183816	5.33529479255986
"positive regulation of cellular process"	GO:0048522	2	isogroup40527	0.388480259238914
"positive regulation of cellular process"	GO:0048522	2	isogroup117321	-0.128127298325731
"positive regulation of cellular process"	GO:0048522	2	isogroup117472	0.0935272637711275
"positive regulation of cellular process"	GO:0048522	2	isogroup115946	-3.90958021887178
"positive regulation of cellular process"	GO:0048522	2	isogroup174903	0.792225339639699
"positive regulation of cellular process"	GO:0048522	2	isogroup117505	1.99296347832974
"positive regulation of cellular process"	GO:0048522	2	isogroup159906	1.04879741101248
"positive regulation of cellular process"	GO:0048522	2	isogroup208265	-0.370268505478119
"positive regulation of cellular process"	GO:0048522	2	isogroup259100	3.01000983069738
"positive regulation of cellular process"	GO:0048522	2	isogroup205016	-4.60961223298263
"positive regulation of cellular process"	GO:0048522	2	isogroup57318	-0.107897741202097
"positive regulation of cellular process"	GO:0048522	2	isogroup246490	1.53063486524605
"positive regulation of cellular process"	GO:0048522	2	isogroup219744	-0.311647888196242
"positive regulation of cellular process"	GO:0048522	2	isogroup268447	-0.751951083370819
"positive regulation of cellular process"	GO:0048522	2	isogroup189318	-0.222028543062227
"positive regulation of cellular process"	GO:0048522	2	isogroup116271	-0.450309283886829
"positive regulation of cellular process"	GO:0048522	2	isogroup209698	-0.40305533542869
"positive regulation of cellular process"	GO:0048522	2	isogroup184416	-0.355773590558306
"positive regulation of cellular process"	GO:0048522	2	isogroup117485	0.654683958489903
"positive regulation of cellular process"	GO:0048522	2	isogroup53603	-1.66948832789311
"positive regulation of cellular process"	GO:0048522	2	isogroup254412	1.18333586332159
"positive regulation of cellular process"	GO:0048522	2	isogroup42879	-12.8955608239305
