name	term	lev	seq	value
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup117472	-3.54942770641506
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup219744	1.55069393448045
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup160408	2.8842989255696
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup224528	-0.686482258294346
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup151406	-0.608559261527973
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup114947	-0.697977818568725
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup46881	-5.5190145977328
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup246322	0.241790832034188
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup270507	-0.896879005774218
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup219417	-0.455115062155858
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup213808	1.0330928318267
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup116630	-0.634050289943937
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup214815	0.033962396719653
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup202386	2.71471874759744
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup160906	-0.00663936997476943
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup56496	-1.38826484353755
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup196499	0.046071411001128
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup165919	0.360215509928416
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup163272	0.321736071742026
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup267643	0.575742424155237
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup114637	0.225677266918732
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup270033	-1.53779373985238
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup45919	3.71327426056207
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup263292	2.63433190282371
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup189963	1.162563872769
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup263870	-1.89948639859337
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup113740	0.216745014001121
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup266668	-0.120902938677307
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup57831	-0.464620197929674
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup241231	0.367170012069494
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup114714	-0.159862073474522
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup41066	1.00875716267434
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup45639	0.143203169322314
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup35627	-0.163932736860291
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup115886	-0.580318810089807
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup231585	0.248194099519096
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup264922	-0.926200450748016
"response to extracellular stimulus"	GO:0031667;GO:0009991	4	isogroup56903	0.372479624922457
"histone modification"	GO:0016570;GO:0016569	2	isogroup41540	-1.29125693899374
"histone modification"	GO:0016570;GO:0016569	2	isogroup41639	-2.78714076260585
"histone modification"	GO:0016570;GO:0016569	2	isogroup266289	0.321184777181898
"histone modification"	GO:0016570;GO:0016569	2	isogroup117321	2.48972459858579
"histone modification"	GO:0016570;GO:0016569	2	isogroup117472	-3.54942770641506
"histone modification"	GO:0016570;GO:0016569	2	isogroup117057	0.93846717012219
"histone modification"	GO:0016570;GO:0016569	2	isogroup208265	0.186340759735123
"histone modification"	GO:0016570;GO:0016569	2	isogroup116946	-1.70970148047429
"histone modification"	GO:0016570;GO:0016569	2	isogroup254412	3.0198104696888
"histone modification"	GO:0016570;GO:0016569	2	isogroup267743	0.950103494597793
"histone modification"	GO:0016570;GO:0016569	2	isogroup40786	0.0213108149052242
"histone modification"	GO:0016570;GO:0016569	2	isogroup44069	2.71837303044565
"histone modification"	GO:0016570;GO:0016569	2	isogroup116592	0.348782827998539
"histone modification"	GO:0016570;GO:0016569	2	isogroup115714	-0.240409854107899
"histone modification"	GO:0016570;GO:0016569	2	isogroup48833	-0.424048091263576
"histone modification"	GO:0016570;GO:0016569	2	isogroup117270	0.415708592501138
"histone modification"	GO:0016570;GO:0016569	2	isogroup273949	1.94507952192473
"histone modification"	GO:0016570;GO:0016569	2	isogroup41177	-2.25306476078472
"histone modification"	GO:0016570;GO:0016569	2	isogroup243998	0.0438152154308671
"histone modification"	GO:0016570;GO:0016569	2	isogroup268505	-0.477713950348423
"histone modification"	GO:0016570;GO:0016569	2	isogroup113716	-2.13674872160342
"histone modification"	GO:0016570;GO:0016569	2	isogroup114239	3.71457478148419
"histone modification"	GO:0016570;GO:0016569	2	isogroup222795	0.0795230451718771
"histone modification"	GO:0016570;GO:0016569	2	isogroup40580	-1.82669228046957
"histone modification"	GO:0016570;GO:0016569	2	isogroup117119	-1.95297920145122
"regulation of heart contraction"	GO:0008016	3	isogroup242503	-1.02581409474639
"regulation of heart contraction"	GO:0008016	3	isogroup154018	-0.622823561393888
"regulation of heart contraction"	GO:0008016	3	isogroup200205	0.3487115740464
"regulation of heart contraction"	GO:0008016	3	isogroup206080	0.558480136058319
"regulation of heart contraction"	GO:0008016	3	isogroup53418	0.686430524444681
"regulation of heart contraction"	GO:0008016	3	isogroup43215	0.714363145584274
"regulation of heart contraction"	GO:0008016	3	isogroup256556	0.268200907465412
"regulation of heart contraction"	GO:0008016	3	isogroup159440	1.20953961856736
"regulation of heart contraction"	GO:0008016	3	isogroup182012	0.545981591071764
"regulation of heart contraction"	GO:0008016	3	isogroup52154	-1.4925863227102
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup118529	0.269009088076399
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup265492	-1.03934704934537
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup116271	-1.87872190755436
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup41174	0.226949197934726
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup53603	-0.759410263766794
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup160043	0.859965178114427
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup113805	0.629672885725345
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup267626	0.556791136848122
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup41177	-2.25306476078472
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup265405	-0.934088489426991
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup268083	0.393362536213804
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup114744	0.218803972354291
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup49025	-0.13061755841894
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup246134	1.10793947418852
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup260957	-0.98155761930816
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup55691	1.60338667682418
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup113782	0.376267550179984
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup177124	-1.35477034251098
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup119310	-3.06458424682215
"negative regulation of phosphorus metabolic process"	GO:0045936;GO:0010563;GO:0042326	3	isogroup115690	1.39534019277323
"nucleus organization"	GO:0006997	3	isogroup113851	0.535750144882946
"nucleus organization"	GO:0006997	3	isogroup44015	0.621683342677331
"nucleus organization"	GO:0006997	3	isogroup113734	-1.44822382884919
"nucleus organization"	GO:0006997	3	isogroup183116	-2.1981244914149
"nucleus organization"	GO:0006997	3	isogroup175733	-0.71503467405835
"DNA duplex unwinding"	GO:0032508;GO:0032392	7	isogroup174036	0.0284593311019103
"DNA duplex unwinding"	GO:0032508;GO:0032392	7	isogroup259982	1.28116763802842
"DNA duplex unwinding"	GO:0032508;GO:0032392	7	isogroup239382	1.38434730854552
"DNA duplex unwinding"	GO:0032508;GO:0032392	7	isogroup252818	0.0251048842989362
"DNA duplex unwinding"	GO:0032508;GO:0032392	7	isogroup259391	1.81998114851267
"phospholipid biosynthetic process"	GO:0008654	2	isogroup40527	2.50353997842255
"phospholipid biosynthetic process"	GO:0008654	2	isogroup207102	-0.611379881311561
"phospholipid biosynthetic process"	GO:0008654	2	isogroup267681	0.552600910912926
"phospholipid biosynthetic process"	GO:0008654	2	isogroup174782	-0.20298341526315
