name	term	lev	seq	value
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup249353	-1.13894113153816
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup117511	-0.249500617654224
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup241228	-1.00805630689617
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup203790	-5.87410860673399
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup162379	-1.4206914650449
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup165590	0.119818108589493
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup230714	1.01448842463913
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup250231	0.35405308691783
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup265513	0.306839059099103
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup247296	2.19603013239924
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup165601	-2.69284441164352
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup117193	-2.71800593989454
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup153279	1.25750244635726
"flavin adenine dinucleotide binding"	GO:0050660	3	isogroup240707	-2.07487711877286
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup244010	-2.16290260729959
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup113813	1.65296443132629
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup241489	1.91023468038976
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup212154	0.256736089805147
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup266811	0.256553095262953
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup41419	-1.24610697854831
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup158995	-0.424029493486532
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup264139	2.31985244575539
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup115848	2.38256479274437
"transferase activity, transferring alkyl or aryl (other than methyl) groups"	GO:0016765	3	isogroup157411	-1.69355106875328
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup201833	0.972041493777921
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup45948	-1.77669915149862
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup81059	0.327693349274498
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup42879	-12.8955608239305
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup235957	-0.536637340650157
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup257153	0.936281792676775
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup44688	-0.127961922672979
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup189815	0.824351882503887
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup54105	3.57074679498586
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup229476	-7.19429010297376
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup114106	1.16289855571423
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup211542	0.0425772407548038
"cysteine-type endopeptidase activity"	GO:0004197	2	isogroup166040	2.44833724349372
"tubulin binding"	GO:0015631	2	isogroup268447	-0.751951083370819
"tubulin binding"	GO:0015631	2	isogroup190297	5.18389389510873
"tubulin binding"	GO:0015631	2	isogroup209139	2.61934034284576
