"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
99 0.60812793843275 3 5 "GO:0000018" "regulation of DNA recombination" 0.981958951256457
104 0.590725455994359 6 5 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.981958951256457
193 0.235878718328069 2 7 "GO:0000096;GO:0000097" "sulfur amino acid metabolic process" 0.855996250095954
39 0.699271195446527 6 18 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.981958951256457
-235 0.222443098872153 5 5 "GO:0000165;GO:0023014" "MAPK cascade" 0.847912593780493
-48 0.726983535175734 2 10 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.981958951256457
10 0.913798373911618 2 21 "GO:0000209" "protein polyubiquitination" 0.991984989771879
-44 0.594686639659272 4 28 "GO:0000226" "microtubule cytoskeleton organization" 0.981958951256457
-12 0.889384076368208 3 27 "GO:0000272" "polysaccharide catabolic process" 0.990751423534815
95 0.366850862785616 2 17 "GO:0000278" "mitotic cell cycle" 0.935970426536317
-310 0.107121173496864 2 5 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.782897240815636
165 0.348790990365045 3 6 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.930778409815235
51 0.542206174406491 4 27 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.981958951256457
150 0.0906480308268678 2 24 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.740786859133757
-13 0.931905464949189 3 8 "GO:0000737;GO:0006308" "DNA catabolic process" 0.991984989771879
-3 0.983974729988047 3 11 "GO:0000904;GO:0000902" "cell morphogenesis" 0.998653574313638
-119 0.360483714651642 4 11 "GO:0000910;GO:0000281" "cytokinesis" 0.934638698854733
-138 0.154542424243262 6 20 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.836643610051047
11 0.897893815304619 3 26 "GO:0001101" "response to acid" 0.991616816334723
-230 0.191036151149412 2 6 "GO:0001505" "regulation of neurotransmitter levels" 0.836643610051047
-64 0.579323219702009 2 14 "GO:0001508" "action potential" 0.981958951256457
-146 0.448506916591109 5 5 "GO:0001516;GO:0006693;GO:0046457;GO:0006692" "prostanoid metabolic process" 0.966050782551452
-32 0.842297598754667 3 7 "GO:0001525" "angiogenesis" 0.984126470016226
-60 0.694031677825244 2 8 "GO:0001558" "regulation of cell growth" 0.981958951256457
-4 0.97793572903503 2 8 "GO:0001649" "osteoblast differentiation" 0.997970263816798
54 0.605786973192691 4 17 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.981958951256457
-219 0.126691109040103 3 9 "GO:0001676" "long-chain fatty acid metabolic process" 0.824463290950752
