"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
54 0.272179966355557 4 83 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.86487254101632
155 0.425856849105071 3 5 "GO:0000178" "exosome (RNase complex)" 0.882839713123352
-18 0.927945454932306 3 5 "GO:0000228" "nuclear chromosome" 0.977019493414303
203 0.160707763790262 2 9 "GO:0000242" "pericentriolar material" 0.85268563720409
-144 0.459627917205375 5 5 "GO:0000325" "plant-type vacuole" 0.882839713123352
-111 0.566598429602827 2 5 "GO:0000329" "fungal-type vacuole membrane" 0.882839713123352
-130 0.28157859926986 3 13 "GO:0000502" "proteasome complex" 0.86487254101632
46 0.81491920881571 4 5 "GO:0000775" "chromosome, centromeric region" 0.961173511501559
32 0.855839428049333 2 6 "GO:0000776;GO:0000777" "kinetochore" 0.961173511501559
178 0.219597423411311 2 9 "GO:0000781" "chromosome, telomeric region" 0.86487254101632
336 0.0578970760191477 2 6 "GO:0000784" "nuclear chromosome, telomeric region" 0.718911129328298
-9 0.922281719923227 4 24 "GO:0000785" "chromatin" 0.977019493414303
-78 0.571749029533822 5 10 "GO:0000790" "nuclear chromatin" 0.882839713123352
58 0.689198058365077 2 9 "GO:0000922" "spindle pole" 0.927881160679757
20 0.870585535811753 4 13 "GO:0000932;GO:0035770" "ribonucleoprotein granule" 0.963484681814931
103 0.530578124859661 6 7 "GO:0001518;GO:0034706" "sodium channel complex" 0.882839713123352
43 0.82375626282631 2 5 "GO:0001669" "acrosomal vesicle" 0.961173511501559
471 0.0152616505664755 2 5 "GO:0001750" "photoreceptor outer segment" 0.520541388289607
24 0.647326469104504 1 73 "GO:0005576" "extracellular region" 0.895850624967335
34 0.823001926270336 2 8 "GO:0005578;GO:0031012" "extracellular matrix" 0.961173511501559
-80 0.261737325029987 2 38 "GO:0005615" "extracellular space" 0.86487254101632
22 0.780315223164104 2 30 "GO:0005618;GO:0030312" "cell wall" 0.961173511501559
101 0.31265443320725 2 19 "GO:0005622" "intracellular" 0.879958970521079
-97 0.284540065424458 2 23 "GO:0005635" "nuclear envelope" 0.86487254101632
-201 0.110383649915042 2 12 "GO:0005643;GO:0046930" "nuclear pore" 0.779807075206264
-92 0.080993033605807 2 71 "GO:0005654" "nucleoplasm" 0.72019889853454
38 0.81853043479578 5 7 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 0.961173511501559
-127 0.0289912002575194 2 58 "GO:0005681" "spliceosomal complex" 0.718911129328298
-295 0.128835864513642 4 5 "GO:0005684" "U2-type spliceosomal complex" 0.85268563720409
-106 0.223420173471142 4 25 "GO:0005694" "chromosome" 0.86487254101632
37 0.421926928776317 2 94 "GO:0005730" "nucleolus" 0.882839713123352
20 0.638001790061363 3 115 "GO:0005739" "mitochondrion" 0.895850624967335
-37 0.760409531417515 3 13 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.961173511501559
-53 0.44743748873453 3 39 "GO:0005743;GO:0019866" "organelle inner membrane" 0.882839713123352
58 0.526485912707119 2 23 "GO:0005759" "mitochondrial matrix" 0.882839713123352
-52 0.467981775389243 2 38 "GO:0005764;GO:0000323" "lytic vacuole" 0.882839713123352
138 0.179159081987828 2 18 "GO:0005765" "lysosomal membrane" 0.85268563720409
18 0.816298996977437 2 32 "GO:0005768" "endosome" 0.961173511501559
129 0.468282725760389 5 6 "GO:0005769" "early endosome" 0.882839713123352
81 0.574691743706897 5 9 "GO:0005770" "late endosome" 0.882839713123352
-38 0.50692240152144 2 61 "GO:0005773" "vacuole" 0.882839713123352
106 0.041914833505002 4 73 "GO:0005774;GO:0044437" "vacuolar part" 0.718911129328298
192 0.241688561913186 4 7 "GO:0005775" "vacuolar lumen" 0.86487254101632
135 0.411554775188038 5 7 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.882839713123352
79 0.0850653050310717 2 96 "GO:0005783" "endoplasmic reticulum" 0.72019889853454
30 0.73077347857122 4 25 "GO:0005788" "endoplasmic reticulum lumen" 0.958319711419744
28 0.548607480445994 4 90 "GO:0005789" "endoplasmic reticulum membrane" 0.882839713123352
-151 0.437966473501938 4 5 "GO:0005791" "rough endoplasmic reticulum" 0.882839713123352
188 0.332598226722588 3 5 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.879958970521079
21 0.630237190335101 2 111 "GO:0005794" "Golgi apparatus" 0.895850624967335
-342 0.0375458703705808 2 7 "GO:0005795" "Golgi stack" 0.718911129328298
-90 0.47327647041811 4 12 "GO:0005802" "trans-Golgi network" 0.882839713123352
74 0.58980050795228 2 10 "GO:0005811" "lipid particle" 0.882839713123352
-36 0.581732395398366 2 45 "GO:0005813" "centrosome" 0.882839713123352
-126 0.296780896796143 3 13 "GO:0005814" "centriole" 0.866600218644738
24 0.665551072672395 2 62 "GO:0005815" "microtubule organizing center" 0.910973030720341
6 0.953102784003307 2 18 "GO:0005819" "spindle" 0.987261897611975
-89 0.162420432618003 3 48 "GO:0005840" "ribosome" 0.85268563720409
-188 0.289863255279154 2 6 "GO:0005844" "polysome" 0.86487254101632
96 0.560197821919247 2 7 "GO:0005849" "mRNA cleavage factor complex" 0.882839713123352
-27 0.600030262052178 2 75 "GO:0005856" "cytoskeleton" 0.882839713123352
-36 0.855260674006024 4 5 "GO:0005868" "cytoplasmic dynein complex" 0.961173511501559
156 0.0750687987920101 2 25 "GO:0005871" "kinesin complex" 0.72019889853454
120 0.0410811623249589 2 57 "GO:0005874" "microtubule" 0.718911129328298
73 0.28566409241083 2 41 "GO:0005875" "microtubule associated complex" 0.86487254101632
74 0.701788875097722 3 5 "GO:0005881" "cytoplasmic microtubule" 0.937144900282934
30 0.690614745163472 2 34 "GO:0005887" "integral component of plasma membrane" 0.927881160679757
187 0.222834568190154 2 8 "GO:0005891;GO:0034704" "calcium channel complex" 0.86487254101632
-115 0.0679321323838488 2 49 "GO:0005911" "cell-cell junction" 0.72019889853454
-2 0.992846521377683 3 6 "GO:0005912;GO:0070161" "adherens junction" 0.996101746240889
-62 0.749854956310726 3 5 "GO:0005923;GO:0070160" "tight junction" 0.961173511501559
-3 0.9571558962047 3 55 "GO:0005929" "cilium" 0.987261897611975
19 0.885363258034136 3 11 "GO:0005930" "axoneme" 0.964649519947641
81 0.500418800602078 4 13 "GO:0005938" "cell cortex" 0.882839713123352
-139 0.364617542295809 2 8 "GO:0005952;GO:1902554;GO:1902911" "serine/threonine protein kinase complex" 0.882839713123352
-101 0.570900965749745 5 6 "GO:0008076;GO:0034705" "potassium channel complex" 0.882839713123352
-83 0.638699210322632 4 6 "GO:0008180" "COP9 signalosome" 0.895850624967335
162 0.405725118918807 2 5 "GO:0009277" "fungal-type cell wall" 0.882839713123352
-129 0.508004433228656 4 5 "GO:0009505" "plant-type cell wall" 0.882839713123352
-110 0.198766046415 2 26 "GO:0009506" "plasmodesma" 0.86487254101632
53 0.242112259790832 5 99 "GO:0009507;GO:0009536" "plastid" 0.86487254101632
0 0.996101746240889 3 25 "GO:0009521;GO:0030076;GO:0009523" "photosystem" 0.996101746240889
-21 0.906465790647323 4 6 "GO:0009524" "phragmoplast" 0.968370771472018
263 0.0693493086643887 2 9 "GO:0009534;GO:0031976;GO:0031984" "organelle subcompartment" 0.72019889853454
31 0.559615651691158 5 68 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 0.882839713123352
94 0.292240036690446 5 24 "GO:0009570;GO:0009532" "chloroplast stroma" 0.86487254101632
155 0.236507742319317 3 11 "GO:0009579" "thylakoid" 0.86487254101632
57 0.524209837311301 3 24 "GO:0009941;GO:0009526" "plastid envelope" 0.882839713123352
-161 0.0555262709577172 2 27 "GO:0009986" "cell surface" 0.718911129328298
132 0.0578808423229247 3 40 "GO:0010008;GO:0044440" "endosomal part" 0.718911129328298
192 0.184219583743895 2 9 "GO:0010287" "plastoglobule" 0.85268563720409
-74 0.650412097579024 2 7 "GO:0012505" "endomembrane system" 0.895850624967335
51 0.712996364069199 2 10 "GO:0014069" "postsynaptic density" 0.940639781512979
-103 0.596346374091096 6 5 "GO:0015030" "Cajal body" 0.882839713123352
147 0.337998751539645 2 8 "GO:0015629" "actin cytoskeleton" 0.879958970521079
27 0.844756852095817 5 10 "GO:0015630" "microtubule cytoskeleton" 0.961173511501559
-223 0.0125782031341475 2 24 "GO:0015934" "large ribosomal subunit" 0.520541388289607
-187 0.0855030655794431 3 16 "GO:0015935" "small ribosomal subunit" 0.72019889853454
-47 0.416726780247814 4 58 "GO:0016023;GO:0031410" "cytoplasmic vesicle" 0.882839713123352
183 0.207949238450727 4 9 "GO:0016282;GO:0070993;GO:0033290;GO:0005852" "eukaryotic 43S preinitiation complex" 0.86487254101632
-73 0.456264036078281 2 20 "GO:0016323" "basolateral plasma membrane" 0.882839713123352
164 0.16011063288625 2 14 "GO:0016324" "apical plasma membrane" 0.85268563720409
-115 0.517057353505038 4 6 "GO:0016363" "nuclear matrix" 0.882839713123352
-6 0.971064947778089 2 7 "GO:0016459" "myosin complex" 0.987261897611975
-93 0.230667177554613 6 32 "GO:0016607;GO:0016604" "nuclear body" 0.86487254101632
190 0.32695677867367 2 5 "GO:0019897" "extrinsic component of plasma membrane" 0.879958970521079
126 0.383203917074379 2 9 "GO:0019898" "extrinsic component of membrane" 0.882839713123352
-306 0.00863087944738599 4 14 "GO:0022625" "cytosolic large ribosomal subunit" 0.472540649744383
-125 0.341114353647925 4 11 "GO:0022626" "cytosolic ribosome" 0.879958970521079
-163 0.289725432265809 2 8 "GO:0022627" "cytosolic small ribosomal subunit" 0.86487254101632
79 0.68424524678418 3 5 "GO:0030014" "CCR4-NOT complex" 0.927881160679757
-75 0.167398689954885 1 66 "GO:0030054" "cell junction" 0.85268563720409
143 0.35178246850952 3 8 "GO:0030117" "membrane coat" 0.879958970521079
-116 0.513401384281745 4 6 "GO:0030131;GO:0030119" "AP-type membrane coat adaptor complex" 0.882839713123352
-132 0.49681005382441 2 5 "GO:0030133" "transport vesicle" 0.882839713123352
-36 0.814103395414541 3 8 "GO:0030136;GO:0030135" "coated vesicle" 0.961173511501559
13 0.897486830439524 2 18 "GO:0030139;GO:0045335" "endocytic vesicle" 0.968224708700767
141 0.331293388290071 2 9 "GO:0030141" "secretory granule" 0.879958970521079
138 0.270614447567117 3 12 "GO:0030176" "integral component of endoplasmic reticulum membrane" 0.86487254101632
-148 0.336351890951518 3 8 "GO:0030286" "dynein complex" 0.879958970521079
182 0.209625288957316 2 9 "GO:0030424" "axon" 0.86487254101632
-172 0.0590885859721889 2 23 "GO:0030425" "dendrite" 0.718911129328298
-66 0.709660942605423 3 6 "GO:0030426" "growth cone" 0.940639781512979
-106 0.442777061059441 2 10 "GO:0030427" "site of polarized growth" 0.882839713123352
143 0.218232504817919 2 14 "GO:0030496" "midbody" 0.86487254101632
-97 0.0041241958495631 2 188 "GO:0030529" "ribonucleoprotein complex" 0.301066297018106
-321 0.0504017313264998 3 7 "GO:0030532" "small nuclear ribonucleoprotein complex" 0.718911129328298
-197 0.267264373758624 5 6 "GO:0030658" "transport vesicle membrane" 0.86487254101632
-14 0.872538658326122 4 26 "GO:0030659;GO:0012506" "vesicle membrane" 0.963484681814931
-293 0.0431673574148774 5 9 "GO:0030662" "coated vesicle membrane" 0.718911129328298
179 0.355788220154285 5 5 "GO:0030666" "endocytic vesicle membrane" 0.879958970521079
-23 0.87941278615741 5 8 "GO:0030673;GO:0032589;GO:0030863" "cortical cytoskeleton" 0.963484681814931
-152 0.354876756181813 3 7 "GO:0031201" "SNARE complex" 0.879958970521079
77 0.616988153344881 2 8 "GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.894837123063106
-4 0.973737762028249 2 17 "GO:0031253" "cell projection membrane" 0.987261897611975
-35 0.810117308035879 2 9 "GO:0031256" "leading edge membrane" 0.961173511501559
178 0.0930502557258075 2 17 "GO:0031301" "integral component of organelle membrane" 0.725432682636285
-71 0.590132278155439 4 11 "GO:0031430" "M band" 0.882839713123352
-86 0.357608896695781 4 22 "GO:0031461;GO:0000151" "ubiquitin ligase complex" 0.879958970521079
