"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
60 0.220794110951617 3 83 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.939191196443016
226 0.244333783096976 2 5 "GO:0000178" "exosome (RNase complex)" 0.939191196443016
144 0.459627917205375 4 5 "GO:0000228" "nuclear chromosome" 0.986198736021103
165 0.255391305155438 5 9 "GO:0000242" "pericentriolar material" 0.939191196443016
-41 0.833422198050069 5 5 "GO:0000325" "plant-type vacuole" 0.999743615023367
4 0.983921329556138 5 5 "GO:0000329" "fungal-type vacuole membrane" 0.999743615023367
-174 0.148631412988325 2 13 "GO:0000502" "proteasome complex" 0.939191196443016
-5 0.978975056841036 2 5 "GO:0000775" "chromosome, centromeric region" 0.999743615023367
-75 0.672095155315679 4 6 "GO:0000776;GO:0000777" "kinetochore" 0.986198736021103
73 0.615835333498483 2 9 "GO:0000781" "chromosome, telomeric region" 0.986198736021103
192 0.278826495156631 2 6 "GO:0000784" "nuclear chromosome, telomeric region" 0.939191196443016
19 0.832868656506821 4 24 "GO:0000785" "chromatin" 0.999743615023367
-88 0.523032127033977 2 10 "GO:0000790" "nuclear chromatin" 0.986198736021103
-63 0.666054808951753 4 9 "GO:0000922" "spindle pole" 0.986198736021103
87 0.473442413655423 2 13 "GO:0000932;GO:0035770" "ribonucleoprotein granule" 0.986198736021103
90 0.585778293231988 2 7 "GO:0001518;GO:0034706" "voltage-gated sodium channel complex" 0.986198736021103
74 0.704089181499446 3 5 "GO:0001669" "acrosomal vesicle" 0.986198736021103
238 0.221280065670713 3 5 "GO:0001750" "photoreceptor outer segment" 0.939191196443016
0 0.992600391103948 1 73 "GO:0005576" "extracellular region" 0.999743615023367
-21 0.889744241208067 2 8 "GO:0005578;GO:0031012" "extracellular matrix" 0.999743615023367
-116 0.103524963790842 2 38 "GO:0005615" "extracellular space" 0.939191196443016
-85 0.289096054321461 2 30 "GO:0005618;GO:0030312" "cell wall" 0.939191196443016
-12 0.903969224426767 2 19 "GO:0005622" "intracellular" 0.999743615023367
-57 0.52902106561518 2 23 "GO:0005635" "nuclear envelope" 0.986198736021103
-237 0.0590239154591164 4 12 "GO:0005643;GO:0046930" "nuclear pore" 0.939191196443016
-54 0.302391234475625 2 71 "GO:0005654" "nucleoplasm" 0.939191196443016
-21 0.898111882417444 2 7 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 0.999743615023367
-126 0.0294717710485465 3 58 "GO:0005681" "spliceosomal complex" 0.939191196443016
-93 0.634130954293398 4 5 "GO:0005684" "U2-type spliceosomal complex" 0.986198736021103
0 0.997586789370416 4 25 "GO:0005694" "chromosome" 0.999743615023367
70 0.132190709489935 3 94 "GO:0005730" "nucleolus" 0.939191196443016
55 0.193451443232479 4 115 "GO:0005739" "mitochondrion" 0.939191196443016
-43 0.724463302937886 3 13 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.991609145896231
-29 0.681477231106176 4 39 "GO:0005743;GO:0019866" "organelle inner membrane" 0.986198736021103
141 0.121229307052504 2 23 "GO:0005759" "mitochondrial matrix" 0.939191196443016
