"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
195 0.242540737640808 2 7 "GO:0000049" "tRNA binding" 0.781520154620381
139 0.343602026793573 2 9 "GO:0000149" "SNARE binding" 0.854096466601167
-173 0.217016589252637 6 10 "GO:0000175;GO:0008408;GO:0016896;GO:0004532;GO:0016796" "exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters" 0.755217730599177
-53 0.534561219121719 2 27 "GO:0000287" "magnesium ion binding" 0.901516111800369
105 0.594376656601121 3 5 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.901516111800369
289 0.0640522629044667 4 8 "GO:0001047" "core promoter binding" 0.479325098234178
-18 0.702769841762516 4 97 "GO:0003677" "DNA binding" 0.926378427777862
-219 0.2238454502045 8 6 "GO:0003678" "DNA helicase activity" 0.758748863680188
-65 0.59411132188718 2 13 "GO:0003682" "chromatin binding" 0.901516111800369
43 0.828866848198332 5 5 "GO:0003684" "damaged DNA binding" 0.975537252469465
171 0.274509552426494 6 8 "GO:0003690" "double-stranded DNA binding" 0.809702458674592
-57 0.752492735265687 3 6 "GO:0003697" "single-stranded DNA binding" 0.972280217348239
-71 0.648381941636155 2 8 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.906962618528038
-378 0.0101642595900168 2 9 "GO:0003713;GO:0003712;GO:0000989;GO:0000988" "transcription cofactor activity" 0.221072646082865
-468 0.00504714632886466 8 7 "GO:0003724" "RNA helicase activity" 0.131730519183368
132 0.502968384580766 5 5 "GO:0003727" "single-stranded RNA binding" 0.901516111800369
-53 0.623438063919845 3 17 "GO:0003729" "mRNA binding" 0.906962618528038
-127 0.415980469841888 2 8 "GO:0003730" "mRNA 3'-UTR binding" 0.901516111800369
109 0.0911487192914393 2 48 "GO:0003735" "structural constituent of ribosome" 0.50616629223544
122 0.228830828245894 2 19 "GO:0003743" "translation initiation factor activity" 0.763965955859398
366 0.0189729107550957 2 8 "GO:0003746" "translation elongation factor activity" 0.288082109717447
98 0.175861186116804 3 38 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.719664646969861
-52 0.726638481087532 2 9 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.943545490367392
-81 0.326110395497388 4 29 "GO:0003777;GO:0003774" "motor activity" 0.843203661975
-291 0.0626770638891113 3 8 "GO:0003779" "actin binding" 0.479325098234178
-36 0.855121702677587 5 5 "GO:0003899;GO:0034062" "RNA polymerase activity" 0.975537252469465
47 0.600209526008085 3 25 "GO:0003924" "GTPase activity" 0.901516111800369
8 0.938153567336152 2 21 "GO:0003950;GO:0016763" "transferase activity, transferring pentosyl groups" 0.978137699575888
-137 0.303796526271372 2 11 "GO:0003993" "acid phosphatase activity" 0.825946805800293
-565 0.0041708144472494 3 5 "GO:0004004;GO:0008186" "ATP-dependent RNA helicase activity" 0.131730519183368
-199 0.312700637020489 5 5 "GO:0004065;GO:0008484" "arylsulfatase activity" 0.832804757779057
106 0.0686454307325273 5 59 "GO:0004175" "endopeptidase activity" 0.479325098234178
66 0.6913609561736 3 7 "GO:0004177" "aminopeptidase activity" 0.925360049032357
-28 0.877823127583743 3 6 "GO:0004180" "carboxypeptidase activity" 0.975537252469465
-71 0.671174184072849 2 7 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.917154251534103
22 0.832066381635272 6 19 "GO:0004197" "cysteine-type endopeptidase activity" 0.975537252469465
-87 0.601847085528407 2 7 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.901516111800369
-105 0.595786065770481 2 5 "GO:0004221" "ubiquitin thiolesterase activity" 0.901516111800369
226 0.0765070784117114 2 12 "GO:0004222" "metalloendopeptidase activity" 0.481658300871688
75 0.523836530508163 2 14 "GO:0004252" "serine-type endopeptidase activity" 0.901516111800369
322 0.0736864658217355 6 6 "GO:0004298;GO:0070003" "threonine-type endopeptidase activity" 0.481658300871688
-68 0.513516738334129 2 18 "GO:0004312" "fatty acid synthase activity" 0.901516111800369
-352 0.0746442959859923 2 5 "GO:0004314;GO:0016419;GO:0016420" "[acyl-carrier-protein] S-malonyltransferase activity" 0.481658300871688
32 0.801758653786053 6 12 "GO:0004315" "3-oxoacyl-[acyl-carrier-protein] synthase activity" 0.975537252469465
-76 0.701737571086461 4 5 "GO:0004364" "glutathione transferase activity" 0.926378427777862
-67 0.382890319321552 3 34 "GO:0004386" "helicase activity" 0.876617310025658
