"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-64 0.744889375601788 2 9 "GO:0000049" "tRNA binding" 0.998053360544276
55 0.780163587569765 3 9 "GO:0000149" "SNARE binding" 0.998053360544276
-179 0.494310910862581 3 5 "GO:0000155;GO:0004673;GO:0016775" "phosphotransferase activity, nitrogenous group as acceptor" 0.934035340771012
-476 0.0316474605160132 3 7 "GO:0000175" "3'-5'-exoribonuclease activity" 0.762503967927016
-59 0.555721239778459 5 35 "GO:0000287" "magnesium ion binding" 0.938961266690684
6 0.979594318324008 4 7 "GO:0000979;GO:0000977;GO:0001046;GO:0000976;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.998053360544276
81 0.696631554608518 3 8 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase II core binding" 0.998053360544276
-10 0.951998633966964 3 13 "GO:0001047" "core promoter binding" 0.998053360544276
-308 0.239952240548284 6 5 "GO:0001162;GO:0001161;GO:0044213" "intronic transcription regulatory region DNA binding" 0.863422113502854
7 0.897166975257476 2 130 "GO:0003677" "DNA binding" 0.998053360544276
163 0.460991434069532 2 7 "GO:0003678" "DNA helicase activity" 0.934035340771012
55 0.699239063018472 2 17 "GO:0003682" "chromatin binding" 0.998053360544276
71 0.766597855316249 4 6 "GO:0003684" "damaged DNA binding" 0.998053360544276
-165 0.398891591668116 5 9 "GO:0003690" "double-stranded DNA binding" 0.934035340771012
7 0.976495558742997 5 7 "GO:0003697" "single-stranded DNA binding" 0.998053360544276
-167 0.394118219761645 2 9 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.934035340771012
-43 0.800815774981899 2 12 "GO:0003713;GO:0003712;GO:0000989;GO:0000988" "transcription cofactor activity" 0.998053360544276
112 0.639682974199785 5 6 "GO:0003727" "single-stranded RNA binding" 0.979559168700021
50 0.705442697284848 2 20 "GO:0003729" "mRNA binding" 0.998053360544276
-169 0.386866543868526 2 9 "GO:0003730" "mRNA 3'-UTR binding" 0.934035340771012
44 0.549396303398689 2 65 "GO:0003735" "structural constituent of ribosome" 0.938961266690684
76 0.54364511469028 5 22 "GO:0003743" "translation initiation factor activity" 0.938961266690684
344 0.0633606575042698 6 10 "GO:0003746" "translation elongation factor activity" 0.762503967927016
-7 0.936684936533781 2 51 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.998053360544276
-1 0.998053360544276 4 10 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.998053360544276
-206 0.0358830282124226 4 36 "GO:0003777;GO:0003774" "motor activity" 0.762503967927016
206 0.3199694105499 4 8 "GO:0003779" "actin binding" 0.934035340771012
497 0.0109607249253532 5 9 "GO:0003899;GO:0034062" "DNA-directed RNA polymerase activity" 0.762503967927016
-99 0.307459192283842 3 37 "GO:0003924" "GTPase activity" 0.926799967424809
-79 0.491565492450797 2 26 "GO:0003950;GO:0016763" "transferase activity, transferring pentosyl groups" 0.934035340771012
-344 0.051533913821188 2 11 "GO:0003993" "acid phosphatase activity" 0.762503967927016
12 0.950068839092251 3 10 "GO:0004004;GO:0003724;GO:0008186" "RNA helicase activity" 0.998053360544276
-159 0.544941333022609 4 5 "GO:0004065;GO:0008484" "sulfuric ester hydrolase activity" 0.938961266690684
158 0.508975694186301 2 6 "GO:0004144" "diacylglycerol O-acyltransferase activity" 0.938961266690684
11 0.879852413132334 5 72 "GO:0004175" "endopeptidase activity" 0.998053360544276
164 0.376986850164809 2 10 "GO:0004177" "aminopeptidase activity" 0.934035340771012
-30 0.892091671874033 6 7 "GO:0004180" "carboxypeptidase activity" 0.998053360544276
213 0.336420750800485 2 7 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.934035340771012
-101 0.357831654368885 2 29 "GO:0004197" "cysteine-type endopeptidase activity" 0.934035340771012
-148 0.380915054731908 3 12 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.934035340771012
-1 0.997036828392396 2 9 "GO:0004221" "ubiquitin thiolesterase activity" 0.998053360544276
262 0.122060425137663 6 12 "GO:0004222" "metalloendopeptidase activity" 0.780430416207197
11 0.940066060188556 2 17 "GO:0004252" "serine-type endopeptidase activity" 0.998053360544276
-280 0.241085395328719 5 6 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 0.863422113502854
201 0.136141603913174 4 19 "GO:0004312" "fatty acid synthase activity" 0.780430416207197
529 0.0270599721920716 4 6 "GO:0004314;GO:0016419;GO:0016420" "malonyltransferase activity" 0.762503967927016
37 0.826174940362878 2 12 "GO:0004315" "3-oxoacyl-[acyl-carrier-protein] synthase activity" 0.998053360544276
-31 0.89569006436291 3 6 "GO:0004332;GO:0016832" "aldehyde-lyase activity" 0.998053360544276
-179 0.49334393188984 2 5 "GO:0004364" "glutathione transferase activity" 0.934035340771012
-50 0.557889324040244 3 48 "GO:0004386" "helicase activity" 0.938961266690684
-14 0.918207469470362 3 19 "GO:0004497" "monooxygenase activity" 0.998053360544276
-56 0.61881749942965 4 27 "GO:0004518" "nuclease activity" 0.97219490300521
-23 0.887795326791701 2 13 "GO:0004519" "endonuclease activity" 0.998053360544276
-81 0.758489416555719 3 5 "GO:0004520;GO:0004536" "endodeoxyribonuclease activity" 0.998053360544276
-212 0.19333329227196 2 13 "GO:0004540" "ribonuclease activity" 0.810058667260038
-99 0.195491191576316 4 60 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.810058667260038
8 0.974647238361197 4 5 "GO:0004596;GO:0034212" "peptide N-acetyltransferase activity" 0.998053360544276
-27 0.844207768006648 2 19 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.998053360544276
