"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
16 0.933292420955785 3 9 "GO:0000049" "tRNA binding" 0.98978489729642
-438 0.0251287687911135 3 9 "GO:0000149" "SNARE binding" 0.457630244627365
478 0.0678459748111931 4 5 "GO:0000155;GO:0004673;GO:0016775" "phosphorelay sensor kinase activity" 0.633229098237802
363 0.101435787197853 2 7 "GO:0000175" "3'-5'-exoribonuclease activity" 0.706800157423255
45 0.654104882562268 4 35 "GO:0000287" "magnesium ion binding" 0.947866386295515
-22 0.919795564440851 3 7 "GO:0000979;GO:0000977;GO:0001046;GO:0000976;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.98978489729642
-172 0.407722046020097 4 8 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.896988501244213
-412 0.0114235266081152 2 13 "GO:0001047" "core promoter binding" 0.414530088963732
-96 0.715186520185154 2 5 "GO:0001162;GO:0001161;GO:0044213" "RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding" 0.951472357001376
-100 0.0584367363227825 2 130 "GO:0003677" "DNA binding" 0.633229098237802
210 0.342312578796974 2 7 "GO:0003678" "DNA helicase activity" 0.866105589933723
-160 0.261520776260989 2 17 "GO:0003682" "chromatin binding" 0.864928996016347
55 0.817237678901413 4 6 "GO:0003684" "damaged DNA binding" 0.96406124740131
-383 0.050059579336873 5 9 "GO:0003690" "double-stranded DNA binding" 0.627885417497092
8 0.972364439116224 2 7 "GO:0003697" "single-stranded DNA binding" 0.98978489729642
-119 0.543430420543038 2 9 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.9181900560412
336 0.0474309490774442 2 12 "GO:0003713;GO:0003712;GO:0000989;GO:0000988" "transcription cofactor activity" 0.627885417497092
-219 0.360581243050611 4 6 "GO:0003727" "single-stranded RNA binding" 0.866105589933723
145 0.270439004003449 5 20 "GO:0003729" "mRNA binding" 0.864928996016347
181 0.355401349820858 2 9 "GO:0003730" "mRNA 3'-UTR binding" 0.866105589933723
-203 0.00582946456375787 2 65 "GO:0003735" "structural constituent of ribosome" 0.414530088963732
-7 0.956581871749638 5 22 "GO:0003743" "translation initiation factor activity" 0.98978489729642
-12 0.948773686662842 4 10 "GO:0003746" "translation elongation factor activity" 0.98978489729642
-47 0.574196925015258 2 51 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.9181900560412
