"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-5 0.978348661737168 3 9 "GO:0000049" "tRNA binding" 0.997160053084109
-321 0.100516721393778 3 9 "GO:0000149" "SNARE binding" 0.779127611385225
354 0.176864534101912 5 5 "GO:0000155;GO:0004673;GO:0016775" "protein histidine kinase activity" 0.779127611385225
62 0.779433288755682 2 7 "GO:0000175" "3'-5'-exoribonuclease activity" 0.983874807117828
31 0.754908134985964 2 35 "GO:0000287" "magnesium ion binding" 0.983874807117828
-21 0.924937638420895 5 7 "GO:0000979;GO:0000977;GO:0001046;GO:0000976;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.997160053084109
-105 0.613143828402038 4 8 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "basal RNA polymerase II transcription machinery binding" 0.933741293147675
-395 0.0152776285394759 3 13 "GO:0001047" "core promoter binding" 0.542140621247291
-270 0.301758796173482 8 5 "GO:0001162;GO:0001161;GO:0044213" "intronic transcription regulatory region sequence-specific DNA binding" 0.86057138167993
-89 0.093294017789381 2 130 "GO:0003677" "DNA binding" 0.779127611385225
322 0.145757633903039 8 7 "GO:0003678" "DNA helicase activity" 0.779127611385225
-159 0.264540884674258 2 17 "GO:0003682" "chromatin binding" 0.86057138167993
78 0.743747043818953 5 6 "GO:0003684" "damaged DNA binding" 0.983150598696298
-464 0.0174487203414866 2 9 "GO:0003690" "double-stranded DNA binding" 0.542140621247291
-49 0.825997987746522 2 7 "GO:0003697" "single-stranded DNA binding" 0.986025303075579
-221 0.258780211114827 2 9 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.86057138167993
325 0.0546655310830006 3 12 "GO:0003713;GO:0003712;GO:0000989;GO:0000988" "transcription cofactor activity" 0.732042764068008
-84 0.725836272716567 5 6 "GO:0003727" "single-stranded RNA binding" 0.980515666652205
159 0.226260671927463 2 20 "GO:0003729" "mRNA binding" 0.86057138167993
33 0.866825546074861 3 9 "GO:0003730" "mRNA 3'-UTR binding" 0.997160053084109
-195 0.0080374764728795 2 65 "GO:0003735" "structural constituent of ribosome" 0.542140621247291
53 0.672636453195749 2 22 "GO:0003743" "translation initiation factor activity" 0.953375036399961
211 0.255229805413548 6 10 "GO:0003746" "translation elongation factor activity" 0.86057138167993
-68 0.409478280270594 2 51 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.896895249645061
-108 0.560190320223219 3 10 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.922134638623702
-10 0.916279765640082 8 36 "GO:0003777;GO:0003774" "motor activity" 0.997160053084109
9 0.964481317682159 2 8 "GO:0003779" "actin binding" 0.997160053084109
29 0.883034656565441 6 9 "GO:0003899;GO:0034062" "DNA-directed RNA polymerase activity" 0.997160053084109
220 0.023659372524341 2 37 "GO:0003924" "GTPase activity" 0.585777881011969
190 0.0991653012164018 5 26 "GO:0003950;GO:0016763" "transferase activity, transferring pentosyl groups" 0.779127611385225
-7 0.967210882945038 4 11 "GO:0003993" "acid phosphatase activity" 0.997160053084109
123 0.507458902605765 2 10 "GO:0004004;GO:0003724;GO:0008186" "RNA helicase activity" 0.919529744843687
-147 0.574837177323866 3 5 "GO:0004065;GO:0008484" "arylsulfatase activity" 0.922134638623702
654 0.00619683079957104 2 6 "GO:0004144" "diacylglycerol O-acyltransferase activity" 0.542140621247291
62 0.374676158823998 2 72 "GO:0004175" "endopeptidase activity" 0.864490349740853
98 0.598014597002314 2 10 "GO:0004177" "aminopeptidase activity" 0.933741293147675
-87 0.693563850289681 3 7 "GO:0004180" "carboxypeptidase activity" 0.962163761522079
151 0.494309818530578 6 7 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.919529744843687
19 0.865247555014004 2 29 "GO:0004197" "cysteine-type endopeptidase activity" 0.997160053084109
84 0.618206877735434 2 12 "GO:0004198" "calcium-dependent cysteine-type endopeptidase activity" 0.933741293147675
130 0.505467525675904 2 9 "GO:0004221" "ubiquitin thiolesterase activity" 0.919529744843687
284 0.0930770772045623 2 12 "GO:0004222" "metalloendopeptidase activity" 0.779127611385225
0 1 2 17 "GO:0004252" "serine-type endopeptidase activity" 1
-220 0.357284753912746 3 6 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 0.864490349740853
30 0.821445845860817 5 19 "GO:0004312" "fatty acid synthase activity" 0.986025303075579
332 0.164607165661917 2 6 "GO:0004314;GO:0016419;GO:0016420" "[acyl-carrier-protein] S-malonyltransferase activity" 0.779127611385225
-133 0.431234986155391 2 12 "GO:0004315" "3-oxoacyl-[acyl-carrier-protein] synthase activity" 0.911758274443108
-27 0.910088048216967 2 6 "GO:0004332;GO:0016832" "aldehyde-lyase activity" 0.997160053084109
-558 0.032978509083529 4 5 "GO:0004364" "glutathione transferase activity" 0.63230809453396
-48 0.573778602793804 7 48 "GO:0004386" "helicase activity" 0.922134638623702
-129 0.337202972858399 3 19 "GO:0004497" "monooxygenase activity" 0.864490349740853
57 0.612291755048562 2 27 "GO:0004518" "nuclease activity" 0.933741293147675
99 0.541033644504423 3 13 "GO:0004519" "endonuclease activity" 0.922134638623702
-75 0.774860574126434 3 5 "GO:0004520;GO:0004536" "deoxyribonuclease activity" 0.983874807117828
220 0.175559595067521 5 13 "GO:0004540" "ribonuclease activity" 0.779127611385225
133 0.081882682454129 4 60 "GO:0004553;GO:0016798" "hydrolase activity, acting on glycosyl bonds" 0.779127611385225
-204 0.437220784124152 2 5 "GO:0004596;GO:0034212" "peptide alpha-N-acetyltransferase activity" 0.911758274443108
-96 0.47662096522795 2 19 "GO:0004601;GO:0016209;GO:0016684" "antioxidant activity" 0.919529744843687
226 0.103021345383459 3 18 "GO:0004620;GO:0016298" "lipase activity" 0.779127611385225
216 0.296392245511763 3 8 "GO:0004653;GO:0008376" "polypeptide N-acetylgalactosaminyltransferase activity" 0.86057138167993
-226 0.389165404100137 4 5 "GO:0004659" "prenyltransferase activity" 0.868572061324943
5 0.920535445897597 5 134 "GO:0004672;GO:0004674" "protein kinase activity" 0.997160053084109
-37 0.842494027679292 7 10 "GO:0004683" "calmodulin-dependent protein kinase activity" 0.987970263429878
-156 0.552598488646038 7 5 "GO:0004693;GO:0097472;GO:0008353" "cyclin-dependent protein serine/threonine kinase activity" 0.922134638623702
-215 0.270525177751255 3 9 "GO:0004702;GO:0005057;GO:0004707" "receptor signaling protein activity" 0.86057138167993
27 0.771858857897022 4 41 "GO:0004721" "phosphoprotein phosphatase activity" 0.983874807117828
149 0.283354073408301 2 18 "GO:0004722" "protein serine/threonine phosphatase activity" 0.86057138167993
214 0.334147208848231 7 7 "GO:0004725" "protein tyrosine phosphatase activity" 0.864490349740853
337 0.158327346780179 2 6 "GO:0004740" "pyruvate dehydrogenase (acetyl-transferring) kinase activity" 0.779127611385225
145 0.296080201932361 3 18 "GO:0004812;GO:0016876;GO:0016875" "ligase activity, forming aminoacyl-tRNA and related compounds" 0.86057138167993
-156 0.111889370401587 2 36 "GO:0004842;GO:0019787" "small conjugating protein ligase activity" 0.779127611385225
-22 0.815462552295292 2 40 "GO:0004871;GO:0060089" "signal transducer activity" 0.986025303075579
-80 0.513108926810201 1 23 "GO:0004872;GO:0038023" "receptor activity" 0.919529744843687
-432 0.0369530704597769 2 8 "GO:0004888" "transmembrane signaling receptor activity" 0.63230809453396
148 0.381723011573883 3 12 "GO:0005083" "small GTPase regulator activity" 0.864490349740853
173 0.433515503317201 1 7 "GO:0005085" "guanyl-nucleotide exchange factor activity" 0.911758274443108
155 0.484140641513864 2 7 "GO:0005097;GO:0005099" "Ras GTPase activator activity" 0.919529744843687
36 0.767323787324511 3 24 "GO:0005102" "receptor binding" 0.983874807117828
-149 0.014890912615299 1 96 "GO:0005198" "structural molecule activity" 0.542140621247291
