baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup113852	2.87377043511305	0.80636365195535	0.378391765829487	2.13102853913243	0.033086791105088	NA
isogroup113969	2.94532488610015	0.0712356619835489	0.413990774898216	0.172070650610664	0.863381986007919	NA
isogroup115230	2.96400348785151	0.080127273616466	0.358195841194083	0.223696828386822	0.822993213997426	NA
isogroup115385	2.99503341779179	-0.0369624361866317	0.376270896099302	-0.0982335773768613	0.921746820503274	NA
isogroup118568	2.74568726026124	0.443652348458646	0.368442427656164	1.20412937044446	0.22853957955976	NA
isogroup118973	2.95887648060148	0.270894426228589	0.36629909711567	0.739544346032188	0.459576521999608	NA
isogroup206447	2.69333066354861	0.275625001672196	0.388609394640428	0.709259748924047	0.478163301710102	NA
isogroup207217	3.13621106864123	0.178614780309444	0.363374997397866	0.491543946579999	0.623041777635377	NA
isogroup211000	2.99777951931235	0.380255189976976	0.350427106469118	1.08511922438993	0.277868853809311	NA
isogroup214447	3.00912937620965	0.242053233871546	0.357302204762093	0.677446796144781	0.498122515824667	NA
isogroup227791	2.81397286820637	-0.663863339673096	0.385198764032716	-1.72343060689757	0.0848106839988588	NA
isogroup268467	2.90306934655853	0.346479685735684	0.356174059264907	0.972781921431251	0.33066169966549	NA
isogroup269925	2.95508900927589	0.115230871175449	0.421024093943882	0.273691869023553	0.784321426839716	NA
isogroup269998	3.19389960238495	-0.112785349168218	0.411687107262821	-0.273958905145446	0.78411620276891	NA
isogroup272628	3.06564926370907	-0.332722931471913	0.351427091009043	-0.946776557597124	0.343752649636896	NA
isogroup272902	2.83113424660537	0.0970982678633742	0.39713570023626	0.244496447450102	0.806846353026628	NA
isogroup272966	2.9970835088511	-0.321646887983354	0.402568089823567	-0.798987540528414	0.424297636607796	NA
isogroup273194	2.96162238308528	-0.207690857138935	0.408309672679166	-0.508660144581317	0.610990463243071	NA
isogroup273213	3.0928643707373	0.167400827928862	0.377603645337317	0.443324183958345	0.657531265690037	NA
isogroup273703	3.1569778057501	0.264921615782283	0.373027870576453	0.710192553100363	0.477584738204219	NA
isogroup274333	2.95201724535191	-0.177915626041115	0.375953407599188	-0.473238498294967	0.636043034369087	NA
isogroup275262	2.78411966992694	0.188702274137638	0.374338812712591	0.504094867348206	0.614194713566927	NA
isogroup33405	2.81484468121805	0.384122689224463	0.393199411771059	0.976915727046201	0.328610875106809	NA
isogroup35596	2.85098583579027	-0.252658653532069	0.402325483513612	-0.627995650003415	0.530006789628839	NA
isogroup45216	2.9939820376265	-0.592321912167244	0.39811648428179	-1.48781056688925	0.13680085817301	NA
isogroup51392	2.97806714313431	0.0870279533414211	0.361622768795477	0.240659496168621	0.809819033755339	NA
isogroup81118	3.00638703864016	0.427376517100023	0.357723497830743	1.19471189254176	0.232199614363964	NA
isogroup94607	2.84755848067215	-0.490613260166705	0.387469514370292	-1.26619835102135	0.205442077745174	NA
isogroup116753	2.92931986961689	0.257524192314671	0.35745164319746	0.720444841184886	0.471251149585391	NA
isogroup118724	2.82011888073292	0.398834489587576	0.372843711724503	1.06970957815772	0.284750053665635	NA
isogroup119805	3.08270288505385	-0.020322986320258	0.382062734772158	-0.053192799167858	0.957578292926157	NA
isogroup123016	2.93717008708561	-0.146757681713451	0.363434702346513	-0.403807563685887	0.686354234043015	NA
isogroup153062	2.85406885769005	-0.741487622669501	0.413024431635679	-1.79526334491407	0.0726117522019316	NA
isogroup162234	2.97201335684443	-0.360318163599959	0.399508330133442	-0.901904006556276	0.367107862849428	NA
isogroup165830	2.90520458430149	-0.859361714724962	0.389092026247926	-2.20863357959791	0.027200137735953	NA
isogroup170233	2.86344301236068	-0.0816870827587155	0.390399475430092	-0.209239734937459	0.834261094879183	NA
isogroup181781	2.73473888439933	-0.210438752847819	0.424712911177989	-0.495484708162376	0.620258013654553	NA
isogroup183370	2.84757139311309	-0.563141832389144	0.402395903841	-1.39947207964537	0.161671465248743	NA
isogroup186739	2.94850766583736	-0.682287370127655	0.385435052180147	-1.77017467993223	0.0766980459277464	NA
isogroup196753	2.85477485311067	-0.173589701693212	0.353084664828612	-0.491637612688369	0.622975548907812	NA
isogroup199948	2.70787054830091	0.0710388979368888	0.37992757889555	0.186980103269678	0.851676233109169	NA
isogroup208575	2.88797163761619	-0.107813678658815	0.377243506194562	-0.285793332127527	0.775036415420381	NA
isogroup209483	3.05617729265614	-0.393858629259373	0.348418814907136	-1.13041722320406	0.258300460119632	NA
isogroup210547	2.79578011460256	0.566166142144941	0.364858942846158	1.55173979765562	0.120724495997309	NA
isogroup216095	3.069842558777	-0.311831764199541	0.375370652613674	-0.830730271608295	0.406126021290219	NA
isogroup216620	2.70547029660359	0.0621684905845467	0.385136773871057	0.161419253632115	0.871763203315168	NA
isogroup265430	2.95742191741739	-0.119635555693183	0.362035224153834	-0.33045280600196	0.741057846863719	NA
isogroup265954	2.95027624693773	1.15447562870153	0.399817838241497	2.88750405379414	0.0038831160215144	NA
isogroup267907	2.76647407866471	-0.17610486249408	0.382345110497236	-0.460591381082545	0.645091796399569	NA
isogroup267956	2.94630609519498	0.497947583559273	0.3654395436147	1.36259907352633	0.173008900997709	NA
isogroup269490	2.93710434404281	0.26223166919659	0.379998899820656	0.69008533793217	0.490140523033823	NA
isogroup269980	3.01442740755564	0.391133481682377	0.35647740348578	1.09721816265973	0.272546035322863	NA
isogroup270914	3.07375306161543	0.416057017437078	0.362309432300923	1.14834718708486	0.250825266584244	NA
isogroup272859	2.84730605149889	0.133122962741115	0.415364674288914	0.32049659246785	0.748591913069053	NA
isogroup33765	2.77699678142569	-0.116662697875121	0.398289906186724	-0.292908999356936	0.769591709908807	NA
isogroup42175	2.92389719694476	-0.0573476096304293	0.37466029766973	-0.153065617005894	0.878346529968735	NA
isogroup44549	2.91730833160887	0.402594018972373	0.411010145382795	0.979523312246747	0.327321475739273	NA
isogroup48098	2.92578022111833	-0.0573916999565016	0.392498848708079	-0.146221320509367	0.883746675117159	NA
isogroup49895	2.82519704041028	0.554302686342461	0.372223567913765	1.48916601237587	0.136443658298416	NA
isogroup79170	2.97869345008348	0.147178101089097	0.362396843537931	0.406124125288338	0.684651400231421	NA
isogroup115550	3.18203720624784	0.159340328699487	0.414100254720378	0.384786840585456	0.700395349571596	NA
isogroup117727	2.96936490461832	0.164796129551723	0.380705861573228	0.432869956009398	0.665109247643958	NA
isogroup118446	3.04489783026434	0.769409930591711	0.350597610067984	2.19456695795078	0.0281946759303887	NA
isogroup118669	2.88703255769226	0.0271654780506087	0.37513466003215	0.0724152709543835	0.942271432236485	NA
isogroup119960	2.7555477569665	-0.167126056436904	0.416796586490337	-0.400977507623562	0.688436683892243	NA
