baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup113852	2.87377043511305	0.543179047345954	0.375236840608965	1.44756321491365	0.147739245105239	NA
isogroup113969	2.94532488610015	0.454609460444133	0.449032882198404	1.01241908658989	0.311337716188906	NA
isogroup115230	2.96400348785151	0.357074490409997	0.384915522510924	0.927669760057189	0.35357889924781	NA
isogroup115385	2.99503341779179	-0.0127448076983646	0.39212408535255	-0.0325019762224143	0.974071740066114	NA
isogroup118568	2.74568726026124	0.266950484754534	0.374880642058668	0.712094610403373	0.476406191506463	NA
isogroup118973	2.95887648060148	0.567038131800523	0.392913392772339	1.44316315562467	0.148974515850314	NA
isogroup206447	2.69333066354861	0.474198921197153	0.415983573183852	1.13994626655022	0.254308688003595	NA
isogroup207217	3.13621106864123	0.14957488259248	0.379675631145752	0.393954392440479	0.693614711453213	NA
isogroup211000	2.99777951931235	0.951285736083892	0.400823291948586	2.37332948257387	0.0176285306662154	NA
isogroup214447	3.00912937620965	0.466428888071738	0.376560915061316	1.23865454277375	0.215473459763696	NA
isogroup227791	2.81397286820637	-0.777677447170101	0.394991639039046	-1.96884533825088	0.0489708541393025	NA
isogroup268467	2.90306934655853	0.714210650597485	0.392496169388109	1.81966272871127	0.0688103825379554	NA
isogroup269925	2.95508900927589	-0.206857740325921	0.424461175751853	-0.487341957623125	0.626016018576415	NA
isogroup269998	3.19389960238495	0.095167612770214	0.436366377156521	0.218091076105248	0.827358150300356	NA
isogroup272628	3.06564926370907	0.277626647658755	0.38975910593249	0.71230317248019	0.476277059944681	NA
isogroup272902	2.83113424660537	-0.276546603444613	0.396608463679924	-0.697278623049746	0.485628443450915	NA
isogroup272966	2.9970835088511	-0.608167578506966	0.40519972821304	-1.50090816000551	0.133379317326849	NA
isogroup273194	2.96162238308528	0.0481856423354832	0.432062256505956	0.111524766650889	0.911200227154689	NA
isogroup273213	3.0928643707373	-0.000638719305246894	0.382657430736632	-0.00166916739083658	0.998668197727883	NA
isogroup273703	3.1569778057501	0.048084743100917	0.377782733499067	0.127281473813137	0.898717622795795	NA
isogroup274333	2.95201724535191	-0.0705784397682035	0.397715760845519	-0.17745949926188	0.859147475188624	NA
isogroup275262	2.78411966992694	0.0184045330648915	0.376462416622487	0.0488881021112591	0.961008470665004	NA
isogroup33405	2.81484468121805	0.359368129941381	0.406976202811963	0.883020008193014	0.377225461235773	NA
isogroup35596	2.85098583579027	-0.512745245311924	0.403254033973167	-1.27151919662146	0.203544002562176	NA
isogroup45216	2.9939820376265	-0.630360995766363	0.415894764421057	-1.51567427554384	0.129601735425378	NA
isogroup51392	2.97806714313431	-0.0416566103842316	0.372789077392993	-0.11174310866495	0.911027097583147	NA
isogroup81118	3.00638703864016	0.339577442004372	0.366504864706285	0.926529153375651	0.354171053709008	NA
isogroup94607	2.84755848067215	-0.381575721249954	0.403239935164312	-0.94627463198671	0.344008528775392	NA
isogroup116753	2.92931986961689	0.337562716470944	0.374737899085239	0.900796843060064	0.367696346390362	NA
isogroup118724	2.82011888073292	0.0100902339912167	0.367690693976432	0.0274421794092605	0.97810705660058	NA
isogroup119805	3.08270288505385	0.33214106992254	0.406807898866256	0.816456786724627	0.414238929326935	NA
isogroup123016	2.93717008708561	0.0464896967545927	0.387238759686937	0.120054347845183	0.90444009588718	NA
isogroup153062	2.85406885769005	-0.870928238994726	0.422366096776897	-2.06202213113419	0.0392056290079414	NA
isogroup162234	2.97201335684443	-0.113199324622478	0.425651277762262	-0.265943814893709	0.790282480332622	NA
isogroup165830	2.90520458430149	-0.698884243005314	0.409239788660563	-1.7077622029196	0.0876804750187725	NA
isogroup170233	2.86344301236068	-0.0728912267484308	0.405878071574663	-0.179588974752045	0.857475260826459	NA
isogroup181781	2.73473888439933	-0.460806205754622	0.431919399759934	-1.06688008459621	0.286025989010171	NA
isogroup183370	2.84757139311309	-0.343158800106293	0.422355746949835	-0.812487583238807	0.416511908535272	NA
isogroup186739	2.94850766583736	-0.441411713238935	0.408227019971029	-1.08128980112649	0.279568222719652	NA
isogroup196753	2.85477485311067	0.312785303724345	0.388237860110059	0.805653790786079	0.420442500612733	NA
isogroup199948	2.70787054830091	-0.202361643083267	0.379440462017575	-0.533315930534298	0.593814901876315	NA
isogroup208575	2.88797163761619	-0.0717929512258338	0.389706251380487	-0.184223247565355	0.85383832267004	NA
isogroup209483	3.05617729265614	0.113195248119068	0.384882353550057	0.294103502213036	0.768678814796794	NA
isogroup210547	2.79578011460256	0.155383945724995	0.357638805845606	0.43447171611482	0.663945929426307	NA
isogroup216095	3.069842558777	-0.257033636628748	0.394605186101465	-0.651369129656234	0.514808233220562	NA
isogroup216620	2.70547029660359	0.0769548212101419	0.395330161975117	0.194659625325997	0.845659421522748	NA
isogroup265430	2.95742191741739	0.079973716908796	0.389813477477644	0.205158932488122	0.837447954060644	NA
isogroup265954	2.95027624693773	0.360482281075059	0.374124162919926	0.96353648548547	0.335278363456233	NA
isogroup267907	2.76647407866471	-0.186906200158863	0.390719044591672	-0.47836470411672	0.632390650759771	NA
isogroup267956	2.94630609519498	0.172189570185706	0.361538166349939	0.476269412781832	0.633882453564548	NA
isogroup269490	2.93710434404281	0.15833509538947	0.386118534583792	0.410068621958653	0.681755609700667	NA
isogroup269980	3.01442740755564	0.563428140224299	0.378264753145424	1.48950737688132	0.136353812253314	NA
isogroup270914	3.07375306161543	0.706675647697703	0.385351257783741	1.83384803714405	0.0666765547754781	NA
isogroup272859	2.84730605149889	0.162015393641367	0.427658230305105	0.37884315596073	0.704804338043827	NA
isogroup33765	2.77699678142569	0.276466961304675	0.428280352234853	0.645528004873479	0.518585076046498	NA
isogroup42175	2.92389719694476	0.00886076494949177	0.391544955606551	0.0226302620493868	0.981945204380373	NA
isogroup44549	2.91730833160887	0.135993023802634	0.418456574545401	0.324987184035458	0.745190771343928	NA
isogroup48098	2.92578022111833	0.0611397028541664	0.409276526292125	0.149384826459672	0.881249984115675	NA
isogroup49895	2.82519704041028	0.0527245069384716	0.36011945985536	0.146408380595839	0.883599011842344	NA
