baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup113852	2.87377043511305	-0.00561390248780544	0.32425464983466	-0.0173132520710744	0.986186713564418	0.999859773530708
isogroup113969	2.94532488610015	0.283579250691627	0.380032156789765	0.746198040416101	0.455547791706022	0.999859773530708
isogroup115230	2.96400348785151	0.308113221394121	0.325260028578286	0.947282771697728	0.343494707378059	0.999859773530708
isogroup115385	2.99503341779179	-0.683808077758047	0.33219190755114	-2.05847301579066	0.0395447489888331	0.999859773530708
isogroup118568	2.74568726026124	-0.00354257955429106	0.326913593266133	-0.0108364400479583	0.991353941007526	0.999859773530708
isogroup118973	2.95887648060148	0.0129839006281786	0.330085311212938	0.0393349845846447	0.968623314524826	0.999859773530708
isogroup206447	2.69333066354861	1.00462302223238	0.370581423930313	2.71093734698719	0.00670933024988262	0.977988079856161
isogroup207217	3.13621106864123	-0.209672394894415	0.328430480471527	-0.638407234899114	0.52320862256307	0.999859773530708
isogroup211000	2.99777951931235	0.120833701406605	0.344152065673242	0.351105553210108	0.725509161979689	0.999859773530708
isogroup214447	3.00912937620965	-0.392203481909367	0.31257980010326	-1.25473073365523	0.209576524915388	0.999859773530708
isogroup227791	2.81397286820637	-0.321935833518313	0.310749096711943	-1.03599925768003	0.300202488829007	0.999859773530708
isogroup268467	2.90306934655853	-0.120460102395593	0.337262410765952	-0.357170258381354	0.720964349770882	0.999859773530708
isogroup269925	2.95508900927589	0.111586736685768	0.35870400846371	0.311083049123654	0.755737487122024	0.999859773530708
isogroup269998	3.19389960238495	0.315759785758287	0.364799072792023	0.865571788167089	0.386725032229591	0.999859773530708
isogroup272628	3.06564926370907	-0.105357014476558	0.311657141741385	-0.338054228078573	0.735322322680837	0.999859773530708
isogroup272902	2.83113424660537	0.415200779931858	0.338665687503105	1.22599009953747	0.220202400743977	0.999859773530708
isogroup272966	2.9970835088511	-0.300368361057719	0.32822982308959	-0.915115994733161	0.360130738975717	0.999859773530708
isogroup273194	2.96162238308528	-0.0225286084124717	0.35356727221699	-0.063718025345529	0.949194751761541	0.999859773530708
isogroup273213	3.0928643707373	-0.26598371210934	0.321712835248247	-0.826773703026478	0.40836533769918	0.999859773530708
isogroup273703	3.1569778057501	-0.578661032381127	0.325112461702516	-1.77987958182487	0.0750956699121101	0.999859773530708
isogroup274333	2.95201724535191	-0.29262938069979	0.334552027645499	-0.874690202176472	0.381742492643739	0.999859773530708
isogroup275262	2.78411966992694	-0.516314531214192	0.31504397336613	-1.63886496763471	0.101241385099664	0.999859773530708
isogroup33405	2.81484468121805	-0.142865447022361	0.347767339822039	-0.410807544766766	0.681213660441504	0.999859773530708
isogroup35596	2.85098583579027	-0.030332768779232	0.323924304881468	-0.0936415339081502	0.925393915263997	0.999859773530708
isogroup45216	2.9939820376265	-0.476720265157103	0.342068045531339	-1.39364162009523	0.16342585363505	0.999859773530708
isogroup51392	2.97806714313431	-0.620226182638262	0.323677443894887	-1.91618598804703	0.0553414262472855	0.999859773530708
isogroup81118	3.00638703864016	0.0913781437246215	0.316379098910193	0.288824843484873	0.772715419584828	0.999859773530708
isogroup94607	2.84755848067215	-0.829630561075711	0.325272710458374	-2.55056921285095	0.0107547167334325	0.999859773530708
isogroup116753	2.92931986961689	-0.12895576528479	0.318974801581603	-0.404281982919581	0.686005372911115	0.999859773530708
isogroup118724	2.82011888073292	0.215123835624789	0.318512413232293	0.675401732201558	0.499420565278175	0.999859773530708
isogroup119805	3.08270288505385	-0.198535396375845	0.331620158646677	-0.598683135506768	0.549384205346603	0.999859773530708
isogroup123016	2.93717008708561	-0.173136793483622	0.323471574148637	-0.535245775271941	0.592479916851466	0.999859773530708
isogroup153062	2.85406885769005	-0.195121436645796	0.328646706132136	-0.593711827944945	0.552704870669926	0.999859773530708
isogroup162234	2.97201335684443	-0.534540819377242	0.352082471926899	-1.51822616005782	0.128957394863539	0.999859773530708
isogroup165830	2.90520458430149	0.0804139859431343	0.317657888231131	0.253146510514558	0.800154998860397	0.999859773530708
isogroup170233	2.86344301236068	-0.281246220427973	0.339197076879841	-0.829152842397881	0.407017925590317	0.999859773530708
isogroup181781	2.73473888439933	-0.0156700527038101	0.358515603523912	-0.0437081470089067	0.965137045050696	0.999859773530708
isogroup183370	2.84757139311309	0.124767849764864	0.333824003158274	0.373753380776842	0.708587806571453	0.999859773530708
isogroup186739	2.94850766583736	-0.303670002668163	0.322919563965153	-0.940388990184975	0.347018067524397	0.999859773530708
isogroup196753	2.85477485311067	0.150291447557962	0.318297876081732	0.472172323007807	0.636803793227967	0.999859773530708
isogroup199948	2.70787054830091	0.443950965543388	0.320412170586923	1.38556211747566	0.165880652468616	0.999859773530708
isogroup208575	2.88797163761619	-0.342230519849742	0.31937029734876	-1.07157905005805	0.283909147306827	0.999859773530708
isogroup209483	3.05617729265614	0.027951557242915	0.312743156545607	0.089375440062871	0.928783541335873	0.999859773530708
isogroup210547	2.79578011460256	-0.102272748421378	0.313463911044957	-0.326266421166136	0.744222791401243	0.999859773530708
isogroup216095	3.069842558777	0.0297559504505386	0.32849936151089	0.0905814559689856	0.927825167341054	0.999859773530708
isogroup216620	2.70547029660359	0.588089629585455	0.330288894127333	1.78053104431278	0.0749890934134845	0.999859773530708
isogroup265430	2.95742191741739	-0.0660737566416567	0.33208656619241	-0.198965460720786	0.842289762741125	0.999859773530708
isogroup265954	2.95027624693773	0.165149167674254	0.3397486332016	0.486092220939878	0.626901782080798	0.999859773530708
isogroup267907	2.76647407866471	-0.32412402223246	0.314516178680905	-1.03054801057246	0.302752826930511	0.999859773530708
isogroup267956	2.94630609519498	0.164800217358059	0.312474196045789	0.52740424471373	0.597912896463933	0.999859773530708
isogroup269490	2.93710434404281	-0.174991046874452	0.323824176464922	-0.540389074048668	0.588928741151402	0.999859773530708
isogroup269980	3.01442740755564	-0.50797347975237	0.324153409563764	-1.56707739226308	0.117096602862422	0.999859773530708
isogroup270914	3.07375306161543	0.538871245758386	0.325220839304225	1.65693947199461	0.0975317130271332	0.999859773530708
isogroup272859	2.84730605149889	0.00920138202650708	0.35315507430933	0.0260547920612562	0.979213635517505	0.999859773530708
isogroup33765	2.77699678142569	0.219547431722933	0.352260515292642	0.623253024939633	0.533118261748299	0.999859773530708
isogroup42175	2.92389719694476	0.200302727408144	0.327690147878175	0.61125648331243	0.541029795238653	0.999859773530708
isogroup44549	2.91730833160887	0.526237047124064	0.366438371870843	1.43608608573762	0.150977846911313	0.999859773530708
isogroup48098	2.92578022111833	-0.127559038322041	0.336534958135955	-0.379036516826014	0.704660747018407	0.999859773530708
isogroup49895	2.82519704041028	0.00698352060867359	0.31228095540092	0.0223629410884434	0.982158441681039	0.999859773530708
isogroup79170	2.97869345008348	0.514917537046346	0.334137275051429	1.54103590198697	0.123308048406435	0.999859773530708
isogroup115550	3.18203720624784	-0.115414537027359	0.357429965733801	-0.322901122155255	0.746770126442992	0.999859773530708
isogroup117727	2.96936490461832	-0.488007515262097	0.33055256717898	-1.47633860304543	0.139853015933976	0.999859773530708
isogroup118446	3.04489783026434	0.138575027273189	0.320453780569032	0.432433741387354	0.665426199283138	0.999859773530708
isogroup118669	2.88703255769226	-0.120037317215442	0.323444081328604	-0.371122318029031	0.710546428785976	0.999859773530708
isogroup119960	2.7555477569665	-0.124539361274793	0.358903490546955	-0.34699958221359	0.728591632639984	0.999859773530708
isogroup168561	2.95803366648041	0.304943183353748	0.315925598959867	0.965237335492039	0.334425950592495	0.999859773530708
isogroup170367	2.95070018250231	0.279676156557102	0.326229840214586	0.857297898846833	0.391280269447681	0.999859773530708
isogroup170835	3.00125963453369	0.0921715423928924	0.310042353052554	0.297286939946778	0.766247451587933	0.999859773530708
isogroup173301	3.09572885090638	-0.288682978110308	0.310865104272376	-0.928643884896672	0.353073670867287	0.999859773530708
isogroup180038	2.88581914010459	0.0948498276314878	0.311548970322623	0.304445967300956	0.760788151890026	0.999859773530708
isogroup180462	2.98830412805697	-0.249959610711795	0.324788924422251	-0.769606325574169	0.441533451616511	0.999859773530708
isogroup184039	3.07651542164218	-0.455623456894718	0.318504843882712	-1.43050715128998	0.152571514812007	0.999859773530708
isogroup185568	2.69729704279372	0.094197942154519	0.306016756001006	0.307819556633066	0.758219639628075	0.999859773530708
isogroup190008	2.87434939146062	0.19494833720154	0.309749314643245	0.629374555440331	0.529103871916733	0.999859773530708
isogroup196409	2.84032950231235	-0.00298086721745229	0.324892168807909	-0.00917494326929964	0.992679557124634	0.999859773530708
isogroup203629	2.93856787762104	0.530410600211742	0.328519449781415	1.61454854671362	0.106408495655359	0.999859773530708
isogroup214128	2.93973266084406	-0.0934825724687389	0.333404596329416	-0.280387773587784	0.779180016269896	0.999859773530708
isogroup214454	2.924912151966	0.0706745732167691	0.331506439154441	0.213192158188648	0.831177084535821	0.999859773530708
isogroup225425	2.87787347594565	0.0303209513901916	0.32848314076591	0.092305959202331	0.926454953827523	0.999859773530708
isogroup268828	3.01826510164371	0.0392488738051836	0.335910086920495	0.116843391530762	0.906984157760517	0.999859773530708
isogroup268831	3.06993035088763	-0.26871892190252	0.312778677989455	-0.859134400176663	0.390266370299254	0.999859773530708
isogroup269346	2.68713982342663	0.291487731809255	0.318104240124993	0.916327716017617	0.359495035287251	0.999859773530708
isogroup269809	2.91955841007436	0.226102333498508	0.340283917575646	0.664452011453773	0.506401053362137	0.999859773530708
isogroup270108	3.04647708463524	-0.0954875068377663	0.313871202831568	-0.304225127938887	0.760956382236708	0.999859773530708
isogroup270792	2.84059787414582	-0.0375228129648821	0.367978903539907	-0.101970011334665	0.918780478466689	0.999859773530708
isogroup270984	2.95920785883765	0.2585439995581	0.313292863908379	0.825247011159852	0.409231368570685	0.999859773530708
isogroup272284	2.83076465161193	0.201475566912576	0.491739026750636	0.40972051424087	0.682010979791711	0.999859773530708
isogroup276005	2.85346406713661	-1.28381366308001	0.351296972767451	-3.6544968007164	0.000257686876425774	0.305874322317393
isogroup34770	2.67372194870868	-0.294217429750025	0.33816521457349	-0.870040492252007	0.38427827603246	0.999859773530708
isogroup36578	2.78519218315922	0.19339955481535	0.326299238275857	0.592706117970914	0.553377846348482	0.999859773530708
isogroup37310	3.19978044149424	0.152406783601365	0.336555212169947	0.452843331763365	0.650661558860475	0.999859773530708
isogroup38111	2.95729203534909	-0.365874307470464	0.312284181902389	-1.17160691662835	0.241354909860481	0.999859773530708
isogroup52049	2.94511056937324	0.397713233683447	0.329353749783528	1.20755641599602	0.227217932326293	0.999859773530708
isogroup57490	2.8500807497063	-0.192357218422996	0.35734604472783	-0.538293962563664	0.590374118817064	0.999859773530708
isogroup111683	2.97155819767717	-0.214556705123883	0.32285623669774	-0.66455803152024	0.506333220038871	0.999859773530708
isogroup119318	2.89755553975532	-0.298978080579881	0.345958857947012	-0.864201258941815	0.38747734075907	0.999859773530708
isogroup119599	2.73277743147965	0.395799309061572	0.341123640068293	1.16028109040562	0.245934380832025	0.999859773530708
isogroup166353	2.89700873330844	0.137916257254658	0.311949633250406	0.442110656831423	0.658409133145244	0.999859773530708
isogroup177420	2.82903869273886	-0.061101317950998	0.327964527838178	-0.18630465420683	0.852205857833371	0.999859773530708
isogroup183412	3.00962692696574	0.32924896829467	0.330377650165968	0.996583661543899	0.318966639769747	0.999859773530708
isogroup184987	2.94306989962019	0.0934017690239391	0.30942559545036	0.30185534227702	0.762762340339499	0.999859773530708
isogroup232461	2.64027056655077	-0.179984414794115	0.342709589428864	-0.525180562043989	0.599457676197943	0.999859773530708
isogroup271812	2.96109471852655	0.135865134142967	0.307774238437958	0.441444140459972	0.658891492651731	0.999859773530708
isogroup272530	2.86940673005623	0.391877811054326	0.318067009930804	1.23206053699055	0.217926471369465	0.999859773530708
isogroup273019	2.78045873863951	0.130351868090266	0.319187389501503	0.408386648024678	0.682989834382547	0.999859773530708
isogroup274174	2.94360528393022	0.219315102904924	0.335237778409242	0.654207601379565	0.512978064954359	0.999859773530708
isogroup35190	2.99960061999067	-0.389185498862446	0.32216553024345	-1.20802960691776	0.227035874271342	0.999859773530708
isogroup36063	3.13159661935227	-0.304358458950137	0.311551556932607	-0.976912014007281	0.328612713476147	0.999859773530708
isogroup38286	2.81086748522551	0.149797237113986	0.321160761243237	0.466424467715514	0.640911701138042	0.999859773530708
isogroup43864	2.83031218363722	0.13045516867537	0.333888122538367	0.390715212280064	0.696007753165596	0.999859773530708
isogroup56043	2.83491976060121	0.293359155259334	0.335300846470299	0.8749132558045	0.381621105880146	0.999859773530708
isogroup56416	2.83468143598298	0.534822918217514	0.334189461896521	1.60035841699616	0.109519094370418	0.999859773530708
isogroup67675	2.86506547199217	0.154039564929677	0.315211501884212	0.488686370925199	0.625063754232956	0.999859773530708
isogroup84652	3.0800361066685	0.412997788787194	0.309728909260462	1.33341698640048	0.182395001090418	0.999859773530708
isogroup85171	3.04662431910463	0.214320806971524	0.330214005790333	0.649036089364439	0.516315049593792	0.999859773530708
isogroup111744	2.86304797456638	0.203659361809892	0.32124607193162	0.633966854708322	0.52610245342372	0.999859773530708
isogroup114762	3.09918865886817	0.127937735783268	0.313232422802103	0.408443463926139	0.682948129281019	0.999859773530708
isogroup115283	3.09846459622615	0.0779353409149211	0.331511369859703	0.235091004413826	0.814138100502946	0.999859773530708
isogroup115325	3.04868381076898	-0.636924327460592	0.347209531603394	-1.83440910887242	0.0665932884990327	0.999859773530708
isogroup118198	3.16597253849847	-0.0264588553078056	0.32106583842478	-0.0824094380069165	0.934321131135818	0.999859773530708
isogroup119020	2.93479262751107	-0.0886834804985663	0.323245406459148	-0.274353412999774	0.78381304089771	0.999859773530708
isogroup151406	3.08385574622267	0.109031260276881	0.312772220066997	0.348596369119759	0.727392353973818	0.999859773530708
isogroup178854	3.08681737967454	0.0434092539009856	0.314870231635767	0.137863950096115	0.890347941946591	0.999859773530708
isogroup185185	3.04101052544569	-0.0165601438074772	0.343357072441481	-0.0482300937904798	0.961532866711713	0.999859773530708
isogroup211464	2.90376611206177	0.934626254637437	0.355079930884656	2.63215736329813	0.00848445547318047	0.985603643295586
isogroup217022	3.15020774112038	-0.407091014873947	0.322739108392113	-1.26136251941104	0.207178265644107	0.999859773530708
isogroup224025	2.91676163864868	0.406710231797794	0.31121619418424	1.30684147996817	0.191266554285324	0.999859773530708
