baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup113852	2.87377043511305	-0.686298943317605	0.496887798757891	-1.38119500022581	0.16721901165798	0.974703465673533
isogroup113969	2.94532488610015	0.408060705692007	0.488393655618138	0.835515983874818	0.403427251191337	0.997897407549996
isogroup115230	2.96400348785151	0.34627688275427	0.430241512365006	0.804843030722003	0.420910266670615	0.997897407549996
isogroup115385	2.99503341779179	-0.225620955768205	0.435906779240434	-0.5175899217749	0.604744414928908	0.998121906297742
isogroup118568	2.74568726026124	0.199130692378811	0.430524887320377	0.462530037736534	0.643701266820516	0.998121906297742
isogroup118973	2.95887648060148	-0.127721153753608	0.453052326083523	-0.281912588017617	0.778010537020956	0.998121906297742
isogroup206447	2.69333066354861	0.957992596246913	0.471005613946276	2.03393031395202	0.0419586220432098	0.914837925595521
isogroup207217	3.13621106864123	0.383107630603496	0.409383524003786	0.935815947981222	0.349367958879239	0.996298819809432
isogroup211000	2.99777951931235	0.804945411368426	0.402844038156134	1.99815644548883	0.0456997018119735	0.914837925595521
isogroup214447	3.00912937620965	-0.811826235718033	0.47461305429154	-1.71050127757201	0.0871732173893239	0.916033455850886
isogroup227791	2.81397286820637	0.176618109799532	0.417548711864417	0.42298803655963	0.672303989632471	0.998121906297742
isogroup268467	2.90306934655853	0.439967332019032	0.410219773247323	1.07251615039476	0.283488263844543	0.996298819809432
isogroup269925	2.95508900927589	-0.0643544886826862	0.502463989203581	-0.128077812670098	0.898087394347075	0.998121906297742
isogroup269998	3.19389960238495	0.193332800425726	0.491275820226061	0.393532090255864	0.693926527339659	0.998121906297742
isogroup272628	3.06564926370907	-0.0687674114535716	0.427267218868855	-0.160947080460856	0.872135080792569	0.998121906297742
isogroup272902	2.83113424660537	0.323170946429861	0.468094526457382	0.690396764251173	0.489944711024066	0.997897407549996
isogroup272966	2.9970835088511	-0.26251011511894	0.471552340090758	-0.556693484053997	0.577736869604069	0.997897407549996
isogroup273194	2.96162238308528	-0.268014807334504	0.500328216674995	-0.535677977779538	0.59218112619661	0.998121906297742
isogroup273213	3.0928643707373	-0.424722756167181	0.465191110323601	-0.913007034617946	0.361238841793861	0.996298819809432
isogroup273703	3.1569778057501	-0.319068048524541	0.439790210781479	-0.725500569823002	0.46814499542464	0.997897407549996
