"","FR_FR...2","FR_BR...3","NS_FR...4","BR_FR...5","FR_NS","FR_BR...7","NS_FR...8","FR_BR...9","BR_NS...10","NS_NS...11","BR_BR...12","NS_FR...13","NS_FR...14","NS_NS...15","FR_FR...16","BR_BR...17","BR_NS...18","FR_FR...19","BR_FR...20","BR_BR...21","FR_BR...22","NS_BR...23","BR_BR...24","FR_FR...25","BR_FR...26","BR_FR...27","BR_NS...28","FR_BR...29","FR_BR...30","FR_FR...31","NS_BR...32","BR_FR...33","NS_BR...34","BR_BR...35","BR_FR...36","NS_BR...37","FR_FR...38","NS_NS...39","BR_BR...40","NS_NS...41"
"DNA replication licensing factor mcm5",0.176410517405121,0.233488282952202,-0.267367472819108,-0.0979964038851087,0.251089724677861,0.343817787960871,-0.0426902590354485,0.272339461939631,0.00607027108996139,-0.455593107299169,0.153291514176021,-0.675563099477738,0.148970767890432,-0.0171350019439389,-0.0839265233130391,-0.0871958440603784,-0.0308940024964288,0.264695542930691,-0.201887294152799,0.000636470447220816,0.156454857536281,-0.534096343604219,0.0139687147658512,0.0266254693356611,0.100690419116881,-0.00972637459509862,0.0407942360414912,0.371873283236261,0.375812547830301,-0.0386602826918789,0.121043856752971,0.180765268169131,0.00845654119291162,0.117663414546671,0.264436821265392,-0.669773879343489,0.113178986615001,-0.269731503047399,0.111570066390342,-0.371907432499929
"Lactation elevated protein 1",0.0726858009253291,-0.685423762629881,-0.470296304404161,0.405562767051259,-0.207468668332321,-0.254855841538511,0.0337339023292089,-0.402080383725281,-0.370844754849241,0.143767134990339,-0.285561056170891,0.254272103894779,0.478325830311289,0.0670668888088488,-0.264871840584491,0.258283918341419,0.0410150364676487,-0.353544023744591,0.498920648833229,0.184224996214389,-0.182698732830161,0.611315341028928,0.191412489384989,0.124841820809839,0.0671736044502289,-0.00236842554672112,-0.140893725886371,0.0789660694914689,-0.249110647080941,-0.120431306615181,0.040674022371729,0.0902223303224088,0.0801705866849689,-0.235555847156141,-0.111167474668871,0.0839721880106388,-0.296796285801701,0.329618777415419,0.418272526019569,0.079470297407529
"NAD-dependent protein deacylase",-0.26575241108908,0.86097196017364,-0.87460896687624,0.37902887340324,0.61393472239527,0.61766197846738,-0.26542920085746,-0.16857123397616,0.0551228002491704,-0.18002992058588,-0.35944614828484,0.0788191846983404,0.0363723097318802,-0.0890709907770999,0.54723734926878,-0.0994972351321297,0.0725015592164602,0.99374776926541,-0.14390910582337,0.5125966282984,-0.26629750758754,-0.45478133266983,-0.26597433462257,-0.22093296189049,-0.27049717051924,0.21999312546363,-0.31442552228535,0.16891470977122,0.66359948170418,-0.16393794929333,-0.20078786205308,0.0479771141191101,0.31006002695799,-0.0678311138268497,-0.32442820193896,-0.46463743186818,0.64765236176509,-0.48702075234601,-0.42199227912512,-0.45633232152039
"Pyruvate, phosphate dikinase",0.000560472023633629,-0.367806857067356,-0.392851828546086,-0.226415395324866,0.619248031954443,0.114530003297913,-0.0739083351627068,0.463913614375693,0.259779454124144,0.110482536341993,-0.225859753937156,-0.0366026220645761,-0.418912541417837,-0.267208648627086,0.331421630431633,-0.383102647559336,0.356471459224213,0.0116677600259933,0.279237370753994,-0.262850780076296,0.377188855070523,-0.331146190348666,0.114573589288674,0.292342023167224,-0.172096573323826,-0.0951181967813168,0.162058371941344,0.504397957487953,0.0703120920668638,0.00842571791713365,0.177626416061203,-0.183908868808946,-0.0367848035638767,-0.281176090909177,0.115946345158863,-0.336605093207327,-0.370704245345497,-0.0143255007434266,0.0406663440761434,0.0665349280257939
"Beta-D-xylosidase 4",0.315202480731759,-0.200433021382631,0.104424959028909,-0.562064543043351,0.277699593229629,0.475019682933269,-0.392055704751951,0.677886966919769,-0.000187015961071069,0.243468666489709,0.343601825115819,-0.292515469171241,-0.338482257210031,0.180954022272909,0.338712038101529,-0.0644719836151806,0.0657746130961794,0.448926410164859,0.0947074147634792,-0.308064145309581,0.478751956296309,-0.392837305275811,-0.0373149657080409,0.104839367011409,-0.0610105917022707,0.0431981889357891,-0.698908018777541,-0.0199274461671006,0.159505662632789,-0.037325581150931,0.357002751345009,0.186853715398659,-0.753467873586221,-0.498475233711921,-0.140893437777761,-0.522350311492971,0.228971480525269,0.0776582317023493,0.115897403919019,0.00172747518119909
"Uracil phosphoribosyltransferase",0.062670424384168,-0.634995544253462,0.330138204832818,0.229337728665988,-0.369249681948692,-0.212502699515372,0.528427180567268,-0.881260875188402,0.150599536038068,0.291088042101338,0.506551991647418,0.121586057552668,-0.0852599101512719,-0.307996053157162,-0.091439194526032,0.132705006548068,0.0673670892528579,-0.349776370245722,0.0924404861489578,0.212037340849998,0.020803829997988,-0.286171755712862,0.592006627560428,-0.339411679169202,-0.00945166513415208,0.332142362088418,-0.210264606017902,-0.280135157259142,-0.328056512039982,0.115710375920668,0.0932848033385079,0.071110558582888,-0.261164829346792,-0.267460396030912,0.408683084227748,-0.171994700792972,-0.726552723390252,0.645004467778648,0.204979283104678,0.604469872690698
"Metacaspase-1",-0.110480187421787,0.326900438029682,-0.122905084098678,-0.024441581644628,0.167774607678722,0.413400995530212,0.024417382948382,0.541777061164773,-0.126983081801337,-0.0100395588265778,-0.507258057178448,-0.0344342813722474,-0.353912859076607,0.149309289808673,0.864730069290933,-0.165823950311887,-0.337746179019647,0.297062143526122,-0.0486770486864172,-0.302350220258267,-0.249086472214668,-0.171840134351697,0.0897771279370021,0.177414314912002,-0.288657141786968,0.0462077414230526,-0.176769050785848,0.144481446287832,0.420889413563073,-0.169065380224428,0.00163177548916238,0.254444570232012,0.104982761303233,-0.0147287698177374,-0.0383066510450378,-0.500864316575168,0.137875048492452,0.0930528826184425,-0.268363712213668,-0.233395351524027
"Protein disulfide-isomerase-like protein EhSep2",0.262490918485434,0.0442231921250036,-0.377038227999336,0.188583676398564,-0.166277000951796,0.462568269478724,0.00220637144606428,0.412411971141354,0.129864921686854,-0.302758978538456,0.197708480321304,-0.728886244166096,0.151346522771394,0.0794909346880441,0.160780133393614,-0.134513777198866,0.0742465765938238,0.0277078015042136,0.133639183961774,-0.0365139389581364,0.133807006254084,-0.334642502093066,0.187579855424244,0.258970024899464,0.0661304886966443,0.160393856711464,-0.0159031006752359,0.240102475133124,0.441936764732604,-0.0106937533105862,0.122957156627854,-0.169577431733996,-0.046405536063066,-0.0568352999585864,-0.0241861356255662,-0.825140284814076,0.0266279952627144,-0.260901786780466,0.0879774864539842,-0.563478065325026
"Coiled-coil domain-containing protein 12",-0.0161914974212922,-0.253207424659632,0.112928648637428,0.156263067693108,-0.0271227655417223,-0.485101426297032,-0.00600669090168227,-0.610894244866292,0.212490723086178,0.165314872004888,0.198963824483998,0.495237381848958,0.184832743010378,0.424783142063118,0.226017881765968,-0.0710860148435621,-0.0730788093721921,-0.986397249791212,-0.523731159816832,-0.228132831266722,-0.042668580269642,0.281607183771258,-0.267020284091282,-0.193759921187892,1.00248622668127,0.0845909871743777,-0.0877851733920521,-0.278807702276132,0.126999484107858,-0.398309984442802,-0.375091389709482,-0.209575992693082,0.387607921188948,0.488147585435458,0.257362674858918,0.354804365271628,-0.517913142078672,-0.0261051095429123,0.152465491861478,0.365083189516908
"Probable beta-D-xylosidase 2",-0.150687466351354,-1.09297751438586,0.495723832579666,0.457653288257326,-0.353743454634794,-0.528576297597015,-0.156957523935345,-0.676792029522924,0.165146496406865,-0.518826736316305,0.0626705942898953,-0.260509478526544,0.298149985423676,0.174189552387985,0.0751725346188254,0.144492609399895,-0.136829781301965,-0.899865055350995,0.0646549641306655,-0.183989843455954,0.345255244347465,0.196802148857036,0.215847970628666,0.152689844230216,-0.155563657917444,0.245433601770215,0.444040474238165,-0.116367310954995,-0.920703687540135,-0.0459823291509744,0.356356243618945,0.455555762061886,-0.377346380707605,0.204079657796215,0.423332561315645,0.535627895664015,-0.750017317855335,0.971206217658395,0.600069059859155,0.241585325964726
