"sampleID","A3","A3ac","A3ah","A3q","22426_A","A3n","36535_A","B1dk","B5","37609_B","2764853_B","788202_B","2764854_B","2764855_B","B2","51947_B","43578_B","2764857_B","2764856_B","B19","2764858_B","43335_B","2764859_B","2764861_B","2764860_B","1160612_B","1403659_B","50408_B","2764863_B","2764862_B","2764866_B","2764865_B","2764864_B","43518_B","B1","C1","C1c","C1na","C1b","C1al","C72k","11549_C","C1w","C3ju","C3","C15","428560_C","C1jx","C1bc","C42au","C42.2","C3ew","25718_C","21069_C","C3sa","C1t","C1ge","C1hq","C1my","281_C","C1ij","C1cu","C1l","C1bh","C1km","C1br","8196_C","C15bg","21062_C","5429_C","C3lk","C93b","C1ch","C1j","21059_C","17032_C","11574_C","21053_C","3630_C","21085_C","C1do","C15i","37251_C","C93a","13926_C","1327181_C","C1fh","6394_C","13074_C","21064_C","C42ca","8526_C","8380_C","42305_C","378934_C","284_C","21508_C","21042_C","21982_C","C1en","C1ai","C1.5","7802_C","5725_C","D1","D4","E1c","2764867_E","2764869_E","2764870_E","2764868_E","1468422_E"
"E10","12","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4683","660","259","167","132","117","113","77","77","85","0","31","48","42","29","0","42","0","0","0","0","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"D10","8","5","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4582","860","277","195","110","137","95","77","74","70","0","56","47","42","39","0","0","35","0","30","32","0","0","0","0","0","0","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0"
"G11","15","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10343","1643","726","519","283","262","248","197","177","164","0","105","98","67","67","101","76","0","0","77","0","0","0","0","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0"
"A11","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2661","533","163","88","92","70","58","49","32","35","0","29","31","39","19","0","0","0","24","19","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0"
"C11","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2517","451","139","103","59","73","63","46","43","46","0","32","25","26","17","20","15","0","31","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C12","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2647","426","163","92","74","69","45","55","33","36","0","29","31","27","0","26","20","16","22","20","18","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"D12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6720","1060","485","271","202","202","153","125","117","111","0","72","59","59","54","52","48","69","0","55","49","0","0","0","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A12","13","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4577","692","281","291","109","126","111","85","70","78","0","53","52","31","33","58","36","44","36","0","31","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"G12","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5477","878","349","219","157","189","102","108","101","83","0","53","61","41","36","0","35","60","0","43","41","0","0","40","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"E12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3900","612","230","178","113","95","66","65","69","66","0","30","28","29","0","61","32","35","29","0","25","0","0","26","0","0","0","0","33","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
