colony,source,trans,y23,y34,y45,avg,avg2
447,NS,FR,0.817579455,0.813125877,1.034994864,0.888566732,0.912229158
401,NS,FR,0.577594622,0.803096553,NA,NA,0.803096553
430,NS,FR,0.805243664,0.762233705,1.097322057,0.888266475,0.915940746
429,NS,FR,1.119818109,0.261668659,0.366612356,0.582699708,0.403660241
405,NS,FR,0.832339354,0.695077564,0.862522078,0.796646332,0.784748658
413,NS,FR,0.553017142,0.714414652,NA,0.633715897,0.674065275
457,BR,FR,NA,NA,NA,NA,NA
445,BR,FR,NA,NA,NA,NA,NA
470,BR,FR,0.464176401,0.406407947,0.720229234,0.530271194,0.552302792
456F,BR,FR,0.626842672,0.368395226,NA,NA,0.368395226
409,BR,FR,0.609605083,0.468896902,1.067209839,0.715237275,0.750448005
476,BR,FR,0.605237811,0.383622444,0.988152207,0.659004154,0.676926268
455,FR,FR,0.611971375,0.872826969,0.929514378,0.804770907,0.869037418
284,FR,FR,1.221294799,0.663172743,1.163822102,1.016096548,0.947697131
495,FR,FR,0.924454631,0.761048608,0.985525648,0.890342962,0.878972406
436,FR,FR,0.868991348,0.72856579,0.796562983,0.79804004,0.774389604
463,FR,FR,1.209379028,0.203527653,1.006733105,0.806546595,0.672269118
444,FR,FR,1.113001551,0.995217036,1.386840976,1.165019854,1.182359289
498,NS,BR,0.695416595,0.855561121,NA,NA,0.855561121
477,NS,BR,0.671696972,0.813618489,1.169454732,0.884923398,0.955998873
451,NS,BR,0.343969142,0.427621193,0.659115901,0.476902079,0.521213057
471,NS,BR,0.644165078,0.946433346,1.080113742,0.890237388,0.972261492
406,NS,BR,NA,NA,NA,NA,NA
464,NS,BR,0.578039188,0.758267907,0.791030668,0.709112588,0.752803721
415,FR,BR,0.98511938,0.913461497,1.249904178,1.049495018,1.070953564
450,FR,BR,0.818920514,0.744732309,0.631733343,0.731795389,0.70275368
412,FR,BR,0.61243245,0.593543556,NA,NA,0.593543556
460,FR,BR,0.739618616,1.006755298,1.286563475,1.01097913,1.101432634
402,FR,BR,0.801359073,0.912753095,1.883520376,1.199210848,1.331828107
461,FR,BR,0.710025473,0.801421653,NA,NA,0.801421653
418,BR,BR,0.557706163,0.718445516,NA,NA,0.718445516
446,BR,BR,0.357860666,0.242937477,0.851879306,0.484225816,0.526347533
454,BR,BR,0.304552504,0.694242765,0.905205486,0.634666918,0.744705056
499,BR,BR,0.52882264,0.646150451,0.728842325,0.634605139,0.669865972
472,BR,BR,0.463960657,0.722063206,NA,NA,0.722063206
438,BR,BR,0.952857794,0.630105501,1.344543737,0.975835677,0.983494971
411,FR,NS,0.618435794,0.443957223,1.13213002,0.731507679,0.769198307
467,FR,NS,0.293044169,0.065485042,0.841402949,0.399977387,0.435621793
437,FR,NS,NA,NA,NA,NA,NA
432,FR,NS,NA,NA,NA,NA,NA
500,FR,NS,NA,NA,NA,NA,NA
496,FR,NS,0.642780525,NA,NA,NA,#DIV/0!
440,BR,NS,0.34883736,NA,NA,NA,#DIV/0!
410,BR,NS,NA,NA,NA,NA,NA
414,BR,NS,0.854258816,NA,NA,NA,#DIV/0!
416,BR,NS,0.556429975,0.928393957,1.574258555,1.019694163,1.174115558
456N,BR,NS,NA,NA,NA,NA,NA
458,BR,NS,0.508890845,0.309967263,1.381725714,0.733527941,0.808406973
417,NS,NS,0.573750197,0.523653622,1.097256017,0.731553279,0.784154306
462,NS,NS,NA,NA,NA,NA,NA
420,NS,NS,0.829083796,0.500930689,1.4530719,0.927695462,0.960566017
435,NS,NS,0.744232864,0.682101754,1.642096526,1.022810381,1.115669554
497,NS,NS,0.771178713,0.650714246,1.121514607,0.847802522,0.873343791
404,NS,NS,NA,NA,NA,NA,NA
