Colony,Source,Transplant,Days,Status,Year
404,NS,NS,365,1,2012
410,BR,NS,365,1,2012
432,FR,NS,365,1,2012
437,FR,NS,365,1,2012
500,FR,NS,365,1,2012
456N,BR,NS,365,1,2012
414,BR,NS,711,1,2013
462,NS,NS,711,1,2013
496,FR,NS,711,1,2013
445,BR,FR,1088,1,2014
411,FR,NS,1442,0,2015
416,BR,NS,1442,0,2015
417,NS,NS,1442,0,2015
420,NS,NS,1442,0,2015
435,NS,NS,1442,0,2015
440,BR,NS,1442,0,2015
458,BR,NS,1442,0,2015
467,FR,NS,1442,0,2015
497,NS,NS,1442,0,2015
284,FR,FR,1445,0,2015
401,NS,FR,1445,0,2015
402,FR,BR,1445,0,2015
405,NS,FR,1445,0,2015
406,NS,BR,1445,0,2015
409,BR,FR,1445,0,2015
412,FR,BR,1445,0,2015
413,NS,FR,1445,0,2015
415,FR,BR,1445,0,2015
418,BR,BR,1445,0,2015
429,NS,FR,1445,0,2015
430,NS,FR,1445,0,2015
436,FR,FR,1445,0,2015
438,BR,BR,1445,0,2015
444,FR,FR,1445,0,2015
446,BR,BR,1445,0,2015
447,NS,FR,1445,0,2015
450,FR,BR,1445,0,2015
451,NS,BR,1445,0,2015
454,BR,BR,1445,0,2015
455,FR,FR,1445,0,2015
457,BR,FR,1445,0,2015
460,FR,BR,1445,0,2015
461,FR,BR,1445,0,2015
463,FR,FR,1445,0,2015
464,NS,BR,1445,0,2015
470,BR,FR,1445,0,2015
471,NS,BR,1445,0,2015
472,BR,BR,1445,0,2015
476,BR,FR,1445,0,2015
477,NS,BR,1445,0,2015
495,FR,FR,1445,0,2015
498,NS,BR,1445,0,2015
499,BR,BR,1445,0,2015
456F,BR,FR,1445,0,2015
