name	term	lev	seq	value
"cation channel complex"	GO:0034703	5	isogroup253079	-2.17297962011566
"cation channel complex"	GO:0034703	5	isogroup262873	0.64988111912628
"cation channel complex"	GO:0034703	5	isogroup256766	0.894229799543756
"cation channel complex"	GO:0034703	5	isogroup249484	2.58980327720506
"cation channel complex"	GO:0034703	5	isogroup227892	0.978414722030556
"cation channel complex"	GO:0034703	5	isogroup259743	-0.520614406645138
"cation channel complex"	GO:0034703	5	isogroup245999	-0.0856794418987141
"cation channel complex"	GO:0034703	5	isogroup250357	-1.13676894642111
"cation channel complex"	GO:0034703	5	isogroup251147	-0.680442721602777
"cation channel complex"	GO:0034703	5	isogroup261206	1.81534747617202
"cation channel complex"	GO:0034703	5	isogroup256003	-2.39025746979102
"cation channel complex"	GO:0034703	5	isogroup252645	0.125182338186521
"cation channel complex"	GO:0034703	5	isogroup238090	-0.766232653278618
"cation channel complex"	GO:0034703	5	isogroup255395	-1.43281538272726
"cation channel complex"	GO:0034703	5	isogroup256186	-1.70503690978879
"cation channel complex"	GO:0034703	5	isogroup221003	0.896450685426997
"cation channel complex"	GO:0034703	5	isogroup223029	-1.99082863995279
"cation channel complex"	GO:0034703	5	isogroup250432	-0.0403243425734968
"cation channel complex"	GO:0034703	5	isogroup258465	-0.655990378669684
"cation channel complex"	GO:0034703	5	isogroup259769	-0.202175164008188
"cation channel complex"	GO:0034703	5	isogroup247498	-0.4282492245669
"cation channel complex"	GO:0034703	5	isogroup250414	-0.311567530677615
"cation channel complex"	GO:0034703	5	isogroup242940	-1.0202245671901
"cation channel complex"	GO:0034703	5	isogroup226392	-0.0888423999450585
"cation channel complex"	GO:0034703	5	isogroup257923	0.116726422127726
"cation channel complex"	GO:0034703	5	isogroup250548	-0.774064037676677
"cation channel complex"	GO:0034703	5	isogroup238254	-0.736445517200152
"cation channel complex"	GO:0034703	5	isogroup261249	-1.07233592371142
"cation channel complex"	GO:0034703	5	isogroup252061	-1.76420398015115
"cation channel complex"	GO:0034703	5	isogroup260425	1.04000234751682
"cation channel complex"	GO:0034703	5	isogroup253244	0.357989926242044
"cation channel complex"	GO:0034703	5	isogroup243316	-0.0935567103441538
"cation channel complex"	GO:0034703	5	isogroup250428	-0.296463921246
"cation channel complex"	GO:0034703	5	isogroup262562	-0.114613572707514
"cation channel complex"	GO:0034703	5	isogroup256567	-0.842650837145503
"cation channel complex"	GO:0034703	5	isogroup228227	0.044051840464818
"cation channel complex"	GO:0034703	5	isogroup249046	0.641003366532723
"cation channel complex"	GO:0034703	5	isogroup257216	0.994190359443646
"cation channel complex"	GO:0034703	5	isogroup259654	0.229909819755884
"cation channel complex"	GO:0034703	5	isogroup259825	1.35719575306846
"cation channel complex"	GO:0034703	5	isogroup256327	-1.03912275030692
"cation channel complex"	GO:0034703	5	isogroup254443	0.969502082128616
"cation channel complex"	GO:0034703	5	isogroup260349	0.188434137472586
"cation channel complex"	GO:0034703	5	isogroup245310	-0.641850704877949
"cation channel complex"	GO:0034703	5	isogroup254668	-0.397503252140971
"cation channel complex"	GO:0034703	5	isogroup260627	1.16351305833942
"cation channel complex"	GO:0034703	5	isogroup258906	-0.544392106303907
"cation channel complex"	GO:0034703	5	isogroup250710	-1.02970665708509
"cation channel complex"	GO:0034703	5	isogroup247790	-0.882432313073651
