name	term	lev	seq	value
"ciliary transition fiber"	GO:0097539	2	isogroup254349	-0.493435790049454
"ciliary transition fiber"	GO:0097539	2	isogroup240713	-0.576463090478421
"ciliary transition fiber"	GO:0097539	2	isogroup256525	0.774982497677268
"ciliary transition fiber"	GO:0097539	2	isogroup252795	-1.72100492987529
"ciliary transition fiber"	GO:0097539	2	isogroup262697	0.121984933123815
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup241957	0.818258924689931
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup248761	0.171051965847177
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup261899	-2.38301746352713
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup261407	0.805705912644061
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup234154	-4.30366769282062
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup243934	0.634524993188025
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup256112	0.42543201049832
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup238584	-0.0769588270467266
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup261265	1.07555323363398
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup263036	-0.251982912244111
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup261759	0.864205101941605
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup236267	-0.76030709000553
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup256084	0.0819822164422412
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup243146	-0.0773644199633337
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup260750	0.410469899653555
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup238147	1.2831565466039
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup257318	-0.332169034079122
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup240021	0.782172198145182
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup261551	-0.283802300110018
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup257055	0.793725104775006
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup255412	0.250889154818018
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup259552	-0.191553458700589
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup256121	-0.509420131424591
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup262850	-2.0015609462419
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup246098	-0.558425228161988
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup252732	-0.766534898534715
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup230228	-1.54511878620936
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup260413	-1.18860891833163
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup262559	0.56267774786057
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup254604	-0.657235309456718
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup235047	1.58863378517844
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup263413	-0.823025933662677
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup258047	3.14911692106262
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup258654	-0.178380932916777
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup260886	-0.923009257316364
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup253677	-3.14835043798158
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup251640	-0.914735952602475
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup247591	0.492867477546268
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup253440	-2.05025065868161
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup253501	-0.268035065833523
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup228293	-0.959256613444007
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup240613	1.55660006004629
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup250332	-0.0233829875581063
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup225270	-0.129635601846785
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup260258	0.810490056549621
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup263701	1.89356229198493
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup248145	0.308755212078174
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup244150	0.177928947828655
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup260395	-2.07182707199654
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup249454	1.09365584374281
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup260668	-0.604177733283088
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup258591	0.0779922696938735
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup262698	1.75520211174549
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup234148	-0.482693292050815
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup153029	-0.174128124653417
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup256522	0.0340871529403194
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup259993	1.13362286029292
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup260878	0.125898271554539
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup253427	0.252627298357509
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup248246	-1.4919146107403
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup259379	1.00018588624189
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup244246	-0.00243316023823285
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup247001	-3.75008596264235
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup260597	2.85005205091203
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup247236	0.149014191115748
"coated vesicle"	GO:0030136;GO:0030135	2	isogroup255716	4.00504446515472
"ciliary transition zone"	GO:0035869	3	isogroup259285	-1.47306091259356
"ciliary transition zone"	GO:0035869	3	isogroup242048	-0.428732507429483
"ciliary transition zone"	GO:0035869	3	isogroup260854	1.02033048748412
"ciliary transition zone"	GO:0035869	3	isogroup260660	-0.616088277576171
"ciliary transition zone"	GO:0035869	3	isogroup258473	0.937152684175498
"ciliary transition zone"	GO:0035869	3	isogroup259083	-1.59225907551157
"ciliary transition zone"	GO:0035869	3	isogroup259738	0.787208147258153
"mismatch repair complex"	GO:0032300	3	isogroup250310	0.447844625483595
"mismatch repair complex"	GO:0032300	3	isogroup251597	0.362822256052014
"mismatch repair complex"	GO:0032300	3	isogroup234126	0.0160472818781461
"mismatch repair complex"	GO:0032300	3	isogroup259311	-0.395530489235345
"mismatch repair complex"	GO:0032300	3	isogroup259964	1.19863694699805
"mismatch repair complex"	GO:0032300	3	isogroup256452	0.979038222778673
"mismatch repair complex"	GO:0032300	3	isogroup263607	-0.188211467889694
"deuterosome"	GO:0098536	2	isogroup60723	-0.737049815256255
"deuterosome"	GO:0098536	2	isogroup251660	-2.89523991194581
"deuterosome"	GO:0098536	2	isogroup259429	1.12067585629268
"deuterosome"	GO:0098536	2	isogroup255713	0.45399676411097
"deuterosome"	GO:0098536	2	isogroup256736	-0.991637984466607
"deuterosome"	GO:0098536	2	isogroup259940	1.85074286809715
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup164286	1.86210716240965
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup230899	-0.0703413823747371
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup250787	0.130980068363062
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup215311	-0.959237460726149
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup254721	-0.383717591781422
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup244977	0.096066291709954
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup124898	0.231559188444025
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup232065	-1.50267711982043
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup154968	-0.0928792997304518
"mitochondrial respiratory chain complex I"	GO:0005747;GO:0045271;GO:0030964	6	isogroup185030	-0.1771547787138
"spectrin"	GO:0008091	2	isogroup263591	0.503344468477242
"spectrin"	GO:0008091	2	isogroup229067	1.31607643270539
"spectrin"	GO:0008091	2	isogroup255702	0.803828415686604
"spectrin"	GO:0008091	2	isogroup260670	1.09306994105476
"spectrin"	GO:0008091	2	isogroup194259	-0.412932683122996
"integral component of peroxisomal membrane"	GO:0005779	2	isogroup262397	-1.15021236825538
"integral component of peroxisomal membrane"	GO:0005779	2	isogroup254315	0.180210908499737
"integral component of peroxisomal membrane"	GO:0005779	2	isogroup253909	-0.0643400027521864
"integral component of peroxisomal membrane"	GO:0005779	2	isogroup255266	-0.213688430674631
"integral component of peroxisomal membrane"	GO:0005779	2	isogroup254979	0.0906920754868154
"integral component of peroxisomal membrane"	GO:0005779	2	isogroup245384	-2.47659131203765
"SMN-Sm protein complex"	GO:0034719	2	isogroup250951	0.0756212447221504
"SMN-Sm protein complex"	GO:0034719	2	isogroup261302	0.896107678059085
"SMN-Sm protein complex"	GO:0034719	2	isogroup244437	-2.92847936549024
"SMN-Sm protein complex"	GO:0034719	2	isogroup246128	-0.241920119798607
"SMN-Sm protein complex"	GO:0034719	2	isogroup255090	0.252263811900659
"SMN-Sm protein complex"	GO:0034719	2	isogroup261509	1.05579425672124
"SMN-Sm protein complex"	GO:0034719	2	isogroup232776	-0.498716358281358
"autophagic vacuole"	GO:0005776	2	isogroup248531	0.96995476385495
"autophagic vacuole"	GO:0005776	2	isogroup240831	-0.966884774197361
"autophagic vacuole"	GO:0005776	2	isogroup257760	-1.3472275126294
"autophagic vacuole"	GO:0005776	2	isogroup235298	0.208209534242375
"autophagic vacuole"	GO:0005776	2	isogroup202975	1.78639596107425
"autophagic vacuole"	GO:0005776	2	isogroup159809	1.92973517308078
"autophagic vacuole"	GO:0005776	2	isogroup260283	-0.27959039384921
"autophagic vacuole"	GO:0005776	2	isogroup189444	0.433160776799404
"autophagic vacuole"	GO:0005776	2	isogroup258788	-1.13427119355618
"autophagic vacuole"	GO:0005776	2	isogroup252384	-3.38463602096015
"autophagic vacuole"	GO:0005776	2	isogroup246608	0.500102516512886
"autophagic vacuole"	GO:0005776	2	isogroup262612	-0.246586307643628
"autophagic vacuole"	GO:0005776	2	isogroup254274	-0.48088203440406
"autophagic vacuole"	GO:0005776	2	isogroup261589	6.73461758324027
"autophagic vacuole"	GO:0005776	2	isogroup262886	2.71273227177874
"autophagic vacuole"	GO:0005776	2	isogroup259783	-1.17016178237566
"autophagic vacuole"	GO:0005776	2	isogroup206877	1.56018107908821
"autophagic vacuole"	GO:0005776	2	isogroup252895	-0.0402141411284055
"autophagic vacuole"	GO:0005776	2	isogroup176138	-2.75720070567227
"autophagic vacuole"	GO:0005776	2	isogroup262078	-0.146588425541777
"autophagic vacuole"	GO:0005776	2	isogroup262081	-0.50441509854884
"autophagic vacuole"	GO:0005776	2	isogroup261217	-0.222431954022848
"autophagic vacuole"	GO:0005776	2	isogroup249795	1.02415898763954
"autophagic vacuole"	GO:0005776	2	isogroup199263	-0.729423033463252
"autophagic vacuole"	GO:0005776	2	isogroup253557	-0.113571958743706
"pericentriolar material"	GO:0000242	2	isogroup261160	-1.88650590433385
"pericentriolar material"	GO:0000242	2	isogroup258443	0.144717638434799
"pericentriolar material"	GO:0000242	2	isogroup257847	-1.03997411799273
"pericentriolar material"	GO:0000242	2	isogroup256474	1.59756453081321
"pericentriolar material"	GO:0000242	2	isogroup246907	0.116780945267248
"pericentriolar material"	GO:0000242	2	isogroup260253	0.572962168539114
"pericentriolar material"	GO:0000242	2	isogroup225542	-2.78880659088872
"pericentriolar material"	GO:0000242	2	isogroup262308	0.227566249791104
"pericentriolar material"	GO:0000242	2	isogroup235261	1.02727410519897
"pericentriolar material"	GO:0000242	2	isogroup247374	-0.524265602225487
"fibril"	GO:0043205;GO:0001527	2	isogroup260113	2.24769669572151
"fibril"	GO:0043205;GO:0001527	2	isogroup261414	1.04311521970884
"fibril"	GO:0043205;GO:0001527	2	isogroup262718	-2.66927403798165
"fibril"	GO:0043205;GO:0001527	2	isogroup263810	0.762478207159382
"fibril"	GO:0043205;GO:0001527	2	isogroup262520	0.322521935059205
"fibril"	GO:0043205;GO:0001527	2	isogroup204898	-0.77379927193952
"lamellipodium"	GO:0030027	2	isogroup246562	0.841727019530666
"lamellipodium"	GO:0030027	2	isogroup254619	-1.21838072777278
"lamellipodium"	GO:0030027	2	isogroup241091	-1.20945950575229
"lamellipodium"	GO:0030027	2	isogroup255949	1.40721022539844
"lamellipodium"	GO:0030027	2	isogroup254882	2.84315414096161
"lamellipodium"	GO:0030027	2	isogroup253569	-0.0933962520171967
"lamellipodium"	GO:0030027	2	isogroup257727	0.102346558568375
"lamellipodium"	GO:0030027	2	isogroup260924	0.165251110329487
"lamellipodium"	GO:0030027	2	isogroup257102	-0.0580931530066862
"lamellipodium"	GO:0030027	2	isogroup242120	1.47270255159788
"lamellipodium"	GO:0030027	2	isogroup240403	-0.542996347391911
