"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-259 0.685880829139449 2 6 "GO:0000002" "mitochondrial genome maintenance" 0.934631446957594
-559 0.426546082159753 1 5 "GO:0000003" "reproduction" 0.858652209596299
-304 0.665504156520715 2 5 "GO:0000012" "single strand break repair" 0.929666719814551
-14 0.973008628684736 6 14 "GO:0000018" "regulation of DNA recombination" 0.99873600433698
205 0.67990408750222 6 10 "GO:0000038" "very long-chain fatty acid metabolic process" 0.931825171958133
600 0.0735403024253603 2 22 "GO:0000041" "transition metal ion transport" 0.61366600682237
607 0.221915055238427 4 10 "GO:0000042;GO:0000301;GO:0072600" "establishment of protein localization to Golgi" 0.748844696892476
448 0.202809268270416 2 20 "GO:0000045" "autophagic vacuole assembly" 0.742945785592976
448 0.523602152636972 2 5 "GO:0000060" "protein import into nucleus, translocation" 0.892691777118204
-1825 0.00938603915113383 4 5 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.319876214270641
-226 0.330744423684849 2 46 "GO:0000075" "cell cycle checkpoint" 0.828528653647123
-1030 0.108281104459446 6 6 "GO:0000076" "DNA replication checkpoint" 0.642231831474833
-218 0.419536271259138 2 34 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.856417754573265
56 0.858025968064636 2 25 "GO:0000079" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.984115035431181
-144 0.668235986962538 2 22 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.929666719814551
-871 0.215087544601394 2 5 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.74529050836194
-506 0.0508693118924597 2 37 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.558034168228013
-187 0.481613103688302 2 35 "GO:0000096" "sulfur amino acid metabolic process" 0.875235152984938
-266 0.486354875904207 4 17 "GO:0000097" "sulfur amino acid biosynthetic process" 0.875235152984938
-485 0.35474836993951 5 9 "GO:0000098" "sulfur amino acid catabolic process" 0.836443314037141
614 0.381931755297087 3 5 "GO:0000105" "histidine biosynthetic process" 0.84156686770634
114 0.380494072126653 2 150 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.840113116396149
-990 0.0367656963988981 5 11 "GO:0000132;GO:0040001;GO:0051294;GO:0051293" "establishment of spindle localization" 0.497540563793973
-168 0.429953491376989 4 55 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.859376249910103
-445 0.166143339932815 3 24 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.72338490966327
-270 0.519867843983129 3 14 "GO:0000186" "activation of MAPKK activity" 0.892399065964324
-194 0.537671061408265 2 25 "GO:0000187" "activation of MAPK activity" 0.895921953290593
54 0.774582992681766 2 69 "GO:0000209" "protein polyubiquitination" 0.964409343326457
-319 0.035066647191407 2 110 "GO:0000226" "microtubule cytoskeleton organization" 0.48448837957425
872 0.174129008104932 7 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.727858578180119
224 0.66898523874141 3 9 "GO:0000245" "spliceosomal complex assembly" 0.929666719814551
892 0.133151564333671 2 7 "GO:0000266" "mitochondrial fission" 0.669567532501106
100 0.865707058139012 2 7 "GO:0000272" "polysaccharide catabolic process" 0.984115035431181
-170 0.393642576195645 4 63 "GO:0000278" "mitotic cell cycle" 0.847588153432433
-310 0.335074540692107 5 24 "GO:0000281" "mitotic cytokinesis" 0.82997678928328
-331 0.550738779460071 3 8 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.897393287148424
-101 0.885789616211227 3 5 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.984381851754737
33 0.878387603360706 4 54 "GO:0000302" "response to reactive oxygen species" 0.984115035431181
-313 0.509515515210328 2 11 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.888093458463883
636 0.0637341332576338 3 21 "GO:0000387" "spliceosomal snRNP assembly" 0.599591307567218
327 0.138643898926465 2 51 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.672436063863462
-255 0.479179989615275 2 19 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.875235152984938
816 0.0323145922955941 3 17 "GO:0000422" "mitochondrion degradation" 0.479853541943003
223 0.622366485886012 5 12 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.922184775608491
30 0.957134730662337 3 8 "GO:0000469" "cleavage involved in rRNA processing" 0.99873600433698
-172 0.705154869678557 2 12 "GO:0000578" "embryonic axis specification" 0.94186411807025
218 0.676895038846422 2 9 "GO:0000722;GO:0006312" "mitotic recombination" 0.931825171958133
-311 0.279664352373807 5 30 "GO:0000723;GO:0032200" "telomere organization" 0.795112340563284
-239 0.397419501777776 2 31 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 0.848625101540514
473 0.461303275763371 2 6 "GO:0000729" "DNA double-strand break processing" 0.875235152984938
-613 0.302058829301969 2 7 "GO:0000731" "DNA synthesis involved in DNA repair" 0.813457359974555
-54 0.864246506283566 2 25 "GO:0000737" "DNA catabolic process, endonucleolytic" 0.984115035431181
73 0.877619063723982 4 11 "GO:0000738" "DNA catabolic process, exonucleolytic" 0.984115035431181
91 0.613007049929155 4 78 "GO:0000902;GO:0000904" "cell morphogenesis" 0.921858680412595
-230 0.27576065467281 2 56 "GO:0000910" "cytokinesis" 0.793720143777265
-24 0.918905730475317 2 46 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.995351420123069
400 0.533282275902448 5 6 "GO:0000959" "mitochondrial RNA metabolic process" 0.893310929439512
-557 0.00318658660185448 3 70 "GO:0001101" "response to acid" 0.2329723701461
-28 0.920036605838027 4 31 "GO:0001501" "skeletal system development" 0.99560269454784
-168 0.485749653556722 2 43 "GO:0001503" "ossification" 0.875235152984938
120 0.6761998031779 2 30 "GO:0001505" "regulation of neurotransmitter levels" 0.931825171958133
-271 0.419590015564002 4 22 "GO:0001508" "action potential" 0.856417754573265
155 0.693123544591771 3 16 "GO:0001510" "RNA methylation" 0.93637620506161
-305 0.559977182803617 6 9 "GO:0001522" "pseudouridine synthesis" 0.901576185364701
-186 0.669530405893278 4 13 "GO:0001523" "retinoid metabolic process" 0.929666719814551
-116 0.540861301515012 3 69 "GO:0001525" "angiogenesis" 0.896217233007546
1261 0.00381247046865763 2 13 "GO:0001539" "cilium or flagellum-dependent cell motility" 0.250620080055716
-1058 0.0255412413892485 3 11 "GO:0001541" "ovarian follicle development" 0.450888063091314
-263 0.125860658861419 2 85 "GO:0001558" "regulation of cell growth" 0.665472138962583
291 0.39605882259176 3 21 "GO:0001568" "blood vessel development" 0.847588153432433
-14 0.981357058130497 2 7 "GO:0001569" "patterning of blood vessels" 0.99873600433698
52 0.905247641211956 4 13 "GO:0001570" "vasculogenesis" 0.990078293084193
-128 0.722602997367379 2 19 "GO:0001578" "microtubule bundle formation" 0.943763061657115
134 0.670230539272133 5 25 "GO:0001649" "osteoblast differentiation" 0.929666719814551
284 0.33967899477834 4 28 "GO:0001654" "eye development" 0.833690234887082
-624 0.137703155713585 2 14 "GO:0001656" "metanephros development" 0.671035028184516
-257 0.488382342473565 2 18 "GO:0001657" "ureteric bud development" 0.875235152984938
850 0.0610573340193733 2 12 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.591146006642114
31 0.961506182429478 4 6 "GO:0001662;GO:0002209;GO:0042596" "behavioral fear response" 0.99873600433698
-496 0.0391986192644023 3 43 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.508381363203598
-237 0.292840586463624 2 49 "GO:0001667" "ameboidal cell migration" 0.806573856682137
-8 0.980992720766414 6 23 "GO:0001676" "long-chain fatty acid metabolic process" 0.99873600433698
-473 0.318493340140177 2 11 "GO:0001678" "cellular glucose homeostasis" 0.822837099655729
-179 0.37880786918368 2 60 "GO:0001701;GO:0043009;GO:0009792" "embryo development ending in birth or egg hatching" 0.840113116396149
-41 0.941522623628366 2 8 "GO:0001702" "gastrulation with mouth forming second" 0.996366074563679
47 0.897153977209302 2 19 "GO:0001704" "formation of primary germ layer" 0.986714959443621
897 0.201893564746697 2 5 "GO:0001706" "endoderm formation" 0.742945785592976
125 0.765933717981603 2 14 "GO:0001707" "mesoderm formation" 0.960140550839126
