"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-253 0.39264753375037 5 9 "GO:0000118" "histone deacetylase complex" 0.917159881690969
61 0.36350838802487 4 186 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.917159881690969
26 0.839617738895477 3 50 "GO:0000151" "ubiquitin ligase complex" 0.96878969872555
-279 0.374666469345693 4 8 "GO:0000152" "nuclear ubiquitin ligase complex" 0.917159881690969
66 0.843865836141386 2 7 "GO:0000178" "exosome (RNase complex)" 0.970580514411818
-92 0.668821380624086 3 17 "GO:0000228" "nuclear chromosome" 0.931554686381289
-498 0.138017477847448 2 7 "GO:0000242" "pericentriolar material" 0.811975751572007
212 0.389793284409046 2 13 "GO:0000407" "pre-autophagosomal structure" 0.917159881690969
290 0.302137765667969 2 10 "GO:0000421" "autophagic vacuole membrane" 0.917159881690969
55 0.788715364374723 2 19 "GO:0000502" "proteasome complex" 0.957784826086479
-258 0.29446125900952 2 13 "GO:0000775" "chromosome, centromeric region" 0.917159881690969
-90 0.601501687058013 3 27 "GO:0000776" "kinetochore" 0.929358829789205
-98 0.668369718271532 4 15 "GO:0000777" "condensed chromosome kinetochore" 0.931554686381289
-114 0.564967051769484 4 20 "GO:0000781" "chromosome, telomeric region" 0.917159881690969
138 0.659221336068694 2 8 "GO:0000784" "nuclear chromosome, telomeric region" 0.931554686381289
200 0.05867596930173 2 72 "GO:0000785" "chromatin" 0.698159133548647
360 0.223599818112039 3 9 "GO:0000786;GO:0044815;GO:1990104" "DNA packaging complex" 0.917159881690969
274 0.0730986455160024 2 34 "GO:0000790" "nuclear chromatin" 0.698159133548647
68 0.819379895760148 3 9 "GO:0000791" "euchromatin" 0.960836359849034
-198 0.331894410159149 2 19 "GO:0000792" "heterochromatin" 0.917159881690969
-130 0.678407677061328 3 8 "GO:0000793" "condensed chromosome" 0.931554686381289
167 0.290277629448685 2 32 "GO:0000922" "spindle pole" 0.917159881690969
29 0.871202758361974 2 24 "GO:0000932" "cytoplasmic mRNA processing body" 0.985423204920441
79 0.778191856706123 2 10 "GO:0001669" "acrosomal vesicle" 0.957784826086479
18 0.932964032037697 2 18 "GO:0001725;GO:0032432;GO:0042641" "actomyosin" 0.985423204920441
65 0.757014453736024 2 18 "GO:0001726" "ruffle" 0.952885326381009
89 0.790172481521345 3 7 "GO:0001750" "photoreceptor outer segment" 0.957784826086479
268 0.340815720444575 2 10 "GO:0002102" "podosome" 0.917159881690969
-77 0.29401950169685 1 155 "GO:0005576" "extracellular region" 0.917159881690969
-56 0.627225269085882 2 61 "GO:0005578;GO:0031012" "extracellular matrix" 0.931554686381289
-232 0.232706000334827 2 21 "GO:0005581" "collagen trimer" 0.917159881690969
-124 0.476174007957245 2 26 "GO:0005604" "basement membrane" 0.917159881690969
17 0.966379288717348 2 5 "GO:0005605" "basal lamina" 0.985423204920441
45 0.574424760090807 2 128 "GO:0005615" "extracellular space" 0.917159881690969
96 0.74709991271977 2 9 "GO:0005618;GO:0030312" "cell wall" 0.952554583223378
41 0.714945880768274 2 64 "GO:0005622" "intracellular" 0.938870423345575
-52 0.68907000822753 2 47 "GO:0005635;GO:0031967;GO:0031975" "organelle envelope" 0.931554686381289
-475 0.231856536550096 2 5 "GO:0005637" "nuclear inner membrane" 0.917159881690969
540 0.107779158497201 5 7 "GO:0005639;GO:0044453" "integral component of nuclear inner membrane" 0.753857747332334
-457 0.145193878310944 3 8 "GO:0005641" "nuclear envelope lumen" 0.829679304633966
