"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-205 0.663750742404736 2 12 "GO:0000030" "mannosyltransferase activity" 0.941931137212082
91 0.793345158766615 3 22 "GO:0000049" "tRNA binding" 0.977254657338149
-147 0.799290065260311 2 8 "GO:0000062" "fatty-acyl-CoA binding" 0.977254657338149
465 0.421041348993111 2 8 "GO:0000146" "microfilament motor activity" 0.861902198370813
-76 0.773781710523957 2 38 "GO:0000149" "SNARE binding" 0.975634660148308
478 0.242656400150827 6 16 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.776603949887634
-288 0.525788446095155 4 13 "GO:0000217" "DNA secondary structure binding" 0.904515063671664
55 0.746951314112927 2 95 "GO:0000287" "magnesium ion binding" 0.969523801992972
1054 0.0414864031109978 3 10 "GO:0000339" "RNA cap binding" 0.594173532367144
31 0.95757791743042 2 8 "GO:0000400" "four-way junction DNA binding" 0.994765057337598
-480 0.0159129686275837 2 68 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.462802170918893
-405 0.0778097339479794 4 51 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.657793459309874
-513 0.0537323650753308 3 38 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.594173532367144
456 0.494587800222082 2 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.892983330025365
-456 0.0115256246660327 3 83 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.421374433266099
74 0.607697914207284 2 133 "GO:0000989;GO:0000988;GO:0003712" "transcription factor binding transcription factor activity" 0.920115280079575
671 0.245184001388858 3 8 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 0.776603949887634
304 0.599357856661426 2 8 "GO:0001046" "core promoter sequence-specific DNA binding" 0.920115280079575
-210 0.537398118319357 3 23 "GO:0001047" "core promoter binding" 0.906895677574971
-493 0.0413687691531413 5 46 "GO:0001077;GO:0000982;GO:0001228" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.594173532367144
