"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
159 0.735545605005021 5 12 "GO:0000030" "mannosyltransferase activity" 0.9717441299254
-86 0.805675215569122 2 22 "GO:0000049" "tRNA binding" 0.972960955637071
-504 0.382735038921053 2 8 "GO:0000062" "fatty-acyl-CoA binding" 0.954857660316748
172 0.76600798654311 2 8 "GO:0000146" "microfilament motor activity" 0.972346131061263
-204 0.442429954323668 2 38 "GO:0000149" "SNARE binding" 0.954857660316748
92 0.822101136803362 2 16 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity, producing 5'-phosphomonoesters" 0.972960955637071
337 0.457210090633859 2 13 "GO:0000217" "DNA secondary structure binding" 0.954857660316748
-77 0.650589579919747 3 95 "GO:0000287" "magnesium ion binding" 0.968259350169421
89 0.863721442207857 2 10 "GO:0000339" "RNA cap binding" 0.972960955637071
84 0.884148174244272 2 8 "GO:0000400" "four-way junction DNA binding" 0.972960955637071
-674 0.000722170435520423 4 68 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.181003002346544
-697 0.00242033340406633 2 51 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.242948331761018
-679 0.0105978727811581 8 38 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region sequence-specific DNA binding" 0.672483200113487
-651 0.329087318880628 8 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.954857660316748
-270 0.135079728714432 2 83 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.910338482781091
-63 0.659074210404941 2 133 "GO:0000989;GO:0000988;GO:0003712" "transcription factor binding transcription factor activity" 0.968259350169421
499 0.387477452369366 4 8 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 0.954857660316748
-251 0.664527071731825 2 8 "GO:0001046" "core promoter sequence-specific DNA binding" 0.968259350169421
-378 0.267649952690657 7 23 "GO:0001047" "core promoter binding" 0.954857660316748
-773 0.00138141204613696 5 46 "GO:0001077;GO:0000982;GO:0001228" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.19284512164072
-980 0.0720735666083435 2 9 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.910338482781091
-163 0.730083887948925 3 12 "GO:0001085" "RNA polymerase II transcription factor binding" 0.9717441299254
-322 0.252103619406605 2 34 "GO:0001104;GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.954857660316748
-75 0.918161517978759 2 5 "GO:0001106" "RNA polymerase II transcription corepressor activity" 0.973847422357196
-566 0.359287380764861 3 7 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.954857660316748
-807 0.0647750486925794 4 14 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.910338482781091
-153 0.735449976481716 2 13 "GO:0001530" "lipopolysaccharide binding" 0.9717441299254
-120 0.790667057214677 2 13 "GO:0001540" "beta-amyloid binding" 0.972346131061263
-402 0.23824736144997 2 23 "GO:0001664" "G-protein coupled receptor binding" 0.954857660316748
550 0.287396248845174 2 10 "GO:0001786" "phosphatidylserine binding" 0.954857660316748
343 0.400843712498402 2 16 "GO:0001948" "glycoprotein binding" 0.954857660316748
-180 0.786940759473439 2 6 "GO:0001965" "G-protein alpha-subunit binding" 0.972346131061263
207 0.623543133378026 2 15 "GO:0002020" "protease binding" 0.968259350169421
232 0.558711447107136 2 17 "GO:0002039" "p53 binding" 0.958765201746485
476 0.515208543849308 2 5 "GO:0002161" "aminoacyl-tRNA editing activity" 0.954857660316748
1478 0.026729941730423 3 6 "GO:0002162" "dystroglycan binding" 0.910338482781091
-93 0.482314743220583 2 155 "GO:0003682" "chromatin binding" 0.954857660316748
