"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-201 0.631728872400137 2 10 "GO:0000030" "mannosyltransferase activity" 0.918078332347469
-77 0.811723060038266 4 17 "GO:0000049" "tRNA binding" 0.970730384416573
-249 0.645582089097089 4 6 "GO:0000062" "fatty-acyl-CoA binding" 0.918078332347469
90 0.848431127943965 8 8 "GO:0000146" "microfilament motor activity" 0.971314103385947
-194 0.402603111178352 3 33 "GO:0000149" "SNARE binding" 0.823426787340786
-69 0.851280228590774 6 13 "GO:0000175;GO:0016896;GO:0004532" "exoribonuclease activity" 0.971314103385947
-386 0.295231577980259 3 13 "GO:0000217" "DNA secondary structure binding" 0.794351701099136
-130 0.404434192611764 2 74 "GO:0000287" "magnesium ion binding" 0.823426787340786
182 0.680630563510105 3 9 "GO:0000339" "RNA cap binding" 0.921185487949873
-159 0.735291323024145 5 8 "GO:0000400" "four-way junction DNA binding" 0.934022206648207
215 0.205866994213903 3 62 "GO:0000976" "transcription regulatory region sequence-specific DNA binding" 0.729586097294243
201 0.312902263873431 2 45 "GO:0000977;GO:0001012" "RNA polymerase II regulatory region DNA binding" 0.799621849032793
76 0.742525560377598 4 33 "GO:0000978;GO:0000987;GO:0001159" "core promoter proximal region DNA binding" 0.934293525351151
29 0.957145889275438 2 6 "GO:0000980" "RNA polymerase II distal enhancer sequence-specific DNA binding" 0.995342076675905
239 0.128600966079995 2 72 "GO:0000981" "sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.636731612542414
-57 0.644889106339393 2 120 "GO:0000989;GO:0000988;GO:0003712" "transcription factor binding transcription factor activity" 0.918078332347469
-1063 0.0499374540152556 3 6 "GO:0000993;GO:0001099;GO:0043175;GO:0001098" "RNA polymerase core enzyme binding" 0.551683391890672
548 0.243265915733603 2 8 "GO:0001046" "core promoter sequence-specific DNA binding" 0.752025089755148
45 0.882827652496745 7 19 "GO:0001047" "core promoter binding" 0.980460309096288
513 0.0176612677521359 5 38 "GO:0001077;GO:0000982;GO:0001228" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity" 0.448154669210448
776 0.0981410889656981 2 8 "GO:0001078" "RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.580271098836021
-385 0.384376093442159 3 9 "GO:0001085" "RNA polymerase II transcription factor binding" 0.821716145789001
-811 0.171872620666858 2 5 "GO:0001103" "RNA polymerase II repressing transcription factor binding" 0.726665790845904
-132 0.575417091758849 2 32 "GO:0001104;GO:0001076" "RNA polymerase II transcription factor binding transcription factor activity" 0.918078332347469
-279 0.607393424455521 2 6 "GO:0001191" "RNA polymerase II transcription factor binding transcription factor activity involved in negative regulation of transcription" 0.918078332347469
789 0.0323538691433188 2 13 "GO:0001227" "RNA polymerase II transcription regulatory region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription" 0.544720071608725
102 0.798392632025061 3 11 "GO:0001530" "lipopolysaccharide binding" 0.970730384416573
60 0.892661437432766 4 9 "GO:0001540" "beta-amyloid binding" 0.980460309096288
385 0.184794767996371 2 21 "GO:0001664" "G-protein coupled receptor binding" 0.727933356547178
427 0.363109195227334 2 8 "GO:0001786" "phosphatidylserine binding" 0.821716145789001
-155 0.64121356907745 3 16 "GO:0001948" "glycoprotein binding" 0.918078332347469
-386 0.294266734867026 2 13 "GO:0002020" "protease binding" 0.794351701099136
-646 0.0598434139884682 2 15 "GO:0002039" "p53 binding" 0.551683391890672
482 0.374239289771441 2 6 "GO:0002162" "dystroglycan binding" 0.821716145789001
-2 0.988866449710144 2 128 "GO:0003682" "chromatin binding" 0.995342076675905
-300 0.290639970831645 4 22 "GO:0003684" "damaged DNA binding" 0.794351701099136
104 0.659736368695284 3 32 "GO:0003690" "double-stranded DNA binding" 0.918078332347469
-527 0.0760434624222198 3 20 "GO:0003697" "single-stranded DNA binding" 0.551683391890672
85 0.380409093662492 2 196 "GO:0003700;GO:0001071" "sequence-specific DNA binding transcription factor activity" 0.821716145789001
105 0.76066421054962 4 15 "GO:0003705" "RNA polymerase II distal enhancer sequence-specific DNA binding transcription factor activity" 0.949050919236499
-1114 0.0264861282129186 4 7 "GO:0003707;GO:0004879;GO:0098531" "ligand-activated sequence-specific DNA binding RNA polymerase II transcription factor activity" 0.53644403394104
-125 0.453684203155996 4 64 "GO:0003713" "transcription coactivator activity" 0.845744843128027
-193 0.435573087785255 4 29 "GO:0003714" "transcription corepressor activity" 0.832302716066268
662 0.034537024710662 3 18 "GO:0003725" "double-stranded RNA binding" 0.544720071608725
51 0.881676742993369 5 15 "GO:0003727" "single-stranded RNA binding" 0.980460309096288
30 0.888795914041277 2 39 "GO:0003729" "mRNA binding" 0.980460309096288
-60 0.905694717810434 2 7 "GO:0003730" "mRNA 3'-UTR binding" 0.983067910462378
99 0.499013323522416 2 83 "GO:0003735" "structural constituent of ribosome" 0.878448952324253
-635 0.0150212072178828 4 26 "GO:0003743" "translation initiation factor activity" 0.407535009691583
-96 0.811424302444536 5 11 "GO:0003746" "translation elongation factor activity" 0.970730384416573
150 0.579635983175721 2 24 "GO:0003755;GO:0016859" "cis-trans isomerase activity" 0.918078332347469
-403 0.313808902986597 3 11 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.799621849032793
44 0.771548731105884 2 77 "GO:0003774" "motor activity" 0.950411132918404
26 0.890405623531753 3 50 "GO:0003777" "microtubule motor activity" 0.980460309096288
226 0.186287552177568 2 61 "GO:0003779" "actin binding" 0.727933356547178
-16 0.976784580435567 7 6 "GO:0003840;GO:0036374" "glutathione hydrolase activity" 0.995342076675905
189 0.705900942371788 5 7 "GO:0003841;GO:0042171;GO:0071617" "lysophospholipid acyltransferase activity" 0.934022206648207
100 0.854018092878507 5 6 "GO:0003857" "3-hydroxyacyl-CoA dehydrogenase activity" 0.971314103385947
