isogroup249823	GO:0016874;GO:0004842;GO:0008270
isogroup245320	GO:0016020;GO:0005634;GO:0005578;GO:0004222;GO:0008270;GO:0001525;GO:0030574
isogroup255227	GO:0070062;GO:0005524
isogroup222825	GO:0070062;GO:0000139;GO:0042803;GO:0010634;GO:0010718;GO:0070374
isogroup254025	GO:0005737;GO:0005829;GO:0008934;GO:0052832;GO:0052833;GO:0046872;GO:0042803;GO:0006021;GO:0046855;GO:0043647;GO:0006796;GO:0046854;GO:0007165;GO:0044281
isogroup232055	GO:0005737;GO:0002161;GO:0051500;GO:0019478;GO:0006450;GO:0006399
isogroup245448	GO:0004364
isogroup221466	GO:0005783;GO:0016021;GO:0005886;GO:0005524;GO:0004672
isogroup214879	GO:0016021;GO:0005886;GO:0004978;GO:0030819
isogroup261984	GO:0005634;GO:0003677;GO:0007275;GO:0006355
isogroup230733	GO:0005789;GO:0033116;GO:0000139;GO:0016021;GO:0015031;GO:0016192
isogroup229610	GO:0008305;GO:0046872;GO:0046982;GO:0007155;GO:0007229
isogroup280989	GO:0042597;GO:0003755;GO:0006457
isogroup192781	
isogroup250413	GO:0005737;GO:0005576;GO:0005634;GO:0009882;GO:0003684;GO:0003677;GO:0003913;GO:0071949;GO:0019902;GO:0003697;GO:0000989;GO:0000976;GO:0043130;GO:0009785;GO:0032922;GO:0007623;GO:0006281;GO:0043153;GO:0042593;GO:0042754;GO:2000323;GO:0032515;GO:0000122;GO:0045892;GO:0018298;GO:0042752;GO:2000118;GO:0006351
isogroup182070	GO:0005788;GO:0005506;GO:0031418;GO:0004656
isogroup41216	GO:0005576;GO:0046872;GO:0004806;GO:0016042
isogroup232436	GO:0005524;GO:0030553;GO:0004692;GO:0004674;GO:0007526;GO:0006468
isogroup217580	GO:0005737;GO:0005634;GO:0005839;GO:0004298;GO:0051603
isogroup259655	
isogroup249386	GO:0005813;GO:0005737;GO:0005634;GO:0046872;GO:0004518
isogroup329765	GO:0005737;GO:0005524;GO:0046872;GO:0004652;GO:0006397;GO:0007275;GO:0048477;GO:0043631
isogroup253723	GO:0005615;GO:0005655;GO:0000172;GO:0044822;GO:0000171;GO:0004526;GO:0090501;GO:0090502;GO:0001682;GO:0016078
isogroup99799	GO:0005892;GO:0030054;GO:0045211;GO:0004889;GO:0098655;GO:0006812;GO:0007271
