name	term	lev	seq	value
"dicarboxylic acid metabolic process"	GO:0043648	2	isogroup195652	-1.93745677728452
"dicarboxylic acid metabolic process"	GO:0043648	2	isogroup117511	0.393688710772673
"dicarboxylic acid metabolic process"	GO:0043648	2	isogroup42241	-2.74259055690582
"dicarboxylic acid metabolic process"	GO:0043648	2	isogroup244316	-2.61525767022264
"dicarboxylic acid metabolic process"	GO:0043648	2	isogroup257004	-9.57584861380127
"dicarboxylic acid metabolic process"	GO:0043648	2	isogroup46969	-0.593912153040402
"dicarboxylic acid metabolic process"	GO:0043648	2	isogroup208754	-1.07790660192408
"RNA 3'-end processing"	GO:0031123	2	isogroup253470	-1.72529313310454
"RNA 3'-end processing"	GO:0031123	2	isogroup48852	-2.11696746823481
"RNA 3'-end processing"	GO:0031123	2	isogroup153858	1.46376132010161
"RNA 3'-end processing"	GO:0031123	2	isogroup212124	0.952685873192847
"RNA 3'-end processing"	GO:0031123	2	isogroup201157	-6.32921590471695
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup152369	3.4211528418183
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup153176	-0.0992502216622544
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup116455	4.00219400251659
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup195443	-0.291368027828079
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup265198	1.24158767684966
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup265801	-0.17615312724011
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup197090	-1.42971235058843
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup40847	1.26736135450385
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup244498	-2.29003563702299
"glycosylation"	GO:0006486;GO:0043413;GO:0070085	4	isogroup174782	0.703044817556786
"regulation of cellular localization"	GO:0060341	2	isogroup117505	1.11608182577163
"regulation of cellular localization"	GO:0060341	2	isogroup264306	-2.33404208063851
"regulation of cellular localization"	GO:0060341	2	isogroup53603	-1.74721500430929
"regulation of cellular localization"	GO:0060341	2	isogroup116093	-1.87752235784301
"regulation of cellular localization"	GO:0060341	2	isogroup203086	-0.493851368365713
"regulation of cellular localization"	GO:0060341	2	isogroup53418	-0.395590802545467
"regulation of cellular localization"	GO:0060341	2	isogroup195443	-0.291368027828079
"regulation of cellular localization"	GO:0060341	2	isogroup117087	-0.0459411776758495
"regulation of cellular localization"	GO:0060341	2	isogroup117270	-0.45622995831533
"regulation of cellular localization"	GO:0060341	2	isogroup39374	0.532018705722406
"regulation of cellular localization"	GO:0060341	2	isogroup240173	1.42975554137188
"regulation of cellular localization"	GO:0060341	2	isogroup163788	2.12449605211891
"regulation of cellular localization"	GO:0060341	2	isogroup116143	2.15859562962321
"regulation of cellular localization"	GO:0060341	2	isogroup52154	0.71064945370878
"system process"	GO:0003008	3	isogroup232362	-1.08065032069053
"system process"	GO:0003008	3	isogroup117436	-1.24093120218776
"system process"	GO:0003008	3	isogroup44278	-0.28528048477643
"system process"	GO:0003008	3	isogroup246218	0.0659930202588287
"system process"	GO:0003008	3	isogroup175859	-0.341291227196686
"system process"	GO:0003008	3	isogroup246490	2.46790365822465
"system process"	GO:0003008	3	isogroup192368	-0.556154899259573
"system process"	GO:0003008	3	isogroup219032	1.56123895957765
"system process"	GO:0003008	3	isogroup203086	-0.493851368365713
"system process"	GO:0003008	3	isogroup180554	-1.43194574631217
"system process"	GO:0003008	3	isogroup213657	-0.453504538355719
"system process"	GO:0003008	3	isogroup53418	-0.395590802545467
"system process"	GO:0003008	3	isogroup232436	0.3100632447342
"system process"	GO:0003008	3	isogroup53550	0.777048216431555
"system process"	GO:0003008	3	isogroup253215	0.458852402771283
"system process"	GO:0003008	3	isogroup194625	-1.08217157489784
"system process"	GO:0003008	3	isogroup211542	-1.45137990355156
"system process"	GO:0003008	3	isogroup257902	-2.01592114893442
"system process"	GO:0003008	3	isogroup263292	-0.949481576913942
"system process"	GO:0003008	3	isogroup225288	-1.15564732091691
"system process"	GO:0003008	3	isogroup41360	-2.65076259217105
"system process"	GO:0003008	3	isogroup250584	1.18427403002606
