name	term	lev	seq	value
"angiogenesis"	GO:0001525	3	isogroup57838	-0.28833932729257
"angiogenesis"	GO:0001525	3	isogroup160408	1.53842870172292
"angiogenesis"	GO:0001525	3	isogroup254412	-0.15113417397657
"angiogenesis"	GO:0001525	3	isogroup227514	-2.45279275548798
"angiogenesis"	GO:0001525	3	isogroup156544	0.613024477840152
"angiogenesis"	GO:0001525	3	isogroup193516	0.949480909703725
"angiogenesis"	GO:0001525	3	isogroup270049	-2.11118003549924
"proton transport"	GO:0015992;GO:0006818	3	isogroup54283	-0.752473388522265
"proton transport"	GO:0015992;GO:0006818	3	isogroup268520	0.557417668499291
"proton transport"	GO:0015992;GO:0006818	3	isogroup224528	1.18068344361353
"proton transport"	GO:0015992;GO:0006818	3	isogroup210769	0.447035472985967
"proton transport"	GO:0015992;GO:0006818	3	isogroup51629	-0.81622534852243
"proton transport"	GO:0015992;GO:0006818	3	isogroup41458	1.32905792583454
"proton transport"	GO:0015992;GO:0006818	3	isogroup267433	0.172188980491524
"proton transport"	GO:0015992;GO:0006818	3	isogroup228387	-0.0834236812631866
"proton transport"	GO:0015992;GO:0006818	3	isogroup230188	-1.24055162025398
"proton transport"	GO:0015992;GO:0006818	3	isogroup230959	1.53138967093378
"proton transport"	GO:0015992;GO:0006818	3	isogroup53447	-0.700164603200913
"proton transport"	GO:0015992;GO:0006818	3	isogroup173815	4.62094833882712
"proton transport"	GO:0015992;GO:0006818	3	isogroup265403	0.166164078250798
"proton transport"	GO:0015992;GO:0006818	3	isogroup268396	1.02191954591127
"proton transport"	GO:0015992;GO:0006818	3	isogroup264769	0.82611668949771
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup116831	-1.3289592549173
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup189318	-1.71599367811456
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup214597	0.743690704432956
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup209698	-0.891155026222176
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup192368	0.17897961155435
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup153003	2.40234253614473
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup195357	-0.0670394223241316
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup210684	-1.06214649429215
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup219034	1.00908215284472
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup163984	1.90260681341936
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup241231	0.222568298231282
"establishment or maintenance of cell polarity"	GO:0007163	3	isogroup182684	0.939393612561878
"regulation of immune effector process"	GO:0002697	4	isogroup174903	1.37535060265624
"regulation of immune effector process"	GO:0002697	4	isogroup160408	1.53842870172292
"regulation of immune effector process"	GO:0002697	4	isogroup184416	0.716893036624277
"regulation of immune effector process"	GO:0002697	4	isogroup119097	-0.5752816949134
"regulation of immune effector process"	GO:0002697	4	isogroup45919	-1.97255868096357
"regulation of immune effector process"	GO:0002697	4	isogroup163788	-0.212590143862512
"regulation of immune effector process"	GO:0002697	4	isogroup46362	-1.27343855461322
"regulation of immune effector process"	GO:0002697	4	isogroup188425	-2.71249303908835
"regulation of mitotic cell cycle"	GO:0007346	5	isogroup240003	0.455069418675412
"regulation of mitotic cell cycle"	GO:0007346	5	isogroup268189	-0.9639900688224
"regulation of mitotic cell cycle"	GO:0007346	5	isogroup174903	1.37535060265624
"regulation of mitotic cell cycle"	GO:0007346	5	isogroup115809	-0.887577437884702
"regulation of mitotic cell cycle"	GO:0007346	5	isogroup226110	0.243098843849241
"regulation of mitotic cell cycle"	GO:0007346	5	isogroup53603	-0.0712457204089513
