name	term	lev	seq	value
"U2-type spliceosomal complex"	GO:0005684	4	isogroup177742	1.57960700117313
"U2-type spliceosomal complex"	GO:0005684	4	isogroup46782	2.13648234687474
"U2-type spliceosomal complex"	GO:0005684	4	isogroup116037	0.406756347566934
"U2-type spliceosomal complex"	GO:0005684	4	isogroup222536	1.25863823684797
"U2-type spliceosomal complex"	GO:0005684	4	isogroup116045	-2.37696577432112
"centrosome"	GO:0005813	3	isogroup113951	-2.72729178656963
"centrosome"	GO:0005813	3	isogroup117472	0.0935272637711275
"centrosome"	GO:0005813	3	isogroup44278	0.183291368139946
"centrosome"	GO:0005813	3	isogroup265499	0.173813393918228
"centrosome"	GO:0005813	3	isogroup264364	-0.203913694697799
"centrosome"	GO:0005813	3	isogroup216509	-2.79290513800387
"centrosome"	GO:0005813	3	isogroup51629	-0.533413283120847
"centrosome"	GO:0005813	3	isogroup268447	-0.751951083370819
"centrosome"	GO:0005813	3	isogroup209698	-0.40305533542869
"centrosome"	GO:0005813	3	isogroup117270	-0.826148097216408
"centrosome"	GO:0005813	3	isogroup44231	0.271413593445318
"centrosome"	GO:0005813	3	isogroup39374	0.422923160718738
"centrosome"	GO:0005813	3	isogroup248836	1.43339291439078
"centrosome"	GO:0005813	3	isogroup207225	0.100888813554489
"centrosome"	GO:0005813	3	isogroup114173	0.371894337319213
"centrosome"	GO:0005813	3	isogroup225288	-1.60500307051331
"centrosome"	GO:0005813	3	isogroup116290	-0.287570867750902
"centrosome"	GO:0005813	3	isogroup43046	0.220945913628073
"centrosome"	GO:0005813	3	isogroup58063	0.910280811459786
"eukaryotic 43S preinitiation complex"	GO:0016282;GO:0070993;GO:0033290;GO:0005852	2	isogroup114030	-0.499218041586587
"eukaryotic 43S preinitiation complex"	GO:0016282;GO:0070993;GO:0033290;GO:0005852	2	isogroup231275	-1.32140343251129
"eukaryotic 43S preinitiation complex"	GO:0016282;GO:0070993;GO:0033290;GO:0005852	2	isogroup176442	0.298371255708856
"eukaryotic 43S preinitiation complex"	GO:0016282;GO:0070993;GO:0033290;GO:0005852	2	isogroup264119	2.05231098263344
"eukaryotic 43S preinitiation complex"	GO:0016282;GO:0070993;GO:0033290;GO:0005852	2	isogroup245674	-1.58635239907455
"eukaryotic 43S preinitiation complex"	GO:0016282;GO:0070993;GO:0033290;GO:0005852	2	isogroup258935	-0.132110652260728
"eukaryotic 43S preinitiation complex"	GO:0016282;GO:0070993;GO:0033290;GO:0005852	2	isogroup123908	1.30526028089732
"eukaryotic 43S preinitiation complex"	GO:0016282;GO:0070993;GO:0033290;GO:0005852	2	isogroup208361	0.305211005896263
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup162098	6.74048162819567
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup232794	-0.2583381474604
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup267817	1.56867326882317
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup200205	-1.59555492962322
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup187784	-0.584267498013546
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup214314	-1.20291496020965
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup214756	-0.310412042899566
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup197780	-2.00097060568544
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup39995	-2.04492234877097
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup39829	-3.02126461151192
"transmembrane transporter complex"	GO:1902495;GO:1990351	2	isogroup211571	-1.61487573032581
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup183816	5.33529479255986
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup195012	-0.970284539221642
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup219483	0.0784699639720759
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup224528	0.448785742303415
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup52933	-1.3472091864589
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup209321	-1.87717351741739
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup256210	1.15248058214067
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup195443	-0.12162053897182
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup231063	0.0161905635170692
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup265801	1.21390748536304
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup41419	-1.24610697854831
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup39934	0.665926987122225
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup159143	-1.02518884013012
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup201439	-0.031101009976776
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup266217	-0.159173767762696
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup264946	0.656557976994348
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup263292	-2.80893318693884
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup264607	3.63703510346276
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup226902	-0.990755058273943
"organelle envelope"	GO:0031967;GO:0031975	2	isogroup244498	-0.26167592429625
"melanosome"	GO:0042470;GO:0048770	6	isogroup246218	1.6941268246852
"melanosome"	GO:0042470;GO:0048770	6	isogroup57318	-0.107897741202097
"melanosome"	GO:0042470;GO:0048770	6	isogroup44688	-0.127961922672979
"melanosome"	GO:0042470;GO:0048770	6	isogroup232436	-0.300535093932324
"melanosome"	GO:0042470;GO:0048770	6	isogroup264634	-0.738511711222572
"plasma membrane region"	GO:0098590	2	isogroup187713	0.129207689075044
"plasma membrane region"	GO:0098590	2	isogroup117505	1.99296347832974
"plasma membrane region"	GO:0098590	2	isogroup189318	-0.222028543062227
"plasma membrane region"	GO:0098590	2	isogroup192368	-0.28764763264416
"plasma membrane region"	GO:0098590	2	isogroup213657	-1.24751893947403
"plasma membrane region"	GO:0098590	2	isogroup53418	0.0210062252964858
