name	term	lev	seq	value
"apical plasma membrane"	GO:0016324	2	isogroup242503	-1.02581409474639
"apical plasma membrane"	GO:0016324	2	isogroup192368	1.38140990093664
"apical plasma membrane"	GO:0016324	2	isogroup53418	0.686430524444681
"apical plasma membrane"	GO:0016324	2	isogroup228541	2.88259995659765
"apical plasma membrane"	GO:0016324	2	isogroup256556	0.268200907465412
"apical plasma membrane"	GO:0016324	2	isogroup269512	0.0748199557452845
"apical plasma membrane"	GO:0016324	2	isogroup115283	1.97802722328487
"apical plasma membrane"	GO:0016324	2	isogroup240173	0.62939752893795
"apical plasma membrane"	GO:0016324	2	isogroup41304	-0.302760431327974
"apical plasma membrane"	GO:0016324	2	isogroup156547	0.639441767132884
"apical plasma membrane"	GO:0016324	2	isogroup41360	-0.0542998909820138
"apical plasma membrane"	GO:0016324	2	isogroup52154	-1.4925863227102
"apical plasma membrane"	GO:0016324	2	isogroup162234	-0.0589769551534112
"apical plasma membrane"	GO:0016324	2	isogroup271588	-0.358188943964933
"cortical cytoskeleton"	GO:0030673;GO:0032589;GO:0030863	5	isogroup116831	2.31092241033652
"cortical cytoskeleton"	GO:0030673;GO:0032589;GO:0030863	5	isogroup79170	3.25333475467075
"cortical cytoskeleton"	GO:0030673;GO:0032589;GO:0030863	5	isogroup189318	0.0475317995078347
"cortical cytoskeleton"	GO:0030673;GO:0032589;GO:0030863	5	isogroup214597	-1.01354198671602
"cortical cytoskeleton"	GO:0030673;GO:0032589;GO:0030863	5	isogroup219034	-1.94462792329307
"cortical cytoskeleton"	GO:0030673;GO:0032589;GO:0030863	5	isogroup183334	0.318532045140656
"cortical cytoskeleton"	GO:0030673;GO:0032589;GO:0030863	5	isogroup232794	1.33464063548861
"cortical cytoskeleton"	GO:0030673;GO:0032589;GO:0030863	5	isogroup113740	0.216745014001121
"microtubule organizing center part"	GO:0044450	3	isogroup113951	-1.04414649307735
"microtubule organizing center part"	GO:0044450	3	isogroup183816	-2.3159740638819
"microtubule organizing center part"	GO:0044450	3	isogroup117472	-3.54942770641506
"microtubule organizing center part"	GO:0044450	3	isogroup117429	-0.240040572979781
"microtubule organizing center part"	GO:0044450	3	isogroup42175	0.432618332716074
"microtubule organizing center part"	GO:0044450	3	isogroup268447	0.157988509527635
"microtubule organizing center part"	GO:0044450	3	isogroup205724	0.635256071811343
"microtubule organizing center part"	GO:0044450	3	isogroup267650	-0.655895177431267
"microtubule organizing center part"	GO:0044450	3	isogroup265801	1.61576793347446
"microtubule organizing center part"	GO:0044450	3	isogroup194210	1.34454440646983
