"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-4 0.954479183233307 6 8 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.994667335213931
-49 0.438857577621672 4 8 "GO:0000209" "protein polyubiquitination" 0.975168507479085
51 0.423617168569213 2 8 "GO:0000226" "microtubule cytoskeleton organization" 0.975168507479085
-47 0.341819043851364 2 13 "GO:0000272" "polysaccharide catabolic process" 0.975168507479085
-35 0.631861269966959 2 6 "GO:0000278" "mitotic cell cycle" 0.97734499901725
99 0.0388695787170409 5 14 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.736518343553777
-22 0.734238483464619 2 8 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.97734499901725
-80 0.0839965741991615 2 15 "GO:0001101" "response to acid" 0.925949845045241
105 0.151941212379342 6 6 "GO:0001649;GO:0048255;GO:0043488;GO:0043489;GO:0043487" "RNA stabilization" 0.925949845045241
-29 0.580863895585998 2 12 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.97734499901725
85 0.289059714191887 2 5 "GO:0001676" "long-chain fatty acid metabolic process" 0.975168507479085
-42 0.507996227688072 2 8 "GO:0001731;GO:0006446" "regulation of translational initiation" 0.975168507479085
15 0.839890294586442 2 6 "GO:0001822;GO:0042445" "kidney development" 0.97734499901725
-49 0.502378376943587 3 6 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.975168507479085
-35 0.429683101824581 1 17 "GO:0002376" "immune system process" 0.975168507479085
52 0.334598163397415 3 11 "GO:0002682" "regulation of immune system process" 0.975168507479085
29 0.368193199619105 2 33 "GO:0003006;GO:0044702;GO:0022414" "reproductive process" 0.975168507479085
-33 0.356514416958279 3 26 "GO:0003008" "system process" 0.975168507479085
16 0.840763188512262 2 5 "GO:0003012" "muscle system process" 0.97734499901725
-23 0.341168016567092 2 60 "GO:0005975" "carbohydrate metabolic process" 0.975168507479085
-57 0.170289427581485 2 19 "GO:0005976" "polysaccharide metabolic process" 0.946738914830132
-151 0.0582006949165226 3 5 "GO:0005984" "disaccharide metabolic process" 0.799790194659311
-40 0.461028306831249 2 11 "GO:0005996" "monosaccharide metabolic process" 0.975168507479085
-60 0.371742124490667 5 7 "GO:0006006;GO:0019318" "hexose metabolic process" 0.975168507479085
-28 0.491635505840978 2 20 "GO:0006066" "alcohol metabolic process" 0.975168507479085
-67 0.177605953805631 4 13 "GO:0006073;GO:0044042;GO:0044264" "cellular polysaccharide metabolic process" 0.946738914830132
-101 0.00123400986123418 3 34 "GO:0006091" "generation of precursor metabolites and energy" 0.26284410044288
-49 0.503850674577961 4 6 "GO:0006096" "glycolytic process" 0.975168507479085
-193 0.00424500419470842 2 7 "GO:0006099" "tricarboxylic acid cycle" 0.452092946736447
53 0.50868982810129 4 5 "GO:0006184;GO:0046039;GO:1901069" "GTP catabolic process" 0.975168507479085
27 0.585682830846856 6 13 "GO:0006200;GO:0009169;GO:0009128;GO:0009158;GO:0009125" "purine ribonucleoside monophosphate catabolic process" 0.97734499901725
25 0.40380372404721 2 39 "GO:0006259" "DNA metabolic process" 0.975168507479085
33 0.480528836885376 3 15 "GO:0006260" "DNA replication" 0.975168507479085
-52 0.380016234407797 3 9 "GO:0006275;GO:0051052" "regulation of DNA metabolic process" 0.975168507479085
15 0.695225653096127 2 21 "GO:0006281;GO:0006974" "cellular response to DNA damage stimulus" 0.97734499901725
154 0.0533481325078523 3 5 "GO:0006310" "DNA recombination" 0.789830971480068
-23 0.534134042710377 2 24 "GO:0006351;GO:0032774" "RNA biosynthetic process" 0.975168507479085
-10 0.730292252732015 4 44 "GO:0006355;GO:2001141;GO:0051252" "regulation of RNA metabolic process" 0.97734499901725
48 0.314158305782608 5 14 "GO:0006357" "regulation of transcription from RNA polymerase II promoter" 0.975168507479085
70 0.0110600743158409 2 45 "GO:0006397;GO:0006396;GO:0016071;GO:0008380" "RNA processing" 0.588948957318528
56 0.379794494126926 7 8 "GO:0006399;GO:0006418;GO:0043039;GO:0043038" "tRNA aminoacylation" 0.975168507479085
-51 0.248014660391617 3 17 "GO:0006412" "translation" 0.975168507479085
-76 0.300403926566177 2 6 "GO:0006413" "translational initiation" 0.975168507479085
-14 0.733880513877308 2 18 "GO:0006417" "regulation of translation" 0.97734499901725
32 0.37776137046268 2 25 "GO:0006457" "protein folding" 0.975168507479085
-26 0.54862287528344 2 18 "GO:0006461" "protein complex assembly" 0.97734499901725
18 0.719646227572363 2 13 "GO:0006468" "protein phosphorylation" 0.97734499901725
-14 0.826402038250445 2 8 "GO:0006470;GO:0016311" "dephosphorylation" 0.97734499901725
8 0.907177588968058 5 7 "GO:0006471" "protein ADP-ribosylation" 0.990230199532338
70 0.219343307087418 4 10 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.975168507479085
-1 0.978019391441988 2 36 "GO:0006520" "cellular amino acid metabolic process" 0.994667335213931
-46 0.529224020015454 3 6 "GO:0006575" "cellular modified amino acid metabolic process" 0.975168507479085
49 0.465012722243944 4 7 "GO:0006576;GO:0044106;GO:0009308" "cellular biogenic amine metabolic process" 0.975168507479085
83 0.145346534672166 2 10 "GO:0006605" "protein targeting" 0.925949845045241
37 0.61228376251454 2 6 "GO:0006612" "protein targeting to membrane" 0.97734499901725
5 0.87816655921597 3 30 "GO:0006631;GO:0006633;GO:0072330" "fatty acid metabolic process" 0.990230199532338
31 0.694327374450302 2 5 "GO:0006643" "membrane lipid metabolic process" 0.97734499901725
35 0.486075664064342 4 13 "GO:0006650;GO:0006644;GO:0046486" "glycerolipid metabolic process" 0.975168507479085
-32 0.535655940727948 4 12 "GO:0006732" "coenzyme metabolic process" 0.975168507479085
-74 0.137849495075163 2 13 "GO:0006790" "sulfur compound metabolic process" 0.925949845045241
-36 0.20047473533495 3 43 "GO:0006811" "ion transport" 0.975168507479085
-31 0.377615450149994 2 27 "GO:0006812" "cation transport" 0.975168507479085
-32 0.411981144011621 2 21 "GO:0006820" "anion transport" 0.975168507479085
-18 0.733508373511513 5 12 "GO:0006873;GO:0055082" "cellular chemical homeostasis" 0.97734499901725
65 0.116877881053128 4 19 "GO:0006886" "intracellular protein transport" 0.925949845045241
-25 0.756873026465523 4 5 "GO:0006897" "endocytosis" 0.97734499901725
0 0.999200955583475 2 8 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.999200955583475
-125 0.0271176232198329 2 10 "GO:0006915" "apoptotic process" 0.712782784065748
26 0.527770115119601 3 20 "GO:0006928" "cellular component movement" 0.975168507479085
-16 0.72898695597079 2 15 "GO:0006952" "defense response" 0.97734499901725
-10 0.853954914328537 2 11 "GO:0006970" "response to osmotic stress" 0.980993628960114
17 0.73861493151527 2 13 "GO:0006979" "response to oxidative stress" 0.97734499901725
39 0.112146062442389 2 59 "GO:0006996" "organelle organization" 0.925949845045241
43 0.301045455810236 3 19 "GO:0007010" "cytoskeleton organization" 0.975168507479085
16 0.838787520645452 4 5 "GO:0007015" "actin filament organization" 0.97734499901725
37 0.397279620000807 3 17 "GO:0007017" "microtubule-based process" 0.975168507479085
30 0.658638501706406 2 7 "GO:0007018" "microtubule-based movement" 0.97734499901725
-33 0.48730098324946 2 14 "GO:0007049" "cell cycle" 0.975168507479085
107 0.180013737326856 3 5 "GO:0007052;GO:0007051" "mitotic spindle organization" 0.946738914830132
71 0.173504525850108 2 12 "GO:0007067;GO:0000280;GO:0048285" "nuclear division" 0.946738914830132
-6 0.894826791946278 2 17 "GO:0007154" "cell communication" 0.990230199532338
-32 0.590797058639952 2 9 "GO:0007155;GO:0022610" "cell adhesion" 0.97734499901725
35 0.165230390334851 3 54 "GO:0007165" "signal transduction" 0.946738914830132
63 0.110664993645385 2 21 "GO:0007166" "cell surface receptor signaling pathway" 0.925949845045241
128 0.0242663114957218 2 10 "GO:0007167" "enzyme linked receptor protein signaling pathway" 0.712782784065748
105 0.121650586545365 4 7 "GO:0007169" "transmembrane receptor protein tyrosine kinase signaling pathway" 0.925949845045241
31 0.606551381175823 5 9 "GO:0007264" "small GTPase mediated signal transduction" 0.97734499901725
-30 0.590972761280789 2 10 "GO:0007267;GO:0044700;GO:0023052" "single organism signaling" 0.97734499901725
18 0.824986956116989 4 5 "GO:0007268" "synaptic transmission" 0.97734499901725
18 0.703084902520122 2 14 "GO:0007275" "multicellular organismal development" 0.97734499901725
-69 0.222048715442141 2 10 "GO:0007346" "regulation of mitotic cell cycle" 0.975168507479085
-8 0.898794264898307 2 8 "GO:0007389;GO:0003002" "pattern specification process" 0.990230199532338
36 0.648267107382637 2 5 "GO:0007586" "digestion" 0.97734499901725
-10 0.840573864809729 2 13 "GO:0007600;GO:0050877" "neurological system process" 0.97734499901725
-42 0.532860211547071 7 7 "GO:0007601;GO:0050953" "visual perception" 0.975168507479085
-7 0.934538542018691 3 5 "GO:0007611;GO:0050890" "learning or memory" 0.994667335213931
110 0.130147158461503 2 6 "GO:0007623;GO:0048511" "rhythmic process" 0.925949845045241
-8 0.890815288621911 3 10 "GO:0008202" "steroid metabolic process" 0.990230199532338
222 0.000996462969403045 2 7 "GO:0008283" "cell proliferation" 0.26284410044288
-80 0.31631482422466 3 5 "GO:0008284" "positive regulation of cell proliferation" 0.975168507479085
-11 0.723321158772911 2 34 "GO:0008610" "lipid biosynthetic process" 0.97734499901725
-145 0.0223529551768209 3 8 "GO:0008643" "carbohydrate transport" 0.712782784065748
28 0.655852287229127 2 8 "GO:0008654" "phospholipid biosynthetic process" 0.97734499901725
-18 0.520330181056592 4 42 "GO:0009057" "macromolecule catabolic process" 0.975168507479085
14 0.862559086242162 2 5 "GO:0009064" "glutamine family amino acid metabolic process" 0.982487087537864
-68 0.349127813777099 2 6 "GO:0009069;GO:0009070" "serine family amino acid metabolic process" 0.975168507479085
-55 0.384156486947193 2 8 "GO:0009108" "coenzyme biosynthetic process" 0.975168507479085
-2 0.923623978957918 2 57 "GO:0009117;GO:0006753;GO:0055086;GO:1901135" "carbohydrate derivative metabolic process" 0.994667335213931
22 0.465753710854743 3 36 "GO:0009150;GO:0006163;GO:0009259;GO:0072521;GO:0019693;GO:0046128;GO:0009119;GO:0042278;GO:0009116;GO:1901657" "purine-containing compound metabolic process" 0.975168507479085
17 0.637724742576478 6 26 "GO:0009154;GO:0009207;GO:0046130;GO:0006195;GO:0009261;GO:0009166;GO:0072523;GO:1901136;GO:1901292;GO:0046434;GO:0009146;GO:0009203;GO:0009143;GO:0006152;GO:0042454;GO:0009164;GO:1901658" "carbohydrate derivative catabolic process" 0.97734499901725
15 0.806654475759088 2 9 "GO:0009156;GO:0009124" "nucleoside monophosphate biosynthetic process" 0.97734499901725
15 0.690726359094104 2 24 "GO:0009165;GO:1901293;GO:1901137" "nucleotide biosynthetic process" 0.97734499901725
-75 0.345204127091298 3 5 "GO:0009250;GO:0033692;GO:0000271" "cellular polysaccharide biosynthetic process" 0.975168507479085
-37 0.644636900336841 2 5 "GO:0009251" "glucan catabolic process" 0.97734499901725
7 0.896216580625729 3 12 "GO:0009266" "response to temperature stimulus" 0.990230199532338
-53 0.435494062258149 2 7 "GO:0009311" "oligosaccharide metabolic process" 0.975168507479085
31 0.630019578606293 2 8 "GO:0009408" "response to heat" 0.97734499901725
-72 0.368950056772898 2 5 "GO:0009409" "response to cold" 0.975168507479085
-169 0.0342953123936761 5 5 "GO:0009411" "response to UV" 0.736518343553777
-98 0.0699100678141105 3 11 "GO:0009416;GO:0009314" "response to radiation" 0.875932026141502
-36 0.277216581526961 2 31 "GO:0009605" "response to external stimulus" 0.975168507479085
-4 0.956492481962941 3 7 "GO:0009611" "response to wounding" 0.994667335213931
-16 0.821883288929448 2 6 "GO:0009617" "response to bacterium" 0.97734499901725
-31 0.264452965962633 2 45 "GO:0009628" "response to abiotic stimulus" 0.975168507479085
-15 0.824756306855778 2 7 "GO:0009651" "response to salt stress" 0.97734499901725
1 0.974365380707179 2 30 "GO:0009653" "anatomical structure morphogenesis" 0.994667335213931
-48 0.128294529230138 2 34 "GO:0009725;GO:0009719" "response to endogenous stimulus" 0.925949845045241
-137 0.0298440973293301 2 8 "GO:0009737" "response to abscisic acid" 0.712782784065748
-68 0.311049024905601 2 7 "GO:0009755" "hormone-mediated signaling pathway" 0.975168507479085
-126 0.00227754244299143 2 19 "GO:0009765;GO:0018298" "protein-chromophore linkage" 0.323411026904783
-43 0.558332030067026 4 6 "GO:0009767" "photosynthetic electron transport chain" 0.97734499901725
14 0.791353245130468 2 11 "GO:0009790" "embryo development" 0.97734499901725
77 0.195134698023608 2 9 "GO:0009791;GO:0048608" "reproductive structure development" 0.975168507479085
