"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-40 0.692666301765788 3 7 "GO:0000096;GO:0000097" "sulfur amino acid metabolic process" 0.95623532635934
-73 0.365225267757245 2 11 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.885744523616353
37 0.603912053752301 8 14 "GO:0000209" "protein polyubiquitination" 0.94241989026204
-62 0.421979078635827 4 12 "GO:0000226" "microtubule cytoskeleton organization" 0.885744523616353
-62 0.349372492186951 4 16 "GO:0000272" "polysaccharide catabolic process" 0.885744523616353
-88 0.322292291534508 2 9 "GO:0000278" "mitotic cell cycle" 0.885744523616353
1 0.991868008329904 4 5 "GO:0000281;GO:0000910" "cytokinesis" 0.998660658282068
126 0.0394587061257612 4 19 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.834414702062777
75 0.293102893963963 2 14 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.885744523616353
67 0.502100664186506 2 7 "GO:0000904;GO:0000902" "cell morphogenesis" 0.885744523616353
10 0.927679490457494 6 6 "GO:0000956;GO:0006402;GO:0006401" "nuclear-transcribed mRNA catabolic process" 0.998033070212101
-77 0.234476766381238 3 17 "GO:0001101" "response to acid" 0.885744523616353
-56 0.574144360396836 2 7 "GO:0001508" "action potential" 0.925010358417125
24 0.83847671144653 2 5 "GO:0001558" "regulation of cell growth" 0.991815435095537
190 0.0783711472561839 2 6 "GO:0001649;GO:0032922;GO:0070934" "osteoblast differentiation" 0.885744523616353
-11 0.883902216635307 3 13 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.998012543782898
-18 0.85742403493017 4 7 "GO:0001676" "long-chain fatty acid metabolic process" 0.991815435095537
45 0.631550059291582 5 8 "GO:0001731" "formation of translation preinitiation complex" 0.94241989026204
-16 0.857005952337175 2 9 "GO:0001822;GO:0010817;GO:0042445" "regulation of hormone levels" 0.991815435095537
-3 0.98373686135374 5 5 "GO:0001894" "tissue homeostasis" 0.998033070212101
-25 0.803638148982251 3 7 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.984010266864934
-15 0.784795422647527 1 24 "GO:0002376" "immune system process" 0.971735455907387
73 0.273778561553109 3 16 "GO:0002682" "regulation of immune system process" 0.885744523616353
18 0.85855256939871 4 7 "GO:0002684" "positive regulation of immune system process" 0.991815435095537
32 0.425833037912543 2 46 "GO:0003006;GO:0044702;GO:0022414" "reproductive process" 0.885744523616353
-58 0.229509234050412 3 31 "GO:0003008" "system process" 0.885744523616353
-85 0.43013804164566 2 6 "GO:0003012" "muscle system process" 0.885744523616353
-29 0.339533316875502 2 86 "GO:0005975" "carbohydrate metabolic process" 0.885744523616353
-73 0.198042204626882 2 22 "GO:0005976" "polysaccharide metabolic process" 0.885744523616353
83 0.375735107707814 3 8 "GO:0005984;GO:0009311" "oligosaccharide metabolic process" 0.885744523616353
-1 0.983611851212233 2 16 "GO:0005996" "monosaccharide metabolic process" 0.998033070212101
15 0.842509763282041 2 12 "GO:0006006;GO:0019318" "hexose metabolic process" 0.991815435095537
-84 0.400470210509252 2 7 "GO:0006007;GO:0019320;GO:0046365" "monosaccharide catabolic process" 0.885744523616353
-36 0.496857587255852 2 26 "GO:0006066" "alcohol metabolic process" 0.885744523616353
-34 0.626137058103125 5 15 "GO:0006073;GO:0044042;GO:0044264" "cellular polysaccharide metabolic process" 0.94241989026204
-44 0.322309006868673 2 36 "GO:0006091" "generation of precursor metabolites and energy" 0.885744523616353
-106 0.325657982719042 2 6 "GO:0006096" "glycolytic process" 0.885744523616353
-130 0.193854947837499 2 7 "GO:0006099" "tricarboxylic acid cycle" 0.885744523616353
20 0.829068263169695 3 8 "GO:0006184;GO:0046039;GO:1901069" "GTP catabolic process" 0.991815435095537
-46 0.449046579057073 5 19 "GO:0006200;GO:0009169;GO:0009128;GO:0009158;GO:0009125" "ribonucleoside monophosphate catabolic process" 0.885744523616353
252 0.0334404456179042 3 5 "GO:0006220" "pyrimidine nucleotide metabolic process" 0.834414702062777
24 0.501254959447664 2 58 "GO:0006259" "DNA metabolic process" 0.885744523616353
90 0.129653826341491 5 20 "GO:0006260" "DNA replication" 0.885744523616353
-91 0.200950366133057 4 14 "GO:0006275;GO:0051052" "regulation of DNA metabolic process" 0.885744523616353
16 0.730784453905675 5 35 "GO:0006281;GO:0006974" "cellular response to DNA damage stimulus" 0.959551334248797
97 0.410983524370839 2 5 "GO:0006302" "double-strand break repair" 0.885744523616353
44 0.660086651916983 2 7 "GO:0006304" "DNA modification" 0.949689951426607
108 0.318079298839546 3 6 "GO:0006308" "DNA catabolic process" 0.885744523616353
127 0.206471154428149 2 7 "GO:0006310" "DNA recombination" 0.885744523616353
24 0.560776689894244 3 43 "GO:0006351;GO:0032774" "RNA biosynthetic process" 0.922145263678615
22 0.484920272853872 6 74 "GO:0006355;GO:2001141;GO:0051252" "regulation of RNA metabolic process" 0.885744523616353
-39 0.505088752448053 2 21 "GO:0006357" "regulation of transcription from RNA polymerase II promoter" 0.885744523616353
64 0.471065164969847 3 9 "GO:0006364;GO:0016072;GO:0034470" "ncRNA processing" 0.885744523616353
-95 0.310787429852718 2 8 "GO:0006378;GO:0031124;GO:0043631" "mRNA 3'-end processing" 0.885744523616353
90 0.0053091820600428 2 72 "GO:0006397;GO:0006396;GO:0016071" "RNA processing" 0.834414702062777
35 0.635464355680402 6 13 "GO:0006399;GO:0006418;GO:0043039;GO:0043038" "tRNA metabolic process" 0.94241989026204
-77 0.0903333520047321 4 35 "GO:0006412" "translation" 0.885744523616353
-67 0.473810561476527 3 8 "GO:0006413" "translational initiation" 0.885744523616353
-41 0.453563396537853 3 24 "GO:0006417" "regulation of translation" 0.885744523616353
-46 0.582428849724368 7 10 "GO:0006446" "regulation of translational initiation" 0.93019795999457
51 0.248293796198371 4 37 "GO:0006457" "protein folding" 0.885744523616353
29 0.548840875390171 2 30 "GO:0006461" "protein complex assembly" 0.916434963857522
43 0.390208748913743 3 29 "GO:0006468;GO:0016310" "phosphorylation" 0.885744523616353
-174 0.10712112391402 6 6 "GO:0006469;GO:0001933;GO:0033673;GO:0031400;GO:0051348" "negative regulation of protein modification process" 0.885744523616353
-88 0.216838293949126 5 14 "GO:0006470" "protein dephosphorylation" 0.885744523616353
31 0.684210142500639 2 12 "GO:0006471" "protein ADP-ribosylation" 0.95623532635934
14 0.820754446798582 4 19 "GO:0006486;GO:0043413;GO:0070085" "glycosylation" 0.991815435095537
26 0.529330670830732 2 43 "GO:0006508" "proteolysis" 0.894666256526789
34 0.46746239931414 2 34 "GO:0006511;GO:0019941;GO:0051603;GO:0043632" "proteolysis involved in cellular protein catabolic process" 0.885744523616353
-14 0.718241394682492 2 47 "GO:0006520" "cellular amino acid metabolic process" 0.95623532635934
-158 0.14407856237387 7 6 "GO:0006563;GO:0009070" "serine family amino acid biosynthetic process" 0.885744523616353
-140 0.135230517189922 6 8 "GO:0006575" "cellular modified amino acid metabolic process" 0.885744523616353
23 0.783146212273772 4 10 "GO:0006576;GO:0044106;GO:0009308" "cellular biogenic amine metabolic process" 0.971735455907387
-50 0.676037210499733 3 5 "GO:0006578;GO:0006577" "amino-acid betaine metabolic process" 0.95623532635934
39 0.579242994041742 3 14 "GO:0006605" "protein targeting" 0.927799098014534
-37 0.391689141298468 5 40 "GO:0006633;GO:0006631;GO:0072330" "fatty acid metabolic process" 0.885744523616353
180 0.0957985665285013 2 6 "GO:0006643" "membrane lipid metabolic process" 0.885744523616353
14 0.828202302463285 2 17 "GO:0006650;GO:0006644;GO:0046486" "glycerolipid metabolic process" 0.991815435095537
-193 0.104025708485976 3 5 "GO:0006690;GO:1901568" "fatty acid derivative metabolic process" 0.885744523616353
-17 0.786787496155983 2 19 "GO:0006732" "coenzyme metabolic process" 0.971940914484833
-89 0.412224001432362 2 6 "GO:0006739;GO:0006098;GO:0006740" "NADP metabolic process" 0.885744523616353
-113 0.259223427306135 4 7 "GO:0006767;GO:0006766;GO:0042364;GO:0009110" "vitamin metabolic process" 0.885744523616353
62 0.383885365270629 4 14 "GO:0006779;GO:0006778;GO:0033014;GO:0033013" "porphyrin-containing compound biosynthetic process" 0.885744523616353
5 0.939261161335049 2 18 "GO:0006790" "sulfur compound metabolic process" 0.998033070212101
-27 0.43426397604457 2 64 "GO:0006811" "ion transport" 0.885744523616353
-30 0.47768316134924 4 41 "GO:0006812" "cation transport" 0.885744523616353
-144 0.182353287998678 2 6 "GO:0006814" "sodium ion transport" 0.885744523616353
-23 0.658465147497857 3 26 "GO:0006820" "anion transport" 0.949689951426607
70 0.553287266403109 2 5 "GO:0006839" "mitochondrial transport" 0.916434963857522
-291 0.0141040877013626 2 5 "GO:0006865" "amino acid transport" 0.834414702062777
-122 0.301696966971821 8 5 "GO:0006874;GO:0055074;GO:0072503" "calcium ion homeostasis" 0.885744523616353
-65 0.490578000560805 6 8 "GO:0006875" "cellular metal ion homeostasis" 0.885744523616353
29 0.552127335736548 2 30 "GO:0006886" "intracellular protein transport" 0.916434963857522
64 0.589071401588772 2 5 "GO:0006887" "exocytosis" 0.93538427168707
11 0.919053913794939 2 6 "GO:0006892;GO:0050808" "post-Golgi vesicle-mediated transport" 0.998033070212101
29 0.757540527038524 4 8 "GO:0006897" "endocytosis" 0.959551334248797
187 0.115329861981624 2 5 "GO:0006909" "phagocytosis" 0.885744523616353
-48 0.513835772454494 5 13 "GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.885744523616353
-45 0.707355846013124 3 5 "GO:0006914" "autophagy" 0.95623532635934
19 0.774039193972839 5 16 "GO:0006915" "apoptotic process" 0.97037869419864
-13 0.770900872965614 3 35 "GO:0006928" "cellular component movement" 0.969786258000122
-18 0.702912848493763 3 32 "GO:0006952" "defense response" 0.95623532635934
-129 0.199334552023418 2 7 "GO:0006954" "inflammatory response" 0.885744523616353
-44 0.565942217317465 2 12 "GO:0006970" "response to osmotic stress" 0.922586277342968
-48 0.468071295835219 3 16 "GO:0006979" "response to oxidative stress" 0.885744523616353
-31 0.522444591969718 2 30 "GO:0007010" "cytoskeleton organization" 0.885744523616353
-40 0.692666301765788 3 7 "GO:0007015" "actin filament organization" 0.95623532635934
-41 0.428904022042668 3 27 "GO:0007017" "microtubule-based process" 0.885744523616353
3 0.969613299683554 2 13 "GO:0007018" "microtubule-based movement" 0.998033070212101
77 0.44108797544589 3 7 "GO:0007033" "vacuole organization" 0.885744523616353
187 0.114547373785947 3 5 "GO:0007034" "vacuolar transport" 0.885744523616353
-148 0.0133036250878948 3 20 "GO:0007049" "cell cycle" 0.834414702062777
-17 0.858540398914819 2 8 "GO:0007052;GO:0007051" "spindle organization" 0.991815435095537
38 0.708641826688846 3 7 "GO:0007059" "chromosome segregation" 0.95623532635934
-55 0.292909552991175 2 26 "GO:0007067;GO:0000280;GO:0048285" "nuclear division" 0.885744523616353
-249 0.0356168591828595 3 5 "GO:0007093;GO:0000075" "cell cycle checkpoint" 0.834414702062777
16 0.783248761521098 2 22 "GO:0007154" "cell communication" 0.971735455907387
-109 0.113914454028859 2 15 "GO:0007155;GO:0022610" "cell adhesion" 0.885744523616353
-95 0.381960414051797 3 6 "GO:0007163" "establishment or maintenance of cell polarity" 0.885744523616353
