"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-97 0.679388134511913 1 6 "GO:0000003" "reproduction" 0.980168411241427
129 0.614345970078551 2 5 "GO:0000018" "regulation of DNA recombination" 0.978818078688481
120 0.579742607447203 2 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.978818078688481
-312 0.182607076383704 3 6 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.842220336408997
304 0.111527029394832 3 9 "GO:0000096;GO:0000097" "sulfur amino acid metabolic process" 0.749969152451946
105 0.373778133477188 7 24 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.939788299825806
462 0.0711898340329718 5 5 "GO:0000165;GO:0023014" "MAPK cascade" 0.696324303373167
32 0.829322908671204 5 15 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.98490005321057
9 0.939726184705619 3 25 "GO:0000209" "protein polyubiquitination" 0.995929566557193
-64 0.532478062394274 2 32 "GO:0000226" "microtubule cytoskeleton organization" 0.976644874407308
3 0.97653177951033 5 31 "GO:0000272" "polysaccharide catabolic process" 0.995929566557193
132 0.328756576059873 4 18 "GO:0000278" "mitotic cell cycle" 0.912064672440391
79 0.714958976958757 5 7 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.980168411241427
28 0.905878845547846 6 6 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.991079347629518
-41 0.68262727239161 4 33 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.980168411241427
-161 0.529305123013449 5 5 "GO:0000723;GO:0032200" "telomere maintenance" 0.976644874407308
158 0.408450521133916 3 9 "GO:0000737;GO:0006308" "DNA catabolic process" 0.951970751312516
-162 0.290274943466176 2 14 "GO:0000902" "cell morphogenesis" 0.900501501935006
-136 0.454054643746666 2 10 "GO:0000904" "cell morphogenesis involved in differentiation" 0.962662369459832
221 0.12416020391717 2 16 "GO:0000910;GO:0000281" "cytokinesis" 0.763988612379498
-24 0.823083207899586 4 29 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.98490005321057
151 0.107690685347831 3 38 "GO:0001101" "response to acid" 0.749969152451946
331 0.157088961223823 2 6 "GO:0001505" "regulation of neurotransmitter levels" 0.838095501913913
244 0.0577303879668619 2 20 "GO:0001508" "action potential" 0.644057191715487
-143 0.576401190686096 6 5 "GO:0001510" "RNA methylation" 0.978818078688481
100 0.669992738746703 5 6 "GO:0001516;GO:0006693;GO:0046457;GO:0006692" "prostanoid metabolic process" 0.980168411241427
140 0.463068540700014 2 9 "GO:0001525" "angiogenesis" 0.963898560191466
-106 0.50502092473216 4 13 "GO:0001558" "regulation of cell growth" 0.976644874407308
-98 0.608672378157386 4 9 "GO:0001649" "osteoblast differentiation" 0.978818078688481
-98 0.445566851364952 3 20 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.962662369459832
