"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-574 0.0141389937358713 1 6 "GO:0000003" "reproduction" 0.762016158824168
-106 0.680666460532558 2 5 "GO:0000018" "regulation of DNA recombination" 0.980813733624285
194 0.370354849623547 2 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.980813733624285
-328 0.160680997047897 5 6 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.980813733624285
-280 0.143484700347445 3 9 "GO:0000096;GO:0000097" "sulfur amino acid metabolic process" 0.980813733624285
-41 0.728987162327794 4 24 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.980813733624285
397 0.121522966685835 4 5 "GO:0000165;GO:0023014" "signal transduction by phosphorylation" 0.980813733624285
-156 0.292160090149732 2 15 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.980813733624285
26 0.824103673635846 9 25 "GO:0000209" "protein polyubiquitination" 0.980813733624285
238 0.0197818288373497 2 32 "GO:0000226" "microtubule cytoskeleton organization" 0.762016158824168
79 0.44813773087061 2 31 "GO:0000272" "polysaccharide catabolic process" 0.980813733624285
-163 0.22948236436132 2 18 "GO:0000278" "mitotic cell cycle" 0.980813733624285
45 0.834396577785228 2 7 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.980813733624285
-262 0.262769043709267 6 6 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.980813733624285
-165 0.100597473745019 3 33 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.980813733624285
75 0.768612272416934 3 5 "GO:0000723;GO:0032200" "telomere organization" 0.980813733624285
-168 0.380897287660903 3 9 "GO:0000737;GO:0006308" "DNA catabolic process" 0.980813733624285
1 0.996073728669301 4 14 "GO:0000902" "cell morphogenesis" 1
138 0.446079446110169 2 10 "GO:0000904" "cell morphogenesis involved in differentiation" 0.980813733624285
-113 0.431746463387549 2 16 "GO:0000910;GO:0000281" "cytokinesis" 0.980813733624285
-30 0.777121582938645 7 29 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 0.980813733624285
82 0.379966327196563 3 38 "GO:0001101" "response to acid" 0.980813733624285
64 0.783547773453787 2 6 "GO:0001505" "regulation of neurotransmitter levels" 0.980813733624285
-142 0.269726258094214 2 20 "GO:0001508" "action potential" 0.980813733624285
26 0.918361993416619 2 5 "GO:0001510" "RNA methylation" 0.999213691089486
-409 0.0803654815793598 6 6 "GO:0001516;GO:0006693;GO:0046457;GO:0006692" "prostaglandin metabolic process" 0.979995623690495
196 0.304762434787255 2 9 "GO:0001525" "angiogenesis" 0.980813733624285
333 0.0367686091678714 2 13 "GO:0001558" "regulation of cell growth" 0.889085715109992
-191 0.318723083793495 3 9 "GO:0001649" "osteoblast differentiation" 0.980813733624285
56 0.662481300338376 3 20 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.980813733624285
409 0.0241408179621605 4 10 "GO:0001676" "long-chain fatty acid metabolic process" 0.808301180733029
171 0.429941957450631 5 7 "GO:0001701;GO:0043009;GO:0009792" "in utero embryonic development" 0.980813733624285
299 0.244008458662539 2 5 "GO:0001708" "cell fate specification" 0.980813733624285
76 0.706412253349664 2 8 "GO:0001731" "formation of translation preinitiation complex" 0.980813733624285
108 0.48017081377783 3 14 "GO:0001775" "cell activation" 0.980813733624285
320 0.0644450605183271 2 11 "GO:0001817" "regulation of cytokine production" 0.967394437017056
369 0.0885749735316392 2 7 "GO:0001818" "negative regulation of cytokine production" 0.980813733624285
369 0.149522282392296 5 5 "GO:0001819" "positive regulation of cytokine production" 0.980813733624285
-66 0.70287641004522 3 11 "GO:0001822" "kidney development" 0.980813733624285
66 0.745891504249205 2 8 "GO:0001894" "tissue homeostasis" 0.980813733624285
-193 0.373899441755409 4 7 "GO:0002181" "cytoplasmic translation" 0.980813733624285
1 0.99524909112453 2 7 "GO:0002218;GO:0002253" "activation of immune response" 1
-35 0.806145394567893 2 16 "GO:0002252" "immune effector process" 0.980813733624285
25 0.730511279452694 1 65 "GO:0002376" "immune system process" 0.980813733624285
-220 0.348036389971957 2 6 "GO:0002474;GO:0002478" "antigen processing and presentation of peptide antigen via MHC class I" 0.980813733624285
-3 0.972920213175323 3 36 "GO:0002682" "regulation of immune system process" 1
554 0.0105350993988959 4 7 "GO:0002683" "negative regulation of immune system process" 0.762016158824168
-46 0.714014214522929 4 21 "GO:0002684" "positive regulation of immune system process" 0.980813733624285
343 0.113825831549067 2 7 "GO:0002694" "regulation of leukocyte activation" 0.980813733624285
438 0.0218443900464875 2 9 "GO:0002697" "regulation of immune effector process" 0.762016158824168
245 0.199649548755081 2 9 "GO:0002831" "regulation of response to biotic stimulus" 0.980813733624285
100 0.531148275574541 2 13 "GO:0003002" "regionalization" 0.980813733624285
-28 0.685864332335807 2 73 "GO:0003006" "developmental process involved in reproduction" 0.980813733624285
122 0.119130874917452 2 55 "GO:0003008" "system process" 0.980813733624285
-58 0.688663614861847 4 16 "GO:0003012;GO:0006936" "muscle system process" 0.980813733624285
140 0.549615895772009 2 6 "GO:0003341" "cilium movement" 0.980813733624285
91 0.037541209391874 3 187 "GO:0005975" "carbohydrate metabolic process" 0.889085715109992
58 0.488753264301615 2 48 "GO:0005976" "polysaccharide metabolic process" 0.980813733624285
-194 0.370708366794932 3 7 "GO:0005984" "disaccharide metabolic process" 0.980813733624285
53 0.580074650025119 3 36 "GO:0005996" "monosaccharide metabolic process" 0.980813733624285
44 0.705378531823494 5 25 "GO:0006006;GO:0019318" "hexose metabolic process" 0.980813733624285
