"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-556 0.017441387454653 1 6 "GO:0000003" "reproduction" 0.800274368455425
-26 0.919604115712233 2 5 "GO:0000018" "regulation of DNA recombination" 0.991230295554449
267 0.218232741047907 2 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.88889119881235
-460 0.0495749817082303 4 6 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.800274368455425
44 0.818540134938502 2 9 "GO:0000096;GO:0000097" "sulfur amino acid metabolic process" 0.984756987974191
87 0.45704342107406 2 24 "GO:0000122" "negative regulation of transcription from RNA polymerase II promoter" 0.937662806470674
558 0.0295031538324153 2 5 "GO:0000165;GO:0023014" "MAPK cascade" 0.800274368455425
-151 0.308859809925979 6 15 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.903167061350967
43 0.70642383166005 2 25 "GO:0000209" "protein polyubiquitination" 0.974343097360665
179 0.0787863759419093 2 32 "GO:0000226" "microtubule cytoskeleton organization" 0.830951004480161
72 0.486099714939602 2 31 "GO:0000272" "polysaccharide catabolic process" 0.950621716046585
-93 0.491296502983352 2 18 "GO:0000278" "mitotic cell cycle" 0.950621716046585
56 0.794856431686317 7 7 "GO:0000291" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.976969107806853
-300 0.199575994801889 2 6 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.88889119881235
-177 0.0780346811374394 3 33 "GO:0000398;GO:0000377;GO:0000375" "RNA splicing, via transesterification reactions" 0.830951004480161
-1 0.996878596685966 5 5 "GO:0000723;GO:0032200" "telomere maintenance" 1
-58 0.76190623837127 5 9 "GO:0000737;GO:0006308" "DNA catabolic process" 0.974975437578874
-128 0.402978402302064 2 14 "GO:0000902" "cell morphogenesis" 0.932599947031931
27 0.881323758147233 5 10 "GO:0000904" "cell morphogenesis involved in differentiation" 0.991230295554449
39 0.787863035407288 3 16 "GO:0000910;GO:0000281" "cytokinesis" 0.976011771326479
