"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
12 0.815838479436532 3 7 "GO:0000151" "ubiquitin ligase complex" 0.920867608084683
-11 0.853674829404629 2 5 "GO:0000502" "proteasome complex" 0.936288522572819
32 0.485250999720655 2 9 "GO:0000785" "chromatin" 0.873378873007769
-32 0.241383827268575 1 25 "GO:0005576" "extracellular region" 0.802279261828241
42 0.234760561951031 2 15 "GO:0005615" "extracellular space" 0.802279261828241
10 0.772041384130722 2 15 "GO:0005618;GO:0030312" "cell wall" 0.920867608084683
121 0.0283340228913329 2 6 "GO:0005622" "intracellular" 0.481678389152659
18 0.702705758700984 2 8 "GO:0005635" "nuclear envelope" 0.874097407164639
73 0.0276522326362545 2 17 "GO:0005654" "nucleoplasm" 0.481678389152659
72 0.00574960413875604 2 28 "GO:0005681" "spliceosomal complex" 0.146614905538279
73 0.0729302652158825 2 11 "GO:0005694" "chromosome" 0.572222080924617
39 0.179254938932586 2 23 "GO:0005730" "nucleolus" 0.779866173610475
-16 0.565629949905216 2 24 "GO:0005739" "mitochondrion" 0.873378873007769
-41 0.275291903568514 2 13 "GO:0005743;GO:0019866" "organelle inner membrane" 0.802279261828241
-103 0.0609407401800683 3 6 "GO:0005759" "mitochondrial matrix" 0.5377464547435
-58 0.0809565650801845 5 17 "GO:0005764;GO:0000323" "lytic vacuole" 0.589826402727059
-18 0.620706682190818 3 14 "GO:0005768" "endosome" 0.874097407164639
-35 0.184647105759721 3 27 "GO:0005773" "vacuole" 0.779866173610475
-21 0.480073093088819 2 21 "GO:0005774;GO:0044437" "vacuolar part" 0.873378873007769
-1 0.962397580543295 3 33 "GO:0005783" "endoplasmic reticulum" 0.981645532154161
-33 0.520939947333284 2 7 "GO:0005788" "endoplasmic reticulum lumen" 0.873378873007769
44 0.197293164480932 3 16 "GO:0005789" "endoplasmic reticulum membrane" 0.779866173610475
18 0.463731352526599 3 34 "GO:0005794" "Golgi apparatus" 0.873378873007769
32 0.59856267984627 2 5 "GO:0005802" "trans-Golgi network" 0.873378873007769
86 0.155084178584319 2 5 "GO:0005811" "lipid particle" 0.779866173610475
-8 0.811782494723658 2 16 "GO:0005813;GO:0005815" "microtubule organizing center" 0.920867608084683
-70 0.142420041318013 2 8 "GO:0005819" "spindle" 0.76457074812828
-44 0.257148577778004 2 12 "GO:0005840" "ribosome" 0.802279261828241
48 0.163994197235881 2 16 "GO:0005856" "cytoskeleton" 0.779866173610475
-12 0.848417262982557 5 5 "GO:0005871" "kinesin complex" 0.936288522572819
-3 0.92512149262696 2 17 "GO:0005874" "microtubule" 0.956088043759941
-5 0.895011754732795 2 12 "GO:0005875" "microtubule associated complex" 0.950949989403595
-26 0.540843337963112 3 10 "GO:0005887" "integral component of plasma membrane" 0.873378873007769
17 0.587157976799389 2 20 "GO:0005911;GO:0030054" "cell junction" 0.873378873007769
57 0.134141676410612 2 13 "GO:0005929" "cilium" 0.760136166326801
-15 0.75869248897358 2 8 "GO:0009506" "plasmodesma" 0.920867608084683
-16 0.568383892233091 4 25 "GO:0009507;GO:0009536" "plastid" 0.873378873007769
-95 0.00146684772897198 2 21 "GO:0009521;GO:0030076;GO:0009523" "photosystem" 0.074809234177571
-77 0.000345848727417086 4 43 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 0.0352765701965428
-95 0.0467957197981622 4 8 "GO:0009570;GO:0009532" "chloroplast stroma" 0.530351491045838
23 0.638754120259943 3 8 "GO:0009941;GO:0009526" "chloroplast envelope" 0.874097407164639
101 0.0350455199676202 2 8 "GO:0009986" "cell surface" 0.510663290956752
11 0.690063723158122 2 23 "GO:0016023;GO:0031410" "cytoplasmic membrane-bounded vesicle" 0.874097407164639
-39 0.47616143584747 3 6 "GO:0016282;GO:0070993;GO:0033290;GO:0005852" "translation preinitiation complex" 0.873378873007769
40 0.466728488458296 2 6 "GO:0016323;GO:0042383" "sarcolemma" 0.873378873007769
1 0.986622883171228 2 5 "GO:0016324" "apical plasma membrane" 0.996332369518217
27 0.494088783380554 3 12 "GO:0016607;GO:0016604" "nuclear body" 0.873378873007769
48 0.388330417015286 3 6 "GO:0030141" "secretory granule" 0.873378873007769
-26 0.66288795768847 2 5 "GO:0030424" "axon" 0.874097407164639
111 0.0445623828232901 2 6 "GO:0030427" "site of polarized growth" 0.530351491045838
-30 0.55657768806965 2 7 "GO:0030496" "midbody" 0.873378873007769
21 0.264907915568585 2 60 "GO:0030529" "ribonucleoprotein complex" 0.802279261828241
