"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-81 0.0708988796131435 2 55 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.777753174133944
81 0.29058833067479 3 18 "GO:0000151" "ubiquitin ligase complex" 0.895583707653451
-68 0.638939550589689 3 5 "GO:0000228" "nuclear chromosome" 0.916529830842581
-37 0.781750713827412 2 6 "GO:0000242" "pericentriolar material" 0.942594807077628
148 0.117029558532153 2 12 "GO:0000502" "proteasome complex" 0.80804906953872
114 0.435315913169607 4 5 "GO:0000775" "chromosome, centromeric region" 0.911489360136278
4 0.97960301190059 2 5 "GO:0000777;GO:0000776" "condensed chromosome kinetochore" 0.985696703199701
-25 0.849347468969314 5 6 "GO:0000784;GO:0000781" "chromosome, telomeric region" 0.965666926549663
-52 0.509431634899379 2 17 "GO:0000785" "chromatin" 0.911489360136278
51 0.680278051068565 5 7 "GO:0000790" "nuclear chromatin" 0.916529830842581
6 0.957617504856051 2 9 "GO:0000922" "spindle pole" 0.978435276700748
-214 0.0632972121732969 3 8 "GO:0000932" "cytoplasmic mRNA processing body" 0.777753174133944
-136 0.348412478246579 2 5 "GO:0001750" "photoreceptor outer segment" 0.911489360136278
-85 0.0572350403662675 1 56 "GO:0005576" "extracellular region" 0.777753174133944
-108 0.456757970102905 2 5 "GO:0005578" "proteinaceous extracellular matrix" 0.911489360136278
30 0.606375536869435 2 31 "GO:0005615" "extracellular space" 0.916529830842581
77 0.233936812833814 3 26 "GO:0005618;GO:0030312" "cell wall" 0.882299665903117
2 0.984452587756237 2 14 "GO:0005622" "intracellular" 0.985696703199701
60 0.427796535628719 2 19 "GO:0005635" "nuclear envelope" 0.911489360136278
179 0.0827396993759515 3 10 "GO:0005643;GO:0046930" "nuclear pore" 0.777753174133944
-3 0.954846002805227 4 53 "GO:0005654" "nucleoplasm" 0.978435276700748
162 0.223959964102605 2 6 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 0.882299665903117
39 0.418789734806429 3 48 "GO:0005681" "spliceosomal complex" 0.911489360136278
127 0.382815725097085 4 5 "GO:0005684" "U2-type spliceosomal complex" 0.911489360136278
