"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
59 0.138162558171856 2 25 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.788502465532303
34 0.581916627185885 2 10 "GO:0000502" "proteasome complex" 0.929476480537216
142 0.106165956069763 2 5 "GO:0000781" "chromosome, telomeric region" 0.77542441352945
45 0.407755294793219 3 13 "GO:0000785" "chromatin" 0.874700874314486
73 0.324431406231158 4 7 "GO:0000790" "nuclear chromatin" 0.822876477851947
5 0.952486208472519 2 5 "GO:0000922" "spindle pole" 0.968957947391659
40 0.648351140835526 2 5 "GO:0000932" "cytoplasmic mRNA processing body" 0.929476480537216
-84 0.0146295385434529 1 34 "GO:0005576" "extracellular region" 0.433275565264675
-15 0.861730776866509 2 5 "GO:0005578;GO:0031012" "proteinaceous extracellular matrix" 0.96155248054119
35 0.430346735401945 2 20 "GO:0005615" "extracellular space" 0.90850977473744
-17 0.72265778517233 2 17 "GO:0005618;GO:0030312" "cell wall" 0.951618667603167
134 0.0539179267090567 2 8 "GO:0005622" "intracellular" 0.651916750209504
28 0.639277555370007 2 11 "GO:0005635" "nuclear envelope" 0.929476480537216
6 0.945187136970095 3 5 "GO:0005643;GO:0046930" "nuclear pore" 0.968957947391659
44 0.271429852854024 3 25 "GO:0005654" "nucleoplasm" 0.795462705481404
117 0.000402598849358717 3 37 "GO:0005681" "spliceosomal complex" 0.0535456469647094
104 0.235182080549619 4 5 "GO:0005684" "U2-type spliceosomal complex" 0.795462705481404
34 0.484061467687159 4 17 "GO:0005694" "chromosome" 0.929476480537216
-18 0.605760069263827 3 34 "GO:0005730" "nucleolus" 0.929476480537216
-14 0.651547802426808 2 41 "GO:0005739" "mitochondrion" 0.929476480537216
116 0.187589361078733 2 5 "GO:0005741" "mitochondrial outer membrane" 0.795462705481404
-30 0.500392597292754 2 20 "GO:0005743;GO:0019866" "organelle inner membrane" 0.929476480537216
34 0.648504368990271 3 7 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.929476480537216
-91 0.128265692463518 3 11 "GO:0005759" "mitochondrial matrix" 0.77542441352945
-62 0.154837059194653 2 21 "GO:0005764;GO:0000323" "lytic vacuole" 0.788502465532303
-7 0.925817813870352 4 7 "GO:0005765" "lysosomal membrane" 0.968957947391659
-47 0.330464860575029 2 17 "GO:0005768" "endosome" 0.822876477851947
-6 0.856107798309517 2 33 "GO:0005773" "vacuole" 0.96155248054119
69 0.047288608637327 2 33 "GO:0005774;GO:0044437" "vacuolar part" 0.651916750209504
-6 0.820044376097247 2 51 "GO:0005783" "endoplasmic reticulum" 0.96155248054119
-70 0.313995589576511 3 8 "GO:0005788" "endoplasmic reticulum lumen" 0.822876477851947
88 0.0195462661021658 3 28 "GO:0005789" "endoplasmic reticulum membrane" 0.433275565264675
-35 0.230198452891772 4 48 "GO:0005794" "Golgi apparatus" 0.795462705481404
42 0.636858188909706 2 5 "GO:0005802" "trans-Golgi network" 0.929476480537216
98 0.264391371233168 4 5 "GO:0005811" "lipid particle" 0.795462705481404
-44 0.334100224090264 3 19 "GO:0005813" "centrosome" 0.822876477851947
2 0.980791589908618 4 6 "GO:0005814" "centriole" 0.988221829226108
-46 0.237261007907304 2 26 "GO:0005815" "microtubule organizing center" 0.795462705481404
-20 0.761702604178227 3 9 "GO:0005819" "spindle" 0.96155248054119
-31 0.448987894502184 3 24 "GO:0005840" "ribosome" 0.917261398321674
5 0.882025583654325 4 32 "GO:0005856" "cytoskeleton" 0.96155248054119
-41 0.507446318679589 2 10 "GO:0005871" "kinesin complex" 0.929476480537216
-45 0.273982355665274 3 23 "GO:0005874" "microtubule" 0.795462705481404
-40 0.364511878566118 2 20 "GO:0005875" "microtubule associated complex" 0.840622772207484
-42 0.447720840575343 2 13 "GO:0005887" "integral component of plasma membrane" 0.917261398321674
18 0.636987796032914 2 29 "GO:0005911;GO:0030054" "cell junction" 0.929476480537216
-26 0.529162565133865 3 23 "GO:0005929" "cilium" 0.929476480537216
-18 0.818674510655275 2 6 "GO:0005930" "axoneme" 0.96155248054119
12 0.838889435353283 3 11 "GO:0009506" "plasmodesma" 0.96155248054119
-33 0.332753793081829 2 35 "GO:0009507;GO:0009536" "plastid" 0.822876477851947
-23 0.584230358556949 3 22 "GO:0009521;GO:0030076;GO:0009523" "photosystem" 0.929476480537216
19 0.519197689805659 4 47 "GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436" "thylakoid part" 0.929476480537216
-122 0.0640220668626146 3 9 "GO:0009570;GO:0009532" "plastid stroma" 0.687728663236286
-72 0.275122439489809 3 9 "GO:0009941;GO:0009526" "plastid envelope" 0.795462705481404
100 0.0921935636998348 2 11 "GO:0009986" "cell surface" 0.766358998254877
-45 0.612525312743408 3 5 "GO:0014069" "postsynaptic density" 0.929476480537216
52 0.483771654052587 2 7 "GO:0015630" "microtubule cytoskeleton" 0.929476480537216
-91 0.219499193878712 2 7 "GO:0015934" "large ribosomal subunit" 0.795462705481404
-75 0.352055867088799 2 6 "GO:0015935" "small ribosomal subunit" 0.840622772207484
-44 0.263765757310242 2 26 "GO:0016023;GO:0031410" "cytoplasmic vesicle" 0.795462705481404
-4 0.954387151190281 2 8 "GO:0016282;GO:0070993;GO:0033290;GO:0005852" "eukaryotic 43S preinitiation complex" 0.968957947391659
30 0.618344872768458 3 11 "GO:0016323;GO:0044449;GO:0042383;GO:0030018" "sarcolemma" 0.929476480537216
-35 0.691759025911052 4 5 "GO:0016324" "apical plasma membrane" 0.938100788656285
-124 0.160071929093024 2 5 "GO:0016363" "nuclear matrix" 0.788502465532303
101 0.249017310684808 3 5 "GO:0016529;GO:0014731" "sarcoplasmic reticulum" 0.795462705481404
55 0.249110086668101 2 17 "GO:0016607;GO:0016604" "nuclear body" 0.795462705481404
18 0.838381745931497 2 5 "GO:0022626" "cytosolic ribosome" 0.96155248054119
-26 0.746344992226137 3 6 "GO:0030141" "secretory granule" 0.957724432628669
-37 0.678286201717856 4 5 "GO:0030286" "dynein complex" 0.930437258405906
-170 0.0536520099402052 4 5 "GO:0030424" "axon" 0.651916750209504
56 0.455182348039327 2 7 "GO:0030425" "dendrite" 0.917261398321674
124 0.122579545413552 2 6 "GO:0030427" "site of polarized growth" 0.77542441352945
-122 0.0795717303645893 2 8 "GO:0030496" "midbody" 0.705536009232692
39 0.0723924908669775 2 96 "GO:0030529" "ribonucleoprotein complex" 0.687728663236286
145 0.070632815933616 2 6 "GO:0030532" "small nuclear ribonucleoprotein complex" 0.687728663236286
53 0.357705735668467 3 12 "GO:0030659;GO:0012506;GO:0044433" "cytoplasmic vesicle part" 0.840622772207484
-59 0.366587374346121 3 9 "GO:0031253" "cell projection membrane" 0.840622772207484
5 0.954311623338814 3 5 "GO:0031256" "leading edge membrane" 0.968957947391659
-17 0.845551919014611 2 5 "GO:0031430" "M band" 0.96155248054119
72 0.300236381353816 2 8 "GO:0031461;GO:0000151" "ubiquitin ligase complex" 0.822876477851947
-44 0.50621549755463 2 9 "GO:0031514" "motile cilium" 0.929476480537216
-23 0.718637083540593 3 10 "GO:0031965" "nuclear membrane" 0.951618667603167
7 0.852177454350411 3 26 "GO:0031966" "mitochondrial membrane" 0.96155248054119
-17 0.698285549450919 2 20 "GO:0031967;GO:0031975" "organelle envelope" 0.938100788656285
120 0.107399740264969 2 7 "GO:0031968;GO:0019867" "organelle outer membrane" 0.77542441352945
58 0.406121262253615 2 8 "GO:0031969;GO:0042170" "chloroplast membrane" 0.874700874314486
-92 0.250826472112525 2 6 "GO:0032993" "protein-DNA complex" 0.795462705481404
74 0.399029283939591 2 5 "GO:0033177" "proton-transporting two-sector ATPase complex, proton-transporting domain" 0.874700874314486
87 0.244485136316966 3 7 "GO:0033267" "axon part" 0.795462705481404
26 0.747930844022469 3 6 "GO:0034081" "polyketide synthase complex" 0.957724432628669
-139 0.0454864176759308 5 8 "GO:0034703;GO:0034702" "cation channel complex" 0.651916750209504
12 0.87209408032852 3 7 "GO:0035770" "ribonucleoprotein granule" 0.96155248054119
-16 0.858130208241223 6 5 "GO:0042470;GO:0048770" "melanosome" 0.96155248054119
-92 0.293896657300246 2 5 "GO:0042579" "microbody" 0.822876477851947
-19 0.530772206265716 2 47 "GO:0042995" "cell projection" 0.929476480537216
1 0.99075511603769 2 18 "GO:0043005" "neuron projection" 0.99075511603769
37 0.578830454475742 2 9 "GO:0043025;GO:0044297" "neuronal cell body" 0.929476480537216
-109 0.215889088194074 3 5 "GO:0043204" "perikaryon" 0.795462705481404
-85 0.123239628004521 2 13 "GO:0044391" "ribosomal subunit" 0.77542441352945
-10 0.653791375084535 2 87 "GO:0044421;GO:0031988;GO:0031982" "membrane-bounded vesicle" 0.929476480537216
22 0.540777405565231 2 32 "GO:0044427" "chromosomal part" 0.929476480537216
-7 0.82365154264814 2 43 "GO:0044429" "mitochondrial part" 0.96155248054119
-11 0.656923226845852 2 67 "GO:0044430" "cytoskeletal part" 0.929476480537216
43 0.176256606674532 2 41 "GO:0044432" "endoplasmic reticulum part" 0.795462705481404
4 0.875404064508071 2 62 "GO:0044434;GO:0044435" "chloroplast part" 0.96155248054119
-58 0.272706281216676 2 14 "GO:0044440;GO:0010008" "endosomal part" 0.795462705481404
-11 0.837763688212838 2 14 "GO:0044441" "ciliary part" 0.96155248054119
8 0.895296999093921 2 12 "GO:0044445" "cytosolic part" 0.968085373003996
34 0.648504368990271 4 7 "GO:0044448" "cell cortex part" 0.929476480537216
25 0.678589579438894 3 11 "GO:0044450" "microtubule organizing center part" 0.930437258405906
32 0.390051484106433 2 29 "GO:0044451" "nucleoplasm part" 0.874700874314486
62 0.239816996315008 3 14 "GO:0044454" "nuclear chromosome part" 0.795462705481404
13 0.795174087345675 1 17 "GO:0044456" "synapse part" 0.96155248054119
-30 0.322120963522278 2 45 "GO:0044459" "plasma membrane part" 0.822876477851947
12 0.748897300702117 2 31 "GO:0044463" "cell projection part" 0.957724432628669
-16 0.859930128531528 2 5 "GO:0045121" "membrane raft" 0.96155248054119
49 0.579169422750927 1 5 "GO:0045202" "synapse" 0.929476480537216
27 0.669401571904937 2 10 "GO:0045211;GO:0097060" "postsynaptic membrane" 0.930437258405906
-113 0.159145366541112 3 6 "GO:0045335;GO:0030139" "endocytic vesicle" 0.788502465532303
-127 0.149444226656047 2 5 "GO:0048046" "apoplast" 0.788502465532303
-6 0.906158810632952 2 17 "GO:0048471" "perinuclear region of cytoplasm" 0.968957947391659
-42 0.240101565278308 2 32 "GO:0070013;GO:0043233;GO:0031974" "membrane-enclosed lumen" 0.795462705481404
-15 0.595568864281435 3 50 "GO:0070062;GO:0065010;GO:0043230" "extracellular membrane-bounded organelle" 0.929476480537216
217 0.0135797535990297 2 5 "GO:0070937" "CRD-mediated mRNA stability complex" 0.433275565264675
142 0.00412744724591862 2 16 "GO:0071013" "catalytic step 2 spliceosome" 0.274475241853588
4 0.917759770005537 2 31 "GO:0097458" "neuron part" 0.968957947391659
52 0.0183513938218411 2 93 "GO:0098588" "bounding membrane of organelle" 0.433275565264675
48 0.12253163416868 2 42 "GO:0098589" "membrane region" 0.77542441352945
-27 0.628903958396541 2 13 "GO:0098590" "plasma membrane region" 0.929476480537216
-8 0.821165362926764 2 36 "GO:1902494" "catalytic complex" 0.96155248054119
-116 0.0521887804992516 2 11 "GO:1902495;GO:1990351" "transmembrane transporter complex" 0.651916750209504
58 0.51071412623035 3 5 "GO:1990204" "oxidoreductase complex" 0.929476480537216
5 0.923535562960251 2 15 "GO:1990234" "transferase complex" 0.968957947391659
