"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.997401469600755 2 83 "GO:0000139;GO:0044431" "Golgi apparatus part" 0.998539852723571
122 0.529429841820982 3 5 "GO:0000178" "exosome (RNase complex)" 0.915644588388194
247 0.203845432847549 3 5 "GO:0000228" "nuclear chromosome" 0.858502880646408
-109 0.453173223856395 2 9 "GO:0000242" "pericentriolar material" 0.890946919100203
227 0.242662944516057 4 5 "GO:0000325" "plant-type vacuole" 0.860915960925378
121 0.533497662517728 4 5 "GO:0000329" "fungal-type vacuole membrane" 0.915644588388194
-130 0.28014519642135 3 13 "GO:0000502" "proteasome complex" 0.87298279045395
-57 0.77031723067386 3 5 "GO:0000775" "chromosome, centromeric region" 0.980316352562138
-178 0.316441973101557 3 6 "GO:0000776;GO:0000777" "kinetochore" 0.883014804997487
-156 0.281396923560439 3 9 "GO:0000781" "chromosome, telomeric region" 0.87298279045395
-211 0.234573531530095 2 6 "GO:0000784" "nuclear chromosome, telomeric region" 0.859976527929406
16 0.858140885036688 3 24 "GO:0000785" "chromatin" 0.980316352562138
-107 0.43887150618649 4 10 "GO:0000790" "nuclear chromatin" 0.890946919100203
-123 0.395525764705814 2 9 "GO:0000922" "spindle pole" 0.890946919100203
88 0.467120673048731 2 13 "GO:0000932;GO:0035770" "ribonucleoprotein granule" 0.892438694444664
24 0.88222455613973 5 7 "GO:0001518;GO:0034706" "sodium channel complex" 0.981513946999347
49 0.799711136344588 2 5 "GO:0001669" "acrosomal vesicle" 0.980316352562138
-198 0.308931049349673 5 5 "GO:0001750" "photoreceptor outer segment" 0.880376283637045
-38 0.469868545448602 1 73 "GO:0005576" "extracellular region" 0.892438694444664
-72 0.640792488427631 2 8 "GO:0005578;GO:0031012" "extracellular matrix" 0.95465003377994
-58 0.414072331765835 2 38 "GO:0005615" "extracellular space" 0.890946919100203
-154 0.0545336193008478 3 30 "GO:0005618;GO:0030312" "cell wall" 0.620540912573872
-192 0.0550608664038299 2 19 "GO:0005622" "intracellular" 0.620540912573872
21 0.8165593893362 3 23 "GO:0005635" "nuclear envelope" 0.980316352562138
-64 0.609675708129177 3 12 "GO:0005643;GO:0046930" "nuclear pore" 0.946872951439824
28 0.590265389454465 2 71 "GO:0005654" "nucleoplasm" 0.931642668899964
-93 0.571433930648661 3 7 "GO:0005680;GO:0000152" "nuclear ubiquitin ligase complex" 0.920176697147476
1 0.989030296622201 3 58 "GO:0005681" "spliceosomal complex" 0.998539852723571
296 0.127024062535958 4 5 "GO:0005684" "U2-type spliceosomal complex" 0.774381261336632
81 0.354584009565431 2 25 "GO:0005694" "chromosome" 0.890946919100203
60 0.191320130437007 2 94 "GO:0005730" "nucleolus" 0.858502880646408
50 0.235610007651892 3 115 "GO:0005739" "mitochondrion" 0.859976527929406
57 0.639656479419429 4 13 "GO:0005741;GO:0031968;GO:0019867" "organelle outer membrane" 0.95465003377994
33 0.638914329377807 4 39 "GO:0005743;GO:0019866" "organelle inner membrane" 0.95465003377994
123 0.177826816828398 2 23 "GO:0005759" "mitochondrial matrix" 0.857704775196485
139 0.050923827544147 2 38 "GO:0005764;GO:0000323" "lytic vacuole" 0.620540912573872
-9 0.932640244136579 2 18 "GO:0005765" "lysosomal membrane" 0.991496181873353
-90 0.244586143100798 2 32 "GO:0005768" "endosome" 0.860915960925378
28 0.875882065877695 3 6 "GO:0005769" "early endosome" 0.981513946999347
-118 0.413789850898039 2 9 "GO:0005770" "late endosome" 0.890946919100203
108 0.0564332548085073 2 61 "GO:0005773" "vacuole" 0.620540912573872
-66 0.203687877326975 2 73 "GO:0005774;GO:0044437" "vacuolar part" 0.858502880646408
-135 0.40956646645016 2 7 "GO:0005775" "vacuolar lumen" 0.890946919100203
-264 0.108263229999768 5 7 "GO:0005778;GO:0031903" "peroxisomal membrane" 0.740926480310912
30 0.50649761214723 2 96 "GO:0005783" "endoplasmic reticulum" 0.915644588388194
67 0.444151001468396 2 25 "GO:0005788" "endoplasmic reticulum lumen" 0.890946919100203
1 0.984090764714054 2 90 "GO:0005789" "endoplasmic reticulum membrane" 0.998539852723571
-105 0.589912197765344 2 5 "GO:0005791" "rough endoplasmic reticulum" 0.931642668899964
-334 0.0857653377185102 3 5 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.714088252993514
-4 0.9310015847887 2 111 "GO:0005794" "Golgi apparatus" 0.991496181873353
196 0.232672946259665 3 7 "GO:0005795" "Golgi stack" 0.859976527929406
