"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-6 0.927059560952137 3 8 "GO:0000287" "magnesium ion binding" 0.952948296842034
124 0.136322733413807 4 5 "GO:0001047" "core promoter binding" 0.76282109691114
12 0.696658535435315 3 39 "GO:0003677" "DNA binding" 0.926971751322509
69 0.362893596456284 2 6 "GO:0003682" "chromatin binding" 0.789544309689182
-12 0.875525847657963 3 6 "GO:0003729" "mRNA binding" 0.952948296842034
-86 0.0954333242828333 2 13 "GO:0003735" "structural constituent of ribosome" 0.721201306505907
-56 0.233594715891256 3 16 "GO:0003743;GO:0008135" "translation factor activity, nucleic acid binding" 0.770145320863461
8 0.882658053830028 4 12 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.952948296842034
-35 0.673054781189967 4 5 "GO:0003756;GO:0016864" "intramolecular oxidoreductase activity, transposing S-S bonds" 0.926971751322509
52 0.354929901093648 2 11 "GO:0003774" "motor activity" 0.789544309689182
-24 0.773195996077977 2 5 "GO:0003777" "microtubule motor activity" 0.941061529954364
1 0.993800973122986 2 10 "GO:0003924" "GTPase activity" 0.993800973122986
83 0.156593552404099 2 10 "GO:0003950;GO:0016763" "transferase activity, transferring pentosyl groups" 0.76282109691114
13 0.852199818969173 2 7 "GO:0003993" "acid phosphatase activity" 0.952948296842034
-15 0.658960999344831 5 31 "GO:0004175" "endopeptidase activity" 0.923904081555639
-20 0.795750558417293 5 6 "GO:0004190;GO:0070001" "aspartic-type peptidase activity" 0.941061529954364
-22 0.729026419883848 2 9 "GO:0004197" "cysteine-type endopeptidase activity" 0.935354651926446
-109 0.188671775933462 2 5 "GO:0004252" "serine-type endopeptidase activity" 0.76282109691114
-66 0.380738269437951 3 6 "GO:0004298;GO:0070003" "threonine-type peptidase activity" 0.789544309689182
25 0.658233942728687 2 11 "GO:0004315;GO:0004312" "fatty acid synthase activity" 0.923904081555639
-34 0.581010418176652 3 9 "GO:0004497" "monooxygenase activity" 0.920572169871185
57 0.20753221018906 2 17 "GO:0004553;GO:0016798" "hydrolase activity, hydrolyzing O-glycosyl compounds" 0.76282109691114
-21 0.494771635475594 6 38 "GO:0004674;GO:0004672" "protein kinase activity" 0.885380821377379
6 0.919548649915293 2 10 "GO:0004721" "phosphoprotein phosphatase activity" 0.952948296842034
53 0.526376599871911 2 5 "GO:0004722" "protein serine/threonine phosphatase activity" 0.885728632899131
54 0.415491106223932 4 8 "GO:0004812;GO:0016876;GO:0016875" "ligase activity, forming aminoacyl-tRNA and related compounds" 0.818938991977605
-18 0.768998685701088 3 9 "GO:0004842" "ubiquitin-protein ligase activity" 0.941061529954364
-18 0.723017753748252 2 13 "GO:0004871;GO:0060089" "signal transducer activity" 0.935354651926446
-77 0.356028155439112 2 5 "GO:0005102" "receptor binding" 0.789544309689182
-28 0.521880421576438 1 18 "GO:0005198" "structural molecule activity" 0.885728632899131
-53 0.0243315254675291 1 68 "GO:0005215" "transporter activity" 0.566603729655335
-87 0.107874729090908 5 12 "GO:0005261;GO:0005216;GO:0022838;GO:0015267;GO:0022803;GO:0022836" "substrate-specific channel activity" 0.743064498286253
-129 0.0885529028923544 3 6 "GO:0005267;GO:0015079" "potassium ion transmembrane transporter activity" 0.721201306505907
-49 0.171059124120227 2 28 "GO:0005506" "iron ion binding" 0.76282109691114
24 0.456745180709821 3 34 "GO:0005509" "calcium ion binding" 0.83942357535859
159 0.0155342310988703 9 8 "GO:0008026;GO:0070035;GO:0004386" "helicase activity" 0.52816385736159
140 0.0653202057770768 2 6 "GO:0008047" "enzyme activator activity" 0.721201306505907
107 0.0684007763077057 2 10 "GO:0008092" "cytoskeletal protein binding" 0.721201306505907
25 0.702044782251606 2 8 "GO:0008168;GO:0016741;GO:0008757" "methyltransferase activity" 0.926971751322509
6 0.937130295117009 2 6 "GO:0008198" "ferrous iron binding" 0.952948296842034
-57 0.219379202492983 5 16 "GO:0008234" "cysteine-type peptidase activity" 0.765014654847325
-65 0.272548375933718 3 10 "GO:0008236;GO:0017171" "serine hydrolase activity" 0.788650619723099
152 0.0302514949478896 5 7 "GO:0008237" "metallopeptidase activity" 0.566603729655335
89 0.241177545203887 5 6 "GO:0008238" "exopeptidase activity" 0.770145320863461
35 0.216229944996618 6 45 "GO:0008270" "zinc ion binding" 0.765014654847325
-98 0.197889753699945 2 6 "GO:0008289" "lipid binding" 0.76282109691114
-51 0.134758809358317 2 31 "GO:0008324" "cation transmembrane transporter activity" 0.76282109691114
-52 0.243501829390653 4 18 "GO:0008509" "anion transmembrane transporter activity" 0.770145320863461
101 0.180671424493212 2 6 "GO:0008565" "protein transporter activity" 0.76282109691114
-44 0.333998243067001 1 17 "GO:0009055" "electron carrier activity" 0.789544309689182
-42 0.09545311409637 3 60 "GO:0015075;GO:0022891;GO:0022857;GO:0022892" "substrate-specific transporter activity" 0.721201306505907
