"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
14 0.833758365358169 2 16 "GO:0000287" "magnesium ion binding" 0.987827065209254
189 0.0661732812457925 2 7 "GO:0001047" "core promoter binding" 0.959174421782376
32 0.352210558625051 2 67 "GO:0003677" "DNA binding" 0.959174421782376
80 0.434572816126116 2 7 "GO:0003682" "chromatin binding" 0.959174421782376
127 0.296306481650395 2 5 "GO:0003690" "double-stranded DNA binding" 0.959174421782376
-144 0.234682533074748 2 5 "GO:0003712;GO:0000989;GO:0000988" "transcription cofactor activity" 0.959174421782376
-14 0.903141152269248 4 6 "GO:0003729" "mRNA binding" 0.987827065209254
-78 0.0772065274155452 2 39 "GO:0003735;GO:0005198" "structural molecule activity" 0.959174421782376
-44 0.517414748676936 2 16 "GO:0003743" "translation initiation factor activity" 0.959174421782376
0 0.998882689484969 3 7 "GO:0003746" "translation elongation factor activity" 0.998882689484969
109 0.0618987850707512 4 22 "GO:0003755;GO:0016859" "peptidyl-prolyl cis-trans isomerase activity" 0.959174421782376
-162 0.182192566797528 5 5 "GO:0003756;GO:0016864" "protein disulfide isomerase activity" 0.959174421782376
10 0.882718715954493 2 16 "GO:0003774" "motor activity" 0.987827065209254
-11 0.895897548829932 2 10 "GO:0003777" "microtubule motor activity" 0.987827065209254
-81 0.248950392793632 2 15 "GO:0003924" "GTPase activity" 0.959174421782376
86 0.209775246507232 2 16 "GO:0003950;GO:0016763" "transferase activity, transferring pentosyl groups" 0.959174421782376
-36 0.67311700792857 5 10 "GO:0003993" "acid phosphatase activity" 0.959174421782376
31 0.476533713376574 5 40 "GO:0004175" "endopeptidase activity" 0.959174421782376
-57 0.640681225106047 5 5 "GO:0004180" "carboxypeptidase activity" 0.959174421782376
-70 0.497032916843493 2 7 "GO:0004190;GO:0070001" "aspartic-type endopeptidase activity" 0.959174421782376
34 0.651605522244091 2 13 "GO:0004197" "cysteine-type endopeptidase activity" 0.959174421782376
114 0.350565437304666 2 5 "GO:0004222" "metalloendopeptidase activity" 0.959174421782376
