Colony,Source,Tranplant,Days,Status
284,FR,FR,1445,0
401,NS,FR,1445,0
402,FR,BR,1445,0
405,NS,FR,1445,0
406,NS,BR,1445,0
409,BR,FR,1445,0
411,FR,NS,1442,0
412,FR,BR,1445,0
413,NS,FR,1445,0
415,FR,BR,1445,0
416,BR,NS,1442,0
417,NS,NS,1442,0
418,BR,BR,1445,0
420,NS,NS,1442,0
429,NS,FR,1445,0
430,NS,FR,1445,0
435,NS,NS,1442,0
436,FR,FR,1445,0
438,BR,BR,1445,0
440,BR,NS,1442,0
444,FR,FR,1445,0
446,BR,BR,1445,0
447,NS,FR,1445,0
450,FR,BR,1445,0
451,NS,BR,1445,0
454,BR,BR,1445,0
455,FR,FR,1445,0
457,BR,FR,1445,0
458,BR,NS,1442,0
460,FR,BR,1445,0
461,FR,BR,1445,0
463,FR,FR,1445,0
464,NS,BR,1445,0
467,FR,NS,1442,0
470,BR,FR,1445,0
471,NS,BR,1445,0
472,BR,BR,1445,0
476,BR,FR,1445,0
477,NS,BR,1445,0
495,FR,FR,1445,0
497,NS,NS,1442,0
498,NS,BR,1445,0
499,BR,BR,1445,0
456F,BR,FR,1445,0
404,NS,NS,365,1
410,BR,NS,365,1
414,BR,NS,711,1
432,FR,NS,365,1
437,FR,NS,365,1
445,BR,FR,1088,1
462,NS,NS,711,1
496,FR,NS,711,1
500,FR,NS,365,1
456N,BR,NS,365,1
