name	term	lev	seq	value
"O-acyltransferase activity"	GO:0008374	5	isogroup260657	-0.00688528574323598
"O-acyltransferase activity"	GO:0008374	5	isogroup257343	-0.949104265595768
"O-acyltransferase activity"	GO:0008374	5	isogroup242921	-2.39167875238138
"O-acyltransferase activity"	GO:0008374	5	isogroup255683	-2.09726534991768
"O-acyltransferase activity"	GO:0008374	5	isogroup249820	0.959267504331698
"O-acyltransferase activity"	GO:0008374	5	isogroup258005	-0.38879788274554
"O-acyltransferase activity"	GO:0008374	5	isogroup260219	0.0616800249790656
"O-acyltransferase activity"	GO:0008374	5	isogroup244190	0.593792800421403
"O-acyltransferase activity"	GO:0008374	5	isogroup259473	0.255994901714806
"O-acyltransferase activity"	GO:0008374	5	isogroup246714	0.357467896766938
"O-acyltransferase activity"	GO:0008374	5	isogroup210919	0.880849966842023
"O-acyltransferase activity"	GO:0008374	5	isogroup245141	-0.169858560277394
"O-acyltransferase activity"	GO:0008374	5	isogroup260733	-0.616481990936016
"O-acyltransferase activity"	GO:0008374	5	isogroup258766	0.459641755031413
"O-acyltransferase activity"	GO:0008374	5	isogroup240170	0.100432886148593
"O-acyltransferase activity"	GO:0008374	5	isogroup259803	0.266092409658216
"O-acyltransferase activity"	GO:0008374	5	isogroup250544	-0.336761897029501
"O-acyltransferase activity"	GO:0008374	5	isogroup239803	-0.246308628616846
"O-acyltransferase activity"	GO:0008374	5	isogroup225840	2.2478371198586
"O-acyltransferase activity"	GO:0008374	5	isogroup250525	-0.190605116436069
"O-acyltransferase activity"	GO:0008374	5	isogroup250045	0.779089924807283
"O-acyltransferase activity"	GO:0008374	5	isogroup258257	0.68396928984597
"O-acyltransferase activity"	GO:0008374	5	isogroup222682	1.95918806643696
"O-acyltransferase activity"	GO:0008374	5	isogroup236560	-0.769282340822554
"O-acyltransferase activity"	GO:0008374	5	isogroup262209	-0.698440570726521
"transcription factor binding transcription factor activity"	GO:0000989;GO:0000988;GO:0003712	2	isogroup250413	-0.622332264410865
"transcription factor binding transcription factor activity"	GO:0000989;GO:0000988;GO:0003712	2	isogroup248451	1.15903427536591
"transcription factor binding transcription factor activity"	GO:0000989;GO:0000988;GO:0003712	2	isogroup240289	1.01194338556143
"transcription factor binding transcription factor activity"	GO:0000989;GO:0000988;GO:0003712	2	isogroup246764	0.582400174792576
"transcription factor binding transcription factor activity"	GO:0000989;GO:0000988;GO:0003712	2	isogroup251676	-0.329476346137585
