name	term	lev	seq	value
"antigen processing and presentation of peptide antigen via MHC class I"	GO:0002474;GO:0002478	4	isogroup49895	0.0180026377351451
"antigen processing and presentation of peptide antigen via MHC class I"	GO:0002474;GO:0002478	4	isogroup265296	1.05136772480894
"antigen processing and presentation of peptide antigen via MHC class I"	GO:0002474;GO:0002478	4	isogroup223940	0.28102263634481
"antigen processing and presentation of peptide antigen via MHC class I"	GO:0002474;GO:0002478	4	isogroup270858	2.88617506912762
"antigen processing and presentation of peptide antigen via MHC class I"	GO:0002474;GO:0002478	4	isogroup55691	2.53265896938071
"antigen processing and presentation of peptide antigen via MHC class I"	GO:0002474;GO:0002478	4	isogroup43772	-0.0998099590456418
"amino-acid betaine metabolic process"	GO:0006578;GO:0006577	2	isogroup265971	2.02966688331891
"amino-acid betaine metabolic process"	GO:0006578;GO:0006577	2	isogroup268212	1.38270186837013
"amino-acid betaine metabolic process"	GO:0006578;GO:0006577	2	isogroup165601	-1.88897646637116
"amino-acid betaine metabolic process"	GO:0006578;GO:0006577	2	isogroup117193	2.43575897429315
"amino-acid betaine metabolic process"	GO:0006578;GO:0006577	2	isogroup258764	-0.359712336937241
"amino-acid betaine metabolic process"	GO:0006578;GO:0006577	2	isogroup264670	-0.0487935563752839
"amino-acid betaine metabolic process"	GO:0006578;GO:0006577	2	isogroup113510	1.38541119444932
"defense response to other organism"	GO:0098542	2	isogroup223546	0.527147792124016
"defense response to other organism"	GO:0098542	2	isogroup195012	-1.09641280112672
"defense response to other organism"	GO:0098542	2	isogroup200697	0.970365907184329
"defense response to other organism"	GO:0098542	2	isogroup174903	0.435363537946659
"defense response to other organism"	GO:0098542	2	isogroup189921	-0.766122498696683
"defense response to other organism"	GO:0098542	2	isogroup224358	-1.70240022569243
"defense response to other organism"	GO:0098542	2	isogroup185759	2.37828292636075
"defense response to other organism"	GO:0098542	2	isogroup41066	-0.000223708525218848
"defense response to other organism"	GO:0098542	2	isogroup215751	-0.403338781864805
"defense response to other organism"	GO:0098542	2	isogroup201335	-0.546916898715426
"defense response to other organism"	GO:0098542	2	isogroup187537	-0.335655782284984
